CASE REFERENCE ,CASE DATE,SERVICE TYPE,CLASSIFICATION,CASE TEXT,ADDRESS,DECISION TARGET DATE,STATUS,CODETEXT,GEO X,GEO Y ,DECISION DATE,DECISION,DECISION TYPE,DECISION NOTICE DATE,APPEAL DECISION DATE,PUBLIC CONSULTATION START DATE,PUBLIC CONSULTATION END DATE,WARD
16/01391/FUL,24/10/2016,FUL,Q18,Menage,"Land West Of Sowerby Croft Farm Barn
Sowerby Croft
Sowerby Bridge
West Yorkshire

",30/12/2016,1,1,406135,422851,28/12/2016,1,DEL,28/12/2016,,14/11/2016,09/12/2016,4
17/20069/TPO,25/04/2017,TPO,TPO,Prune one tree (Tree Preservation Order),"2 Sandyfoot
Barkisland
Sowerby Bridge
Calderdale
HX4 0JA
",20/06/2017,4,4,405974,419914,07/06/2017,4,DEL,07/06/2017,,11/05/2017,01/06/2017,12
16/01656/DISC1,26/04/2017,DISC1,DISC,Submission of information to Discharge Conditions on application 16/01656 - conditions 2  3,"Peel House
Stocks Lane
Luddenden
Halifax
Calderdale

",07/07/2017,PCOMP,PCOMP,404487,426804,24/05/2017,PCOMP,,24/05/2017,,,,7
17/00636/FUL,18/05/2017,FUL,Q13,Detached dwelling,"Dene View
Norwood Green Hill
Norwood Green
Brighouse
Calderdale
HX3 8QX
",13/07/2017,,PCO,413659,427017,,,,,,30/05/2017,22/08/2017,5
17/00649/COU,22/05/2017,COU,Q20,Change of use of part of garage to form a dog grooming parlour (Sui Generis),"4 Castlefields Crescent
Brighouse
Calderdale
HD6 3PD",17/07/2017,1,1,413907,421871,17/07/2017,1,DEL,17/07/2017,,01/06/2017,23/06/2017,11
17/20075/TPO,22/05/2017,TPO,TPO,"Prune four trees
","90 Trimmingham Lane
Halifax
Calderdale
HX2 7PT
",17/07/2017,4,4,407020,424645,29/06/2017,4,DEL,29/06/2017,,02/06/2017,23/06/2017,17
15/01608/NMA,23/05/2017,NMA,NMA,Additional underground storage space,"The Woodlands
Wade House Road
Shelf
Halifax
West Yorkshire
HX3 7NT
",16/06/2017,,PCO,412231,428498,,,,,,,,8
17/00662/LBC,24/05/2017,LBC,,Replacement windows (Listed Building Consent),"4 Spa Terrace
Cragg Road
Mytholmroyd
Hebden Bridge
West Yorkshire
HX7 5RX
",,,APPRET,400792,424224,,,,,,,,7
17/00698/LAA,02/06/2017,LAA,Q18,"Proposed installation of wi-fi units, antennas and brackets","The Piece Hall
Piece Hall
Halifax
Calderdale

",31/07/2017,80,80,409539,425069,14/07/2017,80,DEL,14/07/2017,,,30/06/2017,16
17/00699/LBC,02/06/2017,LBC,Q23,"Proposed installation of wi-fi units, antennas and brackets (Listed Building Consent)","The Piece Hall
Piece Hall
Halifax
Calderdale

",31/07/2017,3,3,409539,425069,14/07/2017,3,DEL,14/07/2017,,,17/07/2017,16
17/00155/FUL,08/02/2017,FUL,Q18,New vehicular access to provide parking for two minibuses,"The Greetland Academy
School Street
Greetland
Elland
Calderdale
HX4 8JB
",10/04/2017,1,1,408597,421403,10/04/2017,1,DEL,10/04/2017,,17/02/2017,10/03/2017,4
17/00154/FUL,08/02/2017,FUL,Q18,"Siting of two portakabin type shower/changing room units, one above the other, with metal access stairs (retrospective)","Valley Mill
Holmes Road
Sowerby Bridge
Calderdale
HX6 2AA
",14/04/2017,1,1,406113,423541,13/06/2017,1,DEL,14/06/2017,,,07/06/2017,14
17/00157/LBC,08/02/2017,LBC,,Creation of a loft room using 2 conservation velux windows,"Old Town Hall
Old Town Mill Lane
Old Town
Hebden Bridge
Calderdale
HX7 8SW
",,,APPRET,399891,428363,,,,,,,,2
17/00159/FUL,09/02/2017,FUL,Q18,Demolition of building to facilitate new building for barbers shop,"Land South Of 82
Pellon Lane
Halifax
Calderdale

",11/05/2017,1,1,408757,425479,31/05/2017,1,DEL,31/05/2017,,,18/05/2017,10
14/01438/DISC1,14/02/2017,DISC1,DISC,"Submission of information to Discharge Conditions on application 14/01438 - conditions 1, 3 and 4","Land North West Of The Grand View Hotel
Wheatley Lane
Lee Mount
Halifax
Calderdale

",12/04/2017,,PCO,408117,426371,,,,,,,16/03/2017,9
17/00189/HSE,15/02/2017,HSE,Q21,Alterations to existing windows and new window openings to North West elevation,"16 Soyland Town Road
Ripponden
Sowerby Bridge
West Yorkshire
HX6 4NB
",14/04/2017,1,1,403825,420544,06/04/2017,1,DEL,10/04/2017,,02/03/2017,12/04/2017,12
17/00198/CON,17/02/2017,CON,Q13,"Proposed conversion of existing barn adjacent to a Listed Property, to form three new dwellings, including the modification of site access, the creation of associated gardens, garden walls and vehicular parking. also including provision of new garden walls to the Listed Building.","1 Jagger Green Hall
Jagger Green Lane
Holywell Green
Elland
Calderdale
HX4 9DE
",18/05/2017,,PCO,409277,419253,,,,,,,04/09/2017,4
17/00199/LBC,17/02/2017,LBC,Q23,"Proposed conversion of existing barn adjacent to a Listed Property, to form three new dwellings, including the modification of site access, the creation of associated gardens, garden walls and vehicular parking. also including provision of new garden walls to the Listed Building. (Listed Building Consent)","1 Jagger Green Hall
Jagger Green Lane
Holywell Green
Elland
Calderdale
HX4 9DE
",03/05/2017,,PCO,409277,419253,,,,,,,20/06/2017,4
16/01636/LBC,15/12/2016,LBC,Q23,"Raising of roof height and creation of maintenance loft and dry storage area ancillary to the water wheel, reintroducing previously lost window in southwest gable and re-locating previously approved pass door from the northwest elevation to the northeast gable  (Listed Building Consent)","Mayroyd Mill Wheelhouse And Weir
Mayroyd Lane
Hebden Bridge
Calderdale

",09/02/2017,,PCO,399553,426887,,,,,,28/07/2017,25/08/2017,2
16/01646/FUL,19/12/2016,FUL,Q18,Change of use of land to facilitate summer house (part retrospective),"23 Dewsbury Road
Rastrick
Brighouse
Calderdale
HD6 3QB
",07/03/2017,1,1,413047,420692,06/03/2017,1,DEL,06/03/2017,,18/01/2017,07/03/2017,3
16/01622/CON,16/12/2016,CON,Q13,Proposed conversion of barn to form dwelling,"Holywell Green Farm
1 Northgate
Holywell Green
Elland
Calderdale
HX4 9AQ
",06/03/2017,1,1,408773,419792,14/06/2017,1,DEL,14/06/2017,,20/01/2017,22/06/2017,4
16/01624/LBC,16/12/2016,LBC,Q23,Proposed conversion of barn to form dwelling (Listed Building Consent),"Holywell Green Farm
1 Northgate
Holywell Green
Elland
Calderdale
HX4 9AQ
",02/03/2017,3,3,408773,419792,14/06/2017,3,DEL,14/06/2017,,20/01/2017,24/02/2017,4
16/01652/FUL,20/12/2016,FUL,Q07,"28 new dwellings comprising 14no. 3 bed houses, 12no. bed houses and 2no. 2 bed bungalows along with associated access road and landscaping","Land North Of Garages
Rooley Heights
Sowerby
Sowerby Bridge
Calderdale

",24/03/2017,1,1,403846,423090,24/03/2017,1,DEL,24/03/2017,,17/01/2017,06/04/2017,12
16/42049/42DAYS,21/12/2016,42DAYS,,"Prior approval application for proposed single storey extension to rear, extending out by 6m, maximum height 3.7m, 3.7m to eaves.","129 Healey Wood Road
Brighouse
Calderdale
HD6 3RR
",25/01/2017,18,18,414600,422128,18/01/2017,18,,18/01/2017,,22/12/2016,14/01/2017,11
16/00853/NMA,19/12/2016,NMA,NMA,Non Material Amendment to application 16/00853 - Windows to Landings on FF & SF added & Porches added above doors on side elevations,"Stony Croft
Hedge Top Lane
Northowram
Halifax
Calderdale
HX3 7ER
",12/01/2017,NMAA,NMAA,411467,426999,16/02/2017,NMAA,DEL,16/02/2017,,,,8
16/06018/EIA,15/12/2016,EIA,EIA,"Aggregate Recycling Facility Comprising of the Importation, Storage and Treatment of Non-Hazardous Inert and Excavation Materials (Part Retrospective)","Land At Holmfield Industrial Estate
Holmfield
Halifax
Calderdale
HX2 9TN
",05/01/2017,,PCO,408606,428967,,,,,,,,6
17/00045/OUT,12/01/2017,OUT,Q07,Residential Development (outline),"Land Rear Of Exley Park Hotel
Park Lane
Siddal
Halifax
Calderdale

",23/06/2017,,PCO,410025,422561,,,,,,11/04/2017,16/06/2017,16
13/01393/NMA,25/10/2016,NMA,NMA,"Non Material Amendment to application to 13/01393 Minor amendments to existing hall, re-elevating new blocks, rearranged parking.","Southfield
Stafford Road
Halifax
Calderdale
HX3 0PA
",15/11/2016,NMAAC,NMAAC,409305,423473,10/01/2017,NMAAC,DEL,10/01/2017,,,14/11/2016,13
16/01414/HSE,30/10/2016,HSE,Q21,"Single storey extension to front, two storey extension to side with cellar","99 Tewit Lane
Illingworth
Halifax
Calderdale
HX2 9SD
",27/01/2017,1,1,407510,429102,20/06/2017,1,DEL,20/06/2017,,08/12/2016,13/03/2017,6
16/01474/FUL,15/11/2016,FUL,Q13,Change of use from office (Use Class B1)  to 6  apartments (Use Class C3),"9 Portland Place
Halifax
Calderdale
HX1 2JQ
",25/01/2017,1,1,409318,424815,25/01/2017,1,DEL,25/01/2017,,09/12/2016,12/01/2017,16
16/01482/FUL,16/11/2016,FUL,Q13,Conversion of workshop to dwelling,"New Delight House
New Delight
Todmorden
Calderdale
OL14 8NT
",13/04/2017,1,1,390934,426785,13/04/2017,1,DEL,13/04/2017,,25/11/2016,26/01/2017,15
16/01508/FUL,22/11/2016,FUL,Q18,Detached dwelling,"Garage Site Adjacent To
2 Carlton House Terrace
Halifax
West Yorkshire

",02/02/2017,1,1,408444,424435,06/04/2017,1,DEL,06/04/2017,,20/12/2016,13/01/2017,13
16/01509/HSE,22/11/2016,HSE,Q21,Single storey side extension,"11 Central Park
Halifax
West Yorkshire
HX1 2BT
",17/01/2017,1,1,408950,424413,17/01/2017,1,DEL,17/01/2017,,02/12/2016,23/12/2016,13
16/01017/DISC1,22/11/2016,DISC1,DISC,Submission of details to comply with conditions to permission 16/01017 nos. 2 and 3,"Building East Of 11-17 Clare Street
Clare Street
Halifax
Calderdale

",17/01/2017,PCOMP,PCOMP,409464,424748,13/12/2016,PCOMP,,13/12/2016,,,16/12/2016,16
16/56021/CLAS3Q,24/11/2016,CLAS3Q,,Prior approval application for a change of use from agricultural building to a dwelling (C3) and associated operational development,"Barn North Of Shireburn
Rud Lane
Cragg Vale
Hebden Bridge
Calderdale

",31/01/2017,33,33,399547,423297,06/02/2017,33,DEL,06/02/2017,,13/12/2016,03/01/2016,7
16/10046/ADV,06/12/2016,ADV,Q22,Internally illuminated fascia sign (Advertisement Consent),"Enterprise Plant Services Limited
West Street
Sowerby Bridge
Calderdale
HX6 3AJ
",15/03/2017,4,4,405821,423452,22/03/2017,4,DEL,22/03/2017,,,17/02/2017,14
17/00663/FUL,24/05/2017,FUL,Q18,Extension of residential curtilage to facilitate extension to existing decking area (Amended scheme to 16/00755/FUL),"1 Gate Head Farm
Hill Top Road
Sowerby Bridge
Calderdale
HX6 2RL
",19/07/2017,,PCO,405158,424068,,,,,,07/06/2017,19/07/2017,7
14/00356/DISC1,19/05/2017,DISC1,DISC,Submission of information to Discharge Conditions on application 16/00036- condition 2,"White Windows Rest Home
Fore Lane
Sowerby Bridge
Calderdale
HX6 1BJ
",14/07/2017,,PCO,405323,423276,,,,,,,14/06/2017,12
17/00666/LBC,12/05/2017,LBC,Q21,"Demolition of rear lean to porch to facilitate two storey extension. (Listed Building Consent)
","23 High Street
Luddenden
Halifax
Calderdale
HX2 6QE
",07/07/2017,,PCO,404083,426116,,,,,,25/05/2017,30/06/2017,7
17/00667/FUL,24/05/2017,FUL,Q18,Alterations to existing garage doors,"Garage
Robertshaw Road
Hebden Bridge
West Yorkshire

",09/08/2017,1,1,398663,427176,04/08/2017,1,DEL,04/08/2017,,20/06/2017,02/08/2017,2
17/00676/FUL,26/05/2017,FUL,Q13,"Conversion, refurbishment and alterations of existing office building to from three flats","1 Trinity Place
Halifax
Calderdale
HX1 2BD
",27/07/2017,1,1,409032,424818,21/07/2017,1,DEL,21/07/2017,,07/06/2017,07/07/2017,13
17/00677/LBC,26/05/2017,LBC,Q23,"Proposed conversion, refurbishment and alterations of existing office building to form 3 flats","1 Trinity Place
Halifax
Calderdale
HX1 2BD
",21/07/2017,3,3,409032,424818,21/07/2017,3,DEL,21/07/2017,,08/06/2017,07/07/2017,13
17/00714/FUL,06/06/2017,FUL,Q13,Change of use from full height barn to 3 storey single dwelling with 6 bedrooms,"Top Barn North East Of Mill House Farm
Rishworth Mill Lane
Rishworth
Sowerby Bridge
Calderdale

",15/08/2017,,PCO,403780,417871,,,,,,23/06/2017,28/07/2017,12
17/00008/DTA,12/06/2017,DTA,DTA,Residential Development,"Land Adjacent 9
Dale Street
Sowerby Bridge
Calderdale

",08/08/2017,,PCO,405784,423716,,,,,,,03/08/2017,14
17/20085/TPO,01/06/2017,TPO,TPO,Reduce one tree (Tree Preservation Order),"Birch View
Midgehole Road
Hebden Bridge
Calderdale
HX7 7AA
",27/07/2017,4,4,399276,428089,25/07/2017,4,DEL,25/07/2017,,12/06/2017,03/07/2017,2
17/00205/OUT,17/02/2017,OUT,Q07,Demolition of existing buildings and construction of 11 dwellings (Use Class C3) (Outline),"1 Jagger Green Hall
Jagger Green Lane
Holywell Green
Elland
West Yorkshire
HX4 9DE
",22/06/2017,,PDE,409277,419253,,,DEL,,,10/04/2017,29/08/2017,4
17/00206/LBC,17/02/2017,LBC,,Triangle District WW1 Memorial (plaque attached to a board on stone) attached currently to a disused public house. It is proposed that the stone plaque be moved across Rochdale Road to land owned by Bereavement Services (Listed Building Consent),"Triangle Inn
Rochdale Road
Triangle
Sowerby Bridge
West Yorkshire
HX6 3NE",,,APPRET,404336,422054,,,,,,,,12
17/00221/COU,22/02/2017,COU,Q20,Change of use from ground floor Offices (B1) to tuition centre (D1),"8 King Cross Street
Halifax
Calderdale
HX1 2SH
",11/05/2017,1,1,408963,424988,23/05/2017,1,DEL,23/05/2017,,04/04/2017,18/05/2017,16
17/00227/HSE,23/02/2017,HSE,Q21,Extension to Garden office,"Sunnycroft
1 Heath Mount Road
Brighouse
Calderdale
HD6 3RS
",20/04/2017,1,1,414552,421585,20/04/2017,1,DEL,20/04/2017,,13/03/2017,07/04/2017,11
17/00231/LBC,24/02/2017,LBC,Q23,Replacement windows (Listed Building Consent),"2 Buttress
Hebden Bridge
West Yorkshire
HX7 7BS
",12/05/2017,,PCO,399168,427357,,,,,,04/04/2017,02/05/2017,2
17/00245/FUL,28/02/2017,FUL,Q20,"Change use of outbuilding from residential to mixed residential and child-minding, with associated amendments to the location of the external staircase and internal re-planning.","The Manse
The Chapel
Burnley Road
Luddenden Foot
Sowerby Bridge
Calderdale
HX2 6AU
",25/04/2017,1,1,403991,424467,21/04/2017,1,DEL,21/04/2017,,16/03/2017,14/04/2017,7
17/00246/LBC,28/02/2017,LBC,Q23,"Change use of outbuilding from residential to mixed residential and child-minding, with associated amendments to the location of the external staircase and internal re-planning. (Listed Building Consent)","The Manse
The Chapel
Burnley Road
Luddenden Foot
Halifax
Calderdale
HX2 6AU
",25/04/2017,3,3,403991,424467,21/04/2017,3,DEL,21/04/2017,,16/03/2017,14/04/2017,7
17/00286/HSE,06/03/2017,HSE,Q21,Raise roof including dormers. Two storey side extension & first floor extension above garage.,"43 Rothwell Road
Halifax
Calderdale
HX1 2HA
",24/05/2017,,PCO,408565,424312,,,,,,24/04/2017,15/05/2017,13
16/01538/FUL,28/11/2016,FUL,Q18,"Single storey rear extension, three air conditioning units.","31 Market Street
Hebden Bridge
Calderdale
HX7 6EU
",10/03/2017,1,1,399026,427206,24/03/2017,1,DEL,24/03/2017,,24/01/2017,31/03/2017,2
17/00077/HSE,25/01/2017,HSE,Q21,Raise height of roof to create first floor living space,"The Nook
Keighley Road
Hebden Bridge
West Yorkshire
HX7 8QN
",22/03/2017,1,1,399790,429534,21/03/2017,1,DEL,21/03/2017,,01/02/2017,21/03/2017,2
17/00078/OUT,25/01/2017,OUT,Q13,Detached dwelling (Outline),"Trecasa
426 Burnley Road
Warley
Halifax
Calderdale
HX2 7LW
",10/04/2017,11,11,406805,424716,10/04/2017,11,DEL,10/04/2017,,17/02/2017,10/04/2017,17
12/01453/DISC1,30/01/2017,DISC1,DISC,"Submission of information to discharge conditions on application 12/01453/REN - condition 1,4  8","Ellen Royd Farm
Ellen Royd Lane
Luddenden Foot
Sowerby Bridge
Calderdale
HX2 6XE
",27/03/2017,,PCO,403641,425752,,,,,,,16/02/2017,7
17/00115/COU,01/02/2017,COU,,Change of use from A1 to A3/A5,"The Courtyard
Bridge Gate
Hebden Bridge
Calderdale
HX7 8EX
",,,APPRET,399219,427221,,,,,,,,2
17/00120/FUL,01/02/2017,FUL,Q18,"Removal of 4m high flagpole incorporating 3G antennas, 1 cabinet (600x600x1800mm) . To facilitate Installation of 4m high flagpole incorporating 2G, 3G & 4G antennas  2No. cabinets (600x480x1450mm) 6No. remote radio units (298x127x351mm)","St Judes Church
Savile Park Road
Halifax
Calderdale

",31/03/2017,1,1,408687,424054,11/04/2017,1,DEL,11/04/2017,,17/02/2017,22/03/2017,13
17/00121/LBC,01/02/2017,LBC,Q23,"Removal of 4m high flagpole incorporating 3G antennas, 1 cabinet (600x600x1800mm) . Installation of 4m high flagpole incorporating 2G, 3G & 4G antennas  2No. cabinets (600x480x1450mm) 6No. remote radio units (298x127x351mm) ( Listed Building Consent)","St Judes Church
Savile Park Road
Halifax
Calderdale

",29/03/2017,3,3,408687,424054,11/04/2017,3,DEL,11/04/2017,,17/02/2017,22/03/2017,13
17/00133/FUL,03/02/2017,FUL,Q18,Extension of implement store,"Acre Piggery
Widdop Road
Heptonstall
Hebden Bridge
Calderdale
HX7 7AZ
",12/04/2017,1,1,397191,429265,10/04/2017,1,DEL,10/04/2017,,16/02/2017,17/03/2017,2
17/42003/42DAYS,03/02/2017,42DAYS,,"Prior Approval application for proposed single storey rear extension, extending out by 5 metres, maximum height 3.9 metres, 2.5 metres to eaves.","10 Highlands Park
Holmfield
Halifax
Calderdale
HX2 9UL
",10/03/2017,18,18,407787,428669,28/02/2017,18,,28/02/2017,,03/02/2017,27/02/2017,6
16/56023/CLAS3P,07/12/2016,CLAS3P,PNOT,Prior approval application for a change of use from storage or distribution building to a dwelling,"Clough House Farm
Birkhouse Road
Bailiff Bridge
Brighouse
Calderdale
HD6 4JL
",09/03/2017,32,32,415397,424722,24/04/2017,32,DEL,24/04/2017,,25/01/2017,15/02/2017,5
16/01593/HSE,07/12/2016,HSE,Q21,Door replacement works,"1- 24 Kingston Court
Halifax
Calderdale
HX1 3YN
",01/02/2017,1,1,407914,424743,01/02/2017,1,DEL,01/02/2017,,19/12/2016,13/01/2017,10
16/00332/NMA,12/12/2016,NMA,NMA,Non Material Amendment to application 16/00332 -Alteration to first floor layout increasing office area to left hand unit and consequential alteration to elevations.,"Gannex Park   
Dewsbury Road
Elland
Calderdale

",03/01/2017,,PDE,411338,420830,,,DEL,,,,,3
16/00190/DISC1,13/12/2016,DISC1,DISC,Submission of information to Discharge Conditions on application 16/00190 - conditions 1 - 16,"Land North Of Duke Of York Inn
West Street
Shelf
Halifax
Calderdale

",13/02/2017,PCOMP,PCOMP,411728,427995,21/03/2017,PCOMP,,21/03/2017,,,,8
16/00245/DISC1,14/12/2016,DISC1,DISC,Submission of information to Discharge Conditions on application 16/00245- condition 2,"Thunnerly
Shaw Lane
Holywell Green
Elland
Calderdale
HX4 9DH
",31/03/2017,PCOMP,PCOMP,408500,419302,15/02/2017,PCOMP,,15/02/2017,,,,4
16/22093/TCA,17/12/2016,TCA,TCA,Prune two trees and fell two trees (Tree in a Conservation Area),"8 Town Ing Way
Stainland
Elland
West Yorkshire
HX4 9EE
",30/01/2017,40,40,407955,419437,03/01/2017,40,DEL,30/01/2017,,,27/01/2017,4
16/01641/COU,19/12/2016,COU,Q20,Change of use from agricultural land to garden,"Field House Farm
Whitty Lane
Halifax
Calderdale
HX6 2TF
",02/03/2017,1,1,406007,424457,02/03/2017,1,DEL,02/03/2017,,17/01/2017,14/02/2017,17
15/01066/DISC1,19/12/2016,DISC1,DISC,"Submission of information to Discharge Conditions on application 15/01066 - condition 5, 6, 10, 17 & 21","Clifton Bridge Works
Wood Street
Brighouse
Calderdale
HD6 1PW
",15/02/2017,,PCO,414930,422840,,,,,,,04/07/2017,1
17/00047/HSE,23/01/2017,HSE,Q21,Single storey extension to front,"Glenden
Halifax Road
Shelf
Halifax
Calderdale
HX3 7JT
",20/03/2017,1,1,412061,428085,22/02/2017,1,DEL,22/02/2017,,25/01/2017,17/02/2017,8
17/00048/FUL,23/01/2017,FUL,Q13,Detached dwelling (Revised design to 15/00593),"Hazel Hurst
Willow Hall Drive
Sowerby Bridge
Calderdale
HX6 2BL
",11/04/2017,1,1,406482,424099,11/04/2017,1,DEL,11/04/2017,,02/03/2017,23/03/2017,14
17/00748/VAR,15/06/2017,VAR,Q16,Variation of condition 1 on approval 12/01354/VAR to allow for the sale of additional retail goods from Unit 2.,"Unit 2 Pellon Lane Retail Park 
Pellon Lane
Halifax
HX1 5HQ",14/08/2017,1,1,408515,425547,14/08/2017,1,DEL,14/08/2017,,,25/07/2017,10
17/00755/HSE,19/06/2017,HSE,Q21,First floor extension to side and two storey extension to rear,"92 Heathmoor Park Road
Illingworth
Halifax
West Yorkshire
HX2 9LP
",14/08/2017,1,1,406861,428720,28/07/2017,1,DEL,28/07/2017,,22/06/2017,14/07/2017,6
17/00761/HSE,19/06/2017,HSE,Q21,Replacement dormer,"42 Field Lane
Rastrick
Brighouse
Calderdale
HD6 3NX
",14/08/2017,11,11,413702,421823,31/07/2017,11,DEL,31/07/2017,,22/06/2017,14/07/2017,11
17/00762/LBC,19/06/2017,LBC,,Replacement windows and works to roof (Listed Building Consent),"Flat 16
23 Savile Road
Halifax
Calderdale
HX1 2BA
",,,APPRET,408960,424588,,,,,,,,13
17/00774/FUL,21/06/2017,FUL,Q18,"Remove cladding and replace first floor windows to front, first floor and ground floor windows and doors to rear (part retrospective)
","24A Bridge Gate
Hebden Bridge
Calderdale
HX7 8EX
",29/08/2017,,PCO,399234,427260,,,,,,10/07/2017,11/08/2017,2
17/00781/FUL,22/06/2017,FUL,Q13,Detached dwelling,"2 Brook Grain Hill
Brighouse
Calderdale
HD6 3HR
",18/09/2017,,PCO,414067,421873,,,,,,31/07/2017,21/08/2017,11
17/00803/HSE,28/06/2017,HSE,Q21,First floor side extension,"Spa Green Farm
Ripponden Old Lane
Ripponden
Sowerby Bridge
West Yorkshire
HX6 4LQ
",24/08/2017,1,1,403021,419361,17/08/2017,1,DEL,17/08/2017,,05/07/2017,28/07/2017,12
14/01426/DISC1,28/06/2017,DISC1,DISC,Submission of information to Discharge Conditions on application 14/01426- condition 2,"11 Eaves Mount
Eaves Avenue
Hebden Bridge
Calderdale
HX7 6DG
",23/08/2017,PCOMP,PCOMP,398192,427978,07/08/2017,PCOMP,,07/08/2017,,,17/07/2017,2
17/00812/HSE,03/07/2017,HSE,Q21,Two storey rear extension and single storey side extension,"14 New Hey Road
Ainley Top
Elland
Calderdale
HD2 2EA
",28/08/2017,1,1,411687,419533,17/08/2017,1,DEL,17/08/2017,,07/07/2017,28/07/2017,3
17/00826/FUL,03/07/2017,FUL,Q18,Lightweight demountable canopy,"Valley Mill
Holmes Road
Sowerby Bridge
Calderdale
HX6 2AA
",06/09/2017,1,1,406113,423541,25/08/2017,1,DEL,25/08/2017,,,11/08/2017,14
16/01658/FUL,20/12/2016,FUL,Q15,Industrial unit (B2),"Northern Corrugated Cases Limited
Shay Lane
Holmfield
Halifax
Calderdale
HX2 9AX
",06/03/2017,1,1,408302,427980,13/03/2017,1,DEL,13/03/2017,,18/01/2017,14/02/2017,9
17/00313/HSE,09/03/2017,HSE,,"Raise height of roof to create first floor living space, two storey side extension and single storey rear extension","1 Windle Royd Lane
Warley
Halifax
West Yorkshire
HX2 7LY
",,,APPRET,406496,424886,,,,,,,,17
17/00315/FUL,09/03/2017,FUL,Q15,Extension to Storage Building,"Solar Works
Calder Street
West Vale
Elland
Calderdale
HX4 8AQ
",15/06/2017,,PDE,409968,421323,,,DEL,,,28/04/2017,06/09/2017,4
17/00319/HSE,10/03/2017,HSE,Q21,Minor amendment to previously approved scheme (15/01663): conversion of outbuilding to granny annex,"1 Lea Green
New Road
Holywell Green
Elland
Calderdale
HX4 9DG
",25/05/2017,1,1,408999,418729,25/05/2017,1,DEL,25/05/2017,,24/04/2017,25/05/2017,4
17/00018/DISC1,10/03/2017,DISC1,DISC,Submission of information to Discharge Conditions on application 17/00018 - condition 4,"22 Lower Clay Pits
Halifax
Calderdale
HX1 4QQ
",05/05/2017,CCOMP,CCOMP,407534,425712,08/05/2017,CCOMP,,08/05/2017,,,08/05/2017,17
17/20028/TPO,24/02/2017,TPO,TPO,Fell one tree (Tree Preservation Order),"15 Park Close
Lightcliffe
Brighouse
West Yorkshire
HX3 8SQ
",21/04/2017,4,4,413185,425360,20/04/2017,4,DEL,20/04/2017,,15/03/2017,11/04/2017,5
17/20029/TPO,24/02/2017,TPO,TPO,Fell two trees (Tree Preservation Order),"The Coach House
10 High Street
Luddenden
Halifax
West Yorkshire
HX2 6PX
",21/04/2017,4,4,404122,426137,02/05/2017,4,COMM,04/05/2017,,21/04/2017,11/04/2017,7
17/22017/TCA,27/02/2017,TCA,TCA,Fell one tree (Tree in a Conservation Area),"2 Sandal Street
Sandy Gate
Hebden Bridge
West Yorkshire
HX7 8JB
",19/04/2017,40,40,399569,427395,18/04/2017,40,DEL,18/04/2017,,,07/04/2017,2
17/00340/HSE,16/03/2017,HSE,Q21,Two storey side extension.,"30 Crowtrees Lane
Brighouse
Calderdale
HD6 3NE
",12/05/2017,1,1,413690,421432,11/05/2017,1,DEL,11/05/2017,,03/04/2017,17/05/2017,11
17/42013/42DAYS,16/03/2017,42DAYS,,"Prior approval application for proposed single storey extension to rear, extending out by 5 metres, maximum height 4 metres, 2.9 metres to eaves","18 Jerwood Hill Close
Halifax
Calderdale
HX3 6BL
",,OUTPA,OUTPA,409897,426135,17/03/2017,OUTPA,,17/03/2017,,,,8
17/20010/TPO,03/02/2017,TPO,TPO,Works to trees (including pruning and removal) (Tree Preservation Order),"The Chestnuts
Birdcage Lane
Halifax
Calderdale
HX3 0JQ
",31/03/2017,4,4,408536,423428,24/03/2017,4,DEL,24/03/2017,,09/02/2017,07/03/2017,13
17/00146/LAA,06/02/2017,LAA,Q18,"Temporary construction site compound, boundary fencing, new crushed stone surfacing, siting of modular personnel cabins, siting of steel container, open material store and vehicle parking area.","Land Between A629 And B6112
Stainland Road
Elland
Calderdale

",07/07/2017,81,81,409705,422121,29/06/2017,81,DEL,29/06/2017,,,26/06/2017,16
17/00147/FUL,06/02/2017,FUL,Q18,Semi detached dwelling,"7F Stratton Close
Brighouse
West Yorkshire
HD6 3SW
",13/04/2017,,PCO,414790,422266,,,,,,16/02/2017,11/07/2017,11
17/00153/FUL,07/02/2017,FUL,Q18,One bedroom residential annex building incorporating a living and office area,"Higham Barn
Dob Lane
Sowerby
Sowerby Bridge
Calderdale
HX6 1PQ
",25/06/2017,11,11,403413,423480,22/06/2017,11,DEL,22/06/2017,,27/03/2017,26/04/2017,7
17/00172/FUL,13/02/2017,FUL,Q15,Alterations to ground and part first floor area to facilitate the subdivision of the existing single unit (B2) into eight mixed use (B2/B1) units,"Unit 2
Greenhill Industrial Estate
Moderna Way
Mytholmroyd
Hebden Bridge
Calderdale
HX7 5QF
",10/04/2017,1,1,401579,425888,10/04/2017,1,DEL,10/04/2017,,27/02/2017,12/04/2017,7
17/20016/TPO,13/02/2017,TPO,TPO,Prune one tree (Tree Preservation Order),"Stafford Hall School
Cheltenham Place
Halifax
Calderdale
HX3 0AW
",10/04/2017,14,14,409568,423522,06/04/2017,14,DEL,10/04/2017,,16/02/2017,10/04/2017,13
