Diffusion tube,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
SB10,2008,31,36,24,,,,,,,,,
SB11,2008,42,50,34,,,,,,,,,
SB12,2008,54,56,41,62,66,43,47,48,54,45,57,59
SB13,2008,54,65,48,49,44,43,44,51,60,51,45,60
SB14,2008,67,47,30,,,,,,,,,
SB15,2008,56,63,47,55,55,42,47,61,55,51,28,53
SB16,2008,52,64,41,63,72,43,57,41,53,45,51,61
SB17,2008,51,58,49,56,45,46,53,48,54,50,53,52
SB18,2008,47,59,41,43,46,34,3,49,51,42,52,59
LF1,2008,63,75,51,65,70,52,57,63,67,58,67,58
LF2,2008,53,58,45,54,40,41,42,50,51,43,32,60
LF3,2008,44,48,36,42,30,26,35,39,45,34,59,50
LF4,2008,32,37,24,30,32,15,22,22,24,22,48,38
LF8,2008,42,46,39,43,40,32,38,40,47,40,45,49
HQ1,2008,69,83,68,64,46,55,67,72,48,73,37,71
HQ3,2008,50,64,45,61,71,40,46,46,55,,,
HQ4,2008,38,51,34,41,54,25,36,25,41,28,42,47
HQ5,2008,,,,,,,,,,,,
HQ6,2008,39,53,30,,,,,,,,,
HQ7,2008,,,,,,,,,,,,
HQ8,2008,33,45,29,,,,,,,,,
HQ9,2008,50,61,42,43,55,42,45,43,50,51,55,53
BE1,2008,61,56,43,61,74,40,47,,60,42,52,66
BE2,2008,75,80,50,68,54,46,51,,64,59,62,65
BE3,2008,48,44,9,,,,,,,,,
BE4,2008,71,67,61,68,56,54,63,,,62,73,75
ER1,2008,49,51,34,55,54,40,35,32,52,41,51,52
HXR1,2008,69,70,45,72,61,66,64,63,73,66,63,64
LSL1,2008,68,77,58,73,50,57,60,59,69,,,
WR1,2008,72,76,54,69,63,52,53,49,70,57,63,73
WR2,2008,64,62,51,61,49,39,47,49,46,55,50,60
WR3,2008,52,55,43,42,59,34,32,30,51,42,44,64
BML1,2008,43,48,31,,,,,,,,,
BG1,2008,47,51,42,51,43,37,33,38,40,44,47,59
BG2,2008,40,66,49,57,43,40,40,43,56,46,54,69
BG3,2008,59,70,60,53,51,47,44,53,60,58,57,68
AT2,2008,61,65,54,58,44,44,29,46,40,57,53,63
BH20,2008,79,76,61,62,41,52,55,55,54,62,67,76
BH22,2008,76,69,64,,,,,,,,,
HQ11,2008,,,,,,22,25,28,31,30,33,41
BB1,2008,,,,,,,,36,42,35,40,48
HB1,2009,74,71,60,64,35,46,48,42,52,66,67,68
HB3 BG,2009,42,32,31,27,23,31,24,21,26,25,37,30
HB4,2009,56,57,1,83,37,33,40,36,43,54,51,57
HB6,2009,61,61,43,46,40,49,46,40,50,56,53,56
HTA H,2009,50,59,53,50,38,49,45,42,54,51,55,62
HH1,2009,67,56,55,42,53,45,44,45,45,53,57,57
CRH1,2009,83,80,70,82,62,77,68,56,72,75,84,86
CRH4,2009,60,49,42,42,41,38,36,33,42,49,51,60
CS2,2009,68,59,43,54,36,,40,37,44,56,56,62
BS1,2009,73,63,51,73,45,62,58,46,56,66,76,70
BS2,2009,72,60,55,74,52,68,57,47,52,68,77,70
BS3,2009,missing,61,missing,73,57,55,56,47,54,64,72,78
SC4,2009,49,37,29,39,20,26,30,31,27,35,50,46
SC5,2009,64,49,39,66,41,43,40,42,48,55,67,64
SC6,2009,,,,,,20,38,29,38,44,50,49
BH3,2009,71,82,68,63,48,57,58,45,58,69,79,74
LMR1,2009,49,50,50,30,36,35,36,32,41,45,33,51
AQ4,2009,49,48,42,30,26,32,26,25,29,38,48,54
AQ5,2009,44,40,33,39,32,30,32,28,29,37,46,44
AQ8,2009,55,50,42,50,34,43,44,42,43,47,56,52
AQ10,2009,76,78,67,72,54,63,67,53,65,82,74,66
AQ12,2009,55,50,42,44,36,30,36,38,36,43,60,55
AQ15,2009,53,43,35,47,41,39,32,30,31,39,50,46
AQ16,2009,45,38,35,37,27,29,29,27,31,38,47,47
AQ18,2009,58,50,40,39,37,36,39,36,38,47,57,50
SB1,2009,84,72,58,73,50,60,71,59,61,64,84,78
SB3,2009,71,46,57,65,57,66,56,33,50,62,71,73
SB5,2009,73,58,55,54,49,56,56,43,56,47,57,66
SB7,2009,63,54,51,47,41,45,50,55,49,51,61,62
SB8,2009,54,51,43,60,29,35,38,37,43,42,57,66
SB12,2009,68,55,45,40,41,51,46,30,49,55,64,67
SB13,2009,58,60,52,49,31,47,50,37,31,52,63,61
SB15,2009,61,56,51,46,44,50,54,43,47,54,65,66
SB16,2009,58,55,30,63,44,58,42,46,43,54,61,63
SB17,2009,67,58,54,56,46,43,45,37,47,52,60,62
SB18,2009,67,62,45,45,37,37,39,44,35,46,60,60
LF1,2009,82,71,58,68,51,56,58,49,60,67,71,79
LF1A,2009,,64,63,68,53,56,52,47,54,62,72,73
LF2,2009,67,56,51,49,33,39,42,36,44,50,53,67
LF3,2009,51,42,42,33,26,39,36,28,37,,42,56
LF4,2009,43,33,27,18,20,21,18,15,24,36,38,37
LF8,2009,55,39,35,42,36,33,39,27,38,47,52,52
LFBG,2009,50,34,24,26,20,26,20,19,24,31,36,43
HQ1,2009,64,86,77,67,58,60,57,63,71,74,74,79
HQ4,2009,54,38,38,43,,75,31,26,31,35,43,52
HQ9,2009,65,61,50,58,47,57,47,40,47,56,60,68
HQ8,2009,46,40,38,24,23,26,26,23,29,36,37,37
BE1,2009,68,21,43,62,34,54,43,32,43,56,69,70
BE2,2009,78,69,42,46,54,48,52,47,50,54,80,46
BE4,2009,71,82,48,67,56,64,69,56,63,67,79,76
ER1,2009,53,45,39,45,40,41,33,35,45,48,56,58
HXR1,2009,67,69,60,71,58,53,70,63,69,69,76,71
WR1,2009,77,77,62,53,37,56,49,42,57,66,75,71
WR2,2009,67,63,56,57,50,45,48,43,48,51,70,66
WR3,2009,64,36,46,52,39,46,37,28,40,50,61,40
BG1,2009,55,45,47,44,31,41,37,32,44,50,59,61
BG2,2009,62,70,59,58,48,43,51,50,56,61,70,59
BG3,2009,61,63,60,54,32,50,47,40,52,59,69,69
AT2,2009,62,54,52,47,49,38,49,37,46,51,67,64
BH20,2009,85,72,75,52,47,48,55,46,48,71,82,75
BB1,2009,53,44,40,40,35,36,34,37,32,35,52,48
HB1,2010,69,68,68,61,51,48,45,46,51,64,71,69
HB3 BG,2010,35,32,30,22,22,22,20,19,26,31,32,38
HB4,2010,57,54,51,43,41,38,38,40,41,48,56,65
HB6,2010,76,65,58,52,48,46,39,45,44,53,65,74
HTA H,2010,58,61,49,53,49,51,40,48,49,54,63,69
HH1,2010,57,50,50,47,49,46,36,42,52,55,54,57
CRH1,2010,94,93,85,66,68,72,61,65,66,78,96,99
CRH4,2010,67,63,55,31,40,46,28,34,47,51,62,70
CS2,2010,62,70,62,49,47,46,36,,42,44,58,51
BS1,2010,79,81,74,62,58,58,45,46,63,66,69,82
BS2,2010,80,81,70,64,59,60,46,43,64,67,81,76
BS3,2010,83,82,75,64,59,58,45,49,51,68,72,89
SC4,2010,45,37,41,26,28,28,25,24,35,41,13,50
SC5,2010,61,63,50,49,51,60,39,42,59,55,56,61
SC6,2010,51,46,47,38,34,43,33,34,44,37,54,54
BH3,2010,79,54,61,56,51,54,43,53,64,67,75,91
LMR1,2010,54,50,41,43,39,43,34,38,40,44,58,55
AQ4,2010,58,54,41,34,27,24,20,19,32,46,76,68
AQ5,2010,46,45,41,31,30,30,26,26,29,39,44,52
AQ8,2010,56,52,45,40,35,39,35,37,50,48,56,60
AQ10,2010,94,86,78,67,63,64,58,57,81,76,83,100
AQ12,2010,51,49,50,39,32,30,33,30,43,49,53,68
AQ15,2010,50,53,48,40,35,37,28,27,39,43,47,52
AQ16,2010,51,50,43,34,31,29,26,29,37,38,48,56
AQ18,2010,55,,46,37,27,33,36,32,44,44,53,63
SB1,2010,80,71,79,60,61,61,55,58,56,79,80,80
SB3,2010,77,79,72,58,51,52,43,44,32,69,68,73
SB5,2010,72,64,69,51,46,47,45,45,56,62,69,66
SB7,2010,77,55,59,51,47,48,38,30,49,54,86,80
SB8,2010,61,61,56,45,42,39,33,32,44,50,67,65
SB12,2010,69,67,60,46,41,44,37,43,43,55,71,72
SB13,2010,61,58,57,46,27,37,36,45,43,55,66,76
SB15,2010,68,64,59,54,40,47,41,43,50,59,53,31
SB16,2010,69,64,58,52,40,45,36,40,48,54,63,67
SB17,2010,56,57,58,46,45,44,40,43,52,53,60,64
SB18,2010,66,62,55,35,32,33,33,33,45,48,58,70
LF1,2010,76,76,72,65,61,55,48,50,57,64,74,72
LF1A,2010,69,83,70,66,57,54,45,44,55,63,65,67
LF2,2010,65,65,53,48,43,35,33,37,47,53,61,70
LF3,2010,54,57,49,40,37,38,28,34,39,43,49,58
LF4,2010,45,45,34,26,23,20,14,15,26,32,42,47
LF8,2010,57,58,44,40,40,38,31,32,42,50,50,62
LFBG,2010,43,42,29,23,21,19,,17,24,29,39,48
HQ1,2010,61,72,70,70,56,59,51,70,65,71,75,98
HQ4,2010,64,55,44,40,34,36,26,26,37,41,49,50
HQ9,2010,50,62,59,49,46,44,36,39,46,54,62,48
HQ8,2010,47,41,36,29,25,25,25,25,32,34,41,70
BE1,2010,69,51,65,51,51,57,37,38,48,57,70,76
BE2,2010,66,68,70,55,59,60,43,50,63,66,73,76
BE4,2010,75,59,68,61,61,60,57,58,61,69,76,79
ER1,2010,58,64,54,48,43,44,34,41,45,53,63,67
HXR1,2010,67,64,74,63,62,68,63,65,74,67,89,63
WR1,2010,83,79,67,53,51,54,39,48,55,66,84,63
WR2,2010,64,58,63,47,45,45,39,42,47,59,60,69
WR3,2010,63,57,57,46,39,39,29,32,46,49,60,65
BG1,2010,64,50,52,44,40,44,33,38,48,49,60,71
BG2,2010,72,53,59,57,48,51,48,51,64,55,73,81
BG3,2010,73,51,58,54,49,46,41,43,54,60,68,72
AT2,2010,60,58,63,53,46,43,41,41,50,58,63,65
BN20,2010,75,63,52,52,44,45,48,39,63,66,78,71
BB1,2010,50,35,46,36,,38,34,33,39,45,49,55
CL1,2010,62,77,54,49,43,43,34,37,53,53,65,6
PL1,2010,44,38,36,30,28,29,22,24,31,32,43,48
PL2,2010,44,46,40,31,29,30,25,23,37,39,46,45
QR1,2010,45,46,96,34,32,39,24,27,37,45,48,54
HB1,2011,0,159,69,64,48,54,46,44,52,60,73,66
HB3 BG,2011,34,41,34,31,23,22,22,18,26,31,46,32
HB4,2011,58,62,55,32,25,27,33,39,37,44,47,29
HB6,2011,63,62,58,47,41,44,36,43,43,50,61,52
HTA H,2011,64,53,53,52,40,48,38,37,40,45,49,48
HH1,2011,60,61,67,57,41,51,45,47,45,59,74,49
HH-GS,2011,,,,,,18,17,20,11,30,44,23
HH-WG,2011,,,,,,26,19,25,27,39,50,32
HH-NV,2011,,,,,,24,17,23,25,37,51,34
HH-BR,2011,,,,,,26,33,34,27,47,66,40
CRH1,2011,79,82,90,73,66,72,52,64,66,48,86,76
CRH4,2011,60,62,66,51,34,,,,,,,
CS2,2011,58,54,59,45,33,36,36,43,42,49,56,46
BS1,2011,72,79,80,67,47,51,52,45,54,60,81,54
BS2,2011,73,81,79,67,49,46,53,50,53,66,87,46
BS3,2011,74,77,76,67,48,58,54,52,54,64,83,54
SC4,2011,45,47,44,32,25,,,,,,,
SC5,2011,64,64,59,52,missing,46,42,44,38,50,66,42
SC6,2011,52,50,51,44,33,,,,,,,
SC-PT,2011,,,,,,24,29,26,28,37,51,35
BH3,2011,83,2,132,57,48,47,44,50,45,65,80,58
LMR1,2011,53,44,52,45,32,34,32,38,33,39,43,42
AQ-RA,2011,,,,,,25,23,25,27,36,49,28
AQ4,2011,51,44,48,29,23,23,22,22,26,37,52,46
AQ5,2011,46,47,45,35,26,,,,,,,
AQ8,2011,53,50,60,45,43,,,,,,,
AQ10,2011,92,81,92,70,55,56,55,66,61,80,95,42
AQ12,2011,53,60,57,42,34,,,,,,,
AQ15,2011,51,52,54,44,31,34,32,32,30,43,49,35
AQ16,2011,51,49,50,34,25,,,,,,,
AQ18,2011,55,54,55,42,missing,,,,,,,
SB1,2011,76,78,78,71,63,63,57,57,63,72,74,66
SB3,2011,68,74,68,59,46,50,46,47,48,54,83,45
SB5,2011,67,66,67,50,50,49,43,42,53,53,64,missing
SB7,2011,74,69,57,52,43,46,36,32,39,46,58,48
SB8,2011,61,59,47,41,29,35,31,27,34,45,63,33
SB12,2011,68,62,53,84,38,43,44,46,45,51,73,47
SB13,2011,67,58,62,53,41,49,39,49,48,51,58,39
SB15,2011,70,66,69,57,missing,51,39,51,53,55,67,46
SB16,2011,65,64,67,57,44,43,39,36,44,51,68,44
SB17,2011,61,57,60,55,46,46,40,44,45,50,58,52
SB18,2011,61,55,55,44,35,85,28,34,39,46,60,54
LF1,2011,74,72,69,67,56,59,45,51,52,61,70,54
LF1A,2011,68,79,42,62,51,,,,,,,
LF2,2011,56,62,56,47,36,44,37,42,38,45,60,48
LF3,2011,49,50,47,42,31,31,23,missing,29,37,50,33
LF4,2011,40,47,35,29,20,,,,,,,
LF-DL,2011,,,,,,27,24,53,31,36,51,34
LF8,2011,62,62,1,47,35,37,34,41,38,42,59,42
LFBG,2011,41,42,33,24,missing,19,16,missing,missing,missing,47,31
HQ1,2011,82,81,79,70,64,68,64,82,62,52,73,78
HQ4,2011,48,52,47,39,36,42,23,29,27,39,58,37
HQ9,2011,62,44,56,53,43,44,41,38,44,52,54,50
HQ8,2011,44,63,71,47,23,27,22,23,26,35,48,22
BE1,2011,67,66,67,53,38,37,38,37,38,61,55,43
BE2,2011,71,79,69,59,49,49,45,,,,,
BE-SH,2011,,,,,,,,28,30,42,54,40
BE4,2011,85,76,83,70,54,62,38,63,52,74,79,67
ER1,2011,63,56,59,48,40,35,34,37,36,52,60,36
HXR1,2011,70,76,79,75,missing,missing,71,66,55,76,72,54
WR1,2011,85,77,73,58,44,45,46,49,48,68,86,57
WR2,2011,75,72,66,55,47,50,39,44,48,62,71,59
WR3,2011,65,56,54,47,missing,32,33,34,29,missing,105,43
BG1,2011,57,57,56,46,34,38,29,36,35,47,59,45
BG2,2011,71,72,68,55,42,49,36,47,42,58,67,58
BG3,2011,67,64,73,59,46,51,41,49,50,64,69,52
AT2,2011,61,59,62,49,42,40,37,39,44,42,59,48
BN20,2011,83,0,145,55,50,54,44,50,46,71,78,66
BB1,2011,52,49,51,43,36,,,,,,,
CL1,2011,64,65,62,54,36,41,36,36,41,52,66,39
CL2,2011,0,62,62,47,37,44,36,40,42,49,68,48
CL3,2011,0,45,48,39,30,27,25,29,34,41,50,41
PL1,2011,43,,,,,,,,,,,
PL2,2011,47,,,,,,,,,,,
QR1,2011,48,57,48,43,29,33,30,27,28,46,59,28
AT-BR,2011,,,,,,44,41,45,43,50,63,55
AT-GR,2011,,,,,,32,23,31,31,37,49,missing
AT-LMR,2011,,,,,,41,36,35,40,54,81,44
AT-WLC,2011,,,,,,31,32,32,26,39,46,41
HH-LR,2012,,,56,61,52,42,42,46,42,65,53,53
HH-LB,2012,,,62,73,60,47,42,52,33,65,51,59
HH-LT,2012,,,80,55,50,49,50,51,48,58,70,69
HB1,2012,71,76,61,61,,53,43,,49,57,56,61
HB3 BG,2012,26,36,30,27,25,25,19,23,28,32,33,33
HB6,2012,57,62,41,58,45,45,43,41,42,51,58,44
HQ1,2012,88,84,68,74,58,59,55,64,71,71,78,75
HQ9,2012,57,60,49,52,1,53,45,47,47,52,59,62
LF1,2012,66,69,57,65,68,58,54,56,55,60,62,57
LF2,2012,57,60,52,55,46,21,40,37,37,51,53,56
SB1,2012,68,75,68,78,73,58,61,62,61,68,70,60
SB3,2012,63,61,,67,60,56,65,56,50,52,54,62
SB12,2012,60,64,50,63,54,48,,,,,,
SB13,2012,59,63,55,56,46,,44,45,37,45,60,55
SB15,2012,66,62,58,58,48,47,49,51,47,58,49,56
SB16,2012,54,61,55,59,61,43,42,47,42,55,56,48
SB18,2012,55,57,45,42,40,36,36,36,38,48,44,55
BS1,2012,65,65,58,66,68,56,56,47,54,68,65,65
BS2,2012,67,71,60,66,74,54,57,61,48,63,66,62
BS3,2012,68,71,68,71,70,54,54,61,43,66,66,63
SC5,2012,53,57,50,65,59,50,47,52,40,44,54,55
HH1,2012,62,64,66,56,48,54,47,61,49,62,64,51
WR2,2012,66,68,64,61,38,41,42,48,50,60,67,57
BH3,2012,75,77,68,73,56,45,51,52,62,69,73,65
BE-SH,2012,47,42,41,-,30,26,27,31,32,38,45,47
BE4,2012,72,76,69,63,55,48,57,56,65,66,75,73
ER1,2012,56,55,46,53,46,39,40,39,37,51,49,46
HXR1,2012,67,74,71,66,62,61,55,69,69,71,74,71
BG1,2012,48,53,47,53,42,37,36,41,39,55,51,52
BG2,2012,54,65,58,67,49,44,44,50,50,54,58,68
BG3,2012,65,70,61,71,50,47,49,54,61,63,59,61
AQ4,2012,47,55,44,29,28,26,24,29,24,42,40,39
AQ15,2012,43,42,,16,40,34,30,35,36,45,37,37
CRH1,2012,75,85,74,92,93,73,68,71,71,75,80,89
CS2,2012,56,61,51,51,39,40,35,43,42,45,44,
CL1,2012,48,61,55,54,50,47,38,44,41,60,60,54
CL2,2012,64,64,59,48,37,44,40,,45,58,59,60
CL-XE,2012,,,56,44,41,26,39,41,41,42,57,57
CL-XW,2012,,,41,34,25,44,22,28,24,,42,30
HTAH,2012,59,58,50,63,52,41,36,35,46,55,51,48
AT2,2012,57,52,53,52,43,34,34,37,42,54,56,50
AT-LMR,2012,,61,53,56,48,44,38,45,38,60,42,50
AT-BR,2012,59,62,53,59,42,38,34,40,43,49,53,52
LMR1,2012,56,56,54,47,37,35,31,33,35,52,41,45
SB-TH1,2012,,,,,,,,50,28,,,
SB-TH2,2012,,,,,,,,28,22,,,
SB-TH3,2012,,,,,,,,37,43,,,
HH-LR,2013,59,55,54,52,43,42,40,38,44,51,62,48
HH-LB,2013,63,68,75,60,39,52,48,46,46,56,68,45
HH-LT,2013,40,66,65,55,56,28,53,54,72,75,79,65
HB1,2013,69,54,68,59,52,52,46,49,46,60,69,62
HB6,2013,49,55,57,50,16,42,40,39,48,51,64,56
HQ1,2013,59,72,59,54,69,54,63,65,70,38,78,66
HQ9,2013,74,58,65,66,44,44,42,40,missing,53,61,54
LF1,2013,66,57,77,71,47,58,61,52,53,63,70,60
LF2,2013,55,49,54,47,51,43,34,41,45,48,57,50
SB1,2013,71,68,72,73,53,64,65,62,62,73,78,74
SB3,2013,69,55,77,73,42,53,55,46,45,65,70,58
SB13,2013,56,47,49,47,36,46,missing,76,44,48,58,55
SB15,2013,67,63,64,50,42,47,47,45,44,48,56,61
SB16,2013,58,57,69,62,31,43,47,45,41,61,59,55
SB18,2013,52,41,52,43,32,28,35,34,37,46,55,55
BS1,2013,70,57,81,66,37,54,56,51,48,68,70,61
BS2,2013,74,61,83,69,51,45,58,54,47,64,68,62
BS3,2013,72,62,93,72,51,58,58,49,51,68,64,62
SC5,2013,66,60,82,56,41,57,58,45,41,55,56,47
HH1,2013,63,56,60,53,40,43,52,53,51,53,66,62
WR2,2013,70,59,60,58,45,45,48,40,45,53,66,58
BH3,2013,72,63,58,56,55,44,51,51,51,54,75,68
BE-SH,2013,48,40,44,35,28,31,26,28,31,42,47,45
BE4,2013,72,61,57,53,51,54,53,63,63,64,77,75
ER1,2013,57,49,60,40,39,45,43,42,39,53,55,46
HXR1,2013,64,59,56,56,67,39,67,65,69,69,76,71
AQ4,2013,48,42,47,33,28,25,25,26,27,38,44,44
AQ15,2013,50,47,54,47,32,35,32,32,29,41,43,38
CRH1,2013,81,87,94,69,64,48,67,63,61,77,91,77
CL1,2013,62,51,64,44,41,41,45,42,38,53,47,56
CL2,2013,64,61,58,43,18,44,46,37,43,41,54,54
CL-XE,2013,68,47,63,48,,,,,,,,
CL-XW,2013,47,41,47,33,,,,,,,,
CL-XS,2013,,,,,27,29,28,28,30,39,43,42
CL-FVA,2013,,,,,,26,19,29,28,43,41,49
CL-FVB,2013,,,,,,,,,27,44,41,24
HTAH,2013,55,55,61,47,46,36,41,39,44,39,55,36
AT2,2013,46,51,53,42,36,33,37,34,37,45,52,52
AT-LMR,2013,60,55,55,44,35,28,36,34,38,48,55,55
AT-BR,2013,55,53,32,46,41,35,40,38,42,33,50,44
AT-SR,2013,,,,,36,34,36,31,38,38,52,40
LMR1,2013,50,42,44,35,,,,,,,,
HH-LR,2014,52,48,47,56,55,42,46,46,55,52,42,25
HH-LB,2014,54,52,62,58,60,67,52,52,70,53,57,47
HH-LT,2014,66,65,62,65,52,43,48,61,62,63,104,70
HB1,2014,65,67,60,63,61,52,46,37,55,60,67,57
HB6,2014,32,49,51,54,55,45,43,43,51,49,49,42
HQ1,2014,74,78,66,63,67,61,58,67,66,59,67,74
HQ9,2014,61,52,54,50,55,61,44,43,59,52,53,57
LF1,2014,72,66,63,64,63,42,51,52,62,58,76,55
LF2,2014,49,46,52,48,42,66,40,39,50,46,59,41
SB1,2014,78,72,64,74,71,63,55,57,71,73,77,60
SB3,2014,75,58,55,71,67,46,47,44,70,61,84,46
SB13,2014,55,47,47,51,59,39,47,44,55,54,56,52
SB15,2014,64,61,62,52,52,44,34,45,55,59,65,55
SB16,2014,56,57,60,61,57,50,42,42,58,59,67,48
SB18,2014,64,53,44,47,37,35,36,34,41,46,58,53
SB20,2014,,,,,,,,,61,67,83,54
BS1,2014,78,55,62,56,65,49,56,52,70,64,63,54
BS2,2014,60,55,67,45,67,62,55,49,72,64,83,50
BS3,2014,73,62,70,71,55,49,53,50,65,67,87,45
SC5,2014,58,48,53,56,55,59,52,46,62,57,58,45
HH1,2014,58,missing,53,60,60,49,49,52,58,62,51,53
WR2,2014,64,57,50,51,57,43,45,50,44,56,58,44
BH3,2014,26,51,61,62,60,50,50,59,63,66,72,70
BE4,2014,67,77,64,64,68,59,60,63,66,69,73,70
ER1,2014,44,45,47,56,49,39,41,40,56,49,56,41
HXR1,2014,54,69,56,68,94,57,77,61,68,74,66,57
CRH1,2014,77,66,75,68,77,73,67,71,76,73,95,77
CL1,2014,44,54,49,49,43,40,44,40,59,55,63,47
CL2,2014,53,38,57,37,43,31,41,42,51,50,60,49
CL-FVA,2014,51,50,48,37,34,22,26,26,37,36,29,44
CL-FVB,2014,55,47,46,41,21,28,,,,,,
HTAH,2014,38,42,48,55,36,23,35,45,53,44,26,53
AT-BR,2014,41,44,51,49,36,36,34,39,47,42,23,54
AT-SR,2014,37,44,44,39,32,34,35,33,46,38,50,42
KR1,2014,46,37,39,39,36,21,31,30,46,34,57,32
AQ20,2014,37,32,36,33,28,26,31,32,43,38,53,40
HB-XN,2014,,,,,,,,14,31,34,40,38
HB-XS,2014,,,,,,,,16,27,29,38,35
HH-LR,2015,52,48,47,56,55,42,46,46,55,52,42,25
HH-LB,2015,54,52,62,58,60,67,52,52,70,53,57,47
HH-LT,2015,66,65,62,65,52,43,48,61,62,63,104,70
HB1,2015,65,67,60,63,61,52,46,37,55,60,67,57
HB6,2015,32,49,51,54,55,45,43,43,51,49,49,42
HQ1,2015,74,78,66,63,67,61,58,67,66,59,67,74
HQ9,2015,61,52,54,50,55,61,44,43,59,52,53,57
LF1,2015,72,66,63,64,63,42,51,52,62,58,76,55
LF2,2015,49,46,52,48,42,66,40,39,50,46,59,41
SB1,2015,78,72,64,74,71,63,55,57,71,73,77,60
SB3,2015,75,58,55,71,67,46,47,44,70,61,84,46
SB13,2015,55,47,47,51,59,39,47,44,55,54,56,52
SB15,2015,64,61,62,52,52,44,34,45,55,59,65,55
SB16,2015,56,57,60,61,57,50,42,42,58,59,67,48
SB18,2015,64,53,44,47,37,35,36,34,41,46,58,53
SB20,2015,,,,,,,,,61,67,83,54
BS1,2015,78,55,62,56,65,49,56,52,70,64,63,54
BS2,2015,60,55,67,45,67,62,55,49,72,64,83,50
BS3,2015,73,62,70,71,55,49,53,50,65,67,87,45
SC5,2015,58,48,53,56,55,59,52,46,62,57,58,45
HH1,2015,58,missing,53,60,60,49,49,52,58,62,51,53
WR2,2015,64,57,50,51,57,43,45,50,44,56,58,44
BH3,2015,26,51,61,62,60,50,50,59,63,66,72,70
BE4,2015,67,77,64,64,68,59,60,63,66,69,73,70
ER1,2015,44,45,47,56,49,39,41,40,56,49,56,41
HXR1,2015,54,69,56,68,94,57,77,61,68,74,66,57
CRH1,2015,77,66,75,68,77,73,67,71,76,73,95,77
CL1,2015,44,54,49,49,43,40,44,40,59,55,63,47
CL2,2015,53,38,57,37,43,31,41,42,51,50,60,49
CL-FVA,2015,51,50,48,37,34,22,26,26,37,36,29,44
CL-FVB,2015,55,47,46,41,21,28,,,,,,
HTAH,2015,38,42,48,55,36,23,35,45,53,44,26,53
AT-BR,2015,41,44,51,49,36,36,34,39,47,42,23,54
AT-SR,2015,37,44,44,39,32,34,35,33,46,38,50,42
KR1,2015,46,37,39,39,36,21,31,30,46,34,57,32
AQ20,2015,37,32,36,33,28,26,31,32,43,38,53,40
HB-XN,2015,,,,,,,,14,31,34,40,38
HB-XS,2015,,,,,,,,16,27,29,38,35
A629-1,2016,,45,42,33,29,29,20,23,21,36,46,47
A629-2,2016,,51,44,42,37,35,35,34,37,36,57,55
A629-3,2016,,46,38,32,33,35,30,30,33,33,48,45
A629-4,2016,,39,34,30,29,33,23,17,25,33,42,41
A629-5,2016,,42,36,28,24,23,18,21,24,28,42,46
A629-6,2016,,52,missing,43,41,39,42,38,42,42,49,53
A629-7,2016,,50,39,33,35,17,35,26,29,26,48,50
A629-8,2016,,42,42,42,42,38,26,30,33,39,44,49
LV-SAA,2016,37,50,47,42,40,33,27,24,34,45,46,43
LV-SCA,2016,93,82,75,68,69,42,75,56,71,46,57,100
LV-AT,2016,74,87,82,75,67,68,58,53,47,77,48,72
LV-HRS,2016,41,45,34,36,33,37,25,27,29,41,42,53
LV-HRN,2016,40,51,48,42,40,38,30,27,36,38,42,54
LV-62W,2016,54,62,60,53,58,50,40,42,46,58,49,71
LV-62E,2016,57,66,57,53,54,47,43,38,42,52,48,63
LV-RHC,2016,45,47,38,36,32,26,29,27,30,34,44,47
LV-LEE,2016,47,53,45,39,35,28,33,26,31,37,53,49
LV-BRD,2016,38,47,42,36,34,32,27,28,29,36,43,24
LV-BBN,2016,50,48,39,32,33,29,24,26,30,35,49,58
LV-BBS,2016,38,38,39,missing,29,33,24,24,31,37,46,49
LV-NBN,2016,84,104,77,94,81,56,70,74,74,98,126,74
LV-NBS,2016,66,73,72,56,64,87,52,45,62,66,95,90
LV-NBX,2016,,,,,,,48,46,45,59,73,77
LV-EWB,2016,40,45,42,34,33,31,28,27,33,39,49,60
SC5,2016,45,52,59,57,59,61,46,46,50,53,53,63
HH-TC,2016,52,46,60,49,47,45,35,missing,51,55,68,63
HH-LB,2016,56,61,69,59,56,61,33,40,45,62,62,63
HH-LT,2016,76,75,missing,79,71,61,56,57,70,68,98,94
HH1,2016,59,61,52,52,43,39,49,44,55,48,61,65
WR2,2016,53,77,50,52,44,40,42,36,50,38,63,64
BH3,2016,69,62,60,63,60,missing,56,44,53,58,64,72
BE4,2016,74,78,63,69,55,58,56,50,68,58,74,53
BE2,2016,62,60,63,52,66,46,45,45,58,57,66,54
HXR1,2016,65,69,60,59,68,65,70,56,65,69,70,71
CL1,2016,59,61,58,49,52,50,39,40,50,66,56,63
HTAH,2016,49,49,57,56,44,40,41,32,41,49,56,47
AT-BR,2016,51,55,56,48,44,38,38,30,36,46,58,49
AT-MR,2016,49,52,47,37,37,27,35,29,31,37,55,24
AQC1,2016,62,64,60,63,53,53,50,49,55,50,59,66
AQC2,2016,67,60,59,64,48,53,54,43,54,56,60,69
AQC3,2016,67,54,61,58,47,56,58,48,55,51,68,69
CRH1,2016,76,79,81,71,71,63,58,57,54,58,72,77
AQ20,2016,41,44,41,34,35,37,26,26,30,42,43,47
