Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes
96,ND,SCS1,Joint Chief Investigator,Joint Chief Investigator,Department for International Trade,Department for International Trade,Trade Remedies Investigations ,020 7215 5000,enquiries@trade.gov.uk,90,ND,1,N/A,N/A,International Trade,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 90 due to small team size
97,ND,SCS1,Joint Chief Investigator,Joint Chief Investigator,Department for International Trade,Department for International Trade,Trade Remedies Investigations ,020 7215 5000,enquiries@trade.gov.uk,90,ND,1,N/A,N/A,International Trade,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 90 due to small team size
98,ND,SCS1,Chief Economist,Chief Economist,Department for International Trade,Department for International Trade,Trade Remedies Investigations ,020 7215 5000,enquiries@trade.gov.uk,90,ND,1,N/A,N/A,Economics,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 90 due to small team size
99,ND,SCS1,General Counsel,General Counsel,Department for International Trade,Department for International Trade,Trade Remedies Investigations ,020 7215 5000,enquiries@trade.gov.uk,90,ND,1,N/A,N/A,Legal,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 90 due to small team size
100,ND,SCS1,"Deputy Director Strategic Projects, Assurance and Capability","Deputy Director Strategic Projects, Assurance and Capability",Department for International Trade,Department for International Trade,Corporate Services,020 7215 5000,enquiries@trade.gov.uk,12,"£344,725.39",1,N/A,N/A,Finance,
103,ND,SCS1,"Deputy Director, Cross-Cutting Policy","Deputy Director, Cross-Cutting Policy",Department for International Trade,Department for International Trade,Trade Policy Group,020 7215 5000,enquiries@trade.gov.uk,24,ND,1,N/A,N/A,International Trade,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 24 due to small team size
104,ND,SCS1,Head of Operations,Head of Operations,Department for International Trade,Department for International Trade,GTI,020 7215 5000,enquiries@trade.gov.uk,22,ND,1,N/A,N/A,International Trade,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 22 due to small team size
105,ND,SCS1,Deputy Director Business Services,Deputy Director Business Services,Department for International Trade,Department for International Trade,Corporate Services,020 7215 5000,enquiries@trade.gov.uk,12,ND,1,N/A,N/A,Finance,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 12 due to small team size
107,ND,SCS1,"Deputy Director, Healthcare, Lifesciences & Bio Economy","Deputy Director, Healthcare, Lifesciences & Bio Economy",Department for International Trade,Department for International Trade,GTI,020 7215 5000,enquiries@trade.gov.uk,50,ND,1,N/A,N/A,International Trade,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 50 due to small team size
108,ND,SCS1,DD Finance Transformation,DD Finance Transformation,Department for International Trade,Department for International Trade,Corporate Services,020 7215 5000,enquiries@trade.gov.uk,12,ND,1,N/A,N/A,Finance,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 12 due to small team size
110,ND,SCS1,Deputy Director - Strategy & Corporate,Deputy Director - Strategy & Corporate,Department for International Trade,Department for International Trade,Communication and Marketing,020 7215 5000,enquiries@trade.gov.uk,8,"£455,036.00",1,N/A,N/A,Communications,
111,ND,SCS1,"Deputy Director Strategy, Insights and Services","Deputy Director Strategy, Insights and Services",Department for International Trade,Department for International Trade,Corporate Services,020 7215 5000,enquiries@trade.gov.uk,10,ND,1,N/A,N/A,Human Resources,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 10 due to small team size
112,ND,SCS1,Deputy Director Uk Regions Northern Powerhouse,Deputy Director Uk Regions Northern Powerhouse,Department for International Trade,Department for International Trade,GTI,020 7215 5000,enquiries@trade.gov.uk,25,ND,1,N/A,N/A,International Trade,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 25 due to small team size
113,ND,SCS1,DD - Central Analysis Team,DD - Central Analysis Team,Department for International Trade,Department for International Trade,Corporate Services,020 7215 5000,enquiries@trade.gov.uk,11,ND,0.93,N/A,N/A,Economics,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 11 due to small team size
117,ND,SCS1,"Deputy Director, Export & Investment Policy","Deputy Director, Export & Investment Policy",Department for International Trade,Department for International Trade,Strategy,020 7215 5000,enquiries@trade.gov.uk,16,ND,1,N/A,N/A,Policy,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 16 due to small team size
120,ND,SCS1,"Deputy Director, Financial & Professional Services","Deputy Director, Financial & Professional Services",Department for International Trade,Department for International Trade,GTI,020 7215 5000,enquiries@trade.gov.uk,14,ND,1,N/A,N/A,Finance,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 14 due to small team size
121,ND,SCS1,SCS1 Advanced Manufacturing,SCS1 Advanced Manufacturing,Department for International Trade,Department for International Trade,GTI,020 7215 5000,enquiries@trade.gov.uk,94,ND,1,N/A,N/A,International Trade,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 94 due to small team size
122,ND,SCS1,Chief Digital Officer,Chief Digital Officer,Department for International Trade,Department for International Trade,Corporate Services,020 7215 5000,enquiries@trade.gov.uk,9,"£419,276.00",1,N/A,N/A,"Digital, Data and Technology",
123,ND,SCS1,"Deputy Director, Creative, Lifestyle and Learning","Deputy Director, Creative, Lifestyle and Learning",Department for International Trade,Department for International Trade,GTI,020 7215 5000,enquiries@trade.gov.uk,5,ND,1,N/A,N/A,International Trade,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 5 due to small team size
124,ND,SCS1,"DIRECTOR, EXPORTS AND INVESTMENT, SOUTH OF ENGLAND","DIRECTOR, EXPORTS AND INVESTMENT, SOUTH OF ENGLAND",Department for International Trade,Department for International Trade,GTI,020 7215 5000,enquiries@trade.gov.uk,25,ND,1,N/A,N/A,International Trade,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 25 due to small team size
131,ND,SCS1,"Deputy Director, Ministerial Strategy",,Department for International Trade,Department for International Trade,Strategy,020 7215 5000,enquiries@trade.gov.uk,6,ND,1,N/A,N/A,Policy,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 6 due to small team size
134,ND,SCS1,"Head of Engagement Strategy, US Policy & Communications",,Department for International Trade,Department for International Trade,Trade Policy Group,020 7215 5000,enquiries@trade.gov.uk,23,ND,1,N/A,N/A,International Trade,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 23 due to small team size
135,ND,SCS1,Transformation Change Director,Transformation Change Director,Department for International Trade,Department for International Trade,Trade Policy Group,020 7215 5000,enquiries@trade.gov.uk,21,ND,1,N/A,N/A,International Trade,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 21 due to small team size
137,ND,SCS1,Chief Operating Officer SCS1,Chief Operating Officer SCS1,Department for International Trade,Department for International Trade,Trade Remedies Investigations ,020 7215 5000,enquiries@trade.gov.uk,90,ND,1,N/A,N/A,Finance,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 90 due to small team size
139,ND,SCS1,Programme Change Director,Programme Change Director,Department for International Trade,Department for International Trade,Strategy,020 7215 5000,enquiries@trade.gov.uk,6,ND,1,N/A,N/A,Policy,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 6 due to small team size
