Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. ()",Total Cost of Use of Official Secure Car,Booked through
"Clarke, Mr. Richard William John",24/10/2016,,,From Hotel to British Embassy,T&S - Overseas Expenses,,,,6.56,,
"Lloyd, Ms. Myrtle",24/10/2016,,,Participated in 5 Nations Call obo DG  - cost of 45 minutes call to Canada 24,Miscellaneous,,,,24.00,,
"Sedwill, Mr. Mark",24/10/2016,,,Early morning travel from airport following work visit overseas,T&S - Hotels,,,,28.70,,
"Sedwill, Mr. Mark",24/10/2016,,W'Ington Dulles,External Meeting,Air Tickets,Club Class,,,"4,158.75",,Redfern
"Chittenden, Mrs. Deborah",25/10/2016,,Peterborough,External Meeting,Rail,Standard,,,43.50,,Redfern
"Clarke, Mr. Richard William John",25/10/2016,,,Taxi to Dulles Airport,T&S - Overseas Expenses,,,,56.76,,
"Clarke, Mr. Richard William John",25/10/2016,,,From Hotel to British Embassy,T&S - Overseas Expenses,,,,7.16,,
"Cunningham, Mr. Michael Bernard",25/10/2016,,London Euston,External Meeting,Rail,Standard,,,345.00,,Redfern
"Cunningham, Mr. Michael Bernard",25/10/2016,,London Heathrow,External Meeting,,,Hotel Standard- One- King Size,,129.60,,Redfern
"Ind, Mr. Hugh Timothy",25/10/2016,,,Fares - visit to Indian High Commission in Aldwych - London.,"T&S - Planes, Trains and Automobiles",,,,4.80,,
"O'brien, Mr. John",25/10/2016,,,Underground to Paddington,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Oppenheim, Mr. Jeremy",25/10/2016,,,working lunch with officers from Wiltshire Police to discuss a historic case of child sexual abuse.,"Canteens, Lunches, Vending",,,,13.50,,
"Parr, Mr. Matthew",25/10/2016,,Birmingham International,External Meeting,Rail,Standard,,,70.00,,Redfern
"Parr, Mr. Matthew",25/10/2016,,London Euston,External Meeting,Rail,Standard,,,38.00,,Redfern
"Clarke, Mr. Richard William John",26/10/2016,,,Heathrow Express - From Airport strait into Work,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,22.00,,
"Freston, Mrs. Penny",26/10/2016,,,travel to Manchester airport from hotel,Taxis,,,,12.50,,
"Freston, Mrs. Penny",26/10/2016,,,travel from Manchester NBTC to train station,Taxis,,,,15.00,,
"Lloyd, Ms. Myrtle",26/10/2016,,,Taxi from home to railway station.  No parking available.  No suitable public transport.,Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",26/10/2016,,,"taxi from railway station to home. No suitable public transport, and No space in Car park.",Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",26/10/2016,,,Left home at 5:45.  Breakfast on train.,T&S - Subsistence,,,,5.50,,
"Lloyd, Ms. Myrtle",26/10/2016,,Liverpool Lime Street,INTERNAL MEETING,Rail,Standard,,,159.00,,Redfern
"Lloyd, Ms. Myrtle",26/10/2016,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,110.00,,Redfern
"O'brien, Mr. John",26/10/2016,,,Underground from Paddington,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Oppenheim, Mr. Jeremy",26/10/2016,,,taxi from Cabinet Office to 2MS,Taxis,,,,7.00,,
"Parsons, Mr. Michael John",26/10/2016,,,Station to Capitol,Taxis,,,,5.00,,
"Parsons, Mr. Michael John",26/10/2016,,,DBS to Station,Taxis,,,,5.00,,
"Parsons, Mr. Michael John",26/10/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,119.00,,Redfern
"Sedwill, Mr. Mark",26/10/2016,,London Paddington,External Meeting,Rail,Standard,,,22.00,,Redfern
"Williams, Ms. Wendy",26/10/2016,,London Kings Cross,External Meeting,Rail,Standard,,,140.00,,Redfern
"Dottridge, Mr. Adrian Yme",27/10/2016,,,Tube to Euston,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Dottridge, Mr. Adrian Yme",27/10/2016,,Liverpool,External Meeting,,,Hotel Room,,70.60,,Redfern
"Dottridge, Mr. Adrian Yme",27/10/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,312.00,,Redfern
"Duffy, Mr. Philip",27/10/2016,,,Evening meal whilst in Manchester,T&S - Subsistence,,,,17.05,,
"Duffy, Mr. Philip",27/10/2016,,,Travel to Manchester,T&S - Hotels,,,,2.40,,
"Duffy, Mr. Philip",27/10/2016,,Manchester,External Meeting,,,Hotel Deluxe- Classic Room,,85.60,,Redfern
"Duffy, Mr. Philip",27/10/2016,,Manchester Piccadilly,External Meeting,Rail,Standard,,,332.00,,Redfern
"Eastaugh, Mr. Tony",27/10/2016,,London Gatwick,External Meeting,,,Hotel Room,,78.60,,Redfern
"Oppenheim, Mr. Jeremy",27/10/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,153.20,,Redfern
"Williams, Ms. Wendy",27/10/2016,,Birmingham New St,External Meeting,Rail,Standard,,,70.00,,Redfern
"Williams, Ms. Wendy",27/10/2016,,Newcastle,External Meeting,Rail,Standard,,,174.70,,Redfern
"Dottridge, Mr. Adrian Yme",28/10/2016,,,Tube from Euston,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Duffy, Mr. Philip",28/10/2016,,,Overnight stay in Manchester,T&S - Hotels,,,,85.00,,
"Duffy, Mr. Philip",28/10/2016,,Manchester Airport,External Meeting,Rail,Standard,,,7.90,,Redfern
"Hepple, Mr. Tyson Julian",28/10/2016,,,Taxi from Glasgow Airport to office,Taxis,,,,20.00,,
"Hepple, Mr. Tyson Julian",28/10/2016,,Glasgow,External Meeting,Air Tickets,Economy,,,150.75,,Redfern
"Hills, Mr. Gareth David",28/10/2016,,,Costs of vaccinations (at CityDoc Victoria)  for India vsit,Miscellaneous,,,,110.00,,
"Clarke, Mr. Richard William John",30/10/2016,,Hiroshima,External Meeting,Air Tickets,Economy,,,"1,441.85",,Redfern
"Eastaugh, Mr. Tony",31/10/2016,,Liverpool,External Meeting,,,Hotel Room,,43.05,,Redfern
"Eastaugh, Mr. Tony",31/10/2016,,Manchester,External Meeting,,,Hotel Room,,51.55,,Redfern
"Eastaugh, Mr. Tony",31/10/2016,,Manchester Piccadilly,External Meeting,Rail,Standard,,,81.40,,Redfern
"Hills, Mr. Gareth David",31/10/2016,,Delhi,External Meeting,Air Tickets,Upper Class,,,"2,828.45",,Redfern
"Oppenheim, Mr. Jeremy",31/10/2016,,,lunch for SMT Awayday,T&S - Hotels,,,,14.31,,
"Sutton, Mr. Kenneth David",31/10/2016,,,Unable to use public transport,Taxis,,,,7.00,,
"Sutton, Mr. Kenneth David",31/10/2016,,,Unable to use public transport,Taxis,,,,10.00,,
"Sutton, Mr. Kenneth David",31/10/2016,,,Working lunch,Miscellaneous,,,,5.70,,
"Sutton, Mr. Kenneth David",31/10/2016,,London Zones 1-4,External Meeting,Rail,Standard,,,13.10,,Redfern
"Sutton, Mr. Kenneth David",31/10/2016,,Newport Gwent,External Meeting,Rail,Standard,,,210.50,,Redfern
"Wilkinson, Ms. Patsy",31/10/2016,,,Reacall from Leave - Accommodation Costs,T&S - Hotels,,,,251.46,,
"Wilkinson, Ms. Patsy",31/10/2016,,,Recall from Leave - flights for spouse,Miscellaneous,,,,113.07,,
"Wilkinson, Ms. Patsy",31/10/2016,,,Recall from leave - flights,Miscellaneous,,,,157.52,,
"Williams, Ms. Wendy",31/10/2016,,Birmingham New St,External Meeting,Rail,Standard,,,104.40,,Redfern
"Williams, Ms. Wendy",31/10/2016,,London Euston,External Meeting,Rail,Standard,,,22.00,,Redfern
"Cunningham, Mr. Michael Bernard",01/11/2016,,London Euston,External Meeting,Rail,Standard,,,345.00,,Redfern
"Cunningham, Mr. Michael Bernard",01/11/2016,,London Heathrow,External Meeting,,,Hotel Standard- One- King Size,,258.60,,Redfern
"Eastaugh, Mr. Tony",01/11/2016,,,Had to pay for fuel as car collection outside of hire office hours.,"T&S - Planes, Trains and Automobiles",,,,75.00,,
"Eastaugh, Mr. Tony",01/11/2016,,Newcastle,External Meeting,,,Hotel Business Class,,139.60,,Redfern
"France, Mr. David Paul",01/11/2016,,London Zones 1-6,External Meeting,Rail,Standard,,,17.20,,Redfern
"Hills, Mr. Gareth David",01/11/2016,,,2x24hr Delhi rate of 6100.5 less two hotel/office travel costs of 528.5,T&S - Overseas Expenses,,,,136.64,,
"Hills, Mr. Gareth David",01/11/2016,,,"Hotel costs at Taj Mahal 1 - 3 November, New Delhi. Hotel booked by British High Commission at their Preferential Rates.",T&S - Overseas Expenses,,,,282.59,,
"Lamberti, Mr. David James",01/11/2016,,,Coventry St to College of Policing,Taxis,,,,20.30,,
"Lamberti, Mr. David James",01/11/2016,,,College of Policing to Coventry St,Taxis,,,,17.00,,
"Lamberti, Mr. David James",01/11/2016,,Coventry,External Meeting,Rail,Standard,,,116.00,,Redfern
"Lincoln, Mr. Paul Michael",01/11/2016,,Leicester,External Meeting,Rail,Standard,,,149.50,,Redfern
"Montgomery, Sir Charles Percival",01/11/2016,,,Travel to Gatwick Airport meeting,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,3.00,,
"Montgomery, Sir Charles Percival",01/11/2016,,,Refreshment during travel to Gatwick meeting and back to office,T&S - Subsistence,,,,2.55,,
"Montgomery, Sir Charles Percival",01/11/2016,,Gatwick Airport,External Meeting,Rail,Standard,,,17.60,,Redfern
"Morrison, Mr. Paul Noble Wilson",01/11/2016,,Birmingham New St,External Meeting,Rail,Standard,,,274.50,,Redfern
"Morrison, Mr. Paul Noble Wilson",01/11/2016,,Birmingham New St,,Rail,Standard,,,-160.00,,Redfern
"Sedwill, Mr. Mark",01/11/2016,,Birmingham New St,External Meeting,Rail,Standard,,,185.50,,Redfern
"Sedwill, Mr. Mark",01/11/2016,,London Euston,External Meeting,Rail,Standard,,,15.50,,Redfern
"Sedwill, Mr. Mark",01/11/2016,,London Zones 1-6,External Meeting,Rail,Standard,,,17.20,,Redfern
"Sutton, Mr. Kenneth David",01/11/2016,,,Working lunch,Miscellaneous,,,,7.95,,
"Sutton, Mr. Kenneth David",01/11/2016,,,Unable to use public transport,Taxis,,,,8.00,,
"Wilkinson, Ms. Patsy",01/11/2016,,West Croydon,External Meeting,Rail,Standard,,,11.10,,Redfern
"Chittenden, Mrs. Deborah",02/11/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,149.00,,Redfern
"Eastaugh, Mr. Tony",02/11/2016,,East Midlands,External Meeting,,,Hotel Room,,80.70,,Redfern
"France, Mr. David Paul",02/11/2016,,London Zones 1-4,External Meeting,Rail,Standard,,,12.10,,Redfern
"Lloyd, Ms. Myrtle",02/11/2016,,,"Taxi from home to railway station. No suitable public transport, and no space in car par,",Taxis,,,,7.50,,
"Lloyd, Ms. Myrtle",02/11/2016,,,Overnight stay.  Dinner bill.,T&S - Subsistence,,,,19.47,,
"Lloyd, Ms. Myrtle",02/11/2016,,,Tube ticket. Commuting between office and hotel while in London.,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,4.80,,
"Lloyd, Ms. Myrtle",02/11/2016,,ZONE U1* LONDN,External Meeting,Rail,Standard,,,231.00,,Redfern
"Sedwill, Mr. Mark",02/11/2016,,,Night return from Australian High Commission meeting,Conferences (& Hospitality),,,,11.14,,
"Thomson, Mr. Mark David",02/11/2016,,,Taxi from station to Liverpool office,Taxis,,,,4.40,,
"Thomson, Mr. Mark David",02/11/2016,,,Taxi from Liverpool office to station,Taxis,,,,3.00,,
"Williams, Ms. Wendy",02/11/2016,,Newcastle,External Meeting,Rail,Standard,,,41.00,,Redfern
"Arnott, Dr. Robert Henry",03/11/2016,,,Evesham Stn to Lygham Arms Hotel (Supers Assocn),Taxis,,,,17.00,,
"Arnott, Dr. Robert Henry",03/11/2016,,Evesham,External Meeting,Rail,Standard,,,75.40,,Redfern
"France, Mr. David Paul",03/11/2016,,London Zones 1-4,External Meeting,Rail,Standard,,,12.10,,Redfern
"Hills, Mr. Gareth David",03/11/2016,,,Incorrect ticket bought for the Express,"T&S - Planes, Trains and Automobiles",,,,22.00,,
"Hills, Mr. Gareth David",03/11/2016,,London Heathrow,External Meeting,Air Tickets,Premium,,,686.20,,Redfern
"Hills, Mr. Gareth David",03/11/2016,,London Paddington,External Meeting,Rail,Standard,,,10.20,,Redfern
"Lloyd, Ms. Myrtle",03/11/2016,,,"Taxi from railway station to home.  No suitable public transport, no space in car par,",Taxis,,,,8.00,,
"Lloyd, Ms. Myrtle",03/11/2016,,,Tube fare between office and hotel while in London.,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Sedwill, Mr. Mark",03/11/2016,,,Travel to station for Windsor Leadership Conference,Conferences (& Hospitality),,,,5.19,,
"Sedwill, Mr. Mark",03/11/2016,,Windsor & Eton Riverside,External Meeting,Rail,Standard,,,10.10,,Redfern
"Webb, Mr. Stephen",03/11/2016,,Birmingham New St,External Meeting,Rail,Standard,,,170.00,,Redfern
"Wren, Mr. Simon William",03/11/2016,,Grantham,External Meeting,Rail,Standard,,,48.20,,Redfern
"Arnott, Dr. Robert Henry",04/11/2016,,,Paddington Stn to 2MS (from Supers' Assocn to BF Bd),Taxis,,,,18.00,,
"Arnott, Dr. Robert Henry",04/11/2016,,,Lygon Arms Hotel to Evesham Stn (Supers Assocn),Taxis,,,,15.00,,
"France, Mr. David Paul",04/11/2016,,,Taxi back to Bristol Temple Meads station after meeting with Chief Constable Andy Marsh of Avon and Somerset Constabulary.,Taxis,,,,25.20,,
"France, Mr. David Paul",04/11/2016,,Bristol Temple Meads,External Meeting,Rail,Standard,,,71.20,,Redfern
"France, Mr. David Paul",04/11/2016,,Guildford Station,External Meeting,Rail,Standard,,,9.10,,Redfern
"Hepple, Mr. Tyson Julian",04/11/2016,,Middlesbrough,External Meeting,Rail,Standard,,,203.90,,Redfern
"Oppenheim, Mr. Jeremy",04/11/2016,,,emergency travel from home to office. (Came into work whilst away from teh office on sick leave),Taxis,,,,28.38,,
"Shipley, Mr. Gordon Michael",04/11/2016,,,Visiting FirstNet,T&S - Overseas Expenses,,,,42.95,,
"Wilkinson, Miss Sarah Fay",04/11/2016,,,Visit to Avon & Somerset Constabulary,"T&S - Planes, Trains and Automobiles",,,,44.00,,
"Wilkinson, Miss Sarah Fay",04/11/2016,,Bristol Temple Meads,External Meeting,Rail,Standard,,,201.16,,Redfern
"Dottridge, Mr. Adrian Yme",06/11/2016,,Dubai,External Meeting,Air Tickets,Economy,,,369.41,,Redfern
"Dottridge, Mr. Adrian Yme",06/11/2016,,Gatwick Airport,External Meeting,Rail,Standard,,,38.80,,Redfern
"Greaves, Mr. Daniel Paul",07/11/2016,,,Return from home to Ashridge for SLS leaders course,T&S - Employee Reimbursed Mileage,,,,32.00,,
"Lincoln, Mr. Paul Michael",07/11/2016,,,Travel from Nothampton Rail Station to Police HQ,Taxis,,,,9.00,,
"Lincoln, Mr. Paul Michael",07/11/2016,,,Travel from Police HQ to Northampton Rail Station,Taxis,,,,7.20,,
"Lincoln, Mr. Paul Michael",07/11/2016,,Northampton,External Meeting,Rail,Standard,,,17.60,,Redfern
"Lloyd, Ms. Myrtle",07/11/2016,,,"Parking at railway station.  No suitable public transport, cheaper than taxi.","T&S - Planes, Trains and Automobiles",,,,6.70,,
"Lloyd, Ms. Myrtle",07/11/2016,,ZONE U1* LONDN,External Meeting,Rail,Standard,,,256.00,,Redfern
"Montgomery, Sir Charles Percival",07/11/2016,,,Dinner for overnight stay in Dover during visit to Folkstone/Calais Border Force operation centres,T&S - Hotels,,,,25.00,,
"Montgomery, Sir Charles Percival",07/11/2016,,Dover Stns,External Meeting,Rail,Standard,,,30.20,,Redfern
"Montgomery, Sir Charles Percival",07/11/2016,,HEATHROW TERM123,External Meeting,Rail,Standard,,,49.00,,Redfern
"Montgomery, Sir Charles Percival",07/11/2016,,Manston,External Meeting,,,Hotel Room,,161.20,,Redfern
"Oppenheim, Mr. Jeremy",07/11/2016,,,early morning coffee with Kelly Ryan and Richard Clarke.,"Canteens, Lunches, Vending",,,,5.50,,
"Oppenheim, Mr. Jeremy",07/11/2016,,,"lunch with Kelly Ryan, Co-ordinator for Intergovernmental Consultations","Canteens, Lunches, Vending",,,,62.10,,
"Williams, Ms. Wendy",07/11/2016,,Bristol,External Meeting,Web Transaction,Economy,,,18.00,,Redfern
"Williams, Ms. Wendy",07/11/2016,,Bristol,External Meeting,Web Transaction,Economy,,,35.14,,Redfern
"Chittenden, Mrs. Deborah",08/11/2016,,Newport Gwent,External Meeting,Rail,Standard,,,112.00,,Redfern
"Dottridge, Mr. Adrian Yme",08/11/2016,,,Evening meal whilst overseas- Dubai,T&S - Subsistence,,,,21.92,,
"Dottridge, Mr. Adrian Yme",08/11/2016,,,Overseas Hotel accommodation in Dubai,T&S - Hotels,,,,420.53,,
"Dottridge, Mr. Adrian Yme",08/11/2016,,,Overseas hotel costs for colleague (Corporate card not held),T&S - Hotels,,,,415.71,,
"Duffy, Mr. Philip",08/11/2016,,,refreshments,T&S - Subsistence,,,,3.26,,
"Duffy, Mr. Philip",08/11/2016,,,From Airport,Miscellaneous,,,,43.60,,
"Duffy, Mr. Philip",08/11/2016,,,refreshments,T&S - Subsistence,,,,3.72,,
"Duffy, Mr. Philip",08/11/2016,,,taxi in athens,Miscellaneous,,,,88.95,,
"Duffy, Mr. Philip",08/11/2016,,,View Point Heathrow,T&S - Hotels,,,,2.90,,
"Duffy, Mr. Philip",08/11/2016,,Athens,External Meeting,Air Tickets,Economy,,,361.51,,Redfern
"Duffy, Mr. Philip",08/11/2016,,Athens,External Meeting,,,Hotel (Foreign) Room,,102.60,,Redfern
"Ind, Mr. Hugh Timothy",08/11/2016,,,Hosted Dinner for Chinese Delegation - Senior Chinese Diplomats,Miscellaneous,,,,339.45,,
"Ind, Mr. Hugh Timothy",08/11/2016,,London,External Meeting,,,Hotel Room,,110.35,,Redfern
"Ind, Mr. Hugh Timothy",08/11/2016,,,External Meeting,Billback Fee,,,,0.60,,Redfern
"Montgomery, Sir Charles Percival",08/11/2016,,,Tube from Kings X to Waterloo,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.40,,
"Montgomery, Sir Charles Percival",08/11/2016,,London St Pancras,External Meeting,Rail,Standard,,,44.20,,Redfern
"Morrison, Mr. Paul Noble Wilson",08/11/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,313.00,,Redfern
"Oppenheim, Mr. Jeremy",08/11/2016,,,personal mobile used for business calls. 70% of bill claimed,Miscellaneous,,,,19.94,,
"Sedwill, Mr. Mark",08/11/2016,,,Work travel for official visit.,T&S - Employee Reimbursed Mileage,,,,24.28,,
"Williams, Ms. Wendy",08/11/2016,,Stafford,External Meeting,Rail,Standard,,,95.50,,Redfern
"Dottridge, Mr. Adrian Yme",09/11/2016,,,Food whilst in at Dubai airport,T&S - Subsistence,,,,21.11,,
"Dottridge, Mr. Adrian Yme",09/11/2016,,Paddock Wood,External Meeting,Rail,Standard,,,22.90,,Redfern
"Duffy, Mr. Philip",09/11/2016,,,refreshments,T&S - Subsistence,,,,3.60,,
"France, Mr. David Paul",09/11/2016,,,"Taxi from Liverpool Lime Street station to hotel, for meeting with DBS colleagues the next day",Taxis,,,,7.00,,
"France, Mr. David Paul",09/11/2016,,Liverpool,External Meeting,,,Hotel Standard- One- King Size,,70.60,,Redfern
"France, Mr. David Paul",09/11/2016,,Liverpool Lime Street,External Meeting,Rail,Standard,,,142.00,,Redfern
"Ind, Mr. Hugh Timothy",09/11/2016,,,Returns Preparation Event - Sheffield - taxi from station to event,Taxis,,,,5.00,,
"Ind, Mr. Hugh Timothy",09/11/2016,,,Returns Preparation Event - Sheffield - taxi from event to Vulcan House,Taxis,,,,5.00,,
"Ind, Mr. Hugh Timothy",09/11/2016,,Sheffield,External Meeting,Rail,Standard,,,179.00,,Redfern
"Leach, Mrs. Paula Michelle",09/11/2016,,,Manchester - CIPD event,Taxis,,,,5.00,,
"Leach, Mrs. Paula Michelle",09/11/2016,,Manchester Oxford Road,External Meeting,Rail,Standard,,,125.00,,Redfern
"Lloyd, Ms. Myrtle",09/11/2016,,,"Taxi from home to railway station. No suitable public transport, No Parking spaces.",Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",09/11/2016,,,Overnight in London.  Dinner bill.,T&S - Subsistence,,,,25.10,,
"Lloyd, Ms. Myrtle",09/11/2016,,,Tube fare,"T&S - Planes, Trains and Automobiles",,,,4.80,,
"Lloyd, Ms. Myrtle",09/11/2016,,ZONE U1* LONDN,External Meeting,Rail,Standard,,,138.50,,Redfern
"Lloyd, Ms. Myrtle",09/11/2016,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,231.00,,Redfern
"Tribe, Mr. Lee Kelvin",09/11/2016,,Birmingham,External Meeting,,,Hotel Room,,86.55,,Redfern
"Tribe, Mr. Lee Kelvin",09/11/2016,,Worcester Shrub Hill,External Meeting,Rail,Standard,,,78.40,,Redfern
"Wells, Mr. Michael Charles",09/11/2016,,Sheffield,External Meeting,Rail,Standard,,,70.50,,Redfern
"Chittenden, Mrs. Deborah",10/11/2016,,London Paddington,INTERNAL MEETING,Rail,Standard,,,39.70,,Redfern
"Duffy, Mr. Philip",10/11/2016,,,The Cheif Operating Officer's Regional Directors Meal,"Canteens, Lunches, Vending",,,,189.00,,
"Duffy, Mr. Philip",10/11/2016,,,Senior Directors meal - Kings Cross,T&S - Hotels,,,,2.40,,
"France, Mr. David Paul",10/11/2016,,London Euston,External Meeting,Rail,Standard,,,81.40,,Redfern
"Leach, Mrs. Paula Michelle",10/11/2016,,,Manchester - CIPD event,Taxis,,,,6.00,,
"Leach, Mrs. Paula Michelle",10/11/2016,,London Euston,External Meeting,Rail,Standard,,,81.40,,Redfern
"Lincoln, Mr. Paul Michael",10/11/2016,,,From Woking Station to Gorse Hill Hotel for SafeLives Visit,Taxis,,,,9.00,,
"Lincoln, Mr. Paul Michael",10/11/2016,,,Travel from Grose Hill Hotel to Woking Station,Taxis,,,,10.00,,
"Lincoln, Mr. Paul Michael",10/11/2016,,Woking (Main),External Meeting,Rail,Standard,,,14.10,,Redfern
"Lloyd, Ms. Myrtle",10/11/2016,,,"Taxi from railway station to home.  No suitable public transport, No car park spaces.",Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",10/11/2016,,,Tube fare,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Lloyd, Ms. Myrtle",10/11/2016,,Chester,External Meeting,Rail,Standard,,,146.00,,Redfern
"Lloyd, Ms. Myrtle",10/11/2016,,Chester,INTERNAL MEETING,Rail,Standard,,,140.00,,Redfern
"Oppenheim, Mr. Jeremy",10/11/2016,,,taxi from 2MS to Cabinet Office with colleague Offer Stern-Weiner,Taxis,,,,6.51,,
"Oppenheim, Mr. Jeremy",10/11/2016,,,Emergency travel from home to office (came in whilst out of the office on sick leave).,Taxis,,,,38.50,,
"Oppenheim, Mr. Jeremy",10/11/2016,,,return emergecny travel from office to home (casme to work whilst out of the office on sick leave).,Taxis,,,,32.55,,
"Parsons, Mr. Michael John",10/11/2016,,Manchester Piccadilly,External Meeting,Rail,Standard,,,153.20,,Redfern
"Tribe, Mr. Lee Kelvin",10/11/2016,,,From hotel to venue (West Mercia HQ),Taxis,,,,12.50,,
"Williams, Mr. Glyn",10/11/2016,,,contactless charge - 2 x single tube journeys Zone 1 - cheaper than Redfern booking system.,T&S - Overseas Expenses,,,,4.80,,
"Williams, Ms. Wendy",10/11/2016,,Manchester Piccadilly,External Meeting,Rail,Standard,,,113.00,,Redfern
"Williams, Ms. Wendy",10/11/2016,,Newcastle,External Meeting,Rail,Standard,,,22.00,,Redfern
"Spencer, Dr. Fiona Margaret",11/11/2016,,Oxford,External Meeting,Rail,Standard,,,61.20,,Redfern
"Sutton, Mr. Kenneth David",14/11/2016,,,Working lunch,Miscellaneous,,,,41.46,,
"Tribe, Mr. Lee Kelvin",14/11/2016,,,Shared Cab with Oliver Moorey,Taxis,,,,8.50,,
"Tribe, Mr. Lee Kelvin",14/11/2016,,,Shared Cab with Oliver Moorey,Taxis,,,,10.00,,
"Tribe, Mr. Lee Kelvin",14/11/2016,,OXFORD PARKWAY,External Meeting,Rail,Standard,,,42.50,,Redfern
"Williams, Ms. Wendy",14/11/2016,,Bristol,External Meeting,Web Transaction,Economy,,,49.79,,Redfern
"Duffy, Mr. Philip",15/11/2016,,,An early departure for Berlin no public transport available,T&S - Hotels,,,,22.00,,
"Duffy, Mr. Philip",15/11/2016,,,Train tikes for flight from Paddington to Heathrow for Athens,T&S - Hotels,,,,5.50,,
"Duffy, Mr. Philip",15/11/2016,,,Cross London travel for vist to Berlin,T&S - Hotels,,,,5.00,,
"Duffy, Mr. Philip",15/11/2016,,Berlin Tegel,External Meeting,Air Tickets,Economy,,,476.31,,Redfern
"France, Mr. David Paul",15/11/2016,,Folkestone West,External Meeting,Rail,Standard,,,43.00,,Redfern
"France, Mr. David Paul",15/11/2016,,London Zones 1-4,External Meeting,Rail,Standard,,,12.10,,Redfern
"Lloyd, Ms. Myrtle",15/11/2016,,,"Under 80 miles, not cost effective to have hire car.",T&S - Employee Reimbursed Mileage,,,,16.80,,
"Montgomery, Sir Charles Percival",15/11/2016,,,Tube from London Waterloo to London Liverpool Street for travel to Border Force Central Region Ceremony (Whittlesford),"T&S - Planes, Trains and Automobiles",Standard/Economy,,,6.70,,
"Montgomery, Sir Charles Percival",15/11/2016,,Whittlesford,External Meeting,Rail,Standard,,,29.40,,Redfern
"Parsons, Mr. Michael John",15/11/2016,,,Travel to meeting in Sandridge,Taxis,,,,10.60,,
"Parsons, Mr. Michael John",15/11/2016,,,Travel from meeting in Sandridge,Taxis,,,,11.00,,
"Parsons, Mr. Michael John",15/11/2016,,St Albans Station,External Meeting,Rail,Standard,,,12.10,,Redfern
"Sutton, Mr. Kenneth David",15/11/2016,,,Working lunch,Miscellaneous,,,,2.65,,
"Sutton, Mr. Kenneth David",15/11/2016,,,Unable to use public transport,Taxis,,,,7.00,,
"Sutton, Mr. Kenneth David",15/11/2016,,London Zones 1-4,External Meeting,Rail,Standard,,,13.10,,Redfern
"Sutton, Mr. Kenneth David",15/11/2016,,Stafford,External Meeting,Rail,Standard,,,212.50,,Redfern
"Duffy, Mr. Philip",16/11/2016,,,Taxi fare from East Croydon Station to Selsdon Park,T&S - Hotels,,,,16.72,,
"Duffy, Mr. Philip",16/11/2016,,,Travel to Croydon  Director Genrals awayday,T&S - Hotels,,,,5.00,,
"Eastaugh, Mr. Tony",16/11/2016,,East Croydon,External Meeting,Rail,Standard,,,5.90,,Redfern
"France, Mr. David Paul",16/11/2016,,London Zones 1-4,External Meeting,Rail,Standard,,,12.10,,Redfern
"Freston, Mrs. Penny",16/11/2016,,East Croydon,External Meeting,Rail,Standard,,,11.80,,Redfern
"Ind, Mr. Hugh Timothy",16/11/2016,,,DG Directors' Away Day at Selsdon Park Hotel - taxi from East Croydon to Hotel,Taxis,,,,14.00,,
"Ind, Mr. Hugh Timothy",16/11/2016,,East Croydon,External Meeting,Rail,Standard,,,5.90,,Redfern
"Lloyd, Ms. Myrtle",16/11/2016,,,"Taxi from home to railway station.  No suitable public transport, No Parking spaces.",Taxis,,,,7.70,,
"Lloyd, Ms. Myrtle",16/11/2016,,,Taxi from East Croydon station to Selsdon park for BICS Away day.,Taxis,,,,13.20,,
"Lloyd, Ms. Myrtle",16/11/2016,,East Croydon,INTERNAL MEETING,Rail,Standard,,,8.30,,Redfern
"Lloyd, Ms. Myrtle",16/11/2016,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,85.00,,Redfern
"Montgomery, Sir Charles Percival",16/11/2016,,East Croydon,External Meeting,Rail,Standard,,,11.80,,Redfern
