Ratepayer,Property Reference,Property Address,Billing Address,RV,Net Debit ,Liability Start Date
,76396737,"13 New Road, Hebden Bridge, HX7 8AD",,4750,0,02/21/14
Railcom Ltd,29272704,"Commercial Inn, 1 Gooder Lane, Brighouse, HD6 1HF",,7500,907.5,04/01/14
Halifax Opportunities Trust,65264740,"Workspace Unit 17, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG","Elsie Whiteley Innovation Cent, Hopwood Lane, Halifax, HX1 5ER",5600,0,06/02/12
Drakes (Uk) Ltd,77648737,"Unit 25, Sdh Industrial Estate, West Street, Sowerby Bridge       HX6 3BS",,7400,835.66,09/01/12
,29084794,"Unit 3 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ",,8600,1803.48,08/06/12
M & R Bachra Ltd,65868001,"1 Morley View, Siddal, Halifax, HX3 9DJ","12 Ridings Croft, Rooley Lane, Bradford, BD5 8AP",3500,0,01/12/13
James Garside & Son Ltd,65192718,"Unit 2A, Grantham Works, Grantham Road, Halifax              HX3 6PL","Unit 2 Grantham Works, Grantham Road, Boothtown, Halifax, HX3 6PL",11000,5324,04/01/10
,77276704,"Unit 1, Hollins Mill Lane, Sowerby Bridge, HX6 2QG",,1725,0,01/01/13
Islamic Relief Worldwide,69094004,"4 Trinity Place, Halifax, HX1 2BD","Fao Chaudhry Mohammed Tariq, 3/4 Trinity Place, Halifax, HX1 2BD",8300,0,04/01/11
Bespoke Detailing Solutions Ltd,29274706,"Unit 1B Prince Of Wales Mill, Princess Street, Brighouse, HD6 1LH",,2375,0,04/01/12
,29032731,"Unit 5 Atlas Mill, Atlas Mill Road, Brighouse, HD6 1ES",,5500,0,06/01/12
Nhs Property Services Ltd,65508701,"Health Clinic, Kershaw Drive, Luddendenfoot, Halifax             HX2 6PD","C/O Gl Hearn Management Ltd, Po Box 1610, Southampton, SO15 3WX",3400,1645.6,04/01/13
,77076711,"5 Bolton Brow, Sowerby Bridge, HX6 2AL",,4800,0,04/23/12
,68700016,"16 Square, Halifax, HX1 1RJ",,10250,5094.25,03/31/13
Healthpharm Yorkshire Ltd,29156726,"Brighouse Pharmacy, 24 Church Lane, Brighouse, HD6 1AT","157 Upper Commercial Street, Batley, WF17 5DH",7300,765.57,06/28/12
,29576710,"First Floor Room 2, Old Town Hall, Thornton Square, Brighouse            HD6 1ED",,2475,0,01/02/13
,29460708,"3 Park Street, Brighouse, HD6 1AD",,3950,0,05/13/13
,76673715,"10 Croft Mill Apartments, Croft Mill Yard, Hebden Bridge, HX7 8AB",,1650,0,04/01/13
,77604019,"19 Towngate, Sowerby, Sowerby Bridge, HX6 1HT",,3250,0,04/16/15
,65388024,"24 Horton Street, Halifax, HX1 1PU",,4200,0,04/09/15
Thor Homecare Ltd,65516791,"Rear, 159 King Cross Road, Halifax, HX1 3LN","159 King Cross Road, King Cross, Halifax, HX1 3LN",1600,774.4,04/01/15
,77632706,"Unit 3, Hillas Industrial Estate, Walker Lane, Sowerby Bridge      HX6 2AR",,3000,0,04/02/15
Auckland Property Developments Ltd,65232758,"Unit 4, Hipperholme Business Park, Halifax Road, Halifax              HX3 8ER",,9700,4694.8,01/19/15
Personal Taste Ltd,76560728,"Unit 11 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX","Hawkestone House, Valley Road, Hebden Bridge, HX7 7BL",3450,0,09/02/15
,76088875,"Unit 4, Hawksclough Industrial Est., Burnley Road, Mytholmroyd          HX7 5AD",,7600,0,11/01/15
,64040748,"Unit 2 Moorlea Garage, Albert Road, Halifax, HX2 0DF",,3100,0,08/28/15
,68640709,"Unit 2, South Street, Halifax, HX1 2EL",,1375,683.38,05/29/15
V1 Engineering Ltd,65808773,"Unit 12, Mill Lane, Boothtown, Halifax              HX3 6TR","Unit 12, Mill Lane, Boothtown, Halifax, HX3 6TR",5600,0,08/17/15
Melling Construction Ltd,68248749,"Unit 36A, Phoebe Lane Industrial Est., Phoebe Lane, Halifax              HX3 9EX",,7000,564.68,12/01/15
Heineken Uk Ltd,65876705,"Wheatsheaf Hotel, 42 Mount Pellon, Pellon, Halifax             HX2 0EE","3-4 Broadway Park, South Gyle Broadway, Edinburgh, EH12 9JZ",9100,0,01/19/16
,76360022,"22 Market Street, Hebden Bridge, HX7 6AA",,6700,0,04/01/15
,76252006,"6 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,1875,0,12/03/15
,77094701,"The Beaver Lodge, West Street, Sowerby Bridge, HX6 3BT",,3150,0,01/16/16
,65164764,"Units 1&3 (3rd Floor), Queens Road Mills, Gibbet Street, Halifax             HX1 4JX",,7300,765.57,04/01/14
Fennor Exterior Works Ltd,77024777,"Unit 13C Asquith Yard, Asquith Bottom Works, Sowerby Bridge, HX6 3BT","44 Dean Lane, Sowerby, Sowerby Bridge, HX6 1HE",3500,0,09/04/15
Bridge Rectifier Ltd,76256785,"Unit 1B Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",,3150,0,05/01/15
,78068755,"Stalls 2/3 Market Hall, Brook Street, Todmorden, OL14 5AJ",,2800,0,08/01/15
Duftons Plumbing & Heating Supplies Ltd,68308736,"327a Queens Road, Halifax, HX1 4PY",,5700,2758.8,06/25/15
,29568711,"276 Thornhill Road, Brighouse, HD6 3HL",,6000,0,06/08/15
,69296723,"Unit 10A Washer Lane Works, Washer Lane, Halifax, HX2 7DX",,1925,931.7,11/01/14
,29296734,"Unit 1 The Nurseries, Halifax Road, Brighouse, HD6 2QD",,2075,0,04/01/14
S D H Holdings,77648744,"Unit 9 Sdh Industrial Estate, West Street, Sowerby Bridge, HX6 3BS","Unit 13 Sdh Industrial Est, West Street, Sowerby Bridge, HX6 3BT",1775,0,05/01/15
E.S Maintenance Services Ltd,64448790,"Unit G5, Tenterfields Business Park, Burnley Road, Luddendenfoot       HX2 6EQ","Unit G5, Tenterfields Business Park, Burnley Road, Luddendenfoot, HX2 6EQ",3400,0,05/01/15
,68872701,"Stump Cross, Halifax, HX3 7AA",,7900,3926.3,07/14/15
,65164745,"Unit 24, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",,3100,0,11/01/15
E.P.I.C Plc,29196732,"1ST & 2ND Floors, 19 Commercial Street, Brighouse, HD6 1AF","Robin Hood Works, Wakefield Road, Brighouse, HD6 1PE",4450,2211.65,02/29/16
Castleford Sofa & Bed Centre Ltd,29456703,"3 Park Row, Brighouse, HD6 1AB","40 Carlton Street, Castleford, West Yorkshire, WF10 1BA",7900,3823.6,02/02/16
,65020731,"Bag Motors, Unit 12 Fairlea Mill, Ellen Holme Lane, Luddendenfoot        HX2 6EP",,5800,0,12/01/15
,78068747,"Storeroom 17 Market Hall, Brook Street, Todmorden, OL14 5AJ",,275,133.1,04/01/15
Brogan Business Parks Ltd,64448831,"Unit W4, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EJ","C/O Cdp Ltd, Huddersfield Road, Elland, HX5 9BW",5000,0,12/27/15
,64344758,"Unit 54 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",,2100,0,12/01/15
Arcadia Fabrication Limited,65344825,"Unit 8 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,1750,0,07/29/15
,65344768,"Unit 10 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,1975,0,09/01/14
,76408007,"7 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",,1775,0,09/12/15
A T C Properties Ltd,65100712,"Suite 4 3RD Floor, Fountain Chambers, 22 Fountain Street, Halifax              HX1 1LW","7 Cottage Road, Headingley, Leeds, LS6 4DD",4700,2335.9,07/18/15
Revive Property Northern Ltd,78400803,"18 Rochdale Road, Todmorden, OL14 7LD","21 Dovedale Road, Burnley, BB12 8XD",1750,0,09/05/14
Fast Lane (Yorkshire) Ltd,76160800,"Unit 4D, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,3600,0,09/01/15
Bamboo Bear Global Ltd,68640716,"Unit 3A, South Street, Halifax, HX1 2EL","Unit 2/3a South Street, Halifax, HX1 2EL",6700,378.34,05/29/15
,68308284,"284 Queens Road, Halifax, HX1 4NJ",,5000,0,11/28/15
,77352733,"Unit 34 Mill House Works, Mill House Lane, Triangle, HX6 3LN",,1575,0,07/01/13
,29052756,"Unit 3D, Heywoods Industrial Park, Birds Royd Lane, Brighouse            HD6 1NA",,4700,0,01/05/16
,64448813,"Unit G3, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EQ",,3100,0,08/01/15
Kino & Co,65344516,"Unit 5B, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN","Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",4950,0,01/01/16
,77600032,"32 Town Hall Street, Sowerby Bridge, HX6 2EA",,3400,0,02/01/16
Grapevine Publications Ltd,29296723,"260A Halifax Road, Brighouse, HD6 2QG",,2950,0,02/01/16
Hebble Harlequins Ltd,65412725,"Portacabin Adj, Spring Hall Mansion, Huddersfield Road, Halifax              HX3 0AQ","Spring Hall Mansion, Salterhebble, Halifax, HX3 0AQ",7000,3388,04/01/15
,68296746,"Unit 3 Washer Lane Works, Washer Lane, Halifax, HX2 7DX",,1575,0,10/01/13
,65612727,"Unit 4 Lower Brear, Leeds Road, Halifax, HX3 7AG",,1950,0,04/01/14
,56020722,"Suite 2, The Wellbeing Centre, 2 Briggate, Elland               HX5 9DP",,880,0,07/11/14
Kino & Co,65344854,"Office H M 3.0, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN","Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",1050,0,01/01/15
,64903705,"Unit 5, Spring Hall Works, Coventry Street, Halifax              HX2 0BX",,3600,0,05/15/14
,64903702,"Unit 2, Spring Hall Works, Coventry Street, Halifax              HX2 0BX",,4600,0,05/15/14
,64903701,"Unit 1, Spring Hall Works, Coventry Street, Halifax              HX2 0BX",,4050,0,05/15/14
C P Holland & Sons Ltd,56220802,"Unit 7 Woodman Works, South Lane, Elland, HX5 0PA",,7800,1132.67,01/01/15
,64332713,"Gf Unit 2 Hough Mills, Bradford Road, Halifax, HX3 7BN",,9800,3003.92,02/01/15
Eltro Direct Uk Ltd,56212751,"Unit 2 Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",,2050,0,04/01/15
D & V Bars And Inns Ltd,56224711,"Wellington Inn, Southgate, Elland, HX5 0DQ","55 Southgate, Elland, HX5 0DQ",11000,5324,08/12/15
Infusion Concepts Ltd,77388705,"Wellington Business Park, Unit 1, Norland Road, Sowerby Bridge       HX6 3DF","South Ridge, Warley Wood Lane, Luddenden, Halifax, HX2 6BW",11500,5715.5,09/04/15
,64242813,"Unit 3 Culver Works, Hopwood Lane, Halifax, HX1 5EZ",,4600,2286.2,07/11/15
Circuit Electrical Testing Ltd,69360758,"Croftmyl, Gf Office A8, West Parade, Halifax              HX1 2EQ","Fountain Chambers, Fountain Street, Halifax, HX1 1LW",3900,1938.3,09/01/15
,65068714,"Office 4 Unit 3, Farrar Mill Yard, Farrar Mill Lane, Halifax              HX3 9EU",,950,459.8,09/01/15
G B Kits Ltd,76400727,"Suite 3 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",,1075,0,10/15/15
,69400004,"4 Westgate, Halifax, HX1 1DJ",,4250,0,05/01/15
Warmco Space Heating Ltd,29284734,"Unit 6 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL","Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1025,0,06/04/12
Horizon Auto Spares Ltd,29084855,"Unit 10 & 11, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA","Units 10 & 11, Branxholme Estate, Bradford Road, Brighouse, HD6 4EA",10500,3812.47,09/07/15
prin2 Ltd,64628847,"Unit 10A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","138 Hollingwood Lane, Bradford, BD7 4DB",1150,556.6,08/17/15
Finestreet Ltd,78192770,"21B Back Halifax Road, Todmorden, OL14 5AG","21a Halifax Road, Bramsche Square, Todmorden, OL14 5AG",2275,0,12/23/15
Hutchinson Construction [Northern] Ltd,65900705,"Empire House, 15 Mulcture Hall Road, Halifax, HX1 1SP","C/O Mr P Hutchinson, 5 Lydgate Park, Lightcliffe, Halifax, HX3 8TB",3650,1766.6,03/01/15
,64104038,"38 Back Clough, Northowram, Halifax, HX3 7HH",,1075,0,01/01/16
Denco Lubrication Ltd,29572726,"Unit 10, Thornhill Briggs Mill, Thornhills Beck Lane, Brighouse            HD6 4AW","Ramsden Court, Ramsden Road, Rotherwas Ind Estate, Hereford, HR2 6LR",3500,1694,08/01/15
Beard Enterprises Ltd,76420730,"Beard Enterprises, Old Town Mill, Wadsworth, Hebden Bridge        HX7 8SW","Old Town Mill, Wadsworth, Hebden Bridge, HX7 8TE",8000,1290.65,10/01/15
Quantum Chambers Law Ltd,29432027,"27/29 New Hey Road, Brighouse, HD6 3LP",,6300,152.46,11/01/15
J F Finnegan Ltd,64296743,"Site Office Front A & B Mill, Dean Clough Mills, Halifax, HX3 5AX","Registered Office, Wards Exchange, 199 Eccleshall Road, Sheffield, S11 8HW",5300,2565.2,12/14/14
,65396701,"South Howcans Farm, Howcans Lane, Boothtown, Halifax              HX3 6UD",,5400,0,04/01/14
The Exhaust Ejector Co.Ltd 1987 Retirement Benefit Scheme,69216702,"Grove Mill Yard, Shelf, Halifax, HX3 7PF","11 Wade House Road, Shelf, Halifax, HX3 7PE",4300,2137.1,01/01/15
Thornber Chicks Ltd,76160785,"Unit 10F, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU","Dean Hey Farm, Cragg Road, Mytholmroyd, Hebden Bridge, HX7 5RU",3300,0,01/01/16
,64224701,"Bell Hall Garage, Bell Hall, Halifax, HX1 2XP",,7900,1210.78,09/12/14
Rokt Ltd,29100703,"Black Swan Hotel, 47 Briggate, Brighouse, HD6 1EB","Climbing Gym, The Old Flour Mill, Mill Royd Street, Brighouse, HD6 1EY",9700,0,10/02/14
,64236720,"Unit 1 Eastfield Mills, Belmont Street, Halifax, HX3 6AT",,3150,0,04/01/14
,64236708,"Unit 3, Eastfield Mills, Belmont Street, Halifax             HX3 6AT",,1775,0,11/14/14
,78076017,"17 Burnley Road, Todmorden, OL14 7BU",,3850,0,01/12/15
,76677701,"Moorside Hayloft, Moorside Farm, Coppy Nook Lane, Cragg Vale           HX7 5TY",,1500,0,03/26/15
,77024788,"Unit A 2ND Floor, Asquith Bottom Mills, Asquith Bottom, Sowerby Bridge       HX6 3BS",,1175,0,01/20/15
Nhs Property Services Ltd,68104712,"Suite 1, Nursery Lane Health Centre, Nursery Lane, Halifax              HX3 5SW","C/O Gl Hearn Management Ltd, Po Box 1610, Southampton, SO15 3WX",7000,3388,01/01/11
,29092010,"10 Bridge End, Brighouse, HD6 3DH",,2650,0,01/01/14
,56212752,"Unit 3 Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",,1525,0,04/01/14
Warmco Space Heating Ltd,29284732,"Unit 1 Kirklees Steelworks, Grove Street, Brighouse, HD6 1PL","Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",1725,0,04/01/15
C3S Projects Ltd,56080700,"Adj Ardeth Engineering Ltd, Elland Bridge, Elland, HX5 0SQ","Canal Mills, Elland Bridge, Elland, HX5 0SQ",2800,1355.2,04/01/15
Machine Tool Technology Group Ltd,77108729,"Quarry House, Burnley Road, Sowerby Bridge, HX6 2TF",,7400,3677.8,05/12/14
Blackshaw Holdings Ltd,29056742,"Unit 29 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ","St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1975,0,03/01/14
Kd Glass Ltd,68536892,"Unit 11, Halifax Autocars Estate, Shay Lane, Halifax              HX3 6QU","Unit 11, Halifax Autocars Estate, Hay Lane, Halifax, HX3 6QU",8600,1803.48,08/01/14
Halifax Gearbox N Clutch Center Ltd,68536891,"Unit 5, Halifax Autocars Estate, Shay Lane, Halifax              HX3 6QU","Unit 5, Halifax Autocars Estate, Shay Lane, Halifax, HX3 6QU",11250,4763.78,08/01/14
,29032721,"Unit 6 Atlas Mill, Atlas Mill Road, Brighouse, HD6 1ES",,1825,0,08/09/14
Wright Morris Projects Ltd,56132738,"Unit 2 The Ainleys, Huddersfield Road, Elland, HX5 9JR",,2175,0,08/18/14
,65164895,"Unit 1 1ST Floor, Calder Workshops, Gibbet Street, Halifax              HX1 4JQ",,6500,262.16,04/01/14
,78076757,"218 Burnley Road, Todmorden, OL14 8EA",,2300,0,02/13/15
,78192742,"Unit 5, Nanholme Workshops, Halifax Road, Todmorden           OL14 6DA",,1375,0,07/01/15
,76160784,"Unit 10E, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,3350,0,04/01/14
Eight Sixteen Coffee Company Ltd,64296718,"F Mill Ground East A, Dean Clough Mills, Halifax, HX3 5AX",,11750,5452.52,04/01/14
,64448733,"Unit R4, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",,6900,0,09/01/14
French Pr Ltd,77196727,"Office 3, Church View Office Centre, Elland Road, Ripponden            HX6 4DB",,1475,0,07/07/14
,65516166,"166 King Cross Road, Halifax, HX1 3LN",,3000,1491,04/01/14
,78192019,"19 Halifax Road, Todmorden, OL14 5AG",,5000,2485,01/04/15
,29196702,"9 Commercial Street, Brighouse, HD6 1AF",,11250,5445,06/24/15
Ulearn Education Ltd,64242759,"Office 2 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",,3350,0,04/01/15
,29296735,"Units 4&5 The Nurseries, Halifax Road, Brighouse, HD6 2QD",,3350,0,08/01/12
,79054701,"3,4&5 The Old Pattern Works, Palace House Road, Hebden Bridge, HX7 6JS",,2550,0,02/21/14
Rackmaster Storage Systems Ltd,29452762,"Office 9, 11 Owler Ings Road, Brighouse, HD6 1EJ","Office 9, 11 Owler Ings Road, Brighouse, HD6 1EJ",2125,0,09/01/15
,77600027,"27 Town Hall Street, Sowerby Bridge, HX6 2EA",,5200,0,08/24/15
G.H.P Ltd,65900720,"Suite A2 1ST Floor, Empire House, Mulcture Hall Road, Halifax              HX1 1SP","Empire House, Mulcture Hall Road, Halifax, HX1 1SP",2550,0,09/23/15
Ash Inns (Ny) Ltd,65836701,"Junction Inn, 133 Moor Bottom Road, Illingworth, Halifax             HX2 9SX","C/O Albion Partnerships Ltd, South Lodge, Moor End, Wetherby, LS23 6ER",5300,2565.2,11/09/15
,64756047,"47/49 Crown Street, Halifax, HX1 1JB",,10000,4840,10/03/15
,78076898,"388 Burnley Road, Todmorden, OL14 8EX",,5200,0,07/01/14
,77108700,"Friendly Fisheries, Burnley Road, Sowerby Bridge, HX6 2UG",,1975,0,03/31/14
Richard Coupe Ltd,78547704,"Unit 1 Hope Mill, Crescent Street, Todmorden, OL14 5HA","Hope Mill Office, Dalton Street, Todmorden, OL14 5HJ",2150,0,06/01/14
,78192044,"44 Halifax Road, Todmorden, OL14 5QG",,2025,0,05/13/14
,78400020,"20 Rochdale Road, Todmorden, OL14 7LD",,3300,0,10/02/14
S & J Bentley & Sons Ltd,65344798,"Unit HM10 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,1650,0,03/01/14
,29080769,"Wellholme Garage, 1ST Floor, 74 Bradford Road, Brighouse            HD6 4AA",,8800,4259.2,07/07/14
Bits N Bobs Uk Ltd,65040023,"Ground Floor, 23 Emscote Street South, Halifax, HX1 3AN","52 Savile Park Street, Halifax, HX1 3EG",4450,0,02/01/14
Thetransporteruk Ltd,65040709,"Pt Grd Flr The Factory, 23 Emscote Street South, Halifax, HX1 3AN","26 Central Park, Halifax, HX1 2BT",3200,0,02/01/14
,78400831,"Unit 12B Crescent Mill, Rochdale Road, Todmorden, OL14 7LR",,3650,0,09/30/14
Litemania.Co.Uk Limited,76088888,"Unit 2G, Greenhill Industrial Estate, Mytholmroyd, Hebden Bridge        HX7 5QF","Unit 2, Greenhill Industrial Estate, Mytholmroyd, Hebden Bridge, HX7 5QF",9100,4404.4,09/01/14
,77024762,"Unit A First Floor, Asquith Bottom Mills, Asquith Bottom, Sowerby Bridge       HX6 3BS",,3250,0,01/01/14
,69296725,"Unit 37 Washer Lane Works, Washer Lane, Halifax, HX2 7DX",,1850,0,06/16/14
,68444064,"64 Saddleworth Road, Greetland, Halifax, HX4 8AG",,6400,3097.6,04/01/14
,65276706,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",,1150,0,04/09/14
,65276712,"Harrison House, 10 Harrison Road, Halifax, HX1 2AF",,3800,0,04/07/14
,69304030,"30 Waterhouse Street, Halifax, HX1 1UQ",,3850,1913.45,04/01/14
Accept Car Credit Ltd,29636732,"Unit 3 Victoria Works, The Boathouse, Wharf Street, Brighouse            HD6 1PP","Unit 3 Victoria Works, The Boathouse, Wharf Street, Brighouse, HD6 1PP",2175,0,10/01/14
John Maguire (Halifax) Ltd,65344997,"Office Hm 3.6 To 3.9, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN","Office Hm 3.9, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",6500,262.16,01/01/14
,64496024,"24 Carr House Lane, Shelf, Halifax, HX3 7RB",,730,0,03/12/14
Loans 2 Go Ltd,65516730,"235 King Cross Road, Halifax, HX1 3JL","34a Deodar Road, Putney, London, SW15 2NN",10750,5203,03/01/14
Bizspace Ltd,64628835,"Unit 16B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",1750,0,04/01/14
,65264067,"67 Hanson Lane, Halifax, HX1 5NX",,4900,2435.3,09/01/14
Virtex Marketing Ltd (Company Dissolved 12/05/15),65716703,"Kershaw House, Luddenden Lane, Luddendenfoot, Halifax             HX2 6NW","C/O The Vault, 47 Bury New Road, Prestwich, Manchester, M25 0JY",9500,4598,04/01/14
,64660068,"68 Commercial Street, Halifax, HX1 2JE",,3050,0,08/17/14
Age Uk Bradford & District,64812739,"Unit 3 Co-Op Shopping Parade, Denholmegate Road, Hipperholme, Halifax             HX3 8HX","13-17 Sunbridge Road, Bradford, BD1 2AY",10000,994,08/06/14
,76420704,"Second Floor, Old Town Mill, Wadsworth, Hebden Bridge       HX7 8SP",,960,0,04/01/14
Blackshaw Holdings Ltd,29056736,"Unit 24 Birkby House, Birkby Lane, Brighouse, HD6 4JJ","St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",1950,0,03/16/14
Proflight Uk Ltd,76400719,"Suite 2 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",,2325,0,05/01/14
,76256728,"Unit 8 Hebble End Mill, Hebble End, Hebden Bridge, HX7 6HJ",,1200,0,07/01/14
,56076701,"Elizabeth Street, Elland, HX5 0JH",,4200,0,09/01/14
Calderdale Disabled Advice Resource Team,65248708,"Suite 5 Rimani House, Hall Street, Halifax, HX1 5BD","Suite 5, Rimani House, 14 - 16 Hall Street, Halifax, HX1 5BD",4250,0,07/18/14
Hipperholme Tyre & Exhaust Ltd,65232724,"Unit 5 Lrp Business Park, Halifax Road, Hipperholme, Halifax             HX3 8HD","54 Albert Road, Pellon, Halifax, HX2 0DF",2200,0,03/31/14
Garden Street Publishing Ltd,65132708,"Office 6 Britannia Works, Garden Street North, Halifax, HX3 6AE","Claire Symons, Office 10, Britannia Works, Garden Street North, Halifax, HX3 6AE",1250,605,04/01/14
R M Mason Ltd,29408716,"Unit 4A, 7 Martin Street, Brighouse, HD6 1DA",,1600,0,06/01/14
Jcl Joinery Ltd,77196724,"Unit 10 Church View Offices, Elland Road, Ripponden, Sowerby Bridge       HX6 4DB","Unit 10 Church View Offices, Elland Road, Ripponden, HX6 4DB",760,0,10/12/13
,29404704,"Office 1, Part 1ST Flr, Town Hall (Rear), 16 Market Street, Brighouse            HD6 1AP",,3750,372.75,11/01/13
Fusee Ltd,65184705,"The Workshop, Godley Road, Halifax, HX3 6AH","Moortop House, 19 Fountain Street, Roberttown, Liversedge, WF15 7PT",3100,0,12/08/14
Blackshaw Holdings Ltd,29056752,"Unit 23 Birkby House, Birkby Lane, Bailiff Bridge, Brighouse            HD6 4JJ","St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",4000,1988,09/24/14
,65164442,"442 Gibbet Street, Halifax, HX2 0AX",,3150,0,05/08/14
Marmerel Ltd,77624708,"Victoria Road, Sowerby Bridge, HX6 3AQ","4 Slaithwaite Gate, Golcar, Huddersfield, HD7 4NS",11500,5715.5,08/03/13
,65276015,"15 Harrison Road, Halifax, HX1 2AF",,9900,0,11/29/14
,77024759,"Unit 16C, Asquith Bottom Works, Asquith Bottom, Sowerby Bridge       HX6 3BS",,570,0,11/01/14
Halifax Opportunities Trust,77500724,"Children's Centre, New Road Primary School, Sowerby New Road, Sowerby Bridge       HX6 1DY","Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",10250,101.88,07/01/14
New Road J & I School,77500723,"New Road Primary School, Sowerby New Road, Sowerby Bridge, HX6 1DY","Fao Mrs Kaye, New Road Primary School, Sowerby New Road, Sowerby Bridge, HX6 1DY",11750,5687,07/01/14
Sf Beauty Ltd,29460048,"48 Park Street, Brighouse, HD6 1JL",,9300,2475.93,07/12/14
Warmco Space Heating Ltd,56212764,"Unit 302 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY","Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",260,0,06/08/12
Hebden Bridge Amateur Boxing Club,76444717,"Mount Pleasant Mill, Midgley Road, Mytholmroyd, Hebden Bridge       HX7 5LR","Fao Clayton Varey, 19 Apple House Terrace, Luddenden, Halifax, HX2 6PU",3250,0,04/01/14
,65284702,"The Oddfellows Arms, 158 Haugh Shaw Road, Halifax, HX1 3BG",,8600,1803.48,06/16/14
,76693011,"11 Broughton Street, Hebden Bridge, HX7 8JY",,1750,0,07/13/14
,68536723,"Unit 20, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",,4650,0,11/01/14
,68308833,"Rear Of Unit 7/8, Queens Road Works, Queens Road, Halifax              HX1 3XY",,7200,696.96,11/15/14
,65344925,"Unit 3A South Mill, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",,455,0,04/01/14
Physiotherapy Works (Yorkshire) Ltd,56020719,"Suite 3, The Wellbeing Centre, 2 Briggate, Elland               HX5 9DP",,750,363,07/11/14
Distributor Corporation Uk Ltd,64778793,"Office Suite G442, G Mill, Dean Clough, Halifax, HX3 5AX","Office Suite G442, Dean Clough Mills, Halifax, HX3 5AX",7600,980.92,01/02/15
Organic Human Resources Ltd,64242756,"Office 27 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",,2425,0,04/01/14
,68580731,"Basement, 2 Silver Street, Halifax, HX1 1HS",,1025,0,12/01/13
T's Transport Ltd,56220774,"First Floor Unit 7A, Woodman Works, South Lane, Elland               HX5 0PA","First Floor, Unit 7B Woodman Works, South Lane, Elland, HX5 0PA",1100,0,07/01/14
,76088866,"Unit 15B Moderna Business Pk, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5QQ",,10000,3226.68,08/01/14
,29324002,"2 High Street, Brighouse, HD6 1DE",,7400,835.66,09/05/14
,77652088,"88 Wharf Street, Sowerby Bridge, HX6 2AF",,4300,0,11/03/14
,64788804,"Unit BR3, Dean Clough Mills, Halifax, HX3 5AX",,3600,0,05/01/14
