Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num
Department of Health,Department of Health,07/04/2011,Stock Essential Medicines Additions,NHS MEDICAL DIRECTOR,DEXCEL PHARMA LTD,0001090173,"135,889.16",
Department of Health,Department of Health,07/04/2011,Stock Essential Medicines Additions,NHS MEDICAL DIRECTOR,DEXCEL PHARMA LTD,0001090177,"137,488.03",
Department of Health,Department of Health,07/04/2011,Stock Essential Medicines Additions,NHS MEDICAL DIRECTOR,DEXCEL PHARMA LTD,0001090174,"139,207.58",
Department of Health,Department of Health,07/04/2011,Legal / Prof Fees,INFORMATICS,DLA PIPER UK LLP,12799630,"272,128.67",
Department of Health,Department of Health,07/04/2011,Professional fees,SOCIAL CARE,ECOTEC RESEARCH AND CONSULTING LTD,INV09967,"67,621.07",
Department of Health,Department of Health,07/04/2011,Computer Hardware Purch,INFORMATICS,ERGO COMPUTING UK LTD,12784520,"46,054.80",
Department of Health,Department of Health,07/04/2011,Professional fees,WORKFORCE,GENERAL MEDICAL COUNCIL,90000123,"26,994.00",
Department of Health,Department of Health,07/04/2011,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6506928,52.88,
Department of Health,Department of Health,07/04/2011,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6506928,"1,881.00",
Department of Health,Department of Health,07/04/2011,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6506928,"5,079.15",
Department of Health,Department of Health,07/04/2011,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6506928,"5,130.00",
Department of Health,Department of Health,07/04/2011,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6506928,"5,386.50",
Department of Health,Department of Health,07/04/2011,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6506928,"5,925.00",
Department of Health,Department of Health,07/04/2011,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6506928,"6,260.87",
Department of Health,Department of Health,07/04/2011,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6506928,"6,409.50",
Department of Health,Department of Health,07/04/2011,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6506928,"7,477.12",
Department of Health,Department of Health,07/04/2011,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6506928,"9,843.00",
Department of Health,Department of Health,07/04/2011,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6506928,"10,049.00",
Department of Health,Department of Health,07/04/2011,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6506928,"14,682.00",
Department of Health,Department of Health,07/04/2011,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6509088,"32,500.00",
Department of Health,Department of Health,07/04/2011,Professional fees,FINANCE & OPERATIONS (DM),GRANT THORNTON LTD,6509156,"44,997.67",
Department of Health,Department of Health,07/04/2011,Training non pay costs,HEALTH PROTECTION AND IMPROVEMENT,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,A010192,"26,525.63",
Department of Health,Department of Health,07/04/2011,Security: contract,NHS FINANCE PERFORMANCE & OPERATIONS,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,508481,"64,265.09",
Department of Health,Department of Health,07/04/2011,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430045-44693,"34,795.00",
Department of Health,Department of Health,07/04/2011,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430025-44692,"40,700.30",
Department of Health,Department of Health,07/04/2011,Other programme expenditure,POLICY & STRATEGY,INDEPENDENT HEALTHCARE ADVISORY SERVICES LTD,472,"59,760.00",
Department of Health,Department of Health,07/04/2011,Rates,FINANCE & OPERATIONS (DM),LAMBETH LONDON BOROUGH COUNCIL,390008117,"33,930.00",
Department of Health,Department of Health,07/04/2011,Rates,FINANCE & OPERATIONS (DM),LAMBETH LONDON BOROUGH COUNCIL,325683913-11.03.11,"294,941.71",
Department of Health,Department of Health,07/04/2011,Secondees in invoiced costs,SOCIAL CARE,LONDON SHA,19522563,"295,633.80",
Department of Health,Department of Health,07/04/2011,Research & development,Research & development,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-430040-44701,"46,883.45",
Department of Health,Department of Health,07/04/2011,Consultancy/Professional Advice,POLICY & STRATEGY,MCKINSEY AND CO INC UK,12456,"41,625.00",
Department of Health,Department of Health,07/04/2011,Arm Length Bodies-Capital Subsidy,HEALTH PROTECTION AND IMPROVEMENT,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHRA),1339860,"300,000.00",
Department of Health,Department of Health,07/04/2011,Grants to non profit institutions (CUR),HEALTH PROTECTION AND IMPROVEMENT,MIDDLESBROUGH COUNCIL,ERS-429999-44661,"217,805.00",
Department of Health,Department of Health,07/04/2011,Grants to non profit institutions (CUR),HEALTH PROTECTION AND IMPROVEMENT,NATIONAL HEART FORUM,ERS-430000-44662,"50,000.00",
Department of Health,Department of Health,07/04/2011,Contactor/ Staff Subsitution,SOCIAL CARE,NORTHGATE INFORMATION SOLUTIONS UK LTD,91155800,"240,000.00",
Department of Health,Department of Health,07/04/2011,Research & development,Research & development,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-430031-44689,"37,167.70",
Department of Health,Department of Health,07/04/2011,Outsourcing Contract,WORKFORCE,PUBLIC CONCERN AT WORK,26984,"47,900.40",
Department of Health,Department of Health,07/04/2011,Research & development,Research & development,ROYAL FREE HAMPSTEAD NHS TRUST,ERS-430029-44681,"37,220.86",
Department of Health,Department of Health,07/04/2011,Professional fees,NHS FINANCE PERFORMANCE & OPERATIONS,SERCO LTD,90557270,"32,330.00",
Department of Health,Department of Health,07/04/2011,Research & development,Research & development,SOUTHAMPTON UNIVERSITY HOSPITALS NHS TRUST,ERS-430050-44684,"39,150.87",
Department of Health,Department of Health,07/04/2011,Training non pay costs,FINANCE & OPERATIONS (DM),THE HAY GROUP MANAGEMENT LTD,865-865,"52,580.00",
Department of Health,Department of Health,07/04/2011,Professional fees,SOCIAL CARE,TREASURY SOLICITORS DEPARTMENT (TSOL),107526,"39,740.70",
Department of Health,Department of Health,07/04/2011,Professional fees,SOCIAL CARE,TREASURY SOLICITORS DEPARTMENT (TSOL),107171,"42,816.38",
Department of Health,Department of Health,07/04/2011,Research & development,Research & development,UNIVERSITY COLLEGE LONDON (UCL),ERS-430030-44695,"127,708.70",
Department of Health,Department of Health,07/04/2011,Revenue Grant in Aid to NDPBs,CHIEF NURSING OFFICER,YORK UNIVERSITY OF,53357,"45,936.50",
Department of Health,Department of Health,07/04/2011,Research & development,Research & development,YORK UNIVERSITY OF,ERS-430047-44699,"25,315.00",
Department of Health,Department of Health,07/04/2011,Research & development,Research & development,YORK UNIVERSITY OF,ERS-430049-44700,"27,032.00",
Department of Health,Department of Health,08/04/2011,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,ALLIANCE MEDICAL LTD,PET0083,"796,885.97",
Department of Health,Department of Health,08/04/2011,Contactor/ Staff Subsitution,SOCIAL CARE,ALPINE RESOURCING LTD,6875,"26,144.10",
Department of Health,Department of Health,08/04/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,1939001-18-APR-11,"5,798.87",
Department of Health,Department of Health,08/04/2011,Secondees in invoiced costs,COMMISSIONING,BRIGHTON & HOVE CITY TEACHING PCT,13431971,"30,000.00",
Department of Health,Department of Health,08/04/2011,Other programme expenditure,COMMISSIONING,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,152536,"250,000.00",
Department of Health,Department of Health,08/04/2011,Facilities management: contract,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"7,099.81",
Department of Health,Department of Health,08/04/2011,Cleaning: contract,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"16,873.97",
Department of Health,Department of Health,08/04/2011,Security: contract,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"16,961.89",
Department of Health,Department of Health,08/04/2011,Building repairs & maintenance,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"32,333.83",
Department of Health,Department of Health,08/04/2011,Facilities management: contract,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"13,560.96",
Department of Health,Department of Health,08/04/2011,Cleaning: contract,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"24,705.75",
Department of Health,Department of Health,08/04/2011,Building repairs & maintenance,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"31,388.28",
Department of Health,Department of Health,08/04/2011,Security: contract,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"39,180.93",
Department of Health,Department of Health,08/04/2011,Facilities management: contract,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"6,670.52",
Department of Health,Department of Health,08/04/2011,Cleaning: contract,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"11,653.11",
Department of Health,Department of Health,08/04/2011,Security: contract,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"16,479.08",
Department of Health,Department of Health,08/04/2011,Building repairs & maintenance,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"23,201.81",
Department of Health,Department of Health,08/04/2011,Cleaning: contract,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"1,703.56",
Department of Health,Department of Health,08/04/2011,Building repairs & maintenance,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"2,543.68",
Department of Health,Department of Health,08/04/2011,Facilities management: contract,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"3,524.46",
Department of Health,Department of Health,08/04/2011,Facilities management: contract,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"1,835.34",
Department of Health,Department of Health,08/04/2011,Building repairs & maintenance,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"29,484.45",
Department of Health,Department of Health,08/04/2011,Cleaning: contract,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"1,617.63",
Department of Health,Department of Health,08/04/2011,Building repairs & maintenance,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"2,520.24",
Department of Health,Department of Health,08/04/2011,Security: contract,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190731RT,"7,661.00",
Department of Health,Department of Health,08/04/2011,Addition Clearing - OLB,FINANCE & OPERATIONS (DM),EMCOR FACILITIES SERVICES LTD,00190040RI,"59,455.42",
Department of Health,Department of Health,08/04/2011,Consultancy/Professional Advice,SOCIAL CARE,Gerald Wistow Associates,1010,"49,275.00",
Department of Health,Department of Health,08/04/2011,Other programme expenditure,HEALTH PROTECTION AND IMPROVEMENT,HEALTH PROTECTION AGENCY (HPA),5307919,"92,500.00",
Department of Health,Department of Health,08/04/2011,Consultancy/Professional Advice,HEALTH PROTECTION AND IMPROVEMENT,HERTFORDSHIRE UNIVERSITY OF,00000022148,"125,114.00",
Department of Health,Department of Health,08/04/2011,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,INHEALTH LTD,SIM000057,"205,157.04",
Department of Health,Department of Health,08/04/2011,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,INHEALTH LTD,SIM000057,"574,135.14",
Department of Health,Department of Health,08/04/2011,Other programme expenditure,NHS FINANCE PERFORMANCE & OPERATIONS,INHEALTH LTD,087,"379,167.00",
Department of Health,Department of Health,08/04/2011,Storage costs,NHS MEDICAL DIRECTOR,MARTINDALE PHARMACEUTICALS LTD,A11968,"25,964.93",
Department of Health,Department of Health,08/04/2011,Storage costs,NHS MEDICAL DIRECTOR,MARTINDALE PHARMACEUTICALS LTD,A11968,"59,984.43",
Department of Health,Department of Health,08/04/2011,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,INV006813,"79,700.83",
Department of Health,Department of Health,08/04/2011,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,INV006768,"179,507.33",
Department of Health,Department of Health,08/04/2011,Outsourcing Contract,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,INV006769,"335,963.69",
Department of Health,Department of Health,08/04/2011,CIP Addition Clearing - IT,WORKFORCE,MCKESSON INFORMATION SOLUTIONS UK LTD,INV006858,"980,939.17",
Department of Health,Department of Health,08/04/2011,Outsourcing Contract,HEALTH PROTECTION AND IMPROVEMENT,MOUCHEL MANAGEMENT CONSULTING LTD,90065636,"58,326.00",
Department of Health,Department of Health,08/04/2011,Secondees in invoiced costs,HEALTH PROTECTION AND IMPROVEMENT,MRL LTD,69,"36,189.38",
Department of Health,Department of Health,08/04/2011,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,PARTNERSHIP HEALTH GROUP LTD,25744356,"1,693,964.79",
Department of Health,Department of Health,08/04/2011,Outsourcing Contract,COMMISSIONING,PETERBOROUGH PCT,3000009326,"49,500.00",
Department of Health,Department of Health,08/04/2011,Consultancy/Professional Advice,SOCIAL CARE,PORTICO CONSULTING LTD,100818,"65,600.00",
Department of Health,Department of Health,08/04/2011,Rates,FINANCE & OPERATIONS (DM),READING BOROUGH COUNCIL,511346170-1/04/11-30/06/2011,"28,446.00",
Department of Health,Department of Health,08/04/2011,Grants to non profit institutions (CUR),NHS MEDICAL DIRECTOR,ROYAL COLLEGE OF PHYSICIANS RCP,ERS-430071-44721,"96,000.00",
Department of Health,Department of Health,08/04/2011,Other programme expenditure,WORKFORCE,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4000274488,"35,429.35",
Department of Health,Department of Health,08/04/2011,Professional fees,NHS FINANCE PERFORMANCE & OPERATIONS,SPIRE HEALTHCARE LTD,CM090255,"122,302.16",
Department of Health,Department of Health,08/04/2011,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,SPIRE HEALTHCARE LTD,CM090254,"446,543.56",
Department of Health,Department of Health,08/04/2011,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,SPIRE HEALTHCARE LTD,CM090255,"446,543.56",
Department of Health,Department of Health,08/04/2011,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,SPIRE HEALTHCARE LTD,CM090254,"854,368.86",
Department of Health,Department of Health,08/04/2011,Product and distribution costs,HEALTH PROTECTION AND IMPROVEMENT,Total Produce Plc,B11020128865,"29,968.48",
Department of Health,Department of Health,08/04/2011,Product and distribution costs,HEALTH PROTECTION AND IMPROVEMENT,Total Produce Plc,B11020128933,"32,194.28",
Department of Health,Department of Health,08/04/2011,Product and distribution costs,HEALTH PROTECTION AND IMPROVEMENT,Total Produce Plc,W11020128352,"34,014.29",
Department of Health,Department of Health,08/04/2011,Product and distribution costs,HEALTH PROTECTION AND IMPROVEMENT,Total Produce Plc,W11020128875,"40,034.91",
Department of Health,Department of Health,10/04/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,1939001-18-APR-11,2.67,
Department of Health,Department of Health,11/04/2011,Storage costs,NHS MEDICAL DIRECTOR,ALLIANCE PHARMACEUTICALS LTD,0000195776,"43,701.40",
Department of Health,Department of Health,11/04/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,1939001-18-APR-11,"3,446.34",
Department of Health,Department of Health,11/04/2011,Other programme expenditure,HEALTH PROTECTION AND IMPROVEMENT,BIO PRODUCTS LABORATORY (BPL),125063*1,"168,018.00",
Department of Health,Department of Health,11/04/2011,Contactor/ Staff Subsitution,REGIONAL DIRECTORS PUBLIC HEALTH (RDsPH),BRISTOL PCT,5586066,"120,000.00",
Department of Health,Department of Health,11/04/2011,Outsourcing Contract,SOCIAL CARE,BROADCASTING SUPPORT SERVICES,S11-00573,"138,073.69",
Department of Health,Department of Health,11/04/2011,Storage costs,NHS MEDICAL DIRECTOR,CONSILIENT HEALTH UK LTD,11477,"4,891.16",
Department of Health,Department of Health,11/04/2011,Storage costs,NHS MEDICAL DIRECTOR,CONSILIENT HEALTH UK LTD,11478,"4,891.16",
Department of Health,Department of Health,11/04/2011,Storage costs,NHS MEDICAL DIRECTOR,CONSILIENT HEALTH UK LTD,11477,"27,949.49",
Department of Health,Department of Health,11/04/2011,Storage costs,NHS MEDICAL DIRECTOR,CONSILIENT HEALTH UK LTD,11478,"27,949.49",
Department of Health,Department of Health,11/04/2011,Service charge,NHS Chief Information Officer,CSC COMPUTER SCIENCES LTD,5201231103,"190,053.04",
Department of Health,Department of Health,11/04/2011,Professional fees,NHS FINANCE PERFORMANCE & OPERATIONS,DELOITTE LLP,1110657134,"15,360.00",
Department of Health,Department of Health,11/04/2011,Consultancy/Professional Advice,NHS FINANCE PERFORMANCE & OPERATIONS,DELOITTE LLP,1110657134,"21,500.00",
Department of Health,Department of Health,11/04/2011,Outsourcing Contract,HEALTH PROTECTION AND IMPROVEMENT,EXEL EUROPE LTD,6233560,"200,000.00",
Department of Health,Department of Health,11/04/2011,Other programme expenditure,POLICY & STRATEGY,INDEPENDENT HEALTHCARE ADVISORY SERVICES LTD,475,"6,745.60",
Department of Health,Department of Health,11/04/2011,Other programme expenditure,POLICY & STRATEGY,INDEPENDENT HEALTHCARE ADVISORY SERVICES LTD,475,"19,999.20",
Department of Health,Department of Health,11/04/2011,Research & development,Research & development,LEEDS UNIVERSITY OF,ERS-430124-44781,"97,685.00",
Department of Health,Department of Health,11/04/2011,Research & development,Research & development,LIVERPOOL UNIVERSITY OF,ERS-430125-44782,"125,000.00",
Department of Health,Department of Health,11/04/2011,Grants to non profit institutions (CUR),SOCIAL CARE,LOCALITY,ERS-430113-44741,"68,646.50",
Department of Health,Department of Health,11/04/2011,Training non pay costs,HEALTH PROTECTION AND IMPROVEMENT,LONDON AMBULANCE SERVICE NHS TRUST,0000050879,"41,078.40",
Department of Health,Department of Health,11/04/2011,Secondees in invoiced costs,SOCIAL CARE,MANCHESTER UNIVERSITY OF,16059742,"87,293.36",
Department of Health,Department of Health,11/04/2011,Stock Essential Medicines Additions,NHS MEDICAL DIRECTOR,MARTINDALE PHARMACEUTICALS LTD,3473924,"30,973.90",
Department of Health,Department of Health,11/04/2011,Stock Essential Medicines Additions,NHS MEDICAL DIRECTOR,MARTINDALE PHARMACEUTICALS LTD,3485017,"31,475.95",
Department of Health,Department of Health,11/04/2011,Stock Essential Medicines Additions,NHS MEDICAL DIRECTOR,MARTINDALE PHARMACEUTICALS LTD,3485017,"157,379.76",
Department of Health,Department of Health,11/04/2011,Consultancy/Professional Advice,HEALTH PROTECTION AND IMPROVEMENT,MOUCHEL MANAGEMENT CONSULTING LTD,90065059,"67,596.60",
Department of Health,Department of Health,11/04/2011,Consultancy/Professional Advice,HEALTH PROTECTION AND IMPROVEMENT,MOUCHEL MANAGEMENT CONSULTING LTD,90065059,"337,983.00",
Department of Health,Department of Health,11/04/2011,Storage costs,NHS MEDICAL DIRECTOR,MYLAN,1800000584,"89,399.40",
Department of Health,Department of Health,11/04/2011,Consultancy/Professional Advice,SOCIAL CARE,NATIONAL CENTRE FOR SOCIAL RESEARCH,0311622803,"79,750.00",
Department of Health,Department of Health,11/04/2011,Arm Length Bodies-Revenue Subsidy,HEALTH PROTECTION AND IMPROVEMENT,NHS BLOOD AND TRANSPLANT (NHSBT),946215,"30,000,000.00",
Department of Health,Department of Health,11/04/2011,Outsourcing Contract,COMMISSIONING,NHS EMPLOYERS LTD,5564,"92,000.00",
Department of Health,Department of Health,11/04/2011,Outsourcing Contract,FINANCE & OPERATIONS (DM),NHS SHARED BUSINESS SERVICES (SBS),100003036,"89,021.80",
Department of Health,Department of Health,11/04/2011,Rates,NHS FINANCE PERFORMANCE & OPERATIONS,NORTH KESTEVEN DISTRICT COUNCIL,18339600076,"25,763.50",
Department of Health,Department of Health,11/04/2011,Rates,NHS FINANCE PERFORMANCE & OPERATIONS,NORWICH CITY COUNCIL,9300367,"28,578.00",
Department of Health,Department of Health,11/04/2011,Research & development,Research & development,NOTTINGHAM UNIVERSITY OF,ERS-430127-44784,"95,800.00",
Department of Health,Department of Health,11/04/2011,Rates,NHS FINANCE PERFORMANCE & OPERATIONS,OXFORD CITY COUNCIL,711877379,"35,634.10",
Department of Health,Department of Health,11/04/2011,Computer Hardware Purch,INFORMATICS,PROBRAND LTD,12799552,0.04,
Department of Health,Department of Health,11/04/2011,Computer Maintenance,INFORMATICS,PROBRAND LTD,12799552,"143,006.15",
Department of Health,Department of Health,11/04/2011,Research & development,Research & development,QUEEN MARY AND WESTFIELD COLLEGE,ERS-430128-44785,"75,000.00",
Department of Health,Department of Health,11/04/2011,Outsourcing Contract,COMMISSIONING,ROYAL COLLEGE OF GENERAL PRACTITIONERS RCGP,INVGEN-003999,"32,040.00",
Department of Health,Department of Health,11/04/2011,Outsourcing Contract,COMMISSIONING,ROYAL COLLEGE OF GENERAL PRACTITIONERS RCGP,INVGEN-004000,"48,807.60",
Department of Health,Department of Health,11/04/2011,Training non pay costs,COMMISSIONING,SCHOOL FOR SOCIAL ENTREPRENEURS,SSE74/2010-11,"74,945.00",
Department of Health,Department of Health,11/04/2011,Grants to non profit institutions (CUR),SOCIAL CARE,SCOPE,ERS-430117-44761,"71,384.00",
Department of Health,Department of Health,11/04/2011,Research & development,Research & development,SHEFFIELD UNIVERSITY OF,ERS-430130-44786,"100,000.00",
Department of Health,Department of Health,11/04/2011,Rates,NHS FINANCE PERFORMANCE & OPERATIONS,STOCKTON-ON-TEES BOROUGH COUNCIL,11883711,"26,196.50",
Department of Health,Department of Health,11/04/2011,Rates,NHS FINANCE PERFORMANCE & OPERATIONS,TRAFFORD METROPOLITAN BOROUGH COUNCIL,09230670,"28,578.00",
Department of Health,Department of Health,11/04/2011,Research & development,Research & development,UNIVERSITY COLLEGE LONDON (UCL),ERS-430129-44783,"75,000.00",
Department of Health,Department of Health,11/04/2011,Research & development,Research & development,WARWICK UNIVERSITY OF,ERS-430131-44787,"125,000.00",
Department of Health,Department of Health,11/04/2011,Research & development,Research & development,YORK UNIVERSITY OF,ERS-430132-44788,"99,265.00",
Department of Health,Department of Health,11/04/2011,Other programme expenditure,CHIEF NURSING OFFICER,YORKSHIRE & THE HUMBER SHA,19595145,"60,000.00",
Department of Health,Department of Health,12/04/2011,Storage costs,NHS MEDICAL DIRECTOR,ALLIANCE PHARMACEUTICALS LTD,0000189116,"43,701.40",
Department of Health,Department of Health,12/04/2011,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,12806747,"79,650.00",
Department of Health,Department of Health,12/04/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,1939001-18-APR-11,"10,355.01",
Department of Health,Department of Health,12/04/2011,Conferences & seminars,COMMISSIONING,CENTRAL OFFICE OF INFORMATION (COI),734162,"65,000.00",
Department of Health,Department of Health,12/04/2011,Publicity & advertising,COMMUNICATIONS,CENTRAL OFFICE OF INFORMATION (COI),732205,"81,040.00",
Department of Health,Department of Health,12/04/2011,Grants to non profit institutions (CUR),SOCIAL CARE,DEAFINITIONS LTD,ERS-430208-44801,"35,750.00",
Department of Health,Department of Health,12/04/2011,IT minor costs non capital,FINANCE & OPERATIONS (DM),IBM UK LTD,5A02110540,"306,071.10",
Department of Health,Department of Health,12/04/2011,Secondees in invoiced costs,NHS MEDICAL DIRECTOR,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,H0054386,"47,822.00",
Department of Health,Department of Health,12/04/2011,Rates,NHS FINANCE PERFORMANCE & OPERATIONS,LEEDS CITY COUNCIL,900964298 03/03/11,"42,867.00",
Department of Health,Department of Health,12/04/2011,Secondees in invoiced costs,HEALTH PROTECTION AND IMPROVEMENT,LONDON FIRE BRIGADE,IN019881,"84,992.88",
Department of Health,Department of Health,12/04/2011,Grants to non profit institutions (CUR),SOCIAL CARE,MAYTREE RESPITE CENTRE,ERS-430211-44821,"25,625.00",
Department of Health,Department of Health,12/04/2011,Utilisation-Hep C,HEALTH PROTECTION AND IMPROVEMENT,MFET LTD,MFET-1/2011-12/MFET,"3,878,000.00",
Department of Health,Department of Health,12/04/2011,Rates,NHS FINANCE PERFORMANCE & OPERATIONS,NORTHUMBERLAND COUNTY COUNCIL,2511082340 05/03/11,"25,980.00",
Department of Health,Department of Health,12/04/2011,Rates,NHS FINANCE PERFORMANCE & OPERATIONS,NOTTINGHAM CITY COUNCIL,6639844 11/03/11,"27,495.50",
Department of Health,Department of Health,12/04/2011,Grants to non profit institutions (CUR),SOCIAL CARE,OLDER PEOPLES ADVOCACY ALL(UK),ERS-430215-44841,"38,500.00",
Department of Health,Department of Health,12/04/2011,Computer Software/License,INFORMATICS,PA CONSULTING SERVICES LTD,12764485,"30,030.00",
Department of Health,Department of Health,12/04/2011,Printing,COMMUNICATIONS,PROMOTIONAL LOGISTICS LTD,IN309677,"28,064.81",
Department of Health,Department of Health,12/04/2011,Rates,NHS FINANCE PERFORMANCE & OPERATIONS,REDBRIDGE LONDON BOROUGH COUNCIL,342000081 10/03/11,"29,898.00",
Department of Health,Department of Health,12/04/2011,Rates,NHS FINANCE PERFORMANCE & OPERATIONS,SOUTHAMPTON CITY COUNCIL,521830312 09/03/11,"53,714.04",
Department of Health,Department of Health,12/04/2011,Rates,NHS FINANCE PERFORMANCE & OPERATIONS,TONBRIDGE AND MALLING BOROUGH COUNCIL,7074385 14/03/11,"32,408.70",
Department of Health,Department of Health,12/04/2011,Travel & Subsistence,INFORMATICS,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS TRUST,12764480,"50,000.00",
Department of Health,Department of Health,12/04/2011,Travel & Subsistence,INFORMATICS,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS TRUST,12764490,"-50,000.00",
Department of Health,Department of Health,12/04/2011,Outsourcing Contract,HEALTH PROTECTION AND IMPROVEMENT,VERTEX DATA SCIENCE LTD,FI0407309,"98,169.71",
Department of Health,Department of Health,12/04/2011,Outsourcing Contract,HEALTH PROTECTION AND IMPROVEMENT,VERTEX DATA SCIENCE LTD,FI0407308,"148,085.28",
Department of Health,Department of Health,13/04/2011,Staff Consultancy & Suppt,INFORMATICS,ASE CONSULTING LTD,12823419,"138,450.00",
Department of Health,Department of Health,13/04/2011,Expense clearing GPC (ST),More than one directorate,BARCLAYCARD BUSINESS,1939001-18-APR-11,"3,022.81",
Department of Health,Department of Health,13/04/2011,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,12725331,"16,709.50",
Department of Health,Department of Health,13/04/2011,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,12725331,"21,795.00",
Department of Health,Department of Health,13/04/2011,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,12736814,"35,532.00",
Department of Health,Department of Health,13/04/2011,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,12686765,"64,228.62",
Department of Health,Department of Health,13/04/2011,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,12725279,"-64,228.62",
Department of Health,Department of Health,13/04/2011,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,12686758,"17,420.00",
Department of Health,Department of Health,13/04/2011,Staff Consultancy & Suppt,INFORMATICS,CAPGEMINI UK PLC,12686758,"45,755.00",
