Id,Title,Author,Abstract,DOI,Kw,qry-heter,qry-n,qry-ieee-1,qry-ieee-2,qry-ieee-3
,An Analysis of Public REST Web Service APIs,A. Neumann; N. Laranjeiro; J. Bernardino,"Businesses are increasingly deploying their services on the web, in the form of web applications, SOAP services, message-based services, and, more recently, REST services. Although the movement towards REST is widely recognized, there is not much concrete information regarding the technical features being used in the field, such as typical data formats, how HTTP verbs are being used, or typical URI structure, just to name a few. In this paper, we go through the Alexa.com top 4000 most popular sites to identify precisely 500 websites claiming to provide a REST web service API. We analyze these 500 APIs for key technical features, degree of compliance with REST architectural principles (e.g., resource addressability), and for adherence to best practices (e.g., API versioning). We observed several trends (e.g., widespread JSON support, software-generated documentation), but, at the same time, high diversity in services, including differences in adherence to best practices, with only 0.8% of services strictly complying with all REST principles. Our results can help practitioners evolve guidelines and standards for designing higher quality services and also understand deficiencies in currently deployed services. Researchers may also benefit from the identification of key research areas, contributing to the deployment of more reliable services.",10.1109/TSC.2018.2847344,REST;RESTful;Web Services;API;HTTP;Web;Web Services Analysis; Best practices;Documentation;Standards;Simple object access protocol;XML;Analytical models; ; ,,1,1,,
,Network management system using web services and service oriented architecture - A case study,P. Rajesh; S. Ranjiith; P. R. Soumya; V. Karthik; S. Datthathreya,"This paper presents the design and implementation of a north bound interface framework for a network management system using the Web services (WS) and service oriented architecture (SOA) technologies. The primary goal of this project is to build a consistent programmatic interface for the operations supported by individual network management stations in the network. By using the recommended framework, a unified, consistent configuration control across devices can be obtained. The framework would also allow development of intelligent service oriented network configuration systems. This paper provides the architecture and design of the system and tries to present the lessons learnt during the process of developing the architecture. It also attempts to provide directions on applicability of Web services for managing network devices. The authors have ascertained that Web services using SOAP/XML is suitable for building distributed network management applications. Once network equipment vendors start implementing the basic NETCONF specification and other similar standards using the Web service/service oriented architecture, more robust and consistent systems can be built - this paves the way for future research and implementation of advanced management systems",10.1109/NOMS.2006.1687635,North bound API;SOA;SOAP;Web Services;XML;Axis;WSDL;WSDD;NETCONF; Web services;Service oriented architecture;Computer aided software engineering;Technology management;Paper technology;Intelligent networks;Buildings;Robustness;Semiconductor optical amplifiers;Web and internet services; computer network management;Internet;telecommunication control;XML; network management system;Web services;service oriented architecture;north bound interface framework;programmatic interface;configuration control;intelligent service oriented network configuration systems;network device management;SOAP;XML;distributed network management applications;NETCONF specification;advanced management systems,,1,1,,
,"Data bases available through APIs using Restify: Characteristics, programming models, and benchmarks [Banco de Dados disponível por APIs usando Restify: Características, Modelos de Programação e Análise de Desempenho]","Marques, L F and Correia, R C M and Spadon, G and Eler, D M and Olivete-Jr, C and Garcia, R E","The volume of data exchanged by computer networks is gradually increasing over time, which provides the need for performance and interoperability between different platforms and systems. In this line, there are several studies dedicated to service-oriented software architectures and resource consumption models. However, a few of them are focused on the development of generic tools for the dynamic creation of data provisioning services. This article presents the analysis of a tool called Restify, which is able to dynamically create web services to provide an online database as a service. Restify achieved the system interoperability requirements regarding heterogeneous operations, programming languages, and server infrastructures. As a result, we observed that the performance of this tool was comparable, if not better, than other evaluated web services, such as REST and SOAP. Finally, Restify excels by behaving like an interface tool, allowing the management and integration of multiple online system tools with various relational databases. © 2017 AISTI.",10.23919/CISTI.2017.7975715,Web Service;REST;Database as a Service; Simple object access protocol;XML;Uniform resource locators;Tools;Computational modeling; application program interfaces;cloud computing;open systems;relational databases;service-oriented architecture;Web services; API;Restify;computer networks;service-oriented software architectures;resource consumption models;data provisioning services;online database as a service;system interoperability requirements;heterogeneous operations;programming languages;server infrastructures;Web services;REST;SOAP;interface tool;multiple online system tools;relational databases,,1,1,,
,Cyber security for service oriented architectures in a Web 2.0 world: An overview of SOA vulnerabilities in financial services,A. Masood,"Service oriented architecture is fast becoming ubiquitous enterprise software architecture standard in public and private sector alike. Study of literature and current attacks suggests that with the proliferation of Web API and RESTFul services, the attack vectors prioritized by OWASP top 10, including but not limited to cross site scripting (XSS), cross site request forgery (CSRF), injection, direct object reference, broken authentication and session management now equally apply to web services. In addition service oriented architecture relies heavily on XML/RESTFul web services which are vulnerable to XML Signature Wrapping Attack, Oversize Payload, Coercive parsing, SOAP Action Spoofing, XML Injection, WSDL Scanning, Metadata Spoofing, Oversized Cryptography, BPEL State Deviation, Instantiation Flooding, Indirect Flooding, WS-Addressing spoofing and Middleware Hijacking to name a few. In this paper, we review various such security issues pertaining to service oriented architecture. These and similar techniques, have been employed by Anonymous and other hacktivists, resulting in denial of service attacks on financial applications. While discussing the national security perils of hacktivism, there is an excessive focus on network layer security, and the application layer perspective is not always part of the discussion. In this research, we provide background information and rationale for securing application layer vulnerabilities to facilitate true defense in depth approach for cyber security.",10.1109/THS.2013.6698966,SOA;Service oriented architecture;Web services;cyber security;secure design;secure software development;security assessment;security awareness;Availability;Data security;Information security;Information systems;secure software development; Service-oriented architecture;XML;Simple object access protocol;Computer crime;Vectors; application program interfaces;financial data processing;security of data;service-oriented architecture;ubiquitous computing;Web services; cyber security;service oriented architectures;Web 2.0;SOA vulnerability;financial services;ubiquitous enterprise software architecture;public and private sector;Web API;RESTFul services;OWASP;cross site scripting;XSS;cross site request forgery;CSRF;direct object reference;broken authentication;session management;Web services;XML Web service;RESTFul Web service;XML signature wrapping attack;oversize payload;coercive parsing;SOAP action spoofing;XML injection;WSDL scanning;metadata spoofing;oversized cryptography;BPEL state deviation;instantiation flooding;indirect flooding;WS-addressing spoofing;middleware hijacking;denial of service attacks;financial applications;national security perils;hacktivism;network layer security;application layer perspective;background information;application layer vulnerability,,1,1,,
,Providing SOAP Web Services and RESTful Web Services from Mobile Hosts,F. AlShahwan; K. Moessner,Providing non interrupted Web Services from resource limited mobile devices in a light weight processing manner is a significant need. This paper takes a step towards achieving this goal. An implementation of two frameworks for providing Web Services from resource constraints devices is presented. The first framework is implemented to provide SOAP Web Services and the second one is implemented to provide RESTful Web Services. Each of those two frameworks has its own features and shortcomings. This paper provides a comparison between SOAP-based frameworks and RESTful-based frameworks. This comparison is carried out to allow us to decide on the framework that best suits mobile environment capabilities and fulfils our requirement of providing mobile Web Services continuously with a light weight processing requirement. This comparison is undertaken and analyzed using three different test scenarios. Our preliminary work shows that a RESTful-based MWSF is more suitable for mobile environments.,10.1109/ICIW.2010.33,RESTful-based MWSF;SOAP-based MWSF; Web services;Simple object access protocol;XML;Access protocols;Web and internet services;Uniform resource locators;Context awareness;Data security;Information security;Testing; access protocols;mobile computing;Web services; SOAP Web services;mobile device;RESTful Web services;MWSF;simple object access protocol;representational state transfer,,1,1,,
,DRWSC — To simplify dynamic invocation for RESTful Web services,Y. Chen; J. Li; Y. Lv; H. Qin; L. Zhang,"Dynamic invocation has always been a hot issue in Web services in order to take full advantage of the flexibility of services computing. One key underlying enabling technology is a self-descriptive contact between the service consumer and provider. In the SOAP-based environment, WSDL has been proven a successful description language which is widely accepted. But for many years, we cannot get the equivalent in the RESTful, another dominant style of Web services. Thanks for the announcement of WSDL 2.0 which has been designed with RESTful Web service in mind and became a recommend in 2007, developers can use it as the APIs for RESTful Web services which are attracting more and more attention of Web applications all over the world. Unfortunately, the vision is almost unfulfilled due to rare reference implementations. To fill the gap between the vision and practice, we present a useful tool for dynamically invoking RESTful Web services based on the information extracted from WSDL 2.0. Our implementation demonstrates the feasibility that dynamic invocations in general RESTful Web services can be done as easy as in SOAP-based ones.",10.1109/ICSESS.2010.5552413,WSDL 2.0;Web service;RESTful;SOAP;dynamic invocation; Simple object access protocol;Graphical user interfaces;Data mining;Service oriented architecture;Web sites; information retrieval;software architecture;Web services; DRWSC;dynamic invocation;RESTful Web service;services computing;service consumer;service provider;SOAP based environment;description language;information extraction;REpresentational State Transfer,,1,1,,
,Web service performance enhancement for portable devices modifying SOAP security principle,D. Chakroborti; S. S. Nath,"Nowadays most of the wed applications are bound to Service Oriented Architecture (SOA) [1], [11], [14] such as - inter-operable web services, and their performance and security greatly depend on the backend structure of web service. Web Service has two layers of security - message level security (WS-Security) and transport level security [18]. In WS-Security, embedding of security modules within SOAP message increases the line of code which lengthens the response time and thus decreases the overall performance of web services [13], [20]. Our experiments on different web services showed that, among three security modules of WS-Security of SOAP message, authentication module requires processing time the most, in Table I. Another essential part of web service is WSDL and security for WSDL is emphasized by few researchers recently as it is open to access and vulnerable for presenting SOAP messaging information [1], [4], [13]. Restricted access of WSDL file can play a strong role to increase the authentication and overall security of web service as in [4]. In this paper, we have proposed a new model to improve web service performance modifying the security principle of SOAP message and tethering WSDL file to facilitate authentication. Experimental results on our model have shown significant improvements in the line of code and response time over the traditional approach without compromising any WS-Security module's contrivances (Authentication, Signature, and Encryption).",10.1109/ICCITECHN.2017.8281799,Message level security;SOAP message;Web service performance;WSDL access;WS-Security; Simple object access protocol;Authentication;Performance evaluation;Encryption;Time factors; cryptography;security of data;service-oriented architecture;Web services;XML; inter-operable web services;transport level security;security modules;SOAP message;WS-Security module;web service performance enhancement;SOAP security principle;WSDL file;encryption module;signature module;authentication module;SOAP messaging information;service oriented architecture,,1,1,,
,Performance comparison of SOAP and REST based Web Services for Enterprise Application Integration,"Kumari, S and Rath, S K","Web Services are common means to exchange data and information over the network. Web Services make themselves available over the internet, where technology and platform are independent. Once web services are built it is accessed via uniform resource locator (URL) and their functionalities can be utilized in the application domain. Web services are self-contained, modular, distributed and dynamic in nature. These web services are described and then published in Service Registry e.g., UDDI and then they are invoked over the Internet. Web Services are basic Building blocks of Services Oriented Architecture (SOA). These web services can be developed based on two interaction styles such as Simple Object Access Protocol (SOAP) and Representational State Transfer Protocol (REST). It is important to select appropriate interaction styles i.e., either SOAP or REST for building Web Sevices. Choosing service interaction style is an important architectural decision for designers and developers, as it influences the underlying requirements for implementing web service solutions. In this study, the performance of application of web services for Enterprise Application Integration (EAI) based on SOAP and REST is compared. Since web services operate over network throughput and response time are considered as a metrics parameter for evaluation. © 2015 IEEE.",10.1109/ICACCI.2015.7275851,SOA;Web Service;EAI;SOAP;REST; Simple object access protocol;Time factors;Throughput;Service-oriented architecture;Buildings;Measurement; electronic commerce;service-oriented architecture;Web services; SOAP based Web services;REST based Web services;enterprise application integration;uniform resource locator;URL;service registry;services oriented architecture;SOA;Internet;simple object access protocol;representational state transfer protocol;EAI;network throughput;response time,,1,1,,
,The Importance of Web Services Using the RPC and REST Architecture,P. Mironela,"A Web service is a software application that can be accessed remotely using XML-based languages. It represents a communication interface offered by the server, through that the clients (programs on other systems) may require different information. The customer may vary, may be present on the same computer server, may be in the same local network or it may be located in the opposite part of the country. It is a method by which applications can communicate with each other through asynchronous messages or calls on remote procedure (RPC remote procedure call). So it can be concluded that a Web service is a software application that can be accessed remotely using XML-based languages. Web services are just two programs that change data between them on the Internet or Intranet in XML format called SOAP (simple object access protocol).",10.1109/ICCTD.2009.15,Web services;RPC;REST;XML;SOAP; Web services;Service oriented architecture;Web server;Application software;XML;Web and internet services;Simple object access protocol;Communication standards;Access protocols;Computer languages; protocols;Web services;XML; Web services;RPC architecture;REST architecture;XML-based languages;communication interface;computer server;remote procedure call;simple object access protocol;SOAP;Internet;Intranet;extended markup language,,1,1,,
,Semantic Web Annotation and Representation of Cloud APIs,G. Cretella; B. Di Martino,"In this paper we present an analysis of existing annotation techniques for semantic description of Application Programming Interfaces exposed as web services through SOAP or REST based protocol. We propose an original methodology and technique for semantic annotation of web APIs particularly taylored to Cloud APIs. In cloud scenario particularly important for the characterization of cloud services are the non functional requirements, such as the service level requests, offers to be matched for reach a Service Level Agreement (SLA) and offers. The technique we illustrate in this paper includes semantic description of such non functional requirement in addition to functional ones. Two case studies on semantically describing IBM and Amazon cloud APIs are provided, in the context of the Semantic Engine development for the mosaic European project.",10.1109/EIDWT.2012.61,Semantic Annotation;Cloud APIs;OWL;IBM SmartCloud;Amazon EC2;mOSAIC; Semantics;Ontologies;Cloud computing;Grounding;Simple object access protocol;Servers; application program interfaces;cloud computing;semantic Web;Web services; semantic Web annotation;Cloud API;semantic description;application programming interface;Web service;SOAP;REST based protocol;semantic annotation;Web API;nonfunctional requirement;service level request;service level agreement;SLA;IBM;Amazon cloud API;semantic engine development;mosaic European project,,1,1,,
,Integrating IMS with web services: To enable IP multimedia service oriented architectures,O. J. Bertin,"The IP multimedia subsystem has provided major advances for IP-based telecom infrastructures and services. The IMS core network enables a variety of IMS-compliant communications services to interoperate while being accessed through different kinds of access networks, preferably broadband. As both consumer and corporate users are by now used to access services, even communications services through the Web and Web-based communities and social networks, it is key for success of IMS-based services to be provided with efficient Web access, so users can benefit from those new services by using Web-based applications and user interfaces, not only IMS user equipments and SIP protocol. HP CMS has developed the mobile personal community broadcasting (MPCB) service, an IMS / Web 2.0 Live Group Video Share application that is an example of IMS video solution with strong Web 2.0 integration. The efficient integration of IMS and SOA architectures will be essential to achieve the desired goals. Both parlay-X standard WSDL should be supported as well as innovative Web 2.0 web services SDK. One of the key network elements in integrated IMS-SOA environments is the telecom Web services gateway (TWSG), exposing the rich IMS services to the SOA world in an efficient, secured and manageable manner.",10.1109/IMSAA.2008.4753920,IMS;Web 2.0;SOA;SIP;HTTP;WSDL;SOAP;REST;Parlay-X; Web services;Service oriented architecture;Telecommunications;Video sharing;Social network services;User interfaces;Access protocols;Collision mitigation;Multimedia communication;Broadcasting; IP networks;mobile communication;multimedia communication;multimedia computing;signalling protocols;subscriber loops;Web services; Web services;IP multimedia service oriented architectures;IP multimedia subsystem;IP-based telecom infrastructures;IMS core network;access networks;communications services;social networks;user equipments;SIP protocol;mobile personal community broadcasting service;IMS/Web 2.0 live group video share application;SOA architectures;parlay-X standard;telecom Web services gateway,,1,1,,
,QoS-based Discovery and Ranking of Web Services,E. Al-Masri; Q. H. Mahmoud,"Discovering Web services using keyword-based search techniques offered by existing UDDI APIs (i.e. Inquiry API) may not yield results that are tailored to clients' needs. When discovering Web services, clients look for those that meet their requirements, primarily the overall functionality and quality of service (QoS). Standards such as UDDI, WSDL, and SOAP have the potential of providing QoS-aware discovery, however, there are technical challenges associated with existing standards such as the client's ability to control and manage discovery of Web services across accessible service registries. This paper proposes a solution to this problem and introduces the Web service relevancy function (WsRF) used for measuring the relevancy ranking of a particular Web service based on client's preferences, and QoS metrics. We present experimental validation, results, and analysis of the presented ideas.",10.1109/ICCCN.2007.4317873,UDDI;Service Registries;Web Services;Quality of Service;QoS;Web Service Broker;Discovery of Web Services;Ranking of Web Services;Ranking; Web services;Quality of service;Delay;Throughput;Availability;Standards publication;Publishing;Information science;Simple object access protocol;Particle measurements; quality of service;Web services; QoS-based discovery;QoS-based ranking;quality of service;QoS-aware discovery;UDDI standard;WSDL standard;SOAP standard;Web service relevancy function;relevancy ranking,,1,1,,
,Segregating unique service object from multi-web sources for effective visualization,"Jayanthi, S K and Prema, S","Web services describe a standardized way of integrating Web-based applications using the XML (Extensible Markup Language), SOAP (Simple Object Access Protocol), WSDL and UDDI (Universal Description Discovery and Integration) open standards over an Internet protocol backbone. WSDL (Web Service Definition Language) is used for describing the available services. The dynamic approach starts with crawling on the Web for Web Services, simultaneously gathering the WSDL service descriptions and related documents. The Web APIs provide the methodology for building unique service objects from multiple web resources. In this semantic search engine, if the web user gets satisfied with the description they can crawl into the webpage, otherwise they can shift to another link. This query enhancement process is exploited to learn useful information that helps to generate related queries. In this research work the add-on is automatically generated when compared with the existing system. Add-on is programs that are integrated into the browser application, usually providing additional functionality. Finally this work gives an overview of how to segregate the unique service object (USO) using Bookshelf Data Structure from web resources and use it to semantically annotate the resulting services in visual mode. © 2012 IEEE.",10.1109/ICPRIME.2012.6208283,Book Shelf Data Structure;Unique Service Object (USO);Visualization;Web Services;WSDL; Data structures;Web pages;Web search;Pattern recognition;Informatics;Simple object access protocol; data visualisation;Web services; unique service object segregation;multi web sources;visualization;web services;XML;extensible markup language;SOAP;simple object access protocol;WSDL;UDDI;universal description discovery and integration;Internet protocol;web service definition language;web resources;semantic search engine;webpage,,1,1,,
,N-to-1 SOAP Requests Bundling for Efficient Software Service Delivery,"Li, F -L and Qian, C and Liu, W Y and Chi, C -H","One key factor towards the success of software and service is the standardization of service protocols/languages and the interoperability among them. While SOAP (Simple Object Access Protocol) is one such protocol for service message, its heavy performance overhead is often a big concern, as compared to the light-weighted REST (Representational State Transfer) and HTTP protocols. In this paper, we propose an innovative SOAP requests bundling mechanism to amortize service innovation overhead. This is done by performing serialization and de-serialization on one SOAP message for multiple requests. Details of this bundling mechanism, together with its supporting architecture are given. Our experimental results on TPCW show that the system throughput can be improved significantly, in the order of about 50% to about a few hundred percents. © 2009 IEEE.",10.1109/SERVICES-I.2009.109,Web Services;Performance;SOAP;Request Bundling; Simple object access protocol; software engineering;transport protocols;Web services; software service delivery;service languages;service protocols;simple object access protocol;service message;representational state transfer;HTTP protocols;SOAP requests bundling mechanism;service innovation overhead;SOAP message,,1,1,,
,Service Composition for REST,"Haupt, F and Fischer, M and Karastoyanova, D and Leymann, F and Vukojevic-Haupt, K","One of the key strengths of service oriented architectures, the concept of service composition to reuse and combine existing services in order to achieve new and superior functionality, promises similar advantages when applied to resources oriented architectures. The challenge in this context is how to realize service composition in compliance with the constraints defined by the REST architectural style and how to realize it in a way that it can be integrated to and benefit from existing service composition solutions. Existing approaches to REST service composition are mostly bound to the HTTP protocol and often lack a systematic methodology and a mature and standards based realization approach. In our work, we follow a comprehensible methodology by deriving the key requirements for REST service composition directly from the REST constraints and then mapping these requirements to a standard compliant extension of the BPEL composition language. We performed a general requirements analysis for REST service composition, defined a meta model for a corresponding BPEL extension, realized this extension prototypically and validated it based on a real world use case from the eScience domain. Our work provides a general methodology to enable REST service composition as well as a realization approach that enables the combined composition of WSDL and REST services in a mature and robust way. © 2014 IEEE.",10.1109/EDOC.2014.24,REST;service composition;BPEL;eScience;simulation workflow; Context;Servers;Standards;Service-oriented architecture;Unified modeling language;Computer architecture; formal specification;formal verification;natural sciences computing;service-oriented architecture;software reusability;Web Services Business Process Execution Language; service oriented architectures;service reuse;REST architectural style;REST service composition;REST constraints;BPEL composition language;requirements analysis;meta model;BPEL extension;eScience domain,,1,1,,
,Towards restful web service composition for healthcare domain,"Sumithra, R P and Sarath, R","Service Oriented Architecture (SOA) has been widely adopted by industries due to its ability to provide increased inter operability among heterogeneous systems. SOA is realized through web services which can be either based on the style of Remote Procedure call(RPC) and SOAP protocol or on the Representational State Transfer(REST) style and HTTP. RESTful web services are increasingly becoming popular in the industry because of their simplicity, uniform interface, statelessness and cacheability benefits. The ability to efficiently select and integrate appropriate heterogeneous services available on the web dynamically at runtime is essential in the development of the applications based on web services. Whenever a single web service cannot satisfy the functionality required by the user, there should be a possibility to combine several existing services together in order to fulfill the request. This need has triggered a considerable number of research efforts on the composition of web services. Although several works have focused on the composition of SOAP based web services, there has not been adequate effort towards the composition of RESTful services. However, due to the above- mentioned advantages offered by the RESTful web services, it will be beneficial to design an application as a composition of such RESTful services. Towards this objective, this paper investigates two different approaches for composing the REStful web services specifically designed for health care domain, one using the J opera tool and another using hyper media. © 2015 IEEE.",10.1109/ICCICCT.2015.7475397,REST Jopera;Hypermedia;Composition; Surgery;Schedules;Protocols;Hospitals;Service-oriented architecture; health care;service-oriented architecture;user interfaces;Web services; Web service composition;healthcare domain;service oriented architecture;SOA;interoperability;remote procedure call;RPC;SOAP protocol;representational state transfer style;REST style;RESTful Web services;cacheability benefits;SOAP-based Web services;Jopera tool,,1,1,,
,A Flexible Transformation Scheme between the 'OR' of BPMN and 'Link' of BPEL,L. Bai; J. Wei,"BPMN and BPEL are two process modeling languages with different syntax and semantics. Overriding their gaps to improve interoperability is one of the key issues in current service computing research. Recent works about the transformation between BPMN and BPEL mostly focus on a limited set of elements or well-formed structures. This paper expands the traditional methods by considering the multi-semantic element dasiaORpsila of BPMN and the non-structured element dasiaLinkpsila of BPEL. Furthermore, we present a flexible transformation scheme for them based on semantics equivalence and we finally designed and developed a prototype tool to implement our strategy. Our work is of great significance in relaxing the restriction on transformation between BPMN and BPEL and thus satisfying more business requirements.",10.1109/APSCC.2008.147,; Web services;Natural languages;Prototypes;Computer languages;Engines;Algorithm design and analysis;Process design; business data processing;program interpreters;programming language semantics;specification languages; flexible transformation scheme;BPMN;BPEL;business process modeling notation;business process execution language;multisemantic element;nonstructured element;semantic equivalence;business requirements,,1,1,,
,Static analysis for web service security - Tools &amp; techniques for a secure development life cycle,A. Masood; J. Java,"In this ubiquitous IoT (Internet of Things) era, web services have become a vital part of today's critical national and public sector infrastructure. With the industry wide adaptation of service-oriented architecture (SOA), web services have become an integral component of enterprise software eco-system, resulting in new security challenges. Web services are strategic components used by wide variety of organizations for information exchange on the internet scale. The public deployments of mission critical APIs opens up possibility of software bugs to be maliciously exploited. Therefore, vulnerability identification in web services through static as well as dynamic analysis is a thriving and interesting area of research in academia, national security and industry. Using OWASP (Open Web Application Security Project) web services guidelines, this paper discusses the challenges of existing standards, and reviews new techniques and tools to improve services security by detecting vulnerabilities. Recent vulnerabilities like Shellshock and Heartbleed has shifted the focus of risk assessment to the application layer, which for majority of organization means public facing web services and web/mobile applications. RESTFul services have now become the new service development paradigm normal; therefore SOAP centric standards such as XML Encryption, XML Signature, WS-Security, and WS-SecureConversation are nearly not as relevant. In this paper we provide an overview of the OWASP top 10 vulnerabilities for web services, and discuss the potential static code analysis techniques to discover these vulnerabilities. The paper reviews the security issues targeting web services, software/program verification and security development lifecycle.",10.1109/THS.2015.7225337,Static Code Analysis;RESTFul API;SOA;Web Services;Cyber Security;Secure Design;Secure Software Development;SOAP;Source Code Analysis;Security Code Review;Static Analysis Tool;Service Oriented Architecture;Web Services Security;Web Application security;Penetration Testing; Simple object access protocol;XML;Testing;Computer crime;Cryptography; program diagnostics;program verification;security of data;Web services; Heartbleed;risk assessment;Web applications;mobile applications;RESTFul services;service development paradigm;SOAP centric standards;XML encryption;XML signature;WS-security;WS-SecureConversation;static code analysis;software verification;program verification;Shellshock;vulnerabilities detection;services security;Web services guidelines;Open Web Application Security Project;OWASP;national security and industry;dynamic analysis;vulnerability identification;software bugs;mission critical API;public deployments;Internet scale;information exchange;strategic components;security challenges;enterprise software ecosystem;service-oriented architecture;public sector infrastructure;critical national infrastructure;Internet of Things;ubiquitous IoT;secure development life cycle;Web service security,,1,1,,
,SOAP-Based vs. RESTful Web Services: A Case Study for Multimedia Conferencing,F. Belqasmi; J. Singh; S. Y. Bani Melhem; R. H. Glitho,RESTful Web services are now emerging as an alternative to SOAP-based Web services and might be a more suitable choice in some cases. A comparison of two Web programming interfaces - the standard Parlay-X multimedia SOAP-based Web service and a RESTful Web service that offers the same functionalities - for developing multimedia conferencing applications shows that the RESTful Web interface offers better performance.,10.1109/MIC.2012.62,Media;Servers;Multimedia communication;Logic gates;Simple object access protocol;Computer architecture;Internet computing;SOAP-based Web services;RESTful Web services;multimedia conferencing;Parlay-X Web services; Media;Servers;Multimedia communication;Logic gates;Simple object access protocol;Computer architecture;Web and internet services; multimedia computing;Web services; restful Web services;Parlay-X multimedia SOAP-based Web service;multimedia conferencing applications,,1,1,,
,Binding Optimization of Web Services: A Quantitative Study of Local Repository-Based Approach,J. Kouki; W. Chainbi; K. Ghedira,"The number of Web services has substantially increased in response to the needs of business activities. Moreover, toolsets and APIs ensuring the easy development and deployment of these services have emerged. As a result, the number of registries holding the great deal of Web services has also increased. Therefore, binding these services, whenever the user needs to reuse them, is time and effort consuming. To cope with this problem and in response to the limits of current approaches, we propose a local repository-based approach to optimize the binding of the frequently used Web services. Furthermore, an experimental study is presented to situate the proposed approach to other ones dealing with the binding feature of Web services.",10.1109/ICWS.2012.110,Web Services Architecture;UDDI;SOA;Binding Web Services; Engines;Optimization;Educational institutions;Search engines;Business;Service oriented architecture; application program interfaces;business data processing;Web services; Web services;service binding optimization;local repository-based approach;business activity;toolset;API;application program interface;service development;service deployment;user reuse;Web service binding feature,,1,1,,
,Critics Say Web Services Need a REST,G. Goth,"A vocal group of developers critical of the orthodox Web Services stack is touting the use of a technology called REST, or Representational State Transfer Web Services. REST advocates a more streamlined (and familiar) XML-over-HTTP approach for exposing software functionality. Here are some of the issues being debated.",10.1109/MDSO.2004.35,Representational State Transfer Web Services;REST;Web Services;stack;SOAP; Web services;Simple object access protocol;Service oriented architecture;Web and internet services;Representational state transfer;Writing;Web sites;Scalability;Sparks; ; Representational State Transfer Web Services;REST;Web Services;stack;SOAP,,1,1,,
,Software service architecture to access weather data using RESTful web services,"Ramanathan, R and Korte, T","The field of application where sensors are used is expanding extensively fast. The ease of using these sensors is increasing as much as their variety. Generally, sensors provide information about various aspects of the real world. Sensors are used for gathering environmental information such as changes in temperature, air pressure, water quality. Sensors are also used widely in diagnosing automobiles, traffic patterns, health care and disaster management. The important task is to analyze the large amount of multidimensional data generated by diverse sensors and interoperability among various system which handles such complex data. These sensors are distributed geographically and these sensor networks do not take context information into account due to which they provide heterogeneous interfaces to access the data. To handle these issues we need to give greater importance to the interoperability of the data acquired from heterogeneous and distributed network of sensors. In this paper, we are going to propose an architecture using which the sensor data can be exposed as a service over the web. Our architecture will also take the user location into account in order to provide weather data from the nearest available sensors. We are going to use RESTful web services as it is simple, reliable and easily scalable. We are also going to use a document oriented NoSQL database. This paper also provides a detailed analysis and comparison between RESTful web services and WSDL/SOAP based web services. © 2014 IEEE.",10.1109/ICCCNT.2014.6963122,SOA;Webservices;SOAP;REST;NoSQL;JSON;Service Oriented Architecture;GeoSpatial Application; Simple object access protocol;Service-oriented architecture;Sensors;Computer architecture;Meteorology;XML; geophysics computing;meteorology;open systems;service-oriented architecture;Web services; software service architecture;weather data;RESTful Web services;environmental information;temperature changes;air pressure;water quality;automobiles;traffic patterns;health care;disaster management;multidimensional data;interoperability;document oriented NoSQL database;WSDL-SOAP based Web services,,1,1,,
,Towards Automatic Discovering for a Real-World RESTful Web Service,Q. Liu; C. Liu; H. Li; X. Xu; L. Gao,"Web services have been emerging and are by now one of the most popular techniques for building versatile distributed systems. With the increasing popularity of the Restful Web services on the network, how to select the real-world Restful Web services accurately from the ordinary web pages, thus increase the need for services discovering. In this paper, based on the researches of the SOAP-based Web services and Restful services, we develop a service pattern discovery system for the Restful Web services, and introduce the research on the service feature selecting and services classification.",10.1109/WISA.2012.35,REST;Web Services;Pattern;Classification; Web services;Feature extraction;Web pages;XML;Standards;Analysis of variance; pattern classification;Web services;Web sites; automatic discovery;real-world RESTful Web service;versatile distributed systems;Web pages;SOAP-based Web services;services classification;service feature selection,,1,1,,
,Data-Driven Workflows for Microservices: Genericity in Jolie,L. Safina; M. Mazzara; F. Montesi; V. Rivera,"Microservices is an architectural style inspired by service-oriented computing that has recently started gainingpopularity. Jolie is a programming language based on the microservices paradigm: the main building block of Jolie systems are services, in contrast to, e.g., functions or objects. The primitives offered by the Jolie language elicit many of the recurring patterns found in microservices, like load balancers and structured processes. However, Jolie still lacks some useful constructs for dealing with message types and data manipulation that are present in service-oriented computing. In this paper, we focus on the possibility of expressing choices at the level of data types, a feature well represented in standards for Web Services, e.g., WSDL. We extend Jolie to support such type choices, and enable Jolie processes to act on data generically (without knowing which type it has in the choice). We show the impact of our implementation on some of the typical scenarios found in microservice systems. This shows how computation can move from a process-driven to a data-driven approach, and leads to the preliminary identification of recurring communication patterns that can be shaped as design patterns.",10.1109/AINA.2016.95,Microservices;data-driven workflow;Jolie;genericity; Programming;Computer languages;Computer architecture;Servers;Protocols;Syntactics;Calculus; database languages;high level languages;service-oriented architecture;Web services;workflow management software; data-driven workflows;microservices;architectural style;service-oriented computing;programming language;Jolie systems;Jolie language;data manipulation;Web services,,1,1,,
