"Departmental Family","Entity","Date","Expense Type","Expense Area","Supplier","Transaction Number","Amount","Vat Registration Num"
"Department of Health","Department of Health",2011-04-06,"Staff Consultancy & Suppt","INFORMATICS","PA CONSULTING SERVICES LTD","12756682",32000,""
"Department of Health","Department of Health",2011-04-06,"Other programme expenditure","SOCIAL CARE","PLYMOUTH TEACHING PCT","3195217",35000,""
"Department of Health","Department of Health",2011-04-06,"Research & development","Research & development","PLYMOUTH UNIVERSITY OF","ERS-429920-44632",75000,""
"Department of Health","Department of Health",2011-04-06,"Grants to non profit institutions (CUR)","SOCIAL CARE","ROYAL NATIONAL INSTITUTE OF BLIND PEOPLE (RNIB)","ERS-429889-44606",63043,""
"Department of Health","Department of Health",2011-04-06,"Other programme expenditure","CHIEF NURSING OFFICER","SOUTH CENTRAL SHA","19732408",40000,""
"Department of Health","Department of Health",2011-04-06,"Research & development","Research & development","SOUTHAMPTON UNIVERSITY OF","ERS-429923-44634",5000,""
"Department of Health","Department of Health",2011-04-06,"Research & development","Research & development","SOUTHAMPTON UNIVERSITY OF","ERS-429923-44634",75000,""
"Department of Health","Department of Health",2011-04-06,"Stock Essential Medicines Additions","NHS MEDICAL DIRECTOR","TEVA UK LTD","2310200669",231547.46,""
"Department of Health","Department of Health",2011-04-06,"Stock Essential Medicines Additions","NHS MEDICAL DIRECTOR","TEVA UK LTD","2310200670",759393.36,""
"Department of Health","Department of Health",2011-04-06,"Grants to non profit institutions (CUR)","SOCIAL CARE","THE CHILDRENS SOCIETY","ERS-429893-44607",107500,""
"Department of Health","Department of Health",2011-04-06,"Grants to non profit institutions (CUR)","SOCIAL CARE","THE ROYAL ASSOCIATION FOR DISABILITY RIGHTS","ERS-429888-44605",151750,""
"Department of Health","Department of Health",2011-04-06,"Grants to non profit institutions (CUR)","SOCIAL CARE","UK COUNCIL ON DEAFNESS","ERS-429895-44609",51500,""
"Department of Health","Department of Health",2011-04-06,"Mobile Phones","INFORMATICS","VODAFONE CORPORATE LTD","12756642",44553.62,""
"Department of Health","Department of Health",2011-04-06,"Grants to non profit institutions (CUR)","SOCIAL CARE","VOLUNTEERING ENGLAND","ERS-429896-44608",345500,""
"Department of Health","Department of Health",2011-04-06,"Other programme expenditure","NHS FINANCE PERFORMANCE & OPERATIONS","WELSH ASSEMBLY GOVERNMENT","1800030091",1.2e+07,""
"Department of Health","Department of Health",2011-04-07,"Grants to non profit institutions (CUR)","SOCIAL CARE","AGE UK","ERS-430055-44703",187964.5,""
"Department of Health","Department of Health",2011-04-07,"Expense clearing GPC (ST)","More than one directorate","BARCLAYCARD BUSINESS","1939001-18-APR-11",3454.9,""
"Department of Health","Department of Health",2011-04-07,"Other programme expenditure","HEALTH PROTECTION AND IMPROVEMENT","BIO PRODUCTS LABORATORY (BPL)","1247861",84018,""
"Department of Health","Department of Health",2011-04-07,"Research & development","Research & development","BIRMINGHAM UNIVERSITY OF","ERS-430028-44690",34692.57,""
"Department of Health","Department of Health",2011-04-07,"Contr Other External","INFORMATICS","CABLE & WIRELESS UK","12792013",86838.08,""
"Department of Health","Department of Health",2011-04-07,"Capital other bud adj","COMMISSIONING","CABLE AND WIRELESS COMMUNICATION","5000001120",360000,""
"Department of Health","Department of Health",2011-04-07,"Publicity & advertising","COMMUNICATIONS","CENTRAL OFFICE OF INFORMATION (COI)","734130",35400,""
"Department of Health","Department of Health",2011-04-07,"Outsourcing Contract","WORKFORCE","CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST","2011001191",27940,""
"Department of Health","Department of Health",2011-04-07,"Research & development","Research & development","CLATTERBRIDGE CENTRE FOR ONCOLOGY NHS FOUNDATION TRUST","ERS-430041-44683",39314,""
"Department of Health","Department of Health",2011-04-07,"Grants to non profit institutions (CUR)","SOCIAL CARE","CSV","ERS-430057-44704",123000,""
"Department of Health","Department of Health",2011-04-07,"Stock Essential Medicines Additions","NHS MEDICAL DIRECTOR","DEXCEL PHARMA LTD","0001090176",102353.04,""
"Department of Health","Department of Health",2011-04-07,"Stock Essential Medicines Additions","NHS MEDICAL DIRECTOR","DEXCEL PHARMA LTD","0001090173",135889.16,""
"Department of Health","Department of Health",2011-04-07,"Stock Essential Medicines Additions","NHS MEDICAL DIRECTOR","DEXCEL PHARMA LTD","0001090177",137488.03,""
"Department of Health","Department of Health",2011-04-07,"Stock Essential Medicines Additions","NHS MEDICAL DIRECTOR","DEXCEL PHARMA LTD","0001090174",139207.58,""
"Department of Health","Department of Health",2011-04-07,"Legal / Prof Fees","INFORMATICS","DLA PIPER UK LLP","12799630",272128.67,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","SOCIAL CARE","ECOTEC RESEARCH AND CONSULTING LTD","INV09967",67621.07,""
"Department of Health","Department of Health",2011-04-07,"Computer Hardware Purch","INFORMATICS","ERGO COMPUTING UK LTD","12784520",46054.8,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","WORKFORCE","GENERAL MEDICAL COUNCIL","90000123",26994,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","FINANCE & OPERATIONS (DM)","GRANT THORNTON LTD","6506928",52.88,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","FINANCE & OPERATIONS (DM)","GRANT THORNTON LTD","6506928",1881,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","FINANCE & OPERATIONS (DM)","GRANT THORNTON LTD","6506928",5079.15,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","FINANCE & OPERATIONS (DM)","GRANT THORNTON LTD","6506928",5130,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","FINANCE & OPERATIONS (DM)","GRANT THORNTON LTD","6506928",5386.5,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","FINANCE & OPERATIONS (DM)","GRANT THORNTON LTD","6506928",5925,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","FINANCE & OPERATIONS (DM)","GRANT THORNTON LTD","6506928",6260.87,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","FINANCE & OPERATIONS (DM)","GRANT THORNTON LTD","6506928",6409.5,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","FINANCE & OPERATIONS (DM)","GRANT THORNTON LTD","6506928",7477.12,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","FINANCE & OPERATIONS (DM)","GRANT THORNTON LTD","6506928",9843,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","FINANCE & OPERATIONS (DM)","GRANT THORNTON LTD","6506928",10049,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","FINANCE & OPERATIONS (DM)","GRANT THORNTON LTD","6506928",14682,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","FINANCE & OPERATIONS (DM)","GRANT THORNTON LTD","6509088",32500,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","FINANCE & OPERATIONS (DM)","GRANT THORNTON LTD","6509156",44997.67,""
"Department of Health","Department of Health",2011-04-07,"Training non pay costs","HEALTH PROTECTION AND IMPROVEMENT","GREAT WESTERN AMBULANCE SERVICE NHS TRUST","A010192",26525.63,""
"Department of Health","Department of Health",2011-04-07,"Security: contract","NHS FINANCE PERFORMANCE & OPERATIONS","HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST","508481",64265.09,""
"Department of Health","Department of Health",2011-04-07,"Research & development","Research & development","IMPERIAL COLLEGE LONDON","ERS-430045-44693",34795,""
"Department of Health","Department of Health",2011-04-07,"Research & development","Research & development","IMPERIAL COLLEGE LONDON","ERS-430025-44692",40700.3,""
"Department of Health","Department of Health",2011-04-07,"Other programme expenditure","POLICY & STRATEGY","INDEPENDENT HEALTHCARE ADVISORY SERVICES LTD","472",59760,""
"Department of Health","Department of Health",2011-04-07,"Rates","FINANCE & OPERATIONS (DM)","LAMBETH LONDON BOROUGH COUNCIL","390008117",33930,""
"Department of Health","Department of Health",2011-04-07,"Rates","FINANCE & OPERATIONS (DM)","LAMBETH LONDON BOROUGH COUNCIL","325683913-11.03.11",294941.71,""
"Department of Health","Department of Health",2011-04-07,"Secondees in invoiced costs","SOCIAL CARE","LONDON SHA","19522563",295633.8,""
"Department of Health","Department of Health",2011-04-07,"Research & development","Research & development","MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST","ERS-430040-44701",46883.45,""
"Department of Health","Department of Health",2011-04-07,"Consultancy/Professional Advice","POLICY & STRATEGY","MCKINSEY AND CO INC UK","12456",41625,""
"Department of Health","Department of Health",2011-04-07,"Arm Length Bodies-Capital Subsidy","HEALTH PROTECTION AND IMPROVEMENT","MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHRA)","1339860",3e+05,""
"Department of Health","Department of Health",2011-04-07,"Grants to non profit institutions (CUR)","HEALTH PROTECTION AND IMPROVEMENT","MIDDLESBROUGH COUNCIL","ERS-429999-44661",217805,""
"Department of Health","Department of Health",2011-04-07,"Grants to non profit institutions (CUR)","HEALTH PROTECTION AND IMPROVEMENT","NATIONAL HEART FORUM","ERS-430000-44662",50000,""
"Department of Health","Department of Health",2011-04-07,"Contactor/ Staff Subsitution","SOCIAL CARE","NORTHGATE INFORMATION SOLUTIONS UK LTD","91155800",240000,""
"Department of Health","Department of Health",2011-04-07,"Research & development","Research & development","NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST","ERS-430031-44689",37167.7,""
"Department of Health","Department of Health",2011-04-07,"Outsourcing Contract","WORKFORCE","PUBLIC CONCERN AT WORK","26984",47900.4,""
"Department of Health","Department of Health",2011-04-07,"Research & development","Research & development","ROYAL FREE HAMPSTEAD NHS TRUST","ERS-430029-44681",37220.86,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","NHS FINANCE PERFORMANCE & OPERATIONS","SERCO LTD","90557270",32330,""
"Department of Health","Department of Health",2011-04-07,"Research & development","Research & development","SOUTHAMPTON UNIVERSITY HOSPITALS NHS TRUST","ERS-430050-44684",39150.87,""
"Department of Health","Department of Health",2011-04-07,"Training non pay costs","FINANCE & OPERATIONS (DM)","THE HAY GROUP MANAGEMENT LTD","865-865",52580,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","SOCIAL CARE","TREASURY SOLICITORS DEPARTMENT (TSOL)","107526",39740.7,""
"Department of Health","Department of Health",2011-04-07,"Professional fees","SOCIAL CARE","TREASURY SOLICITORS DEPARTMENT (TSOL)","107171",42816.38,""
"Department of Health","Department of Health",2011-04-07,"Research & development","Research & development","UNIVERSITY COLLEGE LONDON (UCL)","ERS-430030-44695",127708.7,""
"Department of Health","Department of Health",2011-04-07,"Revenue Grant in Aid to NDPBs","CHIEF NURSING OFFICER","YORK UNIVERSITY OF","53357",45936.5,""
"Department of Health","Department of Health",2011-04-07,"Research & development","Research & development","YORK UNIVERSITY OF","ERS-430047-44699",25315,""
"Department of Health","Department of Health",2011-04-07,"Research & development","Research & development","YORK UNIVERSITY OF","ERS-430049-44700",27032,""
"Department of Health","Department of Health",2011-04-08,"Outsourcing Contract","NHS FINANCE PERFORMANCE & OPERATIONS","ALLIANCE MEDICAL LTD","PET0083",796885.97,""
"Department of Health","Department of Health",2011-04-08,"Contactor/ Staff Subsitution","SOCIAL CARE","ALPINE RESOURCING LTD","6875",26144.1,""
"Department of Health","Department of Health",2011-04-08,"Expense clearing GPC (ST)","More than one directorate","BARCLAYCARD BUSINESS","1939001-18-APR-11",5798.87,""
"Department of Health","Department of Health",2011-04-08,"Secondees in invoiced costs","COMMISSIONING","BRIGHTON & HOVE CITY TEACHING PCT","13431971",30000,""
"Department of Health","Department of Health",2011-04-08,"Other programme expenditure","COMMISSIONING","CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","152536",250000,""
"Department of Health","Department of Health",2011-04-08,"Facilities management: contract","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",7099.81,""
"Department of Health","Department of Health",2011-04-08,"Cleaning: contract","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",16873.97,""
"Department of Health","Department of Health",2011-04-08,"Security: contract","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",16961.89,""
"Department of Health","Department of Health",2011-04-08,"Building repairs & maintenance","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",32333.83,""
"Department of Health","Department of Health",2011-04-08,"Facilities management: contract","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",13560.96,""
"Department of Health","Department of Health",2011-04-08,"Cleaning: contract","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",24705.75,""
"Department of Health","Department of Health",2011-04-08,"Building repairs & maintenance","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",31388.28,""
"Department of Health","Department of Health",2011-04-08,"Security: contract","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",39180.93,""
"Department of Health","Department of Health",2011-04-08,"Facilities management: contract","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",6670.52,""
"Department of Health","Department of Health",2011-04-08,"Cleaning: contract","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",11653.11,""
"Department of Health","Department of Health",2011-04-08,"Security: contract","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",16479.08,""
"Department of Health","Department of Health",2011-04-08,"Building repairs & maintenance","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",23201.81,""
"Department of Health","Department of Health",2011-04-08,"Cleaning: contract","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",1703.56,""
"Department of Health","Department of Health",2011-04-08,"Building repairs & maintenance","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",2543.68,""
"Department of Health","Department of Health",2011-04-08,"Facilities management: contract","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",3524.46,""
"Department of Health","Department of Health",2011-04-08,"Facilities management: contract","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",1835.34,""
"Department of Health","Department of Health",2011-04-08,"Building repairs & maintenance","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",29484.45,""
"Department of Health","Department of Health",2011-04-08,"Cleaning: contract","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",1617.63,""
"Department of Health","Department of Health",2011-04-08,"Building repairs & maintenance","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",2520.24,""
"Department of Health","Department of Health",2011-04-08,"Security: contract","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190731RT",7661,""
"Department of Health","Department of Health",2011-04-08,"Addition Clearing - OLB","FINANCE & OPERATIONS (DM)","EMCOR FACILITIES SERVICES LTD","00190040RI",59455.42,""
"Department of Health","Department of Health",2011-04-08,"Consultancy/Professional Advice","SOCIAL CARE","Gerald Wistow Associates","1010",49275,""
"Department of Health","Department of Health",2011-04-08,"Other programme expenditure","HEALTH PROTECTION AND IMPROVEMENT","HEALTH PROTECTION AGENCY (HPA)","5307919",92500,""
"Department of Health","Department of Health",2011-04-08,"Consultancy/Professional Advice","HEALTH PROTECTION AND IMPROVEMENT","HERTFORDSHIRE UNIVERSITY OF","00000022148",125114,""
"Department of Health","Department of Health",2011-04-08,"Outsourcing Contract","NHS FINANCE PERFORMANCE & OPERATIONS","INHEALTH LTD","SIM000057",205157.04,""
"Department of Health","Department of Health",2011-04-08,"Outsourcing Contract","NHS FINANCE PERFORMANCE & OPERATIONS","INHEALTH LTD","SIM000057",574135.14,""
"Department of Health","Department of Health",2011-04-08,"Other programme expenditure","NHS FINANCE PERFORMANCE & OPERATIONS","INHEALTH LTD","087",379167,""
"Department of Health","Department of Health",2011-04-08,"Storage costs","NHS MEDICAL DIRECTOR","MARTINDALE PHARMACEUTICALS LTD","A11968",25964.93,""
"Department of Health","Department of Health",2011-04-08,"Storage costs","NHS MEDICAL DIRECTOR","MARTINDALE PHARMACEUTICALS LTD","A11968",59984.43,""
"Department of Health","Department of Health",2011-04-08,"Outsourcing Contract","WORKFORCE","MCKESSON INFORMATION SOLUTIONS UK LTD","INV006813",79700.83,""
"Department of Health","Department of Health",2011-04-08,"Outsourcing Contract","WORKFORCE","MCKESSON INFORMATION SOLUTIONS UK LTD","INV006768",179507.33,""
"Department of Health","Department of Health",2011-04-08,"Outsourcing Contract","WORKFORCE","MCKESSON INFORMATION SOLUTIONS UK LTD","INV006769",335963.69,""
"Department of Health","Department of Health",2011-04-08,"CIP Addition Clearing - IT","WORKFORCE","MCKESSON INFORMATION SOLUTIONS UK LTD","INV006858",980939.17,""
"Department of Health","Department of Health",2011-04-08,"Outsourcing Contract","HEALTH PROTECTION AND IMPROVEMENT","MOUCHEL MANAGEMENT CONSULTING LTD","90065636",58326,""
"Department of Health","Department of Health",2011-04-08,"Secondees in invoiced costs","HEALTH PROTECTION AND IMPROVEMENT","MRL LTD","69",36189.38,""
"Department of Health","Department of Health",2011-04-08,"Outsourcing Contract","NHS FINANCE PERFORMANCE & OPERATIONS","PARTNERSHIP HEALTH GROUP LTD","25744356",1693964.79,""
"Department of Health","Department of Health",2011-04-08,"Outsourcing Contract","COMMISSIONING","PETERBOROUGH PCT","3000009326",49500,""
"Department of Health","Department of Health",2011-04-08,"Consultancy/Professional Advice","SOCIAL CARE","PORTICO CONSULTING LTD","100818",65600,""
"Department of Health","Department of Health",2011-04-08,"Rates","FINANCE & OPERATIONS (DM)","READING BOROUGH COUNCIL","511346170-1/04/11-30/06/2011",28446,""
"Department of Health","Department of Health",2011-04-08,"Grants to non profit institutions (CUR)","NHS MEDICAL DIRECTOR","ROYAL COLLEGE OF PHYSICIANS RCP","ERS-430071-44721",96000,""
"Department of Health","Department of Health",2011-04-08,"Other programme expenditure","WORKFORCE","SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST","4000274488",35429.35,""
"Department of Health","Department of Health",2011-04-08,"Professional fees","NHS FINANCE PERFORMANCE & OPERATIONS","SPIRE HEALTHCARE LTD","CM090255",122302.16,""
"Department of Health","Department of Health",2011-04-08,"Outsourcing Contract","NHS FINANCE PERFORMANCE & OPERATIONS","SPIRE HEALTHCARE LTD","CM090254",446543.56,""
"Department of Health","Department of Health",2011-04-08,"Outsourcing Contract","NHS FINANCE PERFORMANCE & OPERATIONS","SPIRE HEALTHCARE LTD","CM090255",446543.56,""
"Department of Health","Department of Health",2011-04-08,"Outsourcing Contract","NHS FINANCE PERFORMANCE & OPERATIONS","SPIRE HEALTHCARE LTD","CM090254",854368.86,""
"Department of Health","Department of Health",2011-04-08,"Product and distribution costs","HEALTH PROTECTION AND IMPROVEMENT","Total Produce Plc","B11020128865",29968.48,""
"Department of Health","Department of Health",2011-04-08,"Product and distribution costs","HEALTH PROTECTION AND IMPROVEMENT","Total Produce Plc","B11020128933",32194.28,""
"Department of Health","Department of Health",2011-04-08,"Product and distribution costs","HEALTH PROTECTION AND IMPROVEMENT","Total Produce Plc","W11020128352",34014.29,""
"Department of Health","Department of Health",2011-04-08,"Product and distribution costs","HEALTH PROTECTION AND IMPROVEMENT","Total Produce Plc","W11020128875",40034.91,""
"Department of Health","Department of Health",2011-04-10,"Expense clearing GPC (ST)","More than one directorate","BARCLAYCARD BUSINESS","1939001-18-APR-11",2.67,""
"Department of Health","Department of Health",2011-04-11,"Storage costs","NHS MEDICAL DIRECTOR","ALLIANCE PHARMACEUTICALS LTD","0000195776",43701.4,""
"Department of Health","Department of Health",2011-04-11,"Expense clearing GPC (ST)","More than one directorate","BARCLAYCARD BUSINESS","1939001-18-APR-11",3446.34,""
"Department of Health","Department of Health",2011-04-11,"Other programme expenditure","HEALTH PROTECTION AND IMPROVEMENT","BIO PRODUCTS LABORATORY (BPL)","125063*1",168018,""
"Department of Health","Department of Health",2011-04-11,"Contactor/ Staff Subsitution","REGIONAL DIRECTORS PUBLIC HEALTH (RDsPH)","BRISTOL PCT","5586066",120000,""
"Department of Health","Department of Health",2011-04-11,"Outsourcing Contract","SOCIAL CARE","BROADCASTING SUPPORT SERVICES","S11-00573",138073.69,""
"Department of Health","Department of Health",2011-04-11,"Storage costs","NHS MEDICAL DIRECTOR","CONSILIENT HEALTH UK LTD","11477",4891.16,""
"Department of Health","Department of Health",2011-04-11,"Storage costs","NHS MEDICAL DIRECTOR","CONSILIENT HEALTH UK LTD","11478",4891.16,""
"Department of Health","Department of Health",2011-04-11,"Storage costs","NHS MEDICAL DIRECTOR","CONSILIENT HEALTH UK LTD","11477",27949.49,""
"Department of Health","Department of Health",2011-04-11,"Storage costs","NHS MEDICAL DIRECTOR","CONSILIENT HEALTH UK LTD","11478",27949.49,""
"Department of Health","Department of Health",2011-04-11,"Service charge","NHS Chief Information Officer","CSC COMPUTER SCIENCES LTD","5201231103",190053.04,""
"Department of Health","Department of Health",2011-04-11,"Professional fees","NHS FINANCE PERFORMANCE & OPERATIONS","DELOITTE LLP","1110657134",15360,""
"Department of Health","Department of Health",2011-04-11,"Consultancy/Professional Advice","NHS FINANCE PERFORMANCE & OPERATIONS","DELOITTE LLP","1110657134",21500,""
"Department of Health","Department of Health",2011-04-11,"Outsourcing Contract","HEALTH PROTECTION AND IMPROVEMENT","EXEL EUROPE LTD","6233560",2e+05,""
"Department of Health","Department of Health",2011-04-11,"Other programme expenditure","POLICY & STRATEGY","INDEPENDENT HEALTHCARE ADVISORY SERVICES LTD","475",6745.6,""
"Department of Health","Department of Health",2011-04-11,"Other programme expenditure","POLICY & STRATEGY","INDEPENDENT HEALTHCARE ADVISORY SERVICES LTD","475",19999.2,""
"Department of Health","Department of Health",2011-04-11,"Research & development","Research & development","LEEDS UNIVERSITY OF","ERS-430124-44781",97685,""
"Department of Health","Department of Health",2011-04-11,"Research & development","Research & development","LIVERPOOL UNIVERSITY OF","ERS-430125-44782",125000,""
"Department of Health","Department of Health",2011-04-11,"Grants to non profit institutions (CUR)","SOCIAL CARE","LOCALITY","ERS-430113-44741",68646.5,""
"Department of Health","Department of Health",2011-04-11,"Training non pay costs","HEALTH PROTECTION AND IMPROVEMENT","LONDON AMBULANCE SERVICE NHS TRUST","0000050879",41078.4,""
"Department of Health","Department of Health",2011-04-11,"Secondees in invoiced costs","SOCIAL CARE","MANCHESTER UNIVERSITY OF","16059742",87293.36,""
"Department of Health","Department of Health",2011-04-11,"Stock Essential Medicines Additions","NHS MEDICAL DIRECTOR","MARTINDALE PHARMACEUTICALS LTD","3473924",30973.9,""
"Department of Health","Department of Health",2011-04-11,"Stock Essential Medicines Additions","NHS MEDICAL DIRECTOR","MARTINDALE PHARMACEUTICALS LTD","3485017",31475.95,""
"Department of Health","Department of Health",2011-04-11,"Stock Essential Medicines Additions","NHS MEDICAL DIRECTOR","MARTINDALE PHARMACEUTICALS LTD","3485017",157379.76,""
"Department of Health","Department of Health",2011-04-11,"Consultancy/Professional Advice","HEALTH PROTECTION AND IMPROVEMENT","MOUCHEL MANAGEMENT CONSULTING LTD","90065059",67596.6,""
"Department of Health","Department of Health",2011-04-11,"Consultancy/Professional Advice","HEALTH PROTECTION AND IMPROVEMENT","MOUCHEL MANAGEMENT CONSULTING LTD","90065059",337983,""
"Department of Health","Department of Health",2011-04-11,"Storage costs","NHS MEDICAL DIRECTOR","MYLAN","1800000584",89399.4,""
"Department of Health","Department of Health",2011-04-11,"Consultancy/Professional Advice","SOCIAL CARE","NATIONAL CENTRE FOR SOCIAL RESEARCH","0311622803",79750,""
"Department of Health","Department of Health",2011-04-11,"Arm Length Bodies-Revenue Subsidy","HEALTH PROTECTION AND IMPROVEMENT","NHS BLOOD AND TRANSPLANT (NHSBT)","946215",3e+07,""
"Department of Health","Department of Health",2011-04-11,"Outsourcing Contract","COMMISSIONING","NHS EMPLOYERS LTD","5564",92000,""
"Department of Health","Department of Health",2011-04-11,"Outsourcing Contract","FINANCE & OPERATIONS (DM)","NHS SHARED BUSINESS SERVICES (SBS)","100003036",89021.8,""
"Department of Health","Department of Health",2011-04-11,"Rates","NHS FINANCE PERFORMANCE & OPERATIONS","NORTH KESTEVEN DISTRICT COUNCIL","18339600076",25763.5,""
"Department of Health","Department of Health",2011-04-11,"Rates","NHS FINANCE PERFORMANCE & OPERATIONS","NORWICH CITY COUNCIL","9300367",28578,""
"Department of Health","Department of Health",2011-04-11,"Research & development","Research & development","NOTTINGHAM UNIVERSITY OF","ERS-430127-44784",95800,""
"Department of Health","Department of Health",2011-04-11,"Rates","NHS FINANCE PERFORMANCE & OPERATIONS","OXFORD CITY COUNCIL","711877379",35634.1,""
"Department of Health","Department of Health",2011-04-11,"Computer Hardware Purch","INFORMATICS","PROBRAND LTD","12799552",0.04,""
"Department of Health","Department of Health",2011-04-11,"Computer Maintenance","INFORMATICS","PROBRAND LTD","12799552",143006.15,""
"Department of Health","Department of Health",2011-04-11,"Research & development","Research & development","QUEEN MARY AND WESTFIELD COLLEGE","ERS-430128-44785",75000,""
"Department of Health","Department of Health",2011-04-11,"Outsourcing Contract","COMMISSIONING","ROYAL COLLEGE OF GENERAL PRACTITIONERS RCGP","INVGEN-003999",32040,""
"Department of Health","Department of Health",2011-04-11,"Outsourcing Contract","COMMISSIONING","ROYAL COLLEGE OF GENERAL PRACTITIONERS RCGP","INVGEN-004000",48807.6,""
"Department of Health","Department of Health",2011-04-11,"Training non pay costs","COMMISSIONING","SCHOOL FOR SOCIAL ENTREPRENEURS","SSE74/2010-11",74945,""
"Department of Health","Department of Health",2011-04-11,"Grants to non profit institutions (CUR)","SOCIAL CARE","SCOPE","ERS-430117-44761",71384,""
"Department of Health","Department of Health",2011-04-11,"Research & development","Research & development","SHEFFIELD UNIVERSITY OF","ERS-430130-44786",1e+05,""
"Department of Health","Department of Health",2011-04-11,"Rates","NHS FINANCE PERFORMANCE & OPERATIONS","STOCKTON-ON-TEES BOROUGH COUNCIL","11883711",26196.5,""
"Department of Health","Department of Health",2011-04-11,"Rates","NHS FINANCE PERFORMANCE & OPERATIONS","TRAFFORD METROPOLITAN BOROUGH COUNCIL","09230670",28578,""
"Department of Health","Department of Health",2011-04-11,"Research & development","Research & development","UNIVERSITY COLLEGE LONDON (UCL)","ERS-430129-44783",75000,""
"Department of Health","Department of Health",2011-04-11,"Research & development","Research & development","WARWICK UNIVERSITY OF","ERS-430131-44787",125000,""
"Department of Health","Department of Health",2011-04-11,"Research & development","Research & development","YORK UNIVERSITY OF","ERS-430132-44788",99265,""
"Department of Health","Department of Health",2011-04-11,"Other programme expenditure","CHIEF NURSING OFFICER","YORKSHIRE & THE HUMBER SHA","19595145",60000,""
"Department of Health","Department of Health",2011-04-12,"Storage costs","NHS MEDICAL DIRECTOR","ALLIANCE PHARMACEUTICALS LTD","0000189116",43701.4,""
"Department of Health","Department of Health",2011-04-12,"Staff Consultancy & Suppt","INFORMATICS","ASE CONSULTING LTD","12806747",79650,""
"Department of Health","Department of Health",2011-04-12,"Expense clearing GPC (ST)","More than one directorate","BARCLAYCARD BUSINESS","1939001-18-APR-11",10355.01,""
"Department of Health","Department of Health",2011-04-12,"Conferences & seminars","COMMISSIONING","CENTRAL OFFICE OF INFORMATION (COI)","734162",65000,""
"Department of Health","Department of Health",2011-04-12,"Publicity & advertising","COMMUNICATIONS","CENTRAL OFFICE OF INFORMATION (COI)","732205",81040,""
"Department of Health","Department of Health",2011-04-12,"Grants to non profit institutions (CUR)","SOCIAL CARE","DEAFINITIONS LTD","ERS-430208-44801",35750,""
