Accomodation/Meals,Booked through,Class of travel,Destination,Duration of Visit (Days),Mode of transport,Name,Other (including hospitality given),Purpose of trip,Start date of trip,Total Cost of Use of Official Secure Car,"Total cost, including all visas, accommodation, travel, meals etc. ()"
,Redfern,Club Class,W'Ington Dulles,,Air Tickets,"Sedwill, Mr. Mark",,External Meeting,24/10/2016,,4158.75
,Redfern,Standard,Peterborough,,Rail,"Chittenden, Mrs. Deborah",,External Meeting,25/10/2016,,43.5
,,,,,T&S - Overseas Expenses,"Clarke, Mr. Richard William John",,Taxi to Dulles Airport,25/10/2016,,56.76
,,,,,T&S - Overseas Expenses,"Clarke, Mr. Richard William John",,From Hotel to British Embassy,25/10/2016,,7.16
,Redfern,Standard,London Euston,,Rail,"Cunningham, Mr. Michael Bernard",,External Meeting,25/10/2016,,345
Hotel Standard- One- King Size,Redfern,,London Heathrow,,,"Cunningham, Mr. Michael Bernard",,External Meeting,25/10/2016,,129.6
,,,,,"T&S - Planes, Trains and Automobiles","Ind, Mr. Hugh Timothy",,Fares - visit to Indian High Commission in Aldwych - London.,25/10/2016,,4.8
,,,,,"T&S - Planes, Trains and Automobiles","O'brien, Mr. John",,Underground to Paddington,25/10/2016,,2.4
,,,,,"Canteens, Lunches, Vending","Oppenheim, Mr. Jeremy",,working lunch with officers from Wiltshire Police to discuss a historic case of child sexual abuse.,25/10/2016,,13.5
,Redfern,Standard,Birmingham International,,Rail,"Parr, Mr. Matthew",,External Meeting,25/10/2016,,70
,Redfern,Standard,London Euston,,Rail,"Parr, Mr. Matthew",,External Meeting,25/10/2016,,38
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Clarke, Mr. Richard William John",,Heathrow Express - From Airport strait into Work,26/10/2016,,22
,,,,,Taxis,"Freston, Mrs. Penny",,travel to Manchester airport from hotel,26/10/2016,,12.5
,,,,,Taxis,"Freston, Mrs. Penny",,travel from Manchester NBTC to train station,26/10/2016,,15
,,,,,Taxis,"Lloyd, Ms. Myrtle",,Taxi from home to railway station.  No parking available.  No suitable public transport.,26/10/2016,,7.7
,,,,,Taxis,"Lloyd, Ms. Myrtle",,"taxi from railway station to home. No suitable public transport, and No space in Car park.",26/10/2016,,7.7
,,,,,T&S - Subsistence,"Lloyd, Ms. Myrtle",,Left home at 5:45.  Breakfast on train.,26/10/2016,,5.5
,Redfern,Standard,Liverpool Lime Street,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,26/10/2016,,159
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,26/10/2016,,110
,,,,,"T&S - Planes, Trains and Automobiles","O'brien, Mr. John",,Underground from Paddington,26/10/2016,,2.4
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,taxi from Cabinet Office to 2MS,26/10/2016,,7
,,,,,Taxis,"Parsons, Mr. Michael John",,Station to Capitol,26/10/2016,,5
,,,,,Taxis,"Parsons, Mr. Michael John",,DBS to Station,26/10/2016,,5
,Redfern,Standard,Liverpool Lime Street,,Rail,"Parsons, Mr. Michael John",,External Meeting,26/10/2016,,119
,Redfern,Standard,London Paddington,,Rail,"Sedwill, Mr. Mark",,External Meeting,26/10/2016,,22
,Redfern,Standard,London Kings Cross,,Rail,"Williams, Ms. Wendy",,External Meeting,26/10/2016,,140
,,,,,"T&S - Planes, Trains and Automobiles","Dottridge, Mr. Adrian Yme",,Tube to Euston,27/10/2016,,2.4
Hotel Room,Redfern,,Liverpool,,,"Dottridge, Mr. Adrian Yme",,External Meeting,27/10/2016,,70.6
,Redfern,Standard,Liverpool Lime Street,,Rail,"Dottridge, Mr. Adrian Yme",,External Meeting,27/10/2016,,312
,,,,,T&S - Subsistence,"Duffy, Mr. Philip",,Evening meal whilst in Manchester,27/10/2016,,17.05
,,,,,T&S - Hotels,"Duffy, Mr. Philip",,Travel to Manchester,27/10/2016,,2.4
Hotel Deluxe- Classic Room,Redfern,,Manchester,,,"Duffy, Mr. Philip",,External Meeting,27/10/2016,,85.6
,Redfern,Standard,Manchester Piccadilly,,Rail,"Duffy, Mr. Philip",,External Meeting,27/10/2016,,332
Hotel Room,Redfern,,London Gatwick,,,"Eastaugh, Mr. Tony",,External Meeting,27/10/2016,,78.6
,Redfern,Standard,Liverpool Lime Street,,Rail,"Oppenheim, Mr. Jeremy",,External Meeting,27/10/2016,,153.2
,Redfern,Standard,Birmingham New St,,Rail,"Williams, Ms. Wendy",,External Meeting,27/10/2016,,70
,Redfern,Standard,Newcastle,,Rail,"Williams, Ms. Wendy",,External Meeting,27/10/2016,,174.7
,,,,,"T&S - Planes, Trains and Automobiles","Dottridge, Mr. Adrian Yme",,Tube from Euston,28/10/2016,,2.4
,,,,,T&S - Hotels,"Duffy, Mr. Philip",,Overnight stay in Manchester,28/10/2016,,85
,Redfern,Standard,Manchester Airport,,Rail,"Duffy, Mr. Philip",,External Meeting,28/10/2016,,7.9
,,,,,Taxis,"Hepple, Mr. Tyson Julian",,Taxi from Glasgow Airport to office,28/10/2016,,20
,Redfern,Economy,Glasgow,,Air Tickets,"Hepple, Mr. Tyson Julian",,External Meeting,28/10/2016,,150.75
,,,,,Miscellaneous,"Hills, Mr. Gareth David",,Costs of vaccinations (at CityDoc Victoria)  for India vsit,28/10/2016,,110
,Redfern,Economy,Hiroshima,,Air Tickets,"Clarke, Mr. Richard William John",,External Meeting,30/10/2016,,1441.85
Hotel Room,Redfern,,Liverpool,,,"Eastaugh, Mr. Tony",,External Meeting,31/10/2016,,43.05
Hotel Room,Redfern,,Manchester,,,"Eastaugh, Mr. Tony",,External Meeting,31/10/2016,,51.55
,Redfern,Standard,Manchester Piccadilly,,Rail,"Eastaugh, Mr. Tony",,External Meeting,31/10/2016,,81.4
,Redfern,Upper Class,Delhi,,Air Tickets,"Hills, Mr. Gareth David",,External Meeting,31/10/2016,,2828.45
,,,,,T&S - Hotels,"Oppenheim, Mr. Jeremy",,lunch for SMT Awayday,31/10/2016,,14.31
,,,,,Taxis,"Sutton, Mr. Kenneth David",,Unable to use public transport,31/10/2016,,7
,,,,,Taxis,"Sutton, Mr. Kenneth David",,Unable to use public transport,31/10/2016,,10
,,,,,Miscellaneous,"Sutton, Mr. Kenneth David",,Working lunch,31/10/2016,,5.7
,Redfern,Standard,London Zones 1-4,,Rail,"Sutton, Mr. Kenneth David",,External Meeting,31/10/2016,,13.1
,Redfern,Standard,Newport Gwent,,Rail,"Sutton, Mr. Kenneth David",,External Meeting,31/10/2016,,210.5
,,,,,T&S - Hotels,"Wilkinson, Ms. Patsy",,Reacall from Leave - Accommodation Costs,31/10/2016,,251.46
,,,,,Miscellaneous,"Wilkinson, Ms. Patsy",,Recall from Leave - flights for spouse,31/10/2016,,113.07
,,,,,Miscellaneous,"Wilkinson, Ms. Patsy",,Recall from leave - flights,31/10/2016,,157.52
,Redfern,Standard,Birmingham New St,,Rail,"Williams, Ms. Wendy",,External Meeting,31/10/2016,,104.4
,Redfern,Standard,London Euston,,Rail,"Williams, Ms. Wendy",,External Meeting,31/10/2016,,22
,Redfern,Standard,London Euston,,Rail,"Cunningham, Mr. Michael Bernard",,External Meeting,01/11/2016,,345
Hotel Standard- One- King Size,Redfern,,London Heathrow,,,"Cunningham, Mr. Michael Bernard",,External Meeting,01/11/2016,,258.6
,,,,,"T&S - Planes, Trains and Automobiles","Eastaugh, Mr. Tony",,Had to pay for fuel as car collection outside of hire office hours.,01/11/2016,,75
Hotel Business Class,Redfern,,Newcastle,,,"Eastaugh, Mr. Tony",,External Meeting,01/11/2016,,139.6
,Redfern,Standard,London Zones 1-6,,Rail,"France, Mr. David Paul",,External Meeting,01/11/2016,,17.2
,,,,,T&S - Overseas Expenses,"Hills, Mr. Gareth David",,2x24hr Delhi rate of 6100.5 less two hotel/office travel costs of 528.5,01/11/2016,,136.64
,,,,,T&S - Overseas Expenses,"Hills, Mr. Gareth David",,"Hotel costs at Taj Mahal 1 - 3 November, New Delhi. Hotel booked by British High Commission at their Preferential Rates.",01/11/2016,,282.59
,,,,,Taxis,"Lamberti, Mr. David James",,Coventry St to College of Policing,01/11/2016,,20.3
,,,,,Taxis,"Lamberti, Mr. David James",,College of Policing to Coventry St,01/11/2016,,17
,Redfern,Standard,Coventry,,Rail,"Lamberti, Mr. David James",,External Meeting,01/11/2016,,116
,Redfern,Standard,Leicester,,Rail,"Lincoln, Mr. Paul Michael",,External Meeting,01/11/2016,,149.5
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Montgomery, Sir Charles Percival",,Travel to Gatwick Airport meeting,01/11/2016,,3
,,,,,T&S - Subsistence,"Montgomery, Sir Charles Percival",,Refreshment during travel to Gatwick meeting and back to office,01/11/2016,,2.55
,Redfern,Standard,Gatwick Airport,,Rail,"Montgomery, Sir Charles Percival",,External Meeting,01/11/2016,,17.6
,Redfern,Standard,Birmingham New St,,Rail,"Morrison, Mr. Paul Noble Wilson",,External Meeting,01/11/2016,,274.5
,Redfern,Standard,Birmingham New St,,Rail,"Morrison, Mr. Paul Noble Wilson",,,01/11/2016,,-160
,Redfern,Standard,Birmingham New St,,Rail,"Sedwill, Mr. Mark",,External Meeting,01/11/2016,,185.5
,Redfern,Standard,London Euston,,Rail,"Sedwill, Mr. Mark",,External Meeting,01/11/2016,,15.5
,Redfern,Standard,London Zones 1-6,,Rail,"Sedwill, Mr. Mark",,External Meeting,01/11/2016,,17.2
,,,,,Miscellaneous,"Sutton, Mr. Kenneth David",,Working lunch,01/11/2016,,7.95
,,,,,Taxis,"Sutton, Mr. Kenneth David",,Unable to use public transport,01/11/2016,,8
,Redfern,Standard,West Croydon,,Rail,"Wilkinson, Ms. Patsy",,External Meeting,01/11/2016,,11.1
,Redfern,Standard,Liverpool Lime Street,,Rail,"Chittenden, Mrs. Deborah",,External Meeting,02/11/2016,,149
Hotel Room,Redfern,,East Midlands,,,"Eastaugh, Mr. Tony",,External Meeting,02/11/2016,,80.7
,Redfern,Standard,London Zones 1-4,,Rail,"France, Mr. David Paul",,External Meeting,02/11/2016,,12.1
,,,,,Taxis,"Lloyd, Ms. Myrtle",,"Taxi from home to railway station. No suitable public transport, and no space in car par,",02/11/2016,,7.5
,,,,,T&S - Subsistence,"Lloyd, Ms. Myrtle",,Overnight stay.  Dinner bill.,02/11/2016,,19.47
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Tube ticket. Commuting between office and hotel while in London.,02/11/2016,,4.8
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Lloyd, Ms. Myrtle",,External Meeting,02/11/2016,,231
,,,,,Conferences (& Hospitality),"Sedwill, Mr. Mark",,Night return from Australian High Commission meeting,02/11/2016,,11.14
,,,,,Taxis,"Thomson, Mr. Mark David",,Taxi from station to Liverpool office,02/11/2016,,4.4
,,,,,Taxis,"Thomson, Mr. Mark David",,Taxi from Liverpool office to station,02/11/2016,,3
,Redfern,Standard,Newcastle,,Rail,"Williams, Ms. Wendy",,External Meeting,02/11/2016,,41
,,,,,Taxis,"Arnott, Dr. Robert Henry",,Evesham Stn to Lygham Arms Hotel (Supers Assocn),03/11/2016,,17
,Redfern,Standard,Evesham,,Rail,"Arnott, Dr. Robert Henry",,External Meeting,03/11/2016,,75.4
,Redfern,Standard,London Zones 1-4,,Rail,"France, Mr. David Paul",,External Meeting,03/11/2016,,12.1
,,,,,"T&S - Planes, Trains and Automobiles","Hills, Mr. Gareth David",,Incorrect ticket bought for the Express,03/11/2016,,22
,Redfern,Premium,London Heathrow,,Air Tickets,"Hills, Mr. Gareth David",,External Meeting,03/11/2016,,686.2
,Redfern,Standard,London Paddington,,Rail,"Hills, Mr. Gareth David",,External Meeting,03/11/2016,,10.2
,,,,,Taxis,"Lloyd, Ms. Myrtle",,"Taxi from railway station to home.  No suitable public transport, no space in car par,",03/11/2016,,8
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Tube fare between office and hotel while in London.,03/11/2016,,2.4
,,,,,Conferences (& Hospitality),"Sedwill, Mr. Mark",,Travel to station for Windsor Leadership Conference,03/11/2016,,5.19
,Redfern,Standard,Windsor & Eton Riverside,,Rail,"Sedwill, Mr. Mark",,External Meeting,03/11/2016,,10.1
,Redfern,Standard,Birmingham New St,,Rail,"Webb, Mr. Stephen",,External Meeting,03/11/2016,,170
,Redfern,Standard,Grantham,,Rail,"Wren, Mr. Simon William",,External Meeting,03/11/2016,,48.2
,,,,,Taxis,"Arnott, Dr. Robert Henry",,Paddington Stn to 2MS (from Supers' Assocn to BF Bd),04/11/2016,,18
,,,,,Taxis,"Arnott, Dr. Robert Henry",,Lygon Arms Hotel to Evesham Stn (Supers Assocn),04/11/2016,,15
,,,,,Taxis,"France, Mr. David Paul",,Taxi back to Bristol Temple Meads station after meeting with Chief Constable Andy Marsh of Avon and Somerset Constabulary.,04/11/2016,,25.2
,Redfern,Standard,Bristol Temple Meads,,Rail,"France, Mr. David Paul",,External Meeting,04/11/2016,,71.2
,Redfern,Standard,Guildford Station,,Rail,"France, Mr. David Paul",,External Meeting,04/11/2016,,9.1
,Redfern,Standard,Middlesbrough,,Rail,"Hepple, Mr. Tyson Julian",,External Meeting,04/11/2016,,203.9
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,emergency travel from home to office. (Came into work whilst away from teh office on sick leave),04/11/2016,,28.38
,,,,,T&S - Overseas Expenses,"Shipley, Mr. Gordon Michael",,Visiting FirstNet,04/11/2016,,42.95
,,,,,"T&S - Planes, Trains and Automobiles","Wilkinson, Miss Sarah Fay",,Visit to Avon & Somerset Constabulary,04/11/2016,,44
,Redfern,Standard,Bristol Temple Meads,,Rail,"Wilkinson, Miss Sarah Fay",,External Meeting,04/11/2016,,201.16
,Redfern,Economy,Dubai,,Air Tickets,"Dottridge, Mr. Adrian Yme",,External Meeting,06/11/2016,,369.41
,Redfern,Standard,Gatwick Airport,,Rail,"Dottridge, Mr. Adrian Yme",,External Meeting,06/11/2016,,38.8
,,,,,T&S - Employee Reimbursed Mileage,"Greaves, Mr. Daniel Paul",,Return from home to Ashridge for SLS leaders course,07/11/2016,,32
,,,,,Taxis,"Lincoln, Mr. Paul Michael",,Travel from Nothampton Rail Station to Police HQ,07/11/2016,,9
,,,,,Taxis,"Lincoln, Mr. Paul Michael",,Travel from Police HQ to Northampton Rail Station,07/11/2016,,7.2
,Redfern,Standard,Northampton,,Rail,"Lincoln, Mr. Paul Michael",,External Meeting,07/11/2016,,17.6
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,"Parking at railway station.  No suitable public transport, cheaper than taxi.",07/11/2016,,6.7
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Lloyd, Ms. Myrtle",,External Meeting,07/11/2016,,256
,,,,,T&S - Hotels,"Montgomery, Sir Charles Percival",,Dinner for overnight stay in Dover during visit to Folkstone/Calais Border Force operation centres,07/11/2016,,25
,Redfern,Standard,Dover Stns,,Rail,"Montgomery, Sir Charles Percival",,External Meeting,07/11/2016,,30.2
,Redfern,Standard,HEATHROW TERM123,,Rail,"Montgomery, Sir Charles Percival",,External Meeting,07/11/2016,,49
Hotel Room,Redfern,,Manston,,,"Montgomery, Sir Charles Percival",,External Meeting,07/11/2016,,161.2
,,,,,"Canteens, Lunches, Vending","Oppenheim, Mr. Jeremy",,early morning coffee with Kelly Ryan and Richard Clarke.,07/11/2016,,5.5
,,,,,"Canteens, Lunches, Vending","Oppenheim, Mr. Jeremy",,"lunch with Kelly Ryan, Co-ordinator for Intergovernmental Consultations",07/11/2016,,62.1
,Redfern,Economy,Bristol,,Web Transaction,"Williams, Ms. Wendy",,External Meeting,07/11/2016,,18
,Redfern,Economy,Bristol,,Web Transaction,"Williams, Ms. Wendy",,External Meeting,07/11/2016,,35.14
,Redfern,Standard,Newport Gwent,,Rail,"Chittenden, Mrs. Deborah",,External Meeting,08/11/2016,,112
,,,,,T&S - Subsistence,"Dottridge, Mr. Adrian Yme",,Evening meal whilst overseas- Dubai,08/11/2016,,21.92
,,,,,T&S - Hotels,"Dottridge, Mr. Adrian Yme",,Overseas Hotel accommodation in Dubai,08/11/2016,,420.53
,,,,,T&S - Hotels,"Dottridge, Mr. Adrian Yme",,Overseas hotel costs for colleague (Corporate card not held),08/11/2016,,415.71
,,,,,T&S - Subsistence,"Duffy, Mr. Philip",,refreshments,08/11/2016,,3.26
,,,,,Miscellaneous,"Duffy, Mr. Philip",,From Airport,08/11/2016,,43.6
,,,,,T&S - Subsistence,"Duffy, Mr. Philip",,refreshments,08/11/2016,,3.72
,,,,,Miscellaneous,"Duffy, Mr. Philip",,taxi in athens,08/11/2016,,88.95
,,,,,T&S - Hotels,"Duffy, Mr. Philip",,View Point Heathrow,08/11/2016,,2.9
,Redfern,Economy,Athens,,Air Tickets,"Duffy, Mr. Philip",,External Meeting,08/11/2016,,361.51
Hotel (Foreign) Room,Redfern,,Athens,,,"Duffy, Mr. Philip",,External Meeting,08/11/2016,,102.6
,,,,,Miscellaneous,"Ind, Mr. Hugh Timothy",,Hosted Dinner for Chinese Delegation - Senior Chinese Diplomats,08/11/2016,,339.45
Hotel Room,Redfern,,London,,,"Ind, Mr. Hugh Timothy",,External Meeting,08/11/2016,,110.35
,Redfern,,,,Billback Fee,"Ind, Mr. Hugh Timothy",,External Meeting,08/11/2016,,0.6
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Montgomery, Sir Charles Percival",,Tube from Kings X to Waterloo,08/11/2016,,2.4
,Redfern,Standard,London St Pancras,,Rail,"Montgomery, Sir Charles Percival",,External Meeting,08/11/2016,,44.2
,Redfern,Standard,Liverpool Lime Street,,Rail,"Morrison, Mr. Paul Noble Wilson",,External Meeting,08/11/2016,,313
,,,,,Miscellaneous,"Oppenheim, Mr. Jeremy",,personal mobile used for business calls. 70% of bill claimed,08/11/2016,,19.94
,,,,,T&S - Employee Reimbursed Mileage,"Sedwill, Mr. Mark",,Work travel for official visit.,08/11/2016,,24.28
,Redfern,Standard,Stafford,,Rail,"Williams, Ms. Wendy",,External Meeting,08/11/2016,,95.5
,,,,,T&S - Subsistence,"Dottridge, Mr. Adrian Yme",,Food whilst in at Dubai airport,09/11/2016,,21.11
,Redfern,Standard,Paddock Wood,,Rail,"Dottridge, Mr. Adrian Yme",,External Meeting,09/11/2016,,22.9
,,,,,T&S - Subsistence,"Duffy, Mr. Philip",,refreshments,09/11/2016,,3.6
,,,,,Taxis,"France, Mr. David Paul",,"Taxi from Liverpool Lime Street station to hotel, for meeting with DBS colleagues the next day",09/11/2016,,7
Hotel Standard- One- King Size,Redfern,,Liverpool,,,"France, Mr. David Paul",,External Meeting,09/11/2016,,70.6
,Redfern,Standard,Liverpool Lime Street,,Rail,"France, Mr. David Paul",,External Meeting,09/11/2016,,142
,,,,,Taxis,"Ind, Mr. Hugh Timothy",,Returns Preparation Event - Sheffield - taxi from station to event,09/11/2016,,5
,,,,,Taxis,"Ind, Mr. Hugh Timothy",,Returns Preparation Event - Sheffield - taxi from event to Vulcan House,09/11/2016,,5
,Redfern,Standard,Sheffield,,Rail,"Ind, Mr. Hugh Timothy",,External Meeting,09/11/2016,,179
,,,,,Taxis,"Leach, Mrs. Paula Michelle",,Manchester - CIPD event,09/11/2016,,5
,Redfern,Standard,Manchester Oxford Road,,Rail,"Leach, Mrs. Paula Michelle",,External Meeting,09/11/2016,,125
,,,,,Taxis,"Lloyd, Ms. Myrtle",,"Taxi from home to railway station. No suitable public transport, No Parking spaces.",09/11/2016,,7.7
,,,,,T&S - Subsistence,"Lloyd, Ms. Myrtle",,Overnight in London.  Dinner bill.,09/11/2016,,25.1
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Tube fare,09/11/2016,,4.8
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Lloyd, Ms. Myrtle",,External Meeting,09/11/2016,,138.5
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,09/11/2016,,231
Hotel Room,Redfern,,Birmingham,,,"Tribe, Mr. Lee Kelvin",,External Meeting,09/11/2016,,86.55
,Redfern,Standard,Worcester Shrub Hill,,Rail,"Tribe, Mr. Lee Kelvin",,External Meeting,09/11/2016,,78.4
,Redfern,Standard,Sheffield,,Rail,"Wells, Mr. Michael Charles",,External Meeting,09/11/2016,,70.5
,Redfern,Standard,London Paddington,,Rail,"Chittenden, Mrs. Deborah",,INTERNAL MEETING,10/11/2016,,39.7
,,,,,"Canteens, Lunches, Vending","Duffy, Mr. Philip",,The Cheif Operating Officer's Regional Directors Meal,10/11/2016,,189
,,,,,T&S - Hotels,"Duffy, Mr. Philip",,Senior Directors meal - Kings Cross,10/11/2016,,2.4
,Redfern,Standard,London Euston,,Rail,"France, Mr. David Paul",,External Meeting,10/11/2016,,81.4
,,,,,Taxis,"Leach, Mrs. Paula Michelle",,Manchester - CIPD event,10/11/2016,,6
,Redfern,Standard,London Euston,,Rail,"Leach, Mrs. Paula Michelle",,External Meeting,10/11/2016,,81.4
,,,,,Taxis,"Lincoln, Mr. Paul Michael",,From Woking Station to Gorse Hill Hotel for SafeLives Visit,10/11/2016,,9
,,,,,Taxis,"Lincoln, Mr. Paul Michael",,Travel from Grose Hill Hotel to Woking Station,10/11/2016,,10
,Redfern,Standard,Woking (Main),,Rail,"Lincoln, Mr. Paul Michael",,External Meeting,10/11/2016,,14.1
,,,,,Taxis,"Lloyd, Ms. Myrtle",,"Taxi from railway station to home.  No suitable public transport, No car park spaces.",10/11/2016,,7.7
,,,,,"T&S - Planes, Trains and Automobiles","Lloyd, Ms. Myrtle",,Tube fare,10/11/2016,,2.4
,Redfern,Standard,Chester,,Rail,"Lloyd, Ms. Myrtle",,External Meeting,10/11/2016,,146
,Redfern,Standard,Chester,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,10/11/2016,,140
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,taxi from 2MS to Cabinet Office with colleague Offer Stern-Weiner,10/11/2016,,6.51
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,Emergency travel from home to office (came in whilst out of the office on sick leave).,10/11/2016,,38.5
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,return emergecny travel from office to home (casme to work whilst out of the office on sick leave).,10/11/2016,,32.55
,Redfern,Standard,Manchester Piccadilly,,Rail,"Parsons, Mr. Michael John",,External Meeting,10/11/2016,,153.2
,,,,,Taxis,"Tribe, Mr. Lee Kelvin",,From hotel to venue (West Mercia HQ),10/11/2016,,12.5
,,,,,T&S - Overseas Expenses,"Williams, Mr. Glyn",,contactless charge - 2 x single tube journeys Zone 1 - cheaper than Redfern booking system.,10/11/2016,,4.8
,Redfern,Standard,Manchester Piccadilly,,Rail,"Williams, Ms. Wendy",,External Meeting,10/11/2016,,113
,Redfern,Standard,Newcastle,,Rail,"Williams, Ms. Wendy",,External Meeting,10/11/2016,,22
,Redfern,Standard,Oxford,,Rail,"Spencer, Dr. Fiona Margaret",,External Meeting,11/11/2016,,61.2
,,,,,Miscellaneous,"Sutton, Mr. Kenneth David",,Working lunch,14/11/2016,,41.46
,,,,,Taxis,"Tribe, Mr. Lee Kelvin",,Shared Cab with Oliver Moorey,14/11/2016,,8.5
,,,,,Taxis,"Tribe, Mr. Lee Kelvin",,Shared Cab with Oliver Moorey,14/11/2016,,10
,Redfern,Standard,OXFORD PARKWAY,,Rail,"Tribe, Mr. Lee Kelvin",,External Meeting,14/11/2016,,42.5
,Redfern,Economy,Bristol,,Web Transaction,"Williams, Ms. Wendy",,External Meeting,14/11/2016,,49.79
,,,,,T&S - Hotels,"Duffy, Mr. Philip",,An early departure for Berlin no public transport available,15/11/2016,,22
,,,,,T&S - Hotels,"Duffy, Mr. Philip",,Train tikes for flight from Paddington to Heathrow for Athens,15/11/2016,,5.5
,,,,,T&S - Hotels,"Duffy, Mr. Philip",,Cross London travel for vist to Berlin,15/11/2016,,5
,Redfern,Economy,Berlin Tegel,,Air Tickets,"Duffy, Mr. Philip",,External Meeting,15/11/2016,,476.31
,Redfern,Standard,Folkestone West,,Rail,"France, Mr. David Paul",,External Meeting,15/11/2016,,43
,Redfern,Standard,London Zones 1-4,,Rail,"France, Mr. David Paul",,External Meeting,15/11/2016,,12.1
,,,,,T&S - Employee Reimbursed Mileage,"Lloyd, Ms. Myrtle",,"Under 80 miles, not cost effective to have hire car.",15/11/2016,,16.8
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Montgomery, Sir Charles Percival",,Tube from London Waterloo to London Liverpool Street for travel to Border Force Central Region Ceremony (Whittlesford),15/11/2016,,6.7
,Redfern,Standard,Whittlesford,,Rail,"Montgomery, Sir Charles Percival",,External Meeting,15/11/2016,,29.4
,,,,,Taxis,"Parsons, Mr. Michael John",,Travel to meeting in Sandridge,15/11/2016,,10.6
,,,,,Taxis,"Parsons, Mr. Michael John",,Travel from meeting in Sandridge,15/11/2016,,11
,Redfern,Standard,St Albans Station,,Rail,"Parsons, Mr. Michael John",,External Meeting,15/11/2016,,12.1
,,,,,Miscellaneous,"Sutton, Mr. Kenneth David",,Working lunch,15/11/2016,,2.65
,,,,,Taxis,"Sutton, Mr. Kenneth David",,Unable to use public transport,15/11/2016,,7
,Redfern,Standard,London Zones 1-4,,Rail,"Sutton, Mr. Kenneth David",,External Meeting,15/11/2016,,13.1
,Redfern,Standard,Stafford,,Rail,"Sutton, Mr. Kenneth David",,External Meeting,15/11/2016,,212.5
,,,,,T&S - Hotels,"Duffy, Mr. Philip",,Taxi fare from East Croydon Station to Selsdon Park,16/11/2016,,16.72
,,,,,T&S - Hotels,"Duffy, Mr. Philip",,Travel to Croydon  Director Genrals awayday,16/11/2016,,5
,Redfern,Standard,East Croydon,,Rail,"Eastaugh, Mr. Tony",,External Meeting,16/11/2016,,5.9
,Redfern,Standard,London Zones 1-4,,Rail,"France, Mr. David Paul",,External Meeting,16/11/2016,,12.1
,Redfern,Standard,East Croydon,,Rail,"Freston, Mrs. Penny",,External Meeting,16/11/2016,,11.8
,,,,,Taxis,"Ind, Mr. Hugh Timothy",,DG Directors' Away Day at Selsdon Park Hotel - taxi from East Croydon to Hotel,16/11/2016,,14
,Redfern,Standard,East Croydon,,Rail,"Ind, Mr. Hugh Timothy",,External Meeting,16/11/2016,,5.9
,,,,,Taxis,"Lloyd, Ms. Myrtle",,"Taxi from home to railway station.  No suitable public transport, No Parking spaces.",16/11/2016,,7.7
,,,,,Taxis,"Lloyd, Ms. Myrtle",,Taxi from East Croydon station to Selsdon park for BICS Away day.,16/11/2016,,13.2
,Redfern,Standard,East Croydon,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,16/11/2016,,8.3
,Redfern,Standard,ZONE U1* LONDN,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,16/11/2016,,85
,Redfern,Standard,East Croydon,,Rail,"Montgomery, Sir Charles Percival",,External Meeting,16/11/2016,,11.8
,,,,,Taxis,"Morrison, Mr. Paul Noble Wilson",,travel from east croydon station to conference venue,16/11/2016,,15
,,,,,"Canteens, Lunches, Vending","Sedwill, Mr. Mark",,VIP working dinner with official external contacts,16/11/2016,,892.69
,Redfern,Standard,East Croydon,,Rail,"Wilkinson, Ms. Patsy",,External Meeting,16/11/2016,,11.8
,,,,,T&S - Overseas Expenses,"Williams, Mr. Glyn",,outside general transport area and closer to and from home,16/11/2016,,8
,,,,,T&S - Subsistence,"Williams, Mr. Glyn",,event outside of work hours,16/11/2016,,4.25
,Redfern,Standard,London Victoria,,Rail,"Dottridge, Mr. Adrian Yme",,External Meeting,17/11/2016,,5.9
Hotel Room,Redfern,,London Heathrow,,,"Eastaugh, Mr. Tony",,External Meeting,17/11/2016,,199.6
