Billing Address,Liability Start Date,Property Address,Ratepayer,Net Debit,Property Reference,RV
"C/O Michael Devereux, Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",04/04/2010,"37 The Colonnade, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc Community Services,0,68252752,2550
,01/03/2010,"28 Spring Hall Place, Halifax, HX1 4TF",,0,68688028,3500
,01/01/2010,"98 Parkinson Lane, Halifax, HX1 3QH",,0,68224098,2325
,01/07/2012,"Blake Meadow Stables, Widdop Road, Heptonstall, Hebden Bridge        HX7 7AZ",,0,76594701,600
"Attn Ruth Robinson, Office Suite D182, Dean Clough, Halifax, HX3 5AX",01/03/2013,"Office Suite D40, Dean Clough, Halifax, HX3 5AX",Dean Clough Foundation,164.01,64778824,1650
"Office Suite E345, Dean Clough, Halifax, HX3 5AX",01/03/2013,"Office Suite D42, Dean Clough, Halifax, HX3 5AX",Dean Clough Ltd,774.4,64778825,1600
"Skircoat Moor Road, Halifax, HX3 0HG",01/01/2013,"Playing Fields, Birdcage Lane, Halifax, HX3 0JQ",Crossley Heath School Academy Trust Ltd,84.49,64252700,850
,14/01/2013,"Storeroom 3 Market Hall, Brook Street, Todmorden, OL14 5AJ",,28.56,78068733,59
,31/03/2013,"Unit 3.13 Inc 5B, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",,0,65344971,5200
"Office Suite 1, 1st Flr Burless House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",01/12/2012,"Office 1 Suite 1, 1ST Flr Burlees House, Hangingroyd Lane, Hebden Bridge        HX7 7DD",Hannah Nunn Ltd,0,76244734,4850
,07/04/2013,"Asquith Yard, Asquith Bottom Works, Sowerby Bridge, HX6 3BT",,1089,77024776,2250
,01/07/2013,"The Sidings, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,4549.6,65344973,9400
"C/O Dtz, 1 Colmore Squre, Birmingham, B4 6AJ",01/03/2013,"14 Southgate, Elland, HX5 0BW",Standard Life Trustee Company Ltd,3479,56224014,7000
,01/06/2013,"Market Stall 59-60, Market Hall, Borough Market, Halifax             HX1 1DZ",,0,64288733,4650
"Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",01/07/2013,"Office 22, Hansonlane Enterprise Centre, Hanson Lane, Halifax              HX1 5PG",Halifax Opportunities Trust,0,65264791,3050
"Cvs House, Owen Road, Diss, Norfolk, IP22 4ER",23/09/2013,"41 Burnley Road, Todmorden, OL14 7BU",Cvs (Uk) Ltd,4162.4,78076041,8600
"Office No T04, 1St Floor Cromwell House, Elland Road, Brighouse, HD6 2RG",01/10/2013,"Office No. T05, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",Replay Events Ltd,0,29236742,2125
"Frostholme Mill, Burnley Road, Todmorden, OL14 7EE",26/10/2013,"S/0 752 Burnley Road, Todmorden, OL14 8LF",Nathan Furniture Ltd,1331,78076791,2750
,01/05/2012,"11 Waterloo Road, Brighouse, HD6 2AN",,0,29616011,4050
,01/04/2010,"Unit 3 Victoria Terminal, Albert Road, Halifax, HX2 0BY",,0,64040722,4450
,01/04/2011,"10 Hall Street North, Boothtown, Halifax, HX3 6TS",Halls Decorating & Painting Contractors Ltd,0,65252010,3450
,01/07/2011,"Unit 7E, Woodman Works, South Lane, Elland               HX5 0PA",,0,56220815,2550
"C/O Michael Devereux, Piece Hall Admin Office, The Piece Hall, Halifax, HX1 1RE",07/06/2012,"43 The Colonnade, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc Community Services,0,68252743,720
,01/08/2011,"Unit 1/1A, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",,0,29420737,4550
"9A/10A & 11A Lees Buildings, Halifax Road, Hipperholme, Halifax, HX3 8EW",01/07/2012,"9A/10A &11A, Lees Buildings, Halifax Road, Hipperholme",A & B Antiques Ltd,564.68,65624706,7000
,08/08/2012,"Ridge House, Ridge Road, Todmorden, OL14 7AW",Creative Digital Print Ltd,5687,78392701,11750
"10 Marchcroft, Halifax, HX2 7NX",24/02/2012,"Unit 1A, Brearley Lane Trading Estate, Brearley Lane, Luddendenfoot        HX2 6HU",Chris Rhodes Electrical Ltd,0,64356716,2300
"Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",02/11/2011,"Units 3 & 10, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",Halifax Opportunities Trust,62.62,65264723,6300
"Patrick Studios, St Marys Lane, Leeds, LS9 7EH",01/09/2011,"Office B14 First Floor, Croft Myl, West Parade, Halifax              HX1 2EQ",East Street Arts,412.51,69360743,4150
,03/05/2013,"10-12 Clare Road, Halifax, HX1 2JR",,1987.51,64584782,8800
,01/04/2013,"Lane Ends, Wheatley, Halifax, HX2 8TW",,0,65572700,480
,02/07/2013,"4 Lees Yard, Hollins Place, Hebden Bridge, HX7 8EU",,0,76280004,5700
,01/09/2013,"Maltings Garage, Halifax Road, Hipperholme, Halifax             HX3 8HQ",Alan Douglas Haulage Ltd,1626.24,65232717,8400
,30/10/2012,"40A South Parade, Halifax, HX1 2LY",,0,68632721,2900
"Estate Office, Gledholt Business Park, Allen Row, Paddock, Huddersfield, HD1 4SB",28/05/2010,"Telecommunication Mast H3G, Wellington Mills, Quebec Street, Elland               HX5 9AS",Royds Properties Ltd,0,56196730,8400
"89 Stainland Road, Greetland, Halifax, HX4 8BD",01/06/2013,"Ground Floor, 89 Stainland Road, Greetland, Halifax              HX4 8BD",Fat Cat Associates Ltd,0,64254089,5100
"1st Floor, 1 Russell Street, Halifax, HX1 1RL",10/11/2011,"1st Floor, 1 Russell Street, Halifax, HX1 1RL",Paradise Tattoos Ltd,3775.2,68424701,7800
"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",01/04/2011,"Unit 203A Second Floor, Wilkin Royd Mills, Mill Lane, Brighouse            HD6 1PN",Warmco Space Heating Ltd,0,29420729,930
,19/08/2011,"Unit 20A Robinwood Mill, Burnley Road, Todmorden, OL14 8JA",,0,78076891,3100
,27/10/2013,"Adj Lobb Stables, Halifax Road, Todmorden, OL14 5QN",,0,78192779,1125
,02/09/2013,"156 Illingworth Road, Illingworth, Halifax, HX2 9RX",P & L Nurseries Ltd,2894.44,65424156,9700
"Coal Lane End Farm, Causeway Foot, Halifax, HX2 8YB",09/12/2013,"Coal Lane End Farm, Causeway Foot, Halifax, HX2 8YB",Arbe Integrated Engineering Ltd,500.91,64516704,6900
,09/09/2013,"34 Halifax Road, Todmorden, OL14 5QG",,0,78192034,5700
,20/12/2013,"59 Commercial Street, Halifax, HX1 1BE",,2475.93,64660748,9300
,01/04/2012,"Clough Works, Bolton Brow, Sowerby Bridge, HX6 2AL",,2710.4,77076704,5600
,20/11/2011,"Unit 7, South Street, Halifax, HX1 2EL",,1815,68640712,3750
,01/08/2013,"Unit 1A Hollins Mill, Rochdale Road, Todmorden, OL14 6SA",,0,78400717,4750
"International House, Stanley Boulevard, Hamilton International Technol, Glasgow, G72 0BN",01/04/2013,"Energetics Electricity Ltd, Oldham Road, Ripponden, Sowerby Bridge       HX6 4DP",Energetics Electricity Ltd,104.06,77408776,215
,01/03/2012,"Top Floor Glass Roof, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",Holmfield Indoor Sports Centre,372.68,65344897,1925
,26/04/2012,"Unit 3 The Warehouse, Wood Street, Brighouse, HD6 1PW",,0,29648716,5200
,05/03/2012,"Office Suite D144, Dean Clough Mills, Halifax, HX3 5AX",,0,64778782,1350
,01/04/2012,"Unit 2 Victoria Works, Victoria Road, Hebden Bridge, HX7 8JX",Hebden Flooring Ltd,0,76560714,5100
"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",07/01/2014,"Unit 59 The Bradley Room, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,0,68252774,5300
,01/03/2014,"Triangle Post Office, 55 Rochdale Road, Triangle, Sowerby Bridge      HX6 3NE",,0,77608055,2275
,01/10/2013,"76 Hopwood Lane, Halifax, HX1 4DG",,0,64242076,1300
,01/04/2012,"Part Ground Floor, Royd House, Birds Royd Lane, Brighouse           HD6 1LQ",,2261.35,29052725,4550
"C/O Bilfinger Gva, Po Box 6079, Wolverhampton, WV1 9RA",31/12/2009,"Telecomms Mast, Site Ref Wyk 7046, Windle Royd Lane, Halifax              HX2 7LY",Everything Everywhere Ltd,0,69585703,3200
,01/07/2011,"Unit B First Floor, Asquith Bottom Mills, Asquith Bottom, Sowerby Bridge       HX6 3BS",,0,77024763,1300
"Offices 7-9 Britannia Works, Garden Street North, Halifax, HX3 6AE",25/03/2014,"Offices 7-9 Britannia Works, Garden Street North, Halifax, HX3 6AE",E.J.G Associates Ltd,0,65132717,4350
"2 Cross Lane, Elland, HX5 0QQ",01/04/2013,"275 Queens Road, Halifax, HX1 4NS",Visage Beauty Salon Ltd,0,68308275,3300
,01/03/2014,"1 Thomas Street South, Halifax, HX1 4DS",,0,69036001,3100
,13/07/2012,"54 Oxford Lane, Siddal, Halifax, HX3 9BJ",,0,68168054,1475
,01/11/2011,"9 Carlton Street, Halifax, HX1 2AL",,2634.1,64488709,5300
"Unit 10H, Calderdale Business Park, Club Lane, Halifax, HX2 8AX",10/09/2012,"Unit 10H, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Friendly Private Hire Ltd,0,64628845,1450
"17 Pittville Street, Cheltenham, GL54 2LN",02/02/2012,"12 Bull Green, Halifax, HX1 5AB",Bridgfords,3678.4,64436012,7600
,18/10/2012,"Spring Wood Studio 1, Adj Fern Hill, Lee Mill Road, Hebden Bridge        HX7 7AB",,726,76661701,1500
"Swales Moor Farm, Swales Moor Road, Halifax, HX3 6UF",01/11/2012,"Sect 3A Unit 6, Pellon Industrial Estate, Queens Road, Halifax              HX1 4PS",Leo Sawrij Ltd,3230.5,68308820,6500
"Thornton Square, Brighouse, HD6 1ED",05/11/2012,"Town Hall, Thornton Square, Brighouse, HD6 1EA",Town Hall Dental Ltd,3049.2,29576702,6300
,17/11/2012,"Unit 27, Phoebe Lane Industrial Est., Halifax, HX3 9EX",,0,68248716,950
,02/01/2013,"Unit HM5 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,0,65344793,3000
,31/10/2012,"109 Haley Hill, Halifax, HX3 6EE",,0,65224109,1675
,07/05/2012,"Unit 9 Mill House Works, Mill House Lane, Triangle, HX6 3LN",,0,77352734,1050
,01/01/2013,"Unit 1, Dean Hey Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,0,76160805,5200
"Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",01/04/2012,"Unit 29A First Floor, Asquith Bottom Works, Water Street, Sowerby Bridge       HX6 3BS",Units To Let [Northern] Ltd,0,77690715,2175
"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",01/04/2012,"Unit 204 2ND Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",Warmco Space Heating Ltd,0,56212734,370
,01/04/2012,"Unit 109 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",,0,56212729,700
,01/04/2012,"Unit 305 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",,348.48,56212744,720
"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",01/04/2012,"Unit 305A 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",Warmco Space Heating Ltd,0,56212745,720
,26/03/2013,"47 Stainland Road, Greetland, Halifax, HX4 8BD",,0,68772047,3500
,01/10/2012,"Empire House, Mulcture Hall Road, Halifax, HX1 1SP",,0,65900711,3800
"Office Hm 2.11, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",01/12/2012,"Office H M 2.11, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Homestart Calderdale,51.69,65344882,5200
"Fao Andrew Pitts, Westgate House, Westgate, Halifax, HX1 1PS",20/08/2012,"Hebden Royd Town Council, 1ST & 2ND Flr The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Calderdale Mbc Neighbourhood And Community Engagement Team,1234.2,76500739,2550
,01/04/2012,"Car Sales Site, Junction Of Trimmingham Lane, Burnley Road, Halifax              HX2 7JG",,0,64444707,1800
,01/04/2013,"Unit 3, The Ainleys, Huddersfield Road, Elland              HX5 9JR",,0,56132739,1425
"5 Thorne Street, Stainland, Halifax, HX4 9EZ",01/05/2013,"Thorne Street, Stainland, Halifax, HX4 9EZ",Honeycombe Kitchens Ltd,0,69048700,2900
,01/07/2013,"Part 1ST Floor, Woodvale House, Woodvale Road, Brighouse            HD6 4AB",Vapour Media Ltd,1987.51,29656726,8800
,01/08/2013,"Unit 2 1ST Floor, James Street Mills, James Street, Elland               HX5 0HB",,0,56144732,4700
,01/12/2012,"Office At Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",Yorkshire Office Services Ltd,0,76244735,3050
"Cvs House, Owen Road, Diss, Norfolk, IP22 4ER",23/09/2013,"11 Elizabeth Street, Elland, HX5 0JH",Cvs (Uk) Ltd,3581.6,56076011,7400
,25/10/2013,"Unit 18, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW",Tbr Services Ltd,5203,65752716,10750
,01/03/2013,"Thorpe House, Rochdale Road, Triangle, Sowerby Bridge       HX6 3DJ",,0,77464707,5300
"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",29/06/2012,"Unit 8, River Street Business Park, River Street, Brighouse            HD6 1LU",Warmco Space Heating Ltd,0,29492735,1550
,04/12/2013,"7A Briggate, Elland, HX5 9HG",,0,56020007,2900
"21 Golding Hop Close, Ovenden Wood, Halifax, HX2 0SQ",01/09/2012,"Unit 27, Washer Lane Works, Washer Lane, Halifax             HX2 7DX",Halifax Scaffolding Services Ltd,0,69296712,1975
,01/04/2013,"Unit 2, 7 Martin Street, Brighouse, HD6 1DA",Lovebread C.I.C,0,29408724,2475
"Unit 1, River Street Business Park, River Street, Brighouse, HD6 1LU",13/12/2013,"Unit 1, River Street Business Park, River Street, Brighouse            HD6 1LU",Deano's Motors Limited,0,29492732,4450
"C/O Gerald Eve Llp, 35 Kings Hill Avenue, West Malling, Kent, ME19 4DN",01/04/2010,"Atm Site (Bankmachine) At, 25 Ovenden Road, Halifax, HX3 5QG",Cardtronics Uk Ltd,435.6,65625707,900
"20-24 Leicester Road, Preston, PR1 1PP",04/09/2013,"Wellington Inn, 3 Halifax Road, Todmorden, OL14 5AG",Merrie Men Inns Ltd,3291.2,78192747,6800
,30/11/2013,"Unit G6, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",,0,64448767,5900
"Russell House, Elvicta Business Park, Crickhowell, Powys, NP8 1DF",01/04/2010,"Atm Site (Note Machine), 4 Crown Street, Hebden Bridge, HX7 8EH",Notemachine Uk Ltd,2855.6,76176726,5900
,01/09/2011,"Unit 3B & Compound, Mitchell Street, Todmorden, OL14 7DP",,696.96,78320700,7200
"Park Road Mills, Park Road, Elland, HX5 9HX",25/12/2011,"Adj Mechanics Workshop, Park Road Mills, Park Road, Elland               HX5 9HX",Benjamin Whiteley & Sons Ltd,0,56192769,2300
,20/09/2012,"The Booth Wood Inn, Oldham Road, Rishworth, Sowerby Bridge       HX6 4QU",The Booth Wood Inn Ltd,0,77412701,4300
"Unit DY/2, Dean Clough Mills, Halifax, HX3 5AX",01/07/2013,"Unit DY/2, Dean Clough Mills, Halifax, HX3 5AX",Benton Industrial Service Ltd,319.44,64784752,6600
,04/11/2011,"Unit 8 Carlton Mill, South Street, Halifax, HX1 2EL",,0,68640704,1450
,05/04/2011,"Unit 1A, Atlas Mill Road, Brighouse, HD6 1ES",,0,29032740,5800
,01/08/2011,"Unit 17 Asquith Bottom Mills, Asquith Bottom, Ridge Street, Sowerby Bridge       HX6 3BS",,0,77024743,1150
,01/12/2011,"1ST & 2ND Floors, 5 Stainland Road, Greetland, Halifax              HX4 8AD",,0,68772763,4350
,17/11/2011,"24 Halifax Road, Todmorden, OL14 5QG",,0,78192024,5600
"Po Box 6079, Wolverhampton, WV1 9RA",01/04/2010,"T Mobile (77767), Upper Bank House, Upper Bank, Mount Tabor          HX2 0UF",Mobile Broadband Network Ltd,2613.6,69603701,5400
"1116 Bolton Road, Bradford, West Yorkshire, BD2 4HS",06/02/2014,"276 Queens Road, Halifax, HX1 4NJ",Opticare Eyecare Specialists Ltd,0,68308276,5200
,01/07/2013,"Ground Floor Store, Haley Hill Mills, Haley Hill, Halifax              HX3 6ED",,0,65224731,1500
"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",01/04/2011,"80 Rustic, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,0,68252080,1700
,03/01/2012,"Unit 4, Mill Lane, Halifax, HX3 6TR",,0,65808714,2500
,04/01/2012,"45 Birds Royd Lane, Brighouse, HD6 1NG",,0,29052045,4450
,01/11/2011,"Unit 6, The Tannery, Bradford Road, Halifax             HX3 7HR",Hawley Business Solutions Ltd,0,64332706,2100
,01/05/2011,"Unit E Third Floor, Asquith Bottom Works, Water Street, Sowerby Bridge       HX6 3BS",,377.52,77690710,780
"61/62 Mount Tabor Road, Mount Tabor, Halifax, HX2 0UP",16/02/2012,"8/10 St Georges Square, Hebden Bridge, HX7 8ET",Winris Ltd,0,76508008,11500
,05/11/2013,"Bbw Business Cent. Base & Gf, 12 Wade House Road, Shelf, Halifax              HX3 7PB",The Cake Emporium Ltd,0,69216733,4400
,01/02/2014,"7 King Cross Street, Halifax, HX1 2SH",,0,65520007,5300
,01/02/2014,"Unit 8, Calder Workshops, Gibbet Street, Halifax             HX1 4JQ",,0,65164757,1875
,01/02/2013,"Brown Hill, Soyland Town Road, Soyland, Sowerby Bridge       HX6 4ND",,1814.05,77516703,3650
"Community College, 63-71 Anlaby Road, Hull, HU3 2LL",26/03/2013,"Office 2 First Floor, 5B Clare Road, Halifax, HX1 2HX",North Bank Forum For Voluntary Organizations Ltd,233.59,64584781,2350
"Westwood Way, Westwood Business Park, Coventry, CV4 8LG",01/08/2013,"Anemometer At, Ovenden Moor Windfarm, Cold Edge Road, Halifax              HX2 7UA",Yorkshire Windpower Ltd,1815,64648703,3750
"Northgate House, Northgate, Halifax, HX1 1UN",14/01/2014,"64 Rustic, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc Land & Property Services,0,68252715,2600
"Northgate House, Northgate, Halifax, HX1 1UN",15/01/2014,"12/13 The Colonnade, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc Land & Property Services,0,68252741,5100
,12/04/2014,"9 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",,0,76408009,1650
,01/04/2012,"2ND Floor Royds House, Birds Royd Lane, Brighouse, HD6 1LQ",,3968.8,29052754,8200
,01/08/2012,"Adj Higher Scout Farm, Hollingworth Lane, Walsden, Todmorden           OL14 6QY",,0,78222701,1375
,01/04/2012,"Portacabin, Moderna Business Park, Burnley Road, Mytholmroyd          HX7 5QQ",,0,76088896,770
"Council Offices, St George's Street, Hebden Bridge, HX7 7BT",01/04/2012,"Hebden Bridge Cinema, New Road, Hebden Bridge, HX7 8AD",Hebden Royd Town Council,0,76396711,7900
,01/04/2014,"40 South Parade, Halifax, HX1 2LY",Halifax Auto Centre Ltd,2577.67,68632712,9400
,11/04/2014,"Lister Lane, Halifax, HX1 5DN",,564.68,65652700,7000
,21/02/2014,"18A Town Hall Street, Sowerby Bridge, HX6 2EA",,0,77600738,4600
,02/12/2012,"5 Clare Road, Halifax, HX1 2HX",,1290.65,64584740,8000
,05/10/2012,"Heavenly Harvest, Leeds Road, Hipperholme, Halifax              HX3 8ND",,0,65616701,2400
,01/12/2012,"Unit 2, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",,1645.6,65264722,3400
,01/03/2012,"Unit 4B, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",,0,77340768,1850
,03/05/2012,"Ground Floor, 5 Dispensary Walk, Halifax, HX1 1QR",Funhouse (Halifax) Ltd,0,64824005,4700
,18/03/2012,"112 Queens Road, Halifax, HX1 3XY",,0,68308112,5300
,01/12/2011,"Unit 6 Craggs Country Bus Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",The Craggs Personal Storage Ltd,4763.78,76400710,11250
,01/02/2012,"Cdk Motors, Albert Road, Halifax, HX2 0DF",,0,64040736,4550
"Unit 18, Woodman Works, South Lane, Elland, HX5 0HQ",02/07/2012,"Unit 18 Woodman Works, South Lane, Elland, HX5 0HQ",Pws (Leeds) Ltd,0,56220738,4900
"Unit 18 & 19, Hanson Lane Enterprise Centre, Hanson Lane, Halifax, HX1 5PG",01/04/2013,"Workspace Unit 19, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",The Hive [Halifax] Ltd,0,65264741,3200
,01/04/2013,"2 Westfield Place, Halifax, HX1 3YH",,0,69392700,2400
,03/06/2013,"31 Market Street, Hebden Bridge, HX7 6EU",Valley Organics Workers Co-Op Ltd,0,76360031,6500
"Suite B, Empire House, 11 Mulcture Hall Road, Halifax, HX1 1SP",01/06/2013,"Empire House, 11 Mulcture Hall Road, Halifax, HX1 1SP",Baby Ballet Franchising Ltd,3291.2,65900706,6800
"Unit 1 Rudgate Court, Walton, Near Wetherby, West Yorks, LS23 7BF",30/01/2013,"Croftmyl, Gf Office A2, West Parade, Halifax              HX1 2EQ",C F K Developments (Croft Myl) Llp,0,69360757,1975
"C/O O & C Management Services Ltd, 9 Harrison Road, Halifax, HX1 2AF",01/06/2013,"16 Horton Street, Halifax, HX1 1PU",Due West Ltd,0,65388702,2800
"Economic Assets Team, Lateral 8, City Walk, Leeds, LS11 9AT",01/04/2012,"First Floor, 6 King Cross Street, Halifax, HX1 2SH",Homes & Communities Agency,0,65520734,2100
"C/O 12 Wood Bottom Lane, Brighouse, HD6 2QW",01/04/2012,"Suite H M 2.20, Holmfield Mill, Holdsworth Road, Halifax              HX3 6SN",Calder Scaffolding Ltd,774.4,65344961,1600
,26/07/2013,"20a Blackwall, Halifax, HX1 2BE",Dowsland Electrical Ltd,0,64268702,2800
"Suite H M 2.22, Holmfield Mill, Holdsworth Road, Halifax              HX3 6SN",01/08/2013,"Suite H M 2.22, Holmfield Mill, Holdsworth Road, Halifax              HX3 6SN",True North Books Ltd,713.9,65344963,1475
,01/08/2013,"Halifax Events Hall, Bedford Street, Halifax, HX1 5DL",,3812.47,64188704,10500
,01/06/2013,"Unit 8 Sdh Industrial Estate, West Street, Sowerby Bridge, HX6 3BS",,0,77648745,2250
,01/10/2013,"Unit 4, The Tannery, Bradford Road, Halifax             HX3 7HR",Select Electrical Contractors Ltd,0,64332705,1725
,29/06/2012,"Big Six Inn, 10 Horsfall Street, Halifax, HX1 3HG",Big Six Ltd,2276.19,65380700,9100
"Fao Kevin Thorp, 20 Church Street, Lydgate, Todmorden, Lancs, OL14 8HS",01/04/2012,"Portacabin, R/O Tod W M Club, Halifax Road, Todmorden           OL14 5QG",Todmorden Homing Society,0,78192814,1500
,01/04/2010,"Far Shawcroft Farm, Akroyd Lane, Pecket Well, Hebden Bridge        HX7 8TE",,0,76008705,2750
"Unit 2B, Canteen Mill Industrial Units, Burnley Road, Todmorden, OL14 7DR",18/08/2012,"28 Burnley Road, Todmorden, OL14 5EZ",Saker Vegetarian Foods Ltd,1064.8,78076028,2200
"H/O Craggs Country B Park, New Road, Cragg Vale, Hebden Bridge, HX7 5TT",16/07/2012,"H/O Craggs Country Bus Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Craggs Country Business Park Llp,4119.58,76400712,10750
"Office Hm 3.4, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",01/10/2013,"Office H M 3.4, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN",Ifreight Ltd,0,65344837,1975
"Elsie Whiteley Innovation Cent, Hopwood Lane, Halifax, HX1 5ER",02/03/2014,"Office 21 First Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Halifax Opportunities Trust,308.14,64242748,3100
,01/03/2014,"Office Suite D 47, Dean Clough Mills, Halifax, HX3 5AX",Grey & Co,0,64788835,2350
,01/02/2012,"Unit 2, Sandhall Green, Halifax, HX2 0BN",,0,68949704,5600
"Unit 12, Brow Mills Industrial Estate, Brighouse Road, Hipperholme, HX3 8DD",07/12/2012,"Unit 2 Brow Mills Ind Estate, Brighouse Road, Hipperholme, Halifax              HX3 8EF",Keswickton Securities Ltd,3131.1,64376742,6300
,15/12/2012,"613 Bradford Road, Brighouse, HD6 4DN",,0,29080613,4200
,01/08/2012,"112 Commercial Street, Brighouse, HD6 1AQ",,0,29196112,4800
,01/01/2013,"Unit 3, Picture House Buildings, New Road, Hebden Bridge        HX7 8AD",,0,76396704,4200
,01/10/2012,"Unit 3B, Hawksclough Industrial Est, Burnley Road, Mytholmroyd          HX7 5AD",,0,76252792,2475
,20/08/2012,"Unit 29 2ND Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",,0,76500724,1475
,01/02/2013,"1ST Flr, Mount Pleasant Hse, Midgley Road, Mytholmroyd, Hebden Bridge        HX7 5LR",,0,76372711,465
,01/03/2013,"94 Parkinson Lane, Halifax, HX1 3QH",,0,68224094,3300
,19/01/2013,"60 Huddersfield Road, Elland, HX5 9AA",,0,56132060,3900
"C/O Boundry Mill H O, Vivary Way, Colne, Lancashire, BB8 9NW",01/04/2013,"Corporate Hospitality Barn, New Laith Farm, Walshaw Lane, Hebden Bridge        HX7 7AX",Walshaw Moor Estate Ltd,1064.8,76572702,2200
,01/03/2013,"Wharf House, Bolton Brow, Sowerby Bridge, HX6 2AG",,0,77076714,4350
,30/11/2014,"Sportsman Hotel, 50 Crown Street, Halifax, HX1 1JB",The Gun Dog Ltd,0,64756709,5000
,03/02/2015,"43 Crown Street, Halifax, HX1 1JB",,0,64756043,4300
"8 St Stephen Street, Manchester, M3 6AY",01/04/2015,"Unit 6 (Remainder), Dispensary Walk, Halifax, HX1 1QR",Bamford Developments Limited Pension Scheme,0,64824704,5900
"4 Slaithwaite Gate, Golcar, Huddersfield, HD7 4NS",01/06/2015,"Unit 3 The Old Post Office, Station Road, Sowerby Bridge, HX6 3AA",Marmerel Ltd,5218.5,77552735,10500
"Transactor House, Leylands Business Park, Colden Common, Winchester, SO21 1TH",01/05/2015,"Office H M 2.13, Holdsworth Mills, Holdsworth Road, Halifax              HX3 6SN",Transactor Global Solutions Ltd,1766.6,65344884,3650
"175 Blackburn Road, Bolton, Lancs., BL1 8HE",27/04/2015,"364 Bradford Road, Brighouse, HD6 4DH",Z A Service Station Ltd,1455.36,29080798,8200
"Units 9-10 Victoria Works, The Boathouse, Wharf Street, Brighouse, HD6 1PP",01/05/2015,"Units 9-10 Victoria Works, The Boathouse, Wharf Street, Brighouse            HD6 1PP",Sdh Project Services Ltd,0,29636733,8400
"F A O Mr J Penford, Rosemount, Huddersfield Road, Elland, HX5 0EE",01/06/2015,"The Engineering Workshop, Rosemount Estate, Huddersfield Road, Elland               HX5 0EE",Andy Thornton Ltd,5445,56132833,11250
,01/02/2015,"Unit 4, Willows Industrial Estate, Watson Mill Lane, Sowerby Bridge       HX6 3BW",,0,77644726,1875
,01/03/2015,"58 Rochdale Road, Greetland, Halifax, HX4 8AX",,0,68392058,1950
,14/10/2014,"Part Grd & 1ST Flr, 7 Victoria Road, Elland, HX5 0AB",,1789.2,56244726,3600
,01/09/2015,"Lower Underbank, Charlestown, Hebden Bridge, HX7 6PH",,0,76344700,6200
,01/10/2015,"Unit 4 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",,0,76560721,1375
