Actual Pay Ceiling (£),Actual Pay Floor (£),Contact E-mail,Contact Phone,Grade (or equivalent),Job Title,Job/Team Function,Name,Notes,Organisation,Parent Department,Professional/Occupational Group,Salary Cost of Reports (£),Unit,FTE,Post Unique Reference,Reports to Senior Post
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,Joint Chief Investigator,Joint Chief Investigator,ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 90 due to small team size,Department for International Trade,Department for International Trade,International Trade,ND,Trade Remedies Investigations,1,96,90
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,Joint Chief Investigator,Joint Chief Investigator,ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 90 due to small team size,Department for International Trade,Department for International Trade,International Trade,ND,Trade Remedies Investigations,1,97,90
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,Chief Economist,Chief Economist,ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 90 due to small team size,Department for International Trade,Department for International Trade,Economics,ND,Trade Remedies Investigations,1,98,90
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,General Counsel,General Counsel,ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 90 due to small team size,Department for International Trade,Department for International Trade,Legal,ND,Trade Remedies Investigations,1,99,90
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,"Deputy Director Strategic Projects, Assurance and Capability","Deputy Director Strategic Projects, Assurance and Capability",ND,,Department for International Trade,Department for International Trade,Finance,"£344,725.39",Corporate Services,1,100,12
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,"Deputy Director, Cross-Cutting Policy","Deputy Director, Cross-Cutting Policy",ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 24 due to small team size,Department for International Trade,Department for International Trade,International Trade,ND,Trade Policy Group,1,103,24
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,Head of Operations,Head of Operations,ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 22 due to small team size,Department for International Trade,Department for International Trade,International Trade,ND,GTI,1,104,22
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,Deputy Director Business Services,Deputy Director Business Services,ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 12 due to small team size,Department for International Trade,Department for International Trade,Finance,ND,Corporate Services,1,105,12
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,"Deputy Director, Healthcare, Lifesciences & Bio Economy","Deputy Director, Healthcare, Lifesciences & Bio Economy",ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 50 due to small team size,Department for International Trade,Department for International Trade,International Trade,ND,GTI,1,107,50
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,DD Finance Transformation,DD Finance Transformation,ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 12 due to small team size,Department for International Trade,Department for International Trade,Finance,ND,Corporate Services,1,108,12
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,Deputy Director - Strategy & Corporate,Deputy Director - Strategy & Corporate,ND,,Department for International Trade,Department for International Trade,Communications,"£455,036.00",Communication and Marketing,1,110,8
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,"Deputy Director Strategy, Insights and Services","Deputy Director Strategy, Insights and Services",ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 10 due to small team size,Department for International Trade,Department for International Trade,Human Resources,ND,Corporate Services,1,111,10
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,Deputy Director Uk Regions Northern Powerhouse,Deputy Director Uk Regions Northern Powerhouse,ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 25 due to small team size,Department for International Trade,Department for International Trade,International Trade,ND,GTI,1,112,25
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,DD - Central Analysis Team,DD - Central Analysis Team,ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 11 due to small team size,Department for International Trade,Department for International Trade,Economics,ND,Corporate Services,0.93,113,11
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,"Deputy Director, Export & Investment Policy","Deputy Director, Export & Investment Policy",ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 16 due to small team size,Department for International Trade,Department for International Trade,Policy,ND,Strategy,1,117,16
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,"Deputy Director, Financial & Professional Services","Deputy Director, Financial & Professional Services",ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 14 due to small team size,Department for International Trade,Department for International Trade,Finance,ND,GTI,1,120,14
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,SCS1 Advanced Manufacturing,SCS1 Advanced Manufacturing,ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 94 due to small team size,Department for International Trade,Department for International Trade,International Trade,ND,GTI,1,121,94
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,Chief Digital Officer,Chief Digital Officer,ND,,Department for International Trade,Department for International Trade,"Digital, Data and Technology","£419,276.00",Corporate Services,1,122,9
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,"Deputy Director, Creative, Lifestyle and Learning","Deputy Director, Creative, Lifestyle and Learning",ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 5 due to small team size,Department for International Trade,Department for International Trade,International Trade,ND,GTI,1,123,5
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,"DIRECTOR, EXPORTS AND INVESTMENT, SOUTH OF ENGLAND","DIRECTOR, EXPORTS AND INVESTMENT, SOUTH OF ENGLAND",ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 25 due to small team size,Department for International Trade,Department for International Trade,International Trade,ND,GTI,1,124,25
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,"Deputy Director, Ministerial Strategy",,ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 6 due to small team size,Department for International Trade,Department for International Trade,Policy,ND,Strategy,1,131,6
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,"Head of Engagement Strategy, US Policy & Communications",,ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 23 due to small team size,Department for International Trade,Department for International Trade,International Trade,ND,Trade Policy Group,1,134,23
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,Transformation Change Director,Transformation Change Director,ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 21 due to small team size,Department for International Trade,Department for International Trade,International Trade,ND,Trade Policy Group,1,135,21
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,Chief Operating Officer SCS1,Chief Operating Officer SCS1,ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 90 due to small team size,Department for International Trade,Department for International Trade,Finance,ND,Trade Remedies Investigations,1,137,90
N/A,N/A,enquiries@trade.gov.uk,020 7215 5000,SCS1,Programme Change Director,Programme Change Director,ND,Cost of reports and SCS1's salary added to the 'Salary Cost of Reports' of their Senior Reporting Post: 6 due to small team size,Department for International Trade,Department for International Trade,Policy,ND,Strategy,1,139,6
