Amount,Date,Entity,Expense Area,Expense Type,Supplier,Transaction Number
"£61,951.20",31/03/2011,HMCS,BZ999-London Region,532401-TA GBV - Add- P&M- Equipment,POWERPERFECTOR PLC,1549316
"£43,943.04",31/03/2011,HMCS,BZ999-London Region,532401-TA GBV - Add- P&M- Equipment,POWERPERFECTOR PLC,1549316
"£40,973.62",25/03/2011,HMCS,FZ999-Midlands Region,532501-TA GBV - Add- F&F- Storage Systems,KARDEX SYSTEMS (UK) LTD,1540224
"£26,873.71",30/03/2011,HMCS,FZ999-Midlands Region,532501-TA GBV - Add- F&F- Storage Systems,TEMPLESTOCK,1547994
"£29,475.60",16/03/2011,HMCS,GZ999-North West Region,532503-TA GBV Adds CIS Labour Storage Sys,METALRAX STORAGE,1529215
"£32,593.20",30/03/2011,HMCS,EZ999-Wales Region,532503-TA GBV Adds CIS Labour Storage Sys,RACKLINE LIMITED,1547739
"£54,255.60",30/03/2011,HMCS,EZ999-Wales Region,532503-TA GBV Adds CIS Labour Storage Sys,RACKLINE LIMITED,1547739
"£88,921.73",02/03/2011,HMCS,AG999-Estates Directorate HMCS HQ,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,ALL SECURITY SYSTEMS LTD,1511387
"£134,887.44",04/03/2011,HMCS,BZ999-London Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,R&M CLARKSON LTD,1515064
"£56,355.60",04/03/2011,HMCS,FZ999-Midlands Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,REIRSE RYAN LTD,1515080
"£51,595.14",04/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,APC BUILDING SERVICES (LONDON) LTD,1514438
"£46,745.96",09/03/2011,HMCS,DZ999-South West Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DH FATHERS LTD,1519997
"£49,227.34",09/03/2011,HMCS,DZ999-South West Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DH FATHERS LTD,1519997
"£36,467.56",09/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,ALBERT INNES LTD,1519734
"£53,208.96",09/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DH FATHERS LTD,1519997
"£27,313.20",09/03/2011,HMCS,BZ999-London Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,TPS,1521637
"£168,834.30",09/03/2011,HMCS,EZ999-Wales Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,SC MOORE LTD,1521511
"£27,945.92",09/03/2011,HMCS,BZ999-London Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,EC HARRIS LLP,1520028
"£30,140.46",09/03/2011,HMCS,DZ999-South West Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,REF ELECTRICS (TAUNTON) LTD,1521455
"£56,944.31",09/03/2011,HMCS,BZ999-London Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,HURD ROLLAND PARTNERSHIP,1520216
"£102,676.51",09/03/2011,HMCS,DZ999-South West Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DH FATHERS LTD,1519997
"£79,265.27",11/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,APC BUILDING SERVICES (LONDON) LTD,1523108
"£187,620.00",11/03/2011,HMCS,FZ999-Midlands Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,REIRSE RYAN LTD,1523673
"£65,303.93",11/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,VEST CONSTRUCTION (LIVECO LTD),1523802
"£41,421.00",16/03/2011,HMCS,GZ999-North West Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,HURD ROLLAND PARTNERSHIP,1529019
"£25,000.00",16/03/2011,HMCS,IZ999-RCJ Group,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WESTMINSTER CITY COUNCIL,1529689
"£70,118.06",16/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DH FATHERS LTD,1528771
"£43,834.20",18/03/2011,HMCS,EZ999-Wales Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DERYN PROPERTIES (INVESTMENTS) LLP,1531589
"£102,044.39",18/03/2011,HMCS,BZ999-London Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,R&M CLARKSON LTD,1531958
"£448,834.97",18/03/2011,HMCS,CZ999-South East Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,GALLIFORD TRY CONSTRUCTION LTD CENTRAL,1531657
"£126,436.91",18/03/2011,HMCS,FZ999-Midlands Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,POINTER LTD,1531939
"£46,169.76",18/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WATSONS BUILDING SERVICES LTD,1532102
"£62,225.52",18/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WATSONS BUILDING SERVICES LTD,1532102
"£76,423.08",18/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WATSONS BUILDING SERVICES LTD,1532102
"£579,850.60",18/03/2011,HMCS,CZ999-South East Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,GALLIFORD TRY CONSTRUCTION LTD CENTRAL,1531657
"£32,493.35",23/03/2011,HMCS,DZ999-South West Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,HURD ROLLAND PARTNERSHIP,1537593
"£278,937.02",23/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,STRATEGIC TEAM MAINTENANCE CO LTD,1538115
"£95,431.68",23/03/2011,HMCS,CZ999-South East Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,T & P ELECTRICAL FIRE DIVISION LTD,343280
"£27,674.48",23/03/2011,HMCS,EZ999-Wales Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WYG MANAGEMENT SERVICES LTD,1538309
"£32,727.17",23/03/2011,HMCS,EZ999-Wales Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WYG MANAGEMENT SERVICES LTD,1538309
"£90,466.69",23/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,STRATEGIC TEAM MAINTENANCE CO LTD,1538115
"£33,600.00",25/03/2011,HMCS,FZ999-Midlands Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,PAUL MCGARRY T/A INSIGHT,1540405
"£55,272.70",25/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,MACHENAIR BUILDING SERVICES LTD,1540285
"£40,043.16",25/03/2011,HMCS,GZ999-North West Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DH FATHERS LTD,1540005
"£59,267.40",30/03/2011,HMCS,FZ999-Midlands Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DEANE CONTROL SERVICES,1546965
"£88,991.96",30/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,ALBERT INNES LTD,1546599
"£167,563.46",30/03/2011,HMCS,FZ999-Midlands Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,DH FATHERS LTD,1546978
"£29,695.32",30/03/2011,HMCS,CZ999-South East Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,R&M CLARKSON LTD,1547738
"£65,392.19",30/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,REGINALD MAUDE LTD,1547769
"£49,050.34",30/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WATSONS BUILDING SERVICES LTD,1548116
"£122,255.44",30/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WATSONS BUILDING SERVICES LTD,1548116
"£79,779.82",30/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1547563
"£27,066.00",30/03/2011,HMCS,GZ999-North West Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,ARNAGE ELECTRONIC SECURITY LTD,1546627
"£50,055.91",30/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,REGINALD MAUDE LTD,1547769
"£85,249.44",30/03/2011,HMCS,HZ999-North East and Yorkshire,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,WATSONS BUILDING SERVICES LTD,1548116
"£27,313.20",31/03/2011,HMCS,BZ999-London Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,TPS,1549417
"£1,918,996.80",31/03/2011,HMCS,BZ999-London Region,532602-TA GBV - Add-  Building Works - Assets In Course of Construction,GODFREY SYRETT LTD,1548394
"£42,761.40",02/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,REIRSE RYAN LTD,1512748
"£86,412.00",02/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,ACCLAIM CONTRACTS LTD,1511375
"£33,505.39",02/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SYKES & SON LTD,1512882
"£33,389.46",02/03/2011,HMCS,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,SIMER ENVIRONMENTAL SERVICES LTD,1512828
"£424,527.18",04/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,BRITSPACE MODULAR BUILDINGS LIMITED,1514530
"£319,214.75",04/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,QUINN LONDON LTD,1515062
"£45,708.01",04/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,CARILLION PLANNED MAINTENANCE,1514564
"£145,613.83",04/03/2011,HMCS,IZ999-RCJ Group,532603-TA GBV Add CIS Labour Costs,WILSON JAMES LTD,1515302
"£47,711.42",04/03/2011,HMCS,HZ999-North East and Yorkshire,532603-TA GBV Add CIS Labour Costs,HUGH LS MCCONNELL LTD,1514808
"£41,227.37",04/03/2011,HMCS,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,PAVEHALL PLC,1515015
"£105,110.13",04/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,AMSPEC LTD,1514430
"£92,681.76",04/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,BLAKE CONTRACTORS LTD,1514508
"£85,795.21",04/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,R&M CLARKSON LTD,1515063
"£69,661.87",04/03/2011,HMCS,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,STRUCTURA UK LIMITED,1515192
"£57,186.00",04/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,REIRSE RYAN LTD,1515081
"£132,558.80",04/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,MCDOWALL AIR CONDITIONING (UK) LTD,1514908
"£127,332.00",04/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,KERSHAW MECHANICAL SERVICES LTD,1514849
"£29,997.60",04/03/2011,HMCS,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,BAILEY MAINTENANCE LTD,1514461
"£88,702.46",04/03/2011,HMCS,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,MITIE TILLEY ROOFING LTD,1514938
"£139,451.15",04/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SKANSEN INTERIORS LTD,1515149
"£105,976.07",04/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,RCL BUILDING SERVICES LTD,1515070
"£396,610.90",04/03/2011,HMCS,IZ999-RCJ Group,532603-TA GBV Add CIS Labour Costs,WILSON JAMES LTD,1515302
"£66,488.22",04/03/2011,HMCS,HZ999-North East and Yorkshire,532603-TA GBV Add CIS Labour Costs,CRESTBROOK HEATING LTD,1514624
"£70,886.80",04/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,BAILEY MAINTENANCE LTD,1514461
"£77,734.44",04/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1514936
"£84,474.00",04/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,ERIC CHARLESWORTH  LTD,1514687
"£469,200.70",04/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1514936
"£30,105.00",04/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MCDOWALL AIR CONDITIONING (UK) LTD,1514908
"£75,393.44",04/03/2011,HMCS,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,LORNE STEWART PLC,1514883
"£59,773.56",04/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,GARSIDE & LAYCOCK LTD,1514720
"£50,248.32",04/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,CARILLION PLANNED MAINTENANCE,1514565
"£25,193.94",04/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,CARILLION PLANNED MAINTENANCE,1514565
"£25,853.14",04/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,CARILLION PLANNED MAINTENANCE,1514565
"£333,339.34",09/03/2011,HMCS,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,R L DAVIES & SON LTD,1521439
"£41,882.18",09/03/2011,HMCS,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,AC MECHANICAL SERVICES LTD,331120
"£25,380.28",09/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,BASTION SECURITY INSTALLATIONS,1519782
"£71,810.48",09/03/2011,HMCS,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,R L DAVIES & SON LTD,1521439
"£89,285.71",09/03/2011,HMCS,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,R L DAVIES & SON LTD,1521439
"£38,088.22",09/03/2011,HMCS,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,KILLBY & GAYFORD LTD,1520271
"£38,375.06",09/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,J FLETCHER (ENGINEERS) LTD,1520234
"£392,805.55",09/03/2011,HMCS,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,ARK BUILD PLC,1519753
"£55,131.58",09/03/2011,HMCS,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,HENSTAFF CONSTRUCTION LTD,1520172
"£50,108.93",09/03/2011,HMCS,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,STRUCTURA UK LIMITED,1521591
"£151,678.14",09/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,BREYER GROUP PLC,331126
"£40,407.07",09/03/2011,HMCS,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,AC MECHANICAL SERVICES LTD,331120
"£215,722.20",09/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,MANCHESTER & CHESHIRE CONSTRUCTION CO LTD,1520362
"£28,500.00",09/03/2011,HMCS,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,R L DAVIES & SON LTD,1521439
"£54,036.00",09/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,ACCLAIM CONTRACTS LTD,1519727
"£46,574.92",09/03/2011,HMCS,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,LORNE STEWART PLC,1520331
"£36,302.23",09/03/2011,HMCS,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,NORLAND MANAGED SERVICES LTD,1520472
"£75,682.33",09/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,DH FATHERS LTD,1519996
"£188,765.47",09/03/2011,HMCS,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,R L DAVIES & SON LTD,1521439
"£127,749.60",09/03/2011,HMCS,IZ999-RCJ Group,532603-TA GBV Add CIS Labour Costs,VINSTRATA BUILDERS (LONDON) LTD,1521665
"£27,865.87",09/03/2011,HMCS,HZ999-North East and Yorkshire,532603-TA GBV Add CIS Labour Costs,BROADSTONE GROUP LTD,1519839
"£163,764.85",09/03/2011,HMCS,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,HENSTAFF CONSTRUCTION LTD,1520172
"£34,708.04",09/03/2011,HMCS,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,HENSTAFF CONSTRUCTION LTD,1520172
"£37,995.94",09/03/2011,HMCS,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,AC MECHANICAL SERVICES LTD,331120
"£118,992.00",09/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,SITEC INTERIORS LTD,1521547
"£161,601.42",09/03/2011,HMCS,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,HENSTAFF CONSTRUCTION LTD,1520172
"£35,927.56",09/03/2011,HMCS,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,AC MECHANICAL SERVICES LTD,331120
"£32,132.16",11/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,ANSA ELEVATORS LTD,1523107
"£51,362.12",11/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,ACCLAIM CONTRACTS LTD,1523097
"£34,855.34",11/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,PLANSCAPE GROUP LIMITED,1523644
"£228,192.94",11/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MCDOWALL AIR CONDITIONING (UK) LTD,1523545
"£87,065.16",11/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,QUINN LONDON LTD,1523659
"£103,812.96",11/03/2011,HMCS,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,F P HURLEY & SONS LTD,1523330
"£43,618.26",11/03/2011,HMCS,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,KIER FACILITIES SERVICES LTD,335793
"£83,625.54",11/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,BREYER GROUP PLC,335770
"£36,220.80",11/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SIS SECURITY LTD,335887
"£44,395.08",11/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,ALL SECURITY SYSTEMS LTD,1523102
"£74,915.08",11/03/2011,HMCS,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,NORLAND MANAGED SERVICES LTD,1523590
"£660,993.60",16/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,LAING O'ROURKE CONSTRUCTION SOUTH LTD,1529100
"£27,113.76",16/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,CMB ENGINEERING,1528669
"£185,725.42",16/03/2011,HMCS,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,PEXHURST SERVICES LTD,1529364
"£75,083.45",16/03/2011,HMCS,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,CONCRETE REPAIRS LIMITED,1528685
"£60,133.01",16/03/2011,HMCS,HZ999-North East and Yorkshire,532603-TA GBV Add CIS Labour Costs,DIMESTAGE (CONSTRUCTION COMPANY) LTD (DCC),1528779
"£88,133.93",16/03/2011,HMCS,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,ARK BUILD PLC,1528499
"£36,188.08",18/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MCDOWALL AIR CONDITIONING (UK) LTD,1531829
"£60,428.64",18/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,REIRSE RYAN LTD,1531971
"£58,272.76",18/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,DH FATHERS LTD,1531592
"£36,220.80",18/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SIS SECURITY LTD,340290
"£45,050.70",18/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,BASTION SECURITY INSTALLATIONS,1531454
"£26,195.50",18/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,DSM DEMOLITION LTD,1531602
"£58,700.16",18/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,DALY ENGINEERING SERVICES LTD,1531576
"£57,190.12",18/03/2011,HMCS,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,TG ROOFING LTD,1532057
"£41,596.24",18/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,QUINN LONDON LTD,1531955
"£36,967.20",18/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SIS SECURITY LTD,340290
"£29,754.00",18/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SIS SECURITY LTD,340290
"£41,657.88",18/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,METSHAPE LTD,1531844
"£79,757.66",18/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MCDOWALL AIR CONDITIONING (UK) LTD,1531829
"£78,602.48",23/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1537795
"£46,943.69",23/03/2011,HMCS,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,ISLWYN PUGH CONSTRUCTION LTD,1537604
"£39,170.40",23/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SIS SECURITY LTD,343276
"£27,600.00",23/03/2011,HMCS,EZ999-Wales Region,532603-TA GBV Add CIS Labour Costs,WB GRIFFITHS & SON LTD,1538245
"£59,134.37",23/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,SITEC INTERIORS LTD,1538069
"£34,200.00",23/03/2011,HMCS,DZ999-South West Region,532603-TA GBV Add CIS Labour Costs,CHARTER INTERIORS LTD,1537263
"£33,538.52",23/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,SITEC INTERIORS LTD,1538069
"£103,060.28",23/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,GARSIDE & LAYCOCK LTD,1537463
"£57,490.20",23/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,NORLAND MANAGED SERVICES LTD,1537849
"£40,968.00",25/03/2011,HMCS,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,EUROPEAN ASBESTOS SERVICES,1540051
"£66,164.28",25/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,21ST CENTURY LIFTS LTD,1539775
"£27,363.60",25/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,SIS SECURITY LTD,347389
"£59,174.84",25/03/2011,HMCS,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,TROJAN ROSE LTD,1540602
"£27,188.69",25/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,PARKERAY LTD,1540400
"£298,425.78",25/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,SITEC INTERIORS LTD,1540533
"£441,730.22",25/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,DH FATHERS LTD,1540004
"£375,662.58",25/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,BRITSPACE MODULAR BUILDINGS LIMITED,1539880
"£55,734.53",30/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,REIRSE RYAN LTD,1547771
"£294,620.39",30/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,MITIE TECHNICAL FACILITIES MANAGEMENT LTD,1547562
"£26,240.75",30/03/2011,HMCS,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,NEEDHAM (BULDING CONTRACTORS) LTD,1547602
"£50,778.32",30/03/2011,HMCS,IZ999-RCJ Group,532603-TA GBV Add CIS Labour Costs,VINSTRATA BUILDERS (LONDON) LTD,1548080
"£105,833.15",30/03/2011,HMCS,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,VINSTRATA BUILDERS (LONDON) LTD,1548080
"£76,227.85",30/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,DH FATHERS LTD,1546977
"£45,763.99",30/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,CARILLION PLANNED MAINTENANCE,1546816
"£40,825.80",30/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,CARILLION PLANNED MAINTENANCE,1546816
"£169,565.62",30/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,QUINN LONDON LTD,1547734
"£109,218.29",30/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,DH FATHERS LTD,1546977
"£137,457.37",30/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,DH FATHERS LTD,1546977
"£34,517.75",30/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,DH FATHERS LTD,1546977
"£316,573.56",30/03/2011,HMCS,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,DH FATHERS LTD,1546977
"£45,600.00",30/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,ERIC CHARLESWORTH  LTD,1547042
"£53,112.00",30/03/2011,HMCS,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,SIS SECURITY LTD,348589
"£221,420.45",30/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,DH FATHERS LTD,1546977
"£56,212.80",30/03/2011,HMCS,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,BASTION SECURITY INSTALLATIONS,1546675
"£54,097.67",30/03/2011,HMCS,CZ999-South East Region,532603-TA GBV Add CIS Labour Costs,VINSTRATA BUILDERS (LONDON) LTD,1548080
"£61,074.48",30/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,REIRSE RYAN LTD,1547771
"£417,776.84",30/03/2011,HMCS,BZ999-London Region,532603-TA GBV Add CIS Labour Costs,MCDOWALL AIR CONDITIONING (UK) LTD,1547510
"£74,246.10",30/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,AXIS ELEVATORS LTD,1546650
"£46,984.09",30/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,DH FATHERS LTD,1546977
"£111,668.52",30/03/2011,HMCS,FZ999-Midlands Region,532603-TA GBV Add CIS Labour Costs,ALL SECURITY SYSTEMS LTD,1546603
"£42,896.81",30/03/2011,HMCS,GZ999-North West Region,532603-TA GBV Add CIS Labour Costs,GARSIDE & LAYCOCK LTD,1547108
