Date,Departmental Family,Entity,Expense Area,Expense Type,Supplier,Transaction Number,Vat Registration Num,Amount
07/04/2011,Department of Health,Department of Health,Research & development,Research & development,CLATTERBRIDGE CENTRE FOR ONCOLOGY NHS FOUNDATION TRUST,ERS-430041-44683,,39314
07/04/2011,Department of Health,Department of Health,SOCIAL CARE,Grants to non profit institutions (CUR),CSV,ERS-430057-44704,,123000
07/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Stock Essential Medicines Additions,DEXCEL PHARMA LTD,0001090176,,102353.04
07/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Stock Essential Medicines Additions,DEXCEL PHARMA LTD,0001090173,,135889.16
07/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Stock Essential Medicines Additions,DEXCEL PHARMA LTD,0001090177,,137488.03
07/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Stock Essential Medicines Additions,DEXCEL PHARMA LTD,0001090174,,139207.58
07/04/2011,Department of Health,Department of Health,INFORMATICS,Legal / Prof Fees,DLA PIPER UK LLP,12799630,,272128.67
07/04/2011,Department of Health,Department of Health,SOCIAL CARE,Professional fees,ECOTEC RESEARCH AND CONSULTING LTD,INV09967,,67621.07
07/04/2011,Department of Health,Department of Health,INFORMATICS,Computer Hardware Purch,ERGO COMPUTING UK LTD,12784520,,46054.8
07/04/2011,Department of Health,Department of Health,WORKFORCE,Professional fees,GENERAL MEDICAL COUNCIL,90000123,,26994
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Professional fees,GRANT THORNTON LTD,6506928,,52.88
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Professional fees,GRANT THORNTON LTD,6506928,,1881
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Professional fees,GRANT THORNTON LTD,6506928,,5079.15
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Professional fees,GRANT THORNTON LTD,6506928,,5130
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Professional fees,GRANT THORNTON LTD,6506928,,5386.5
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Professional fees,GRANT THORNTON LTD,6506928,,5925
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Professional fees,GRANT THORNTON LTD,6506928,,6260.87
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Professional fees,GRANT THORNTON LTD,6506928,,6409.5
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Professional fees,GRANT THORNTON LTD,6506928,,7477.12
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Professional fees,GRANT THORNTON LTD,6506928,,9843
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Professional fees,GRANT THORNTON LTD,6506928,,10049
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Professional fees,GRANT THORNTON LTD,6506928,,14682
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Professional fees,GRANT THORNTON LTD,6509088,,32500
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Professional fees,GRANT THORNTON LTD,6509156,,44997.67
07/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Training non pay costs,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,A010192,,26525.63
07/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Security: contract,HERTFORDSHIRE PARTNERSHIP NHS FOUNDATION TRUST,508481,,64265.09
07/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430045-44693,,34795
07/04/2011,Department of Health,Department of Health,Research & development,Research & development,IMPERIAL COLLEGE LONDON,ERS-430025-44692,,40700.3
07/04/2011,Department of Health,Department of Health,POLICY & STRATEGY,Other programme expenditure,INDEPENDENT HEALTHCARE ADVISORY SERVICES LTD,472,,59760
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Rates,LAMBETH LONDON BOROUGH COUNCIL,390008117,,33930
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Rates,LAMBETH LONDON BOROUGH COUNCIL,325683913-11.03.11,,294941.71
07/04/2011,Department of Health,Department of Health,SOCIAL CARE,Secondees in invoiced costs,LONDON SHA,19522563,,295633.8
07/04/2011,Department of Health,Department of Health,Research & development,Research & development,MANCHESTER MENTAL HEALTH & SOCIAL CARE TRUST,ERS-430040-44701,,46883.45
07/04/2011,Department of Health,Department of Health,POLICY & STRATEGY,Consultancy/Professional Advice,MCKINSEY AND CO INC UK,12456,,41625
07/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Arm Length Bodies-Capital Subsidy,MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY (MHRA),1339860,,300000
07/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Grants to non profit institutions (CUR),MIDDLESBROUGH COUNCIL,ERS-429999-44661,,217805
07/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Grants to non profit institutions (CUR),NATIONAL HEART FORUM,ERS-430000-44662,,50000
07/04/2011,Department of Health,Department of Health,SOCIAL CARE,Contactor/ Staff Subsitution,NORTHGATE INFORMATION SOLUTIONS UK LTD,91155800,,240000
07/04/2011,Department of Health,Department of Health,Research & development,Research & development,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,ERS-430031-44689,,37167.7
07/04/2011,Department of Health,Department of Health,WORKFORCE,Outsourcing Contract,PUBLIC CONCERN AT WORK,26984,,47900.4
07/04/2011,Department of Health,Department of Health,Research & development,Research & development,ROYAL FREE HAMPSTEAD NHS TRUST,ERS-430029-44681,,37220.86
07/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Professional fees,SERCO LTD,90557270,,32330
07/04/2011,Department of Health,Department of Health,Research & development,Research & development,SOUTHAMPTON UNIVERSITY HOSPITALS NHS TRUST,ERS-430050-44684,,39150.87
07/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Training non pay costs,THE HAY GROUP MANAGEMENT LTD,865-865,,52580
07/04/2011,Department of Health,Department of Health,SOCIAL CARE,Professional fees,TREASURY SOLICITORS DEPARTMENT (TSOL),107526,,39740.7
07/04/2011,Department of Health,Department of Health,SOCIAL CARE,Professional fees,TREASURY SOLICITORS DEPARTMENT (TSOL),107171,,42816.38
07/04/2011,Department of Health,Department of Health,Research & development,Research & development,UNIVERSITY COLLEGE LONDON (UCL),ERS-430030-44695,,127708.7
07/04/2011,Department of Health,Department of Health,CHIEF NURSING OFFICER,Revenue Grant in Aid to NDPBs,YORK UNIVERSITY OF,53357,,45936.5
07/04/2011,Department of Health,Department of Health,Research & development,Research & development,YORK UNIVERSITY OF,ERS-430047-44699,,25315
07/04/2011,Department of Health,Department of Health,Research & development,Research & development,YORK UNIVERSITY OF,ERS-430049-44700,,27032
08/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Outsourcing Contract,ALLIANCE MEDICAL LTD,PET0083,,796885.97
08/04/2011,Department of Health,Department of Health,SOCIAL CARE,Contactor/ Staff Subsitution,ALPINE RESOURCING LTD,6875,,26144.1
08/04/2011,Department of Health,Department of Health,More than one directorate,Expense clearing GPC (ST),BARCLAYCARD BUSINESS,1939001-18-APR-11,,5798.87
08/04/2011,Department of Health,Department of Health,COMMISSIONING,Secondees in invoiced costs,BRIGHTON & HOVE CITY TEACHING PCT,13431971,,30000
08/04/2011,Department of Health,Department of Health,COMMISSIONING,Other programme expenditure,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,152536,,250000
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Facilities management: contract,EMCOR FACILITIES SERVICES LTD,00190731RT,,7099.81
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Cleaning: contract,EMCOR FACILITIES SERVICES LTD,00190731RT,,16873.97
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Security: contract,EMCOR FACILITIES SERVICES LTD,00190731RT,,16961.89
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Building repairs & maintenance,EMCOR FACILITIES SERVICES LTD,00190731RT,,32333.83
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Facilities management: contract,EMCOR FACILITIES SERVICES LTD,00190731RT,,13560.96
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Cleaning: contract,EMCOR FACILITIES SERVICES LTD,00190731RT,,24705.75
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Building repairs & maintenance,EMCOR FACILITIES SERVICES LTD,00190731RT,,31388.28
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Security: contract,EMCOR FACILITIES SERVICES LTD,00190731RT,,39180.93
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Facilities management: contract,EMCOR FACILITIES SERVICES LTD,00190731RT,,6670.52
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Cleaning: contract,EMCOR FACILITIES SERVICES LTD,00190731RT,,11653.11
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Security: contract,EMCOR FACILITIES SERVICES LTD,00190731RT,,16479.08
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Building repairs & maintenance,EMCOR FACILITIES SERVICES LTD,00190731RT,,23201.81
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Cleaning: contract,EMCOR FACILITIES SERVICES LTD,00190731RT,,1703.56
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Building repairs & maintenance,EMCOR FACILITIES SERVICES LTD,00190731RT,,2543.68
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Facilities management: contract,EMCOR FACILITIES SERVICES LTD,00190731RT,,3524.46
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Facilities management: contract,EMCOR FACILITIES SERVICES LTD,00190731RT,,1835.34
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Building repairs & maintenance,EMCOR FACILITIES SERVICES LTD,00190731RT,,29484.45
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Cleaning: contract,EMCOR FACILITIES SERVICES LTD,00190731RT,,1617.63
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Building repairs & maintenance,EMCOR FACILITIES SERVICES LTD,00190731RT,,2520.24
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Security: contract,EMCOR FACILITIES SERVICES LTD,00190731RT,,7661
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Addition Clearing - OLB,EMCOR FACILITIES SERVICES LTD,00190040RI,,59455.42
08/04/2011,Department of Health,Department of Health,SOCIAL CARE,Consultancy/Professional Advice,Gerald Wistow Associates,1010,,49275
08/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Other programme expenditure,HEALTH PROTECTION AGENCY (HPA),5307919,,92500
08/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Consultancy/Professional Advice,HERTFORDSHIRE UNIVERSITY OF,00000022148,,125114
08/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Outsourcing Contract,INHEALTH LTD,SIM000057,,205157.04
08/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Outsourcing Contract,INHEALTH LTD,SIM000057,,574135.14
08/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Other programme expenditure,INHEALTH LTD,087,,379167
08/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Storage costs,MARTINDALE PHARMACEUTICALS LTD,A11968,,25964.93
08/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Storage costs,MARTINDALE PHARMACEUTICALS LTD,A11968,,59984.43
08/04/2011,Department of Health,Department of Health,WORKFORCE,Outsourcing Contract,MCKESSON INFORMATION SOLUTIONS UK LTD,INV006813,,79700.83
08/04/2011,Department of Health,Department of Health,WORKFORCE,Outsourcing Contract,MCKESSON INFORMATION SOLUTIONS UK LTD,INV006768,,179507.33
08/04/2011,Department of Health,Department of Health,WORKFORCE,Outsourcing Contract,MCKESSON INFORMATION SOLUTIONS UK LTD,INV006769,,335963.69
08/04/2011,Department of Health,Department of Health,WORKFORCE,CIP Addition Clearing - IT,MCKESSON INFORMATION SOLUTIONS UK LTD,INV006858,,980939.17
08/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Outsourcing Contract,MOUCHEL MANAGEMENT CONSULTING LTD,90065636,,58326
08/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Secondees in invoiced costs,MRL LTD,69,,36189.38
08/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Outsourcing Contract,PARTNERSHIP HEALTH GROUP LTD,25744356,,1693964.79
08/04/2011,Department of Health,Department of Health,COMMISSIONING,Outsourcing Contract,PETERBOROUGH PCT,3000009326,,49500
08/04/2011,Department of Health,Department of Health,SOCIAL CARE,Consultancy/Professional Advice,PORTICO CONSULTING LTD,100818,,65600
08/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Rates,READING BOROUGH COUNCIL,511346170-1/04/11-30/06/2011,,28446
08/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Grants to non profit institutions (CUR),ROYAL COLLEGE OF PHYSICIANS RCP,ERS-430071-44721,,96000
08/04/2011,Department of Health,Department of Health,WORKFORCE,Other programme expenditure,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4000274488,,35429.35
08/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Professional fees,SPIRE HEALTHCARE LTD,CM090255,,122302.16
08/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Outsourcing Contract,SPIRE HEALTHCARE LTD,CM090254,,446543.56
08/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Outsourcing Contract,SPIRE HEALTHCARE LTD,CM090255,,446543.56
08/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Outsourcing Contract,SPIRE HEALTHCARE LTD,CM090254,,854368.86
08/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Product and distribution costs,Total Produce Plc,B11020128865,,29968.48
08/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Product and distribution costs,Total Produce Plc,B11020128933,,32194.28
08/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Product and distribution costs,Total Produce Plc,W11020128352,,34014.29
08/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Product and distribution costs,Total Produce Plc,W11020128875,,40034.91
10/04/2011,Department of Health,Department of Health,More than one directorate,Expense clearing GPC (ST),BARCLAYCARD BUSINESS,1939001-18-APR-11,,2.67
11/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Storage costs,ALLIANCE PHARMACEUTICALS LTD,0000195776,,43701.4
11/04/2011,Department of Health,Department of Health,More than one directorate,Expense clearing GPC (ST),BARCLAYCARD BUSINESS,1939001-18-APR-11,,3446.34
11/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Other programme expenditure,BIO PRODUCTS LABORATORY (BPL),125063*1,,168018
11/04/2011,Department of Health,Department of Health,REGIONAL DIRECTORS PUBLIC HEALTH (RDsPH),Contactor/ Staff Subsitution,BRISTOL PCT,5586066,,120000
11/04/2011,Department of Health,Department of Health,SOCIAL CARE,Outsourcing Contract,BROADCASTING SUPPORT SERVICES,S11-00573,,138073.69
11/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Storage costs,CONSILIENT HEALTH UK LTD,11477,,4891.16
11/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Storage costs,CONSILIENT HEALTH UK LTD,11478,,4891.16
11/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Storage costs,CONSILIENT HEALTH UK LTD,11477,,27949.49
11/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Storage costs,CONSILIENT HEALTH UK LTD,11478,,27949.49
11/04/2011,Department of Health,Department of Health,NHS Chief Information Officer,Service charge,CSC COMPUTER SCIENCES LTD,5201231103,,190053.04
11/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Professional fees,DELOITTE LLP,1110657134,,15360
11/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Consultancy/Professional Advice,DELOITTE LLP,1110657134,,21500
11/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Outsourcing Contract,EXEL EUROPE LTD,6233560,,200000
11/04/2011,Department of Health,Department of Health,POLICY & STRATEGY,Other programme expenditure,INDEPENDENT HEALTHCARE ADVISORY SERVICES LTD,475,,6745.6
11/04/2011,Department of Health,Department of Health,POLICY & STRATEGY,Other programme expenditure,INDEPENDENT HEALTHCARE ADVISORY SERVICES LTD,475,,19999.2
11/04/2011,Department of Health,Department of Health,Research & development,Research & development,LEEDS UNIVERSITY OF,ERS-430124-44781,,97685
11/04/2011,Department of Health,Department of Health,Research & development,Research & development,LIVERPOOL UNIVERSITY OF,ERS-430125-44782,,125000
11/04/2011,Department of Health,Department of Health,SOCIAL CARE,Grants to non profit institutions (CUR),LOCALITY,ERS-430113-44741,,68646.5
11/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Training non pay costs,LONDON AMBULANCE SERVICE NHS TRUST,0000050879,,41078.4
11/04/2011,Department of Health,Department of Health,SOCIAL CARE,Secondees in invoiced costs,MANCHESTER UNIVERSITY OF,16059742,,87293.36
11/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Stock Essential Medicines Additions,MARTINDALE PHARMACEUTICALS LTD,3473924,,30973.9
11/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Stock Essential Medicines Additions,MARTINDALE PHARMACEUTICALS LTD,3485017,,31475.95
11/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Stock Essential Medicines Additions,MARTINDALE PHARMACEUTICALS LTD,3485017,,157379.76
11/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Consultancy/Professional Advice,MOUCHEL MANAGEMENT CONSULTING LTD,90065059,,67596.6
11/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Consultancy/Professional Advice,MOUCHEL MANAGEMENT CONSULTING LTD,90065059,,337983
11/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Storage costs,MYLAN,1800000584,,89399.4
11/04/2011,Department of Health,Department of Health,SOCIAL CARE,Consultancy/Professional Advice,NATIONAL CENTRE FOR SOCIAL RESEARCH,0311622803,,79750
11/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Arm Length Bodies-Revenue Subsidy,NHS BLOOD AND TRANSPLANT (NHSBT),946215,,30000000
11/04/2011,Department of Health,Department of Health,COMMISSIONING,Outsourcing Contract,NHS EMPLOYERS LTD,5564,,92000
11/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Outsourcing Contract,NHS SHARED BUSINESS SERVICES (SBS),100003036,,89021.8
11/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Rates,NORTH KESTEVEN DISTRICT COUNCIL,18339600076,,25763.5
11/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Rates,NORWICH CITY COUNCIL,9300367,,28578
11/04/2011,Department of Health,Department of Health,Research & development,Research & development,NOTTINGHAM UNIVERSITY OF,ERS-430127-44784,,95800
11/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Rates,OXFORD CITY COUNCIL,711877379,,35634.1
11/04/2011,Department of Health,Department of Health,INFORMATICS,Computer Hardware Purch,PROBRAND LTD,12799552,,0.04
11/04/2011,Department of Health,Department of Health,INFORMATICS,Computer Maintenance,PROBRAND LTD,12799552,,143006.15
11/04/2011,Department of Health,Department of Health,Research & development,Research & development,QUEEN MARY AND WESTFIELD COLLEGE,ERS-430128-44785,,75000
11/04/2011,Department of Health,Department of Health,COMMISSIONING,Outsourcing Contract,ROYAL COLLEGE OF GENERAL PRACTITIONERS RCGP,INVGEN-003999,,32040
11/04/2011,Department of Health,Department of Health,COMMISSIONING,Outsourcing Contract,ROYAL COLLEGE OF GENERAL PRACTITIONERS RCGP,INVGEN-004000,,48807.6
11/04/2011,Department of Health,Department of Health,COMMISSIONING,Training non pay costs,SCHOOL FOR SOCIAL ENTREPRENEURS,SSE74/2010-11,,74945
11/04/2011,Department of Health,Department of Health,SOCIAL CARE,Grants to non profit institutions (CUR),SCOPE,ERS-430117-44761,,71384
11/04/2011,Department of Health,Department of Health,Research & development,Research & development,SHEFFIELD UNIVERSITY OF,ERS-430130-44786,,100000
11/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Rates,STOCKTON-ON-TEES BOROUGH COUNCIL,11883711,,26196.5
11/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Rates,TRAFFORD METROPOLITAN BOROUGH COUNCIL,09230670,,28578
11/04/2011,Department of Health,Department of Health,Research & development,Research & development,UNIVERSITY COLLEGE LONDON (UCL),ERS-430129-44783,,75000
11/04/2011,Department of Health,Department of Health,Research & development,Research & development,WARWICK UNIVERSITY OF,ERS-430131-44787,,125000
11/04/2011,Department of Health,Department of Health,Research & development,Research & development,YORK UNIVERSITY OF,ERS-430132-44788,,99265
11/04/2011,Department of Health,Department of Health,CHIEF NURSING OFFICER,Other programme expenditure,YORKSHIRE & THE HUMBER SHA,19595145,,60000
12/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Storage costs,ALLIANCE PHARMACEUTICALS LTD,0000189116,,43701.4
12/04/2011,Department of Health,Department of Health,INFORMATICS,Staff Consultancy & Suppt,ASE CONSULTING LTD,12806747,,79650
12/04/2011,Department of Health,Department of Health,More than one directorate,Expense clearing GPC (ST),BARCLAYCARD BUSINESS,1939001-18-APR-11,,10355.01
12/04/2011,Department of Health,Department of Health,COMMISSIONING,Conferences & seminars,CENTRAL OFFICE OF INFORMATION (COI),734162,,65000
12/04/2011,Department of Health,Department of Health,COMMUNICATIONS,Publicity & advertising,CENTRAL OFFICE OF INFORMATION (COI),732205,,81040
12/04/2011,Department of Health,Department of Health,SOCIAL CARE,Grants to non profit institutions (CUR),DEAFINITIONS LTD,ERS-430208-44801,,35750
12/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),IT minor costs non capital,IBM UK LTD,5A02110540,,306071.1
12/04/2011,Department of Health,Department of Health,NHS MEDICAL DIRECTOR,Secondees in invoiced costs,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,H0054386,,47822
12/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Rates,LEEDS CITY COUNCIL,900964298 03/03/11,,42867
12/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Secondees in invoiced costs,LONDON FIRE BRIGADE,IN019881,,84992.88
12/04/2011,Department of Health,Department of Health,SOCIAL CARE,Grants to non profit institutions (CUR),MAYTREE RESPITE CENTRE,ERS-430211-44821,,25625
12/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Utilisation-Hep C,MFET LTD,MFET-1/2011-12/MFET,,3878000
12/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Rates,NORTHUMBERLAND COUNTY COUNCIL,2511082340 05/03/11,,25980
12/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Rates,NOTTINGHAM CITY COUNCIL,6639844 11/03/11,,27495.5
12/04/2011,Department of Health,Department of Health,SOCIAL CARE,Grants to non profit institutions (CUR),OLDER PEOPLES ADVOCACY ALL(UK),ERS-430215-44841,,38500
12/04/2011,Department of Health,Department of Health,INFORMATICS,Computer Software/License,PA CONSULTING SERVICES LTD,12764485,,30030
12/04/2011,Department of Health,Department of Health,COMMUNICATIONS,Printing,PROMOTIONAL LOGISTICS LTD,IN309677,,28064.81
12/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Rates,REDBRIDGE LONDON BOROUGH COUNCIL,342000081 10/03/11,,29898
12/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Rates,SOUTHAMPTON CITY COUNCIL,521830312 09/03/11,,53714.04
12/04/2011,Department of Health,Department of Health,NHS FINANCE PERFORMANCE & OPERATIONS,Rates,TONBRIDGE AND MALLING BOROUGH COUNCIL,7074385 14/03/11,,32408.7
12/04/2011,Department of Health,Department of Health,INFORMATICS,Travel & Subsistence,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS TRUST,12764480,,50000
12/04/2011,Department of Health,Department of Health,INFORMATICS,Travel & Subsistence,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS TRUST,12764490,,-50000
12/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Outsourcing Contract,VERTEX DATA SCIENCE LTD,FI0407309,,98169.71
12/04/2011,Department of Health,Department of Health,HEALTH PROTECTION AND IMPROVEMENT,Outsourcing Contract,VERTEX DATA SCIENCE LTD,FI0407308,,148085.28
13/04/2011,Department of Health,Department of Health,INFORMATICS,Staff Consultancy & Suppt,ASE CONSULTING LTD,12823419,,138450
13/04/2011,Department of Health,Department of Health,More than one directorate,Expense clearing GPC (ST),BARCLAYCARD BUSINESS,1939001-18-APR-11,,3022.81
13/04/2011,Department of Health,Department of Health,INFORMATICS,Staff Consultancy & Suppt,CAPGEMINI UK PLC,12725331,,16709.5
13/04/2011,Department of Health,Department of Health,INFORMATICS,Staff Consultancy & Suppt,CAPGEMINI UK PLC,12725331,,21795
13/04/2011,Department of Health,Department of Health,INFORMATICS,Staff Consultancy & Suppt,CAPGEMINI UK PLC,12736814,,35532
13/04/2011,Department of Health,Department of Health,INFORMATICS,Staff Consultancy & Suppt,CAPGEMINI UK PLC,12686765,,64228.62
13/04/2011,Department of Health,Department of Health,INFORMATICS,Staff Consultancy & Suppt,CAPGEMINI UK PLC,12725279,,-64228.62
13/04/2011,Department of Health,Department of Health,INFORMATICS,Staff Consultancy & Suppt,CAPGEMINI UK PLC,12686758,,17420
13/04/2011,Department of Health,Department of Health,INFORMATICS,Staff Consultancy & Suppt,CAPGEMINI UK PLC,12686758,,45755
13/04/2011,Department of Health,Department of Health,More than one directorate,Other creditors (ST),DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT (DCLG),MIGRATION IMPACTS FUND ADJUSTMENT,,125000
13/04/2011,Department of Health,Department of Health,SOCIAL CARE,Secondees in invoiced costs,DORSET PCT,D0016627,,154000
13/04/2011,Department of Health,Department of Health,FINANCE & OPERATIONS (DM),Travel & subsistence staff,EXPOTEL HOTEL RESERVATIONS LTD,702588,,111985.04
13/04/2011,Department of Health,Department of Health,INFORMATICS,Computer Hardware Purch,HM LAND REGISTRY,12173239,,-45000
