F1,F11,F2,F3,F4,F5,F7,F8,F9,F10,F6
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1MB22,Initial Response Service,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KENG,MOT,58.95,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KELD,Planned Maintenance Sunderland,35.37,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KL64,Heaton Park Building,25.48,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KL1C,Outer West Pool,47.16,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KL6H,Tyne Riverside Country Park,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KR8E,Build Surv Team,47.16,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KJ51,Cash in Transit,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1FC43,Cee West Team,27.46,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KJ01,Security Overheads,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1EJ74,Newbiggin Hall Branch Library,12.22,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFX2,School Meals Overhead,15.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1EEK1,Fenham Childrens Centre,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1E459,Cruddas PK Early Years Centre,40.67,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1CC57,Gosforth LIFT CSC,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFP4,St Cuthberts Academy,15.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFG5,Mountfield Primary School,11.91,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFG8,St Cuthberts Prim Kenton,11.97,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFB9,Knop Law Primary School,26.12,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFJ8,Ravenswood Primary,15.92,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFJ6,Cragside Primary School,15.93,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFF3,St Bedes RC Primary,12.14,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFE1,Broadwood Primary School,16.04,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFE3,Bridgewater Centre,16.06,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFL1,West Walker Primary,12.19,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFA5,Monkchester Rd Nursery School,16.07,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFH1,St Marks RC Primary,12.21,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFG3,Kingston Park,14.59,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFC7,Dinnington First,26.38,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFC4,South Gosforth First,12.32,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFK6,St Vincents RC Prim,16.22,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFE6,Hawthorn Primary,12.38,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFL2,Chillingham Rd Prim,12.42,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFA2,Cruddas PK Early Years Centre,16.3,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFC3,Simonside Primary School,16.4,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFC6,Archibald First School,12.52,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFJ9,St Albans RC Primary,16.42,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFT1,Hadrian School,12.57,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFL3,Welbeck Road Academy,12.7,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFK3,St Lawrences RC Prim,16.59,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFJ5,Christ Church C of E Primary,12.8,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFB5,Waverley Primary,16.74,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFE5,English Martyrs RC Primary Sch,16.78,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFK2,St Catherines RC Pri,43.75,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFC2,Regent Farm First,13.04,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFG1,Hilton Academy,16.97,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFR6,Benfield Comp,13.21,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFK4,St Oswalds RC Prim,13.21,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFF2,Stocksfield Ave Prim,28.93,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFG6,Nth Fawdon Primary,13.31,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFK7,Tyne View Primary,17.26,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFB8,Grange First School,17.27,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFB7,Farne Primary School,17.32,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFG7,Our Lady & St Annes RC Primary,17.33,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFG9,St John Vianney RC Primary,17.44,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFC8,Gosforth Park First,23.77,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFJ3,West Denton Primary,13.66,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFL6,Byker Primary,17.58,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFCL,Connie Lewcock House,13.71,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFF7,St Michaels Primary,13.73,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFE9,St Josephs RC Prim,17.63,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFB6,Cheviot Primary School,18,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFE7,Moorside Comm Prim,18.03,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFJ7,Hotspur Primary,18.03,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFT4,Thomas Bewick Cateri,18.17,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFC1,Beech Hill Primary School,18.24,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFJ4,Benton Park Primary,14.41,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFF8,St Cuthberts Prim Walbottle,14.47,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFH6,Archbishop Runcie C of E First,14.99,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFBL,Byker Lodge,15.53,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFWC,Welford Day Centre,16.14,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFP9,Gosforth Academy,20.12,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFF1,St Johns Primary,20.62,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KJ94,Security Services Delegated,65.68,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1MK31,Linbridge Drive Res Centre LD,23.74,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1CS14,Revs & Bens Small Grants,23.58,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1DQ9L,S&M Trinity Kenton Lodge,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KKX3,FSCM - Corporate Credit Card,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1DT02,Ayton St Workshops,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1MG96,Carers Centre Saville Place,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1DV06,Great North Road,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KHD8,Heaton Park Depot,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KL6C,Leazes Park,23.58,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1FR07,Soft FM Holding Account,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KE15,Waste Disposal Byker,53.95,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1EJ34,Home Delivery,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KEWM,Ayton Street Depot,23.58,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1DT07,Hawick Cres Industrial Estate,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1DT11,St Michaels Workshops,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFB1,Lemington Riverside Primary,24.69,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1CR32,Council Tax & Sundry Debt,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1HP93,Comm. Centres - N/B/H,4.72,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFH2,St Pauls C of E Prim,29.15,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KEWK,Other Cleansing Depot,27.46,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1EJ61,West End Branch Library,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFH5,Westgate Hill Foster,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1EJ66,Fenham Branch Library,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KLR0,Football Development,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1EJ44,Jesmond Branch Library,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFN7,Gosforth Junior High Academy,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1E761,SB ICT Broadband Connectivity,11.79,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1DZW1,Mill Lane Ind. Est.,35.37,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1E461,Bridgewater Contribution,15.67,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFT3,Sir Charles Parsons School,15.67,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFS1,Walker Technology College,15.67,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KFR5,St Marys RC School,15.67,6606062
Chief Executive's,,Utilities - NCC,Supplies & Services,10/06/2015,AZZURRI COMMUNICATIONS LTD,Revenue,1KKT4,Council Suites,68.76,6606062
Children's Services,,Carefirst - Independant Foster payments,Third Party Payments,02/06/2015,BAB ACCOMODATION LTD,Revenue,1MF01,16+ Team (YP),20400,6599026
Children's Services,,Carefirst - Independant Foster payments,Third Party Payments,29/06/2015,BAB ACCOMODATION LTD,Revenue,1MF01,16+ Team (YP),20400,6624149
Adult and Culture,,Adult Serv Finance,Employees,42172,BABCOCK 4S LTD,Revenue,1E317,Management Secretariat,740,6612523
Adult and Culture,,Adult Serv Admin Support,Supplies & Services,42156,BACK CARE SOLUTIONS LTD,Revenue,1MG01,Care Management OP,560.4,6594695
Adult and Culture,,Social Services-Carefirst,"Sales, Fees & Charges",02/06/2015,BAILIFFGATE,Revenue,1MK20,Residential Care LD,-319.4,6598783
Adult and Culture,,Social Services-Carefirst,"Sales, Fees & Charges",30/06/2015,BAILIFFGATE,Revenue,1MK20,Residential Care LD,-319.4,6625110
Adult and Culture,,Social Services-Carefirst,Third Party Payments,02/06/2015,BAILIFFGATE,Revenue,1MK20,Residential Care LD,2455.84,6598783
Adult and Culture,,Social Services-Carefirst,Third Party Payments,30/06/2015,BAILIFFGATE,Revenue,1MK20,Residential Care LD,2455.84,6625110
Children's Services,,Invoice,Transport,10/06/2015,BAKER TILLY,Revenue,1V300,Green Travel office,3000,6559252
Environment & Regeneration,,E&R Fairer Housing,Supplies & Services,11/06/2015,BALLIOL PROPERTY MANAGEMENT,Revenue,1VH08,Rent Deposit Fund,790,6606047
Environment & Regeneration,,E&R Fairer Housing,Supplies & Services,08/06/2015,BALLIOL PROPERTY MANAGEMENT,Revenue,1VH08,Rent Deposit Fund,450,6580995
Adult and Culture,,Social Services-Carefirst,"Sales, Fees & Charges",16/06/2015,BALMORAL COURT,Revenue,1MG10,Nursing Care OP,-9559.43,6611142
Adult and Culture,,Social Services-Carefirst,"Sales, Fees & Charges",16/06/2015,BALMORAL COURT,Revenue,1MG20,Residential Care OP,-2145.44,6611142
Adult and Culture,,Social Services-Carefirst,Third Party Payments,16/06/2015,BALMORAL COURT,Revenue,1MG10,Nursing Care OP,68831.48,6611142
Adult and Culture,,Social Services-Carefirst,Third Party Payments,16/06/2015,BALMORAL COURT,Revenue,1MG20,Residential Care OP,10080.04,6611142
Adult and Culture,,Social Services-Carefirst,Third Party Payments,16/06/2015,BALMORAL COURT,Revenue,1MK10,Nursing Care LD,1969.28,6611142
Adult and Culture,,Social Services-Carefirst,Third Party Payments,16/06/2015,BALMORAL COURT,Revenue,1MM20,Residential Care MH,2047.16,6611142
Environment & Regeneration,,Allendale Building,Supplies & Services,05/06/2015,BALMORAL JOINERY,Revenue,1KVWC,Minor Works Contracts,1458,6597294
Environment & Regeneration,,Allendale Building,Supplies & Services,05/06/2015,BALMORAL JOINERY,Revenue,1KVWC,Minor Works Contracts,680,6602322
Environment & Regeneration,,Allendale Building,Supplies & Services,12/06/2015,BALMORAL JOINERY,Revenue,1KVWC,Minor Works Contracts,1840.65,6602320
Adult and Culture,,Social Services-Care Support,Third Party Payments,42166,BANKS OF THE WEAR LTD,Revenue,1MX50,SP Block Gross,1337.84,6607216
Adult and Culture,,Social Services-Carefirst,Third Party Payments,02/06/2015,BARCHESTER HEALTHCARE,Revenue,1MK20,Residential Care LD,25040.24,6598850
Adult and Culture,,Social Services-Carefirst,Third Party Payments,30/06/2015,BARCHESTER HEALTHCARE,Revenue,1MK20,Residential Care LD,2423.92,6625143
Adult and Culture,,Adult Serv-Arts & Cul,Supplies & Services,42156,BARE TOED CO,Revenue,1DF02,Staffing & Resources,1168.75,6595886
Children's Services,,Educ Newbiggin S/Start,Third Party Payments,19/06/2015,BARE TOED CO,Revenue,1E51J,Childrens Centre,275,6614949
Children's Services,,Carefirst - Independant Foster payments,Third Party Payments,02/06/2015,BARNARDOS,Revenue,1MC22,IND Sector Foster Carer Costs,7450.16,6599027
Children's Services,,Carefirst - Independant Foster payments,Third Party Payments,29/06/2015,BARNARDOS,Revenue,1MC22,IND Sector Foster Carer Costs,7450.16,6624150
Children's Services,,Childrens Services Support,Third Party Payments,15/06/2015,BARNARDOS NORTH EAST,Revenue,1MD66,CWD Care Packages,420,6606993
Adult and Culture,,Social Services-Care Support,Supplies & Services,42166,BARNARDO'S NORTH EAST,Revenue,1MX19,Domestic Violence,7770.84,6607208
Adult and Culture,,Social Services-Care Support,Supplies & Services,42173,BARNARDO'S NORTH EAST,Revenue,1MG97,Carers VCS,7621.07,6613872
Adult and Culture,,Social Services-Care Support,Supplies & Services,42173,BARNARDO'S NORTH EAST,Revenue,1EY10,Youth Management,21798.77,6613897
Adult and Culture,,Social Services-Care Support,Supplies & Services,42173,BARNARDO'S NORTH EAST,Revenue,1MD65,Teenage Pregnancies,13824.37,6613897
Children's Services,,Int Childhood Services,Supplies & Services,15/06/2015,BARNARDO'S NORTH EAST,Revenue,1MD72,Troubled Families Funding,20000,6607927
Children's Services,,Int Childhood Services,Supplies & Services,19/06/2015,BARNARDO'S NORTH EAST,Revenue,1EEE1,East CC Central Costs,19122,6614950
Children's Services,,Int Childhood Services,Supplies & Services,19/06/2015,BARNARDO'S NORTH EAST,Revenue,1EEE1,East CC Central Costs,19122,6614951
Children's Services,,Int Childhood Services,Third Party Payments,19/06/2015,BARNARDO'S NORTH EAST,Revenue,1EEE1,East CC Central Costs,163598,6614950
Children's Services,,Int Childhood Services,Third Party Payments,19/06/2015,BARNARDO'S NORTH EAST,Revenue,1EEE1,East CC Central Costs,169939,6614951
Environment & Regeneration,,E&R Parking Services,Premises,08/06/2015,BARRIER SURVEILLANCE  SYSTEMS LTD,Revenue,1V204,Car Parking Infrastructure,343.75,6600941
Adult and Culture,,AS - Westgate AE,Supplies & Services,09/06/2015,BAUER ADVERTISING LTD,Revenue,1EA56,Wellbeing Fund,2187.54,6605137
Environment & Regeneration,,E&R Raising Participation,Supplies & Services,22/06/2015,BAUER ADVERTISING LTD,Revenue,1KLF0,Getting Ncle Active,2700,6615973
Children's Services,,Invoice,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1C,Voids 2.5 Central,399.75,6600553
Children's Services,,Invoice,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,295.96,6602257
Children's Services,,Invoice,Supplies & Services,26/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KVWC,Minor Works Contracts,390.82,6602269
Environment & Regeneration,,Allendale Building,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KR10,Voids,361.25,6586303
Environment & Regeneration,,Allendale Building,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,334.7,6586305
Environment & Regeneration,,Allendale Building,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,448.74,6586306
Environment & Regeneration,,Allendale Building,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,337.72,6586307
Environment & Regeneration,,Allendale Building,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,329.53,6586309
Environment & Regeneration,,Allendale Building,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,401.02,6586310
Environment & Regeneration,,Allendale Building,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,347.05,6586311
Environment & Regeneration,,Allendale Building,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,348.26,6586314
Environment & Regeneration,,Allendale Building,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,547.65,6586315
Environment & Regeneration,,Allendale Building,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,259.85,6586317
Environment & Regeneration,,Allendale Building,Supplies & Services,11/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,396.28,6595846
Environment & Regeneration,,Allendale Building,Supplies & Services,15/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,322.79,6595066
Environment & Regeneration,,Allendale Building,Supplies & Services,01/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,456.05,6586298
Environment & Regeneration,,Allendale Building,Supplies & Services,01/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,511.62,6586304
Environment & Regeneration,,Allendale Building,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,316.79,6586300
Environment & Regeneration,,Allendale Building,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KR1E,Response East,329.96,6600532
Environment & Regeneration,,Allendale Building,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,375.41,6600533
Environment & Regeneration,,Allendale Building,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,534.65,6600534
Environment & Regeneration,,Allendale Building,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,408.46,6600536
Environment & Regeneration,,Allendale Building,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,391.68,6600537
Environment & Regeneration,,Allendale Building,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1C,Voids 2.5 Central,345.45,6600540
Environment & Regeneration,,Allendale Building,Supplies & Services,08/06/2015,BB TRADE KITCHENS & BEDROOMS LTD,Revenue,1KM1E,Voids 2.5 East,345.8,6600541
