Address,Case Date,Case Reference,Case Text,Classification,Codetext,Decision,Decision Date,Decision Target Date,Geo X,Public Consultation End Date,Public Consultation Start Date,Service Type,Ward,Appeal Decision Date,Decision Notice Date,Decision Type,Geo Y,Status
,,"""",,,,,,,,,,,,,,,,
,,Station Road,,,,,,,,,,,,,,,,
,,Luddenden Foot,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
425053,12/07/2017,"""",403644,11,DEL,31/07/2017,27/06/2017,01/08/2017,01/08/2017,,,11,,,,7,,11
"""Brookfield Farm",27/04/2017,17/00558/HSE,Demolition of existing side conservatory and construction of new single-storey side extension,Q21,,,,,,,,HSE,,,,,,
,,Woodhouse Road,,,,,,,,,,,,,,,,
,,Todmorden,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,OL14 6BL,,,,,,,,,,,,,,,,
424285,10/07/2017,"""",395173,1,DEL,17/07/2017,22/06/2017,21/07/2017,21/07/2017,,,1,,,,2,,1
"""Land At High Trees Lane And",02/02/2017,17/00126/FUL,Change of use of agricultural land to garden and driveway (C3 use class) and construction of two garages (part retrospective),Q18,,,,,,,,FUL,,,,,,
,,Saddleworth Road,,,,,,,,,,,,,,,,
,,Barkisland,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
420850,28/04/2017,"""",407055,11,DEL,21/04/2017,23/03/2017,28/04/2017,28/04/2017,,,11,,,,4,,11
"""Land On",03/05/2017,15/01029/DISC4,Submission of details to comply with condition number 23 to permission 15/01029,DISC,,,,,,,,DISC4,,,,,,
,,Hope Street,,,,,,,,,,,,,,,,
,,Todmorden,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
424153,30/06/2017,"""",394108,PCOMP,,31/05/2017,,20/07/2017,20/07/2017,,,PCOMP,,,,2,,
"""44 Upper Hall View",04/05/2017,17/00576/HSE,First floor side extension,Q21,,,,,,,,HSE,,,,,,
,,Northowram,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 7ET,,,,,,,,,,,,,,,,
427180,29/06/2017,"""",411026,1,DEL,30/07/2017,18/05/2017,28/06/2017,28/06/2017,,,1,,,,8,,1
,18/01/2017,17/10004/ADV,"""Replacement panels to existing illuminated totem; new non-illuminated totem; replacement signage panels to two existing non-illuminated totems; 2 new internally illuminated fascia signs; four new non-illuminated panel signs; two non-illuminated lobby lozenges. (Advertisement Consent)",Q22,,,,,,,,ADV,,,,,,
,,"""",,,,,,,,,,,,,,,,
,,Wade Street,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 1SB,,,,,,,,,,,,,,,,
425492,15/03/2017,"""",409610,4,DEL,03/01/2017,,07/03/2017,13/03/2017,,,4,,,,16,,4
"""19 Rocks Road",23/01/2017,17/00070/HSE,Two storey side extension,Q21,,,,,,,,HSE,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
423520,03/04/2017,"HX3 0HR""",408394,1,COMM,17/03/2017,21/04/2017,02/05/2017,04/05/2017,,,1,,,,13,,1
"""12 Hullen Edge Gardens",24/01/2017,16/00607/DISC1,Submission of details to discharge conditions on planning permission 16/00607 - Conditions 2 & 3,DISC,,,,,,,,DISC1,,,,,,
,,Elland,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX5 0QR,,,,,,,,,,,,,,,,
420605,04/04/2017,"""",409835,PCOMP,,02/03/2017,,02/03/2017,02/03/2017,,,PCOMP,,,,3,,
"""39 Bar Lane",20/01/2017,17/20004/TPO,Fell seven trees and prune eighteen trees (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,Ripponden,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX6 4EX,,,,,,,,,,,,,,,,
418636,17/03/2017,"""",403173,4,DEL,28/02/2017,25/01/2017,13/03/2017,13/03/2017,,,4,,,,12,,4
"emergency lighting and escape signage.  Separation of escape route.  Provision of wheelchair access by the creation of new landing and steps to west elevation.   Additional WC.   Improvement to kitchen.   Addition of first floor kitchenette. (Listed Building Consent)""",13/02/2017,17/00094/LBC,"""Installation of fire detection and alarm system",Q23,,,,,,,,LBC,,,,,,
,,Wainsgate Lane,,,,,,,,,,,,,,,,
,,Wadsworth,,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
428790,10/04/2017,"""",399825,3,DEL,22/05/2017,,05/06/2017,05/06/2017,,,3,,,,2,,3
"""Stitch Express",06/02/2017,17/00141/FUL,Replacement shop front to West elevation,Q16,,,,,,,,FUL,,,,,,
,,1 Wards End,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 1DD,,,,,,,,,,,,,,,,
425012,03/04/2017,"""",409357,1,DEL,17/03/2017,09/02/2017,29/03/2017,29/03/2017,,,1,,,,16,,1
"""35 Southgate",06/02/2017,17/00142/FUL,Replacement shopfront (Minor Commercial),Q18,,,,,,,,FUL,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 1DL,,,,,,,,,,,,,,,,
425037,03/04/2017,"""",409351,1,DEL,17/03/2017,09/02/2017,29/03/2017,29/03/2017,,,1,,,,16,,1
"""Blue Mountain Cafe",06/02/2017,17/00143/FUL,Replacement shopfront,Q16,,,,,,,,FUL,,,,,,
,,1 Wards End,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
425009,03/04/2017,"""",409358,1,DEL,14/03/2017,09/02/2017,29/03/2017,29/03/2017,,,1,,,,16,,1
"""St Georges Church",13/02/2017,17/00174/FUL,Construction of a new access ramp to the front main entrance of the church.,Q18,,,,,,,,FUL,,,,,,
,,St Georges Road,,,,,,,,,,,,,,,,
,,Lee Mount,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX3 5BU,,,,,,,,,,,,,,,,
426182,25/04/2017,"""",408462,1,DEL,14/04/2017,16/03/2017,20/04/2017,20/04/2017,,,1,,,,9,,1
"""Units 7 & 8",16/01/2017,17/10002/ADV,2 fascia signs (Advertisement Consent),Q22,,,,,,,,ADV,,,,,,
,,Lock Hill Mills,,,,,,,,,,,,,,,,
,,Holmes Road,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX6 3LD,,,,,,,,,,,,,,,,
423570,19/04/2017,"""",406304,PCO,,07/04/2017,,,,,,,,,,14,,
"""Land Opposite 1 To 4A",23/01/2017,17/00074/FUL,Construction of one four bedroom detached house and six two bedroom bungalows,Q13,,,,,,,,FUL,,,,,,
,,Holts Terrace,,,,,,,,,,,,,,,,
,,Siddal,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
423802,31/03/2017,"""",409963,1,DEL,02/06/2017,09/02/2017,25/05/2017,25/05/2017,,,1,,,,16,,1
"""Law Hill House",23/01/2017,17/00081/LBC,Replacement of first and second floor windows on front and side elevation (Listed Building Consent),Q23,,,,,,,,LBC,,,,,,
,,37 Law Lane,,,,,,,,,,,,,,,,
,,Southowram,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 9UG,,,,,,,,,,,,,,,,
424301,20/03/2017,"""",410817,3,DEL,28/03/2017,31/01/2017,11/05/2017,11/05/2017,,,3,,,,16,,3
"""Wood End House",16/01/2017,17/22005/TCA,Fell one tree (Tree in a Conservation Area),TCA,,,,,,,,TCA,,,,,,
,,Wood End,,,,,,,,,,,,,,,,
,,Keighley Road,,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX7 8HW,,,,,,,,,,,,,,,,
427826,27/02/2017,"""",399425,40,DEL,17/02/2017,,22/02/2017,22/02/2017,,,40,,,,2,,40
6,24/01/2017,15/01344/DISC2,"""Submission of information to Discharge Conditions on application 15/01344 - conditions 5",DISC,,,,,,,,DISC2,,,,,,
,,Bacup Road,,,,,,,,,,,,,,,,
,,Todmorden,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
424027,21/03/2017,"""",390601,PCO,,,,,,,,,,,,15,,
"""Clunters Farm",26/01/2017,17/00071/HSE,Detached double garage,Q21,,,,,,,,HSE,,,,,,
,,Clunters Lane,,,,,,,,,,,,,,,,
,,Luddenden Foot,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX2 6JX,,,,,,,,,,,,,,,,
424546,11/04/2017,"""",402722,1,DEL,29/03/2017,16/02/2017,10/04/2017,10/04/2017,,,1,,,,7,,1
"""The Hatcheries",26/01/2017,17/00082/FUL,Increased parking provision,Q18,,,,,,,,FUL,,,,,,
,,Hall Bank Lane,,,,,,,,,,,,,,,,
,,Mytholmroyd,,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX7 5HQ,,,,,,,,,,,,,,,,
425583,10/04/2017,"""",401264,PCO,,06/04/2017,02/03/2017,,,,,,,,,7,,
"""Land East Of White Hart Fold",26/01/2017,17/00086/FUL,Realignment of plot 10 (amendment to planning application 14/01428/FUL  for ten dwellings) (Retrospective),Q13,,,,,,,,FUL,,,,,,
,,Rochdale Road,,,,,,,,,,,,,,,,
,,Ripponden,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
419165,03/05/2017,"""",403380,1,DEL,17/05/2017,29/03/2017,06/06/2017,06/06/2017,,,1,,,,12,,1
"""Land West Of The Old Co Op Hall",26/01/2017,17/00087/FUL,Removal of existing agricultural building and formation of two dwellings,Q13,,,,,,,,FUL,,,,,,
,,Walker Lane,,,,,,,,,,,,,,,,
,,Wadsworth,,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
428288,24/05/2017,"""",400039,PCO,,19/05/2017,24/04/2017,,,,,,,,,2,,
"""Land West Of 63",26/01/2017,17/00001/DTA,Residential development of 12 Apartments,DTA,,,,,,,,DTA,,,,,,
,,Woodside Road,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
426012,28/03/2017,"""",408815,REPLY,DEL,,,30/03/2017,30/03/2017,,,REPLY,,,,16,,
"""Hill Brink",23/01/2017,17/20008/TPO,Remove trees  (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,Mytholm Bank,,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX7 6DL,,,,,,,,,,,,,,,,
427540,20/03/2017,"""",398362,4,COMM,28/02/2017,23/03/2017,04/04/2017,11/04/2017,,,4,,,,2,,4
"""Calder High School",31/01/2017,17/30001/INF,Proposed fencing,,,,,,,,,INF,,,,,,
,,Brier Hey Lane,,,,,,,,,,,,,,,,
,,Mytholmroyd,,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX7 5QN,,,,,,,,,,,,,,,,
426247,21/02/2017,"""",401726,PCO,,,,,,,,,,,,7,,
"""Former Barkisland Cross",20/01/2017,17/56003/CLAS3Q,Prior approval application for a change of use from agricultural building to a dwelling house (Class C3),,,,,,,,,CLAS3Q,,,,,,
,,Jackson Lane,,,,,,,,,,,,,,,,
,,Barkisland,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
420050,16/03/2017,"""",405049,18,DEL,14/04/2017,,27/07/2017,27/07/2017,,,18,,,,12,,18
"""15 The Crescent",06/02/2017,17/00137/HSE,Single storey rear extension and additional parking,Q21,,,,,,,,HSE,,,,,,
,,Southowram,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX3 9NX,,,,,,,,,,,,,,,,
424649,03/04/2017,"""",410502,1,DEL,03/03/2017,09/02/2017,16/03/2017,20/03/2017,,,1,,,,16,,1
"""St Matthews Church",06/02/2017,17/20012/TPO,Prune three trees (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,Back Clough,,,,,,,,,,,,,,,,
,,Northowram,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 7HF,,,,,,,,,,,,,,,,
426940,03/04/2017,"""",411350,4,DEL,03/04/2017,13/02/2017,23/03/2017,29/03/2017,,,4,,,,8,,4
"""Ash Cottage",06/02/2017,17/00145/FUL,New detached dwelling,Q13,,,,,,,,FUL,,,,,,
,,Gordon Street,,,,,,,,,,,,,,,,
,,Boothtown,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 6NU,,,,,,,,,,,,,,,,
426865,03/04/2017,"""",408916,PCO,,08/03/2017,15/02/2017,,,,,,,,,8,,
"""Crag Lea",08/02/2017,17/20013/TPO,Prune trees and fell one tree (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,Crag Lane,,,,,,,,,,,,,,,,
,,Wheatley,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX2 8TZ,,,,,,,,,,,,,,,,
427295,05/04/2017,"""",406914,4,DEL,21/03/2017,23/02/2017,05/04/2017,05/04/2017,,,4,,,,9,,4
"""Cotton Stones Ghyll",03/02/2017,17/22010/TCA,Fell four trees (Tree in a Conservation Area),TCA,,,,,,,,TCA,,,,,,
,,Lumb Lane,,,,,,,,,,,,,,,,
,,Mill Bank,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX6 3ER,,,,,,,,,,,,,,,,
421319,17/03/2017,"""",403278,40,DEL,10/02/2017,,16/03/2017,16/03/2017,,,40,,,,12,,40
"""4 Mount Tabor Road",13/02/2017,17/00173/HSE,First floor extension to front and rear and conversion of integral garage to living space,Q21,,,,,,,,HSE,,,,,,
,,Mount Tabor,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX2 0UP,,,,,,,,,,,,,,,,
427198,10/04/2017,"""",405396,1,DEL,24/03/2017,27/02/2017,22/03/2017,22/03/2017,,,1,,,,17,,1
,05/05/2017,17/00584/LAA,"""Mixed use of portable building for the use as a Clubhouse and Function Room to the Athletics Track and childcare facilities",Q18,,,,,,,,LAA,,,,,,
,,"""",,,,,,,,,,,,,,,,
,,Spring Hall Mansion,,,,,,,,,,,,,,,,
,,Huddersfield Road,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 0AQ,,,,,,,,,,,,,,,,
423950,17/08/2017,"""",409470,PCO,,03/08/2017,,,,,,,,,,13,,
"""7 Hillbeck",05/05/2017,17/20060/TPO,Fell two trees (Tree Preservation Order),TCA,,,,,,,,TPO,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 5LU,,,,,,,,,,,,,,,,
426532,30/06/2017,"""",407588,14,DEL,20/06/2017,19/05/2017,23/06/2017,23/06/2017,,,14,,,,9,,14
"""3 Gosport Close",19/04/2017,17/20064/TPO,Fell four trees (Tree Preservation Order),,,,,,,,,TPO,,,,,,
,,Outlane,,,,,,,,,,,,,,,,
,,Elland,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HD3 3FP,,,,,,,,,,,,,,,,
417763,,"""",408099,APPRET,,,,,,,,,,,,4,,
10,12/05/2017,16/01316/DISC2,"""Submission of details to comply with conditions to permission 16/01316 nos. 9",DISC,21,,,,,,,DISC2,,,,,,14
,,Green Lane,,,,,,,,,,,,,,,,
,,Shelf,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
428563,10/07/2017,"""",412816,PCO,,21/08/2017,,,,,,,,,,8,,
"""Unit AB",12/05/2017,17/80003/DNO,Demolition of unit A  (Demolition Notification),DNO,,,,,,,,DNO,,,,,,
,,Ridings Business Park,,,,,,,,,,,,,,,,
,,Hopwood Lane,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 3TT,,,,,,,,,,,,,,,,
424803,13/06/2017,"""",407699,18,DEL,09/06/2017,,14/06/2017,14/06/2017,,,18,,,,10,,18
"""7 Stoodley Grange",17/05/2017,17/00628/HSE,Decking to rear of property,Q21,,,,,,,,HSE,,,,,,
,,Todmorden,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,OL14 6JR,,,,,,,,,,,,,,,,
424422,29/08/2017,"""",396542,PCO,,18/08/2017,26/07/2017,,,,,,,,,2,,
5,17/05/2017,15/01424/DISC1,"""Submission of information to Discharge Conditions on application 15/01424- condition 2",DISC,,,,,,,,DISC1,,,,,,
,,Wheatley Road,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
426611,17/07/2017,"""",407645,PCO,,08/06/2017,,,,,,,,,,9,,
"""Land Opposite",18/05/2017,17/00634/FUL,One detached dwelling,Q13,,,,,,,,FUL,,,,,,
,,Wheatsheaf Hotel,,,,,,,,,,,,,,,,
,,42 Mount Pellon,,,,,,,,,,,,,,,,
,,Pellon,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX2 0EE,,,,,,,,,,,,,,,,
425954,02/08/2017,"""",407528,PCO,,06/07/2017,15/06/2017,,,,,,,,,17,,
9,19/05/2017,14/00355/DISC1,"""Submission of information to Discharge Conditions on application 14/00355 - condition 1",DISC,,,,,,,,DISC1,,,,,,
,,Fore Lane,,,,,,,,,,,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX6 1BJ,,,,,,,,,,,,,,,,
423276,21/07/2017,"""",405323,PCO,,03/08/2017,,,,,,,,,,12,,
"""4 Spa Terrace",22/05/2017,17/00646/LBC,Replace windows to front and rear of property to existing window openings,Q23,,,,,,,,LBC,,,,,,
,,Cragg Road,,,,,,,,,,,,,,,,
,,Mytholmroyd,,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX7 5RX,,,,,,,,,,,,,,,,
424224,31/07/2017,"""",400792,PCO,,25/07/2017,14/06/2017,,,,,,,,,7,,
"""43 Spinners Hollow",06/02/2017,17/20015/TPO,Prune five trees (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,Sowerby Bridge,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX6 4HY,,,,,,,,,,,,,,,,
419597,03/04/2017,"""",403863,4,DEL,03/04/2017,14/02/2017,06/04/2017,06/04/2017,,,4,,,,12,,4
"""1 Binns Hill Lane",06/02/2017,17/22011/TCA,Fell two trees (Trees in a Conservation Area),TCA,,,,,,,,TCA,,,,,,
,,Warley,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX2 7SJ,,,,,,,,,,,,,,,,
424618,20/03/2017,"""",405833,40,DEL,10/03/2017,,16/03/2017,16/03/2017,,,40,,,,17,,40
"""Linden Royde",09/02/2017,17/22012/TCA,Fell one tree and reduce one tree (Trees in a Conservation Area),TCA,,,,,,,,TCA,,,,,,
,,Linden Road,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 0BS,,,,,,,,,,,,,,,,
423722,23/03/2017,"""",409130,40,DEL,10/03/2017,,21/03/2017,21/03/2017,,,40,,,,13,,40
"""2 Hill Crescent",20/02/2017,17/00209/OUT,First floor side extension over existing garage (Outline),Q21,,,,,,,,OUT,,,,,,
,,Southowram,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 9PG,,,,,,,,,,,,,,,,
424332,17/04/2017,"""",410549,7,DEL,31/03/2017,09/03/2017,12/04/2017,12/04/2017,,,7,,,,16,,7
"""268 Hanson Lane",20/02/2017,17/00210/HSE,Dormer to front and rear,Q21,,,,,,,,HSE,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX1 4QW,,,,,,,,,,,,,,,,
425512,06/06/2017,"""",407430,1,DEL,19/05/2017,28/04/2017,06/06/2017,06/06/2017,,,1,,,,17,,1
"""Greggs",22/02/2017,17/10007/ADV,Two replacement internally illuminated fascia signs (Advertisement Consent),Q22,,,,,,,,ADV,,,,,,
,,Pellon Lane Service Station,,,,,,,,,,,,,,,,
,,151 Pellon Lane,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 5RL,,,,,,,,,,,,,,,,
425629,19/04/2017,"""",408330,4,DEL,17/03/2017,,11/04/2017,12/04/2017,,,4,,,,10,,4
"""Todmorden Town Hall",27/02/2017,17/00242/LBC,Re-decorate 4 external doors (Listed Building Consent),Q23,,,,,,,,LBC,,,,,,
,,Rochdale Road,,,,,,,,,,,,,,,,
,,Todmorden,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,OL14 5AA,,,,,,,,,,,,,,,,
424170,24/04/2017,"""",393665,3,DEL,24/03/2017,,29/03/2017,29/03/2017,,,3,,,,15,,3
3,02/03/2017,16/00786/DISC1,"""Submission of information to Discharge Conditions on application 16/00786 - Conditions  2",DISC,,,,,,,,DISC1,,,,,,
,,Denholme Gate Road,,,,,,,,,,,,,,,,
,,Hipperholme,,,,,,,,,,,,,,,,
,,Brighouse,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 8HX,,,,,,,,,,,,,,,,
425623,27/04/2017,"""",412490,PCO,,03/04/2017,,,,,,,,,,5,,
"""Flat 2",06/03/2017,17/00293/HSE,Convert loft space and add new window to north west elevation at first floor level.,Q21,,,,,,,,HSE,,,,,,
,,10 Weir Street,,,,,,,,,,,,,,,,
,,Todmorden,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,OL14 7NP,,,,,,,,,,,,,,,,
423461,23/05/2017,"""",393230,1,DEL,19/05/2017,21/04/2017,23/05/2017,23/05/2017,,,1,,,,15,,1
,08/03/2017,17/00304/LBC,"""Re-roofing of dwelling (Listed Building Consent)",Q23,,,,,,,,LBC,,,,,,
,,"""",,,,,,,,,,,,,,,,
,,Hebden Bridge,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX7 7DZ,,,,,,,,,,,,,,,,
427958,03/05/2017,"""",399069,3,DEL,21/04/2017,28/03/2017,03/05/2017,03/05/2017,,,3,,,,2,,3
"""Land East Of 51",27/01/2017,17/00002/DTA,Residential development of 38 dwellings,DTA,,,,,,,,DTA,,,,,,
,,Westercroft Lane,,,,,,,,,,,,,,,,
,,Northowram,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
427102,29/03/2017,"""",411722,PCO,,,,,,,,,,,,8,,
"""Land North East Of 1",01/02/2017,17/00106/FUL,Detached dwelling,Q13,,,,,,,,FUL,,,,,,
,,Ogden Lane,,,,,,,,,,,,,,,,
,,Causeway Foot,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
430944,09/05/2017,"""",406781,11,DEL,02/05/2017,03/04/2017,08/05/2017,08/05/2017,,,11,,,,6,,11
"""24 Woodhall Crescent",01/02/2017,17/00107/HSE,2 Storey Side Extension,Q21,,,,,,,,HSE,,,,,,
,,Wakefield Road,,,,,,,,,,,,,,,,
,,Copley,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX3 0UN,,,,,,,,,,,,,,,,
422993,31/03/2017,"""",408233,1,DEL,28/03/2017,10/02/2017,24/03/2017,24/03/2017,,,1,,,,13,,1
"""43 Newstead Terrace",02/02/2017,17/00125/HSE,Dormer to front,Q21,,,,,,,,HSE,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX1 4TA,,,,,,,,,,,,,,,,
425302,05/04/2017,"""",407434,1,DEL,17/03/2017,20/02/2017,05/04/2017,05/04/2017,,,1,,,,17,,1
"""Plough Croft",02/02/2017,17/00122/HSE,Two storey rear extension,Q21,,,,,,,,HSE,,,,,,
,,Ploughcroft Lane,,,,,,,,,,,,,,,,
,,Boothtown,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 6TX,,,,,,,,,,,,,,,,
426987,07/04/2017,"""",408845,1,DEL,21/04/2017,30/03/2017,24/04/2017,24/04/2017,,,1,,,,8,,1
"""57 Upper Hall View",30/01/2017,17/20009/TPO,Prune three trees (Tree Preservation Order),TPO,,,,,,,,TPO,,,,,,
,,Northowram,,,,,,,,,,,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,West Yorkshire,,,,,,,,,,,,,,,,
,,HX3 7ET,,,,,,,,,,,,,,,,
427223,27/03/2017,"""",411090,4,DEL,24/02/2017,03/02/2017,24/03/2017,24/03/2017,,,4,,,,8,,4
"""16 Cheltenham Gardens",03/02/2017,17/00134/HSE,Single storey extension to front,Q21,,,,,,,,HSE,,,,,,
,,Halifax,,,,,,,,,,,,,,,,
,,Calderdale,,,,,,,,,,,,,,,,
,,HX3 0AN,,,,,,,,,,,,,,,,
