Diffusion tube,Year,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
SB10,2008,,,,36,31,,,24,,,,
SB11,2008,,,,50,42,,,34,,,,
SB12,2008,62,48,59,56,54,47,43,41,66,57,45,54
SB13,2008,49,51,60,65,54,44,43,48,44,45,51,60
SB14,2008,,,,47,67,,,30,,,,
SB15,2008,55,61,53,63,56,47,42,47,55,28,51,55
SB16,2008,63,41,61,64,52,57,43,41,72,51,45,53
SB17,2008,56,48,52,58,51,53,46,49,45,53,50,54
SB18,2008,43,49,59,59,47,3,34,41,46,52,42,51
LF1,2008,65,63,58,75,63,57,52,51,70,67,58,67
LF2,2008,54,50,60,58,53,42,41,45,40,32,43,51
LF3,2008,42,39,50,48,44,35,26,36,30,59,34,45
LF4,2008,30,22,38,37,32,22,15,24,32,48,22,24
LF8,2008,43,40,49,46,42,38,32,39,40,45,40,47
HQ1,2008,64,72,71,83,69,67,55,68,46,37,73,48
HQ3,2008,61,46,,64,50,46,40,45,71,,,55
HQ4,2008,41,25,47,51,38,36,25,34,54,42,28,41
HQ5,2008,,,,,,,,,,,,
HQ6,2008,,,,53,39,,,30,,,,
HQ7,2008,,,,,,,,,,,,
HQ8,2008,,,,45,33,,,29,,,,
HQ9,2008,43,43,53,61,50,45,42,42,55,55,51,50
BE1,2008,61,,66,56,61,47,40,43,74,52,42,60
BE2,2008,68,,65,80,75,51,46,50,54,62,59,64
BE3,2008,,,,44,48,,,9,,,,
BE4,2008,68,,75,67,71,63,54,61,56,73,62,
ER1,2008,55,32,52,51,49,35,40,34,54,51,41,52
HXR1,2008,72,63,64,70,69,64,66,45,61,63,66,73
LSL1,2008,73,59,,77,68,60,57,58,50,,,69
WR1,2008,69,49,73,76,72,53,52,54,63,63,57,70
WR2,2008,61,49,60,62,64,47,39,51,49,50,55,46
WR3,2008,42,30,64,55,52,32,34,43,59,44,42,51
BML1,2008,,,,48,43,,,31,,,,
BG1,2008,51,38,59,51,47,33,37,42,43,47,44,40
BG2,2008,57,43,69,66,40,40,40,49,43,54,46,56
BG3,2008,53,53,68,70,59,44,47,60,51,57,58,60
AT2,2008,58,46,63,65,61,29,44,54,44,53,57,40
BH20,2008,62,55,76,76,79,55,52,61,41,67,62,54
BH22,2008,,,,69,76,,,64,,,,
HQ11,2008,,28,41,,,25,22,,,33,30,31
BB1,2008,,36,48,,,,,,,40,35,42
HB1,2009,64,42,68,71,74,48,46,60,35,67,66,52
HB3 BG,2009,27,21,30,32,42,24,31,31,23,37,25,26
HB4,2009,83,36,57,57,56,40,33,1,37,51,54,43
HB6,2009,46,40,56,61,61,46,49,43,40,53,56,50
HTA H,2009,50,42,62,59,50,45,49,53,38,55,51,54
HH1,2009,42,45,57,56,67,44,45,55,53,57,53,45
CRH1,2009,82,56,86,80,83,68,77,70,62,84,75,72
CRH4,2009,42,33,60,49,60,36,38,42,41,51,49,42
CS2,2009,54,37,62,59,68,40,,43,36,56,56,44
BS1,2009,73,46,70,63,73,58,62,51,45,76,66,56
BS2,2009,74,47,70,60,72,57,68,55,52,77,68,52
BS3,2009,73,47,78,61,,56,55,,57,72,64,54
SC4,2009,39,31,46,37,49,30,26,29,20,50,35,27
SC5,2009,66,42,64,49,64,40,43,39,41,67,55,48
SC6,2009,,29,49,,,38,20,,,50,44,38
BH3,2009,63,45,74,82,71,58,57,68,48,79,69,58
LMR1,2009,30,32,51,50,49,36,35,50,36,33,45,41
AQ4,2009,30,25,54,48,49,26,32,42,26,48,38,29
AQ5,2009,39,28,44,40,44,32,30,33,32,46,37,29
AQ8,2009,50,42,52,50,55,44,43,42,34,56,47,43
AQ10,2009,72,53,66,78,76,67,63,67,54,74,82,65
AQ12,2009,44,38,55,50,55,36,30,42,36,60,43,36
AQ15,2009,47,30,46,43,53,32,39,35,41,50,39,31
AQ16,2009,37,27,47,38,45,29,29,35,27,47,38,31
AQ18,2009,39,36,50,50,58,39,36,40,37,57,47,38
SB1,2009,73,59,78,72,84,71,60,58,50,84,64,61
SB3,2009,65,33,73,46,71,56,66,57,57,71,62,50
SB5,2009,54,43,66,58,73,56,56,55,49,57,47,56
SB7,2009,47,55,62,54,63,50,45,51,41,61,51,49
SB8,2009,60,37,66,51,54,38,35,43,29,57,42,43
SB12,2009,40,30,67,55,68,46,51,45,41,64,55,49
SB13,2009,49,37,61,60,58,50,47,52,31,63,52,31
SB15,2009,46,43,66,56,61,54,50,51,44,65,54,47
SB16,2009,63,46,63,55,58,42,58,30,44,61,54,43
SB17,2009,56,37,62,58,67,45,43,54,46,60,52,47
SB18,2009,45,44,60,62,67,39,37,45,37,60,46,35
LF1,2009,68,49,79,71,82,58,56,58,51,71,67,60
LF1A,2009,68,47,73,64,,52,56,63,53,72,62,54
LF2,2009,49,36,67,56,67,42,39,51,33,53,50,44
LF3,2009,33,28,56,42,51,36,39,42,26,42,,37
LF4,2009,18,15,37,33,43,18,21,27,20,38,36,24
LF8,2009,42,27,52,39,55,39,33,35,36,52,47,38
LFBG,2009,26,19,43,34,50,20,26,24,20,36,31,24
HQ1,2009,67,63,79,86,64,57,60,77,58,74,74,71
HQ4,2009,43,26,52,38,54,31,75,38,,43,35,31
HQ9,2009,58,40,68,61,65,47,57,50,47,60,56,47
HQ8,2009,24,23,37,40,46,26,26,38,23,37,36,29
BE1,2009,62,32,70,21,68,43,54,43,34,69,56,43
BE2,2009,46,47,46,69,78,52,48,42,54,80,54,50
BE4,2009,67,56,76,82,71,69,64,48,56,79,67,63
ER1,2009,45,35,58,45,53,33,41,39,40,56,48,45
HXR1,2009,71,63,71,69,67,70,53,60,58,76,69,69
WR1,2009,53,42,71,77,77,49,56,62,37,75,66,57
WR2,2009,57,43,66,63,67,48,45,56,50,70,51,48
WR3,2009,52,28,40,36,64,37,46,46,39,61,50,40
BG1,2009,44,32,61,45,55,37,41,47,31,59,50,44
BG2,2009,58,50,59,70,62,51,43,59,48,70,61,56
BG3,2009,54,40,69,63,61,47,50,60,32,69,59,52
AT2,2009,47,37,64,54,62,49,38,52,49,67,51,46
BH20,2009,52,46,75,72,85,55,48,75,47,82,71,48
BB1,2009,40,37,48,44,53,34,36,40,35,52,35,32
HB1,2010,61,46,69,68,69,45,48,68,51,71,64,51
HB3 BG,2010,22,19,38,32,35,20,22,30,22,32,31,26
HB4,2010,43,40,65,54,57,38,38,51,41,56,48,41
HB6,2010,52,45,74,65,76,39,46,58,48,65,53,44
HTA H,2010,53,48,69,61,58,40,51,49,49,63,54,49
HH1,2010,47,42,57,50,57,36,46,50,49,54,55,52
CRH1,2010,66,65,99,93,94,61,72,85,68,96,78,66
CRH4,2010,31,34,70,63,67,28,46,55,40,62,51,47
CS2,2010,49,,51,70,62,36,46,62,47,58,44,42
BS1,2010,62,46,82,81,79,45,58,74,58,69,66,63
BS2,2010,64,43,76,81,80,46,60,70,59,81,67,64
BS3,2010,64,49,89,82,83,45,58,75,59,72,68,51
SC4,2010,26,24,50,37,45,25,28,41,28,13,41,35
SC5,2010,49,42,61,63,61,39,60,50,51,56,55,59
SC6,2010,38,34,54,46,51,33,43,47,34,54,37,44
BH3,2010,56,53,91,54,79,43,54,61,51,75,67,64
LMR1,2010,43,38,55,50,54,34,43,41,39,58,44,40
AQ4,2010,34,19,68,54,58,20,24,41,27,76,46,32
AQ5,2010,31,26,52,45,46,26,30,41,30,44,39,29
AQ8,2010,40,37,60,52,56,35,39,45,35,56,48,50
AQ10,2010,67,57,100,86,94,58,64,78,63,83,76,81
AQ12,2010,39,30,68,49,51,33,30,50,32,53,49,43
AQ15,2010,40,27,52,53,50,28,37,48,35,47,43,39
AQ16,2010,34,29,56,50,51,26,29,43,31,48,38,37
AQ18,2010,37,32,63,,55,36,33,46,27,53,44,44
SB1,2010,60,58,80,71,80,55,61,79,61,80,79,56
SB3,2010,58,44,73,79,77,43,52,72,51,68,69,32
SB5,2010,51,45,66,64,72,45,47,69,46,69,62,56
SB7,2010,51,30,80,55,77,38,48,59,47,86,54,49
SB8,2010,45,32,65,61,61,33,39,56,42,67,50,44
SB12,2010,46,43,72,67,69,37,44,60,41,71,55,43
SB13,2010,46,45,76,58,61,36,37,57,27,66,55,43
SB15,2010,54,43,31,64,68,41,47,59,40,53,59,50
SB16,2010,52,40,67,64,69,36,45,58,40,63,54,48
SB17,2010,46,43,64,57,56,40,44,58,45,60,53,52
SB18,2010,35,33,70,62,66,33,33,55,32,58,48,45
LF1,2010,65,50,72,76,76,48,55,72,61,74,64,57
LF1A,2010,66,44,67,83,69,45,54,70,57,65,63,55
LF2,2010,48,37,70,65,65,33,35,53,43,61,53,47
LF3,2010,40,34,58,57,54,28,38,49,37,49,43,39
LF4,2010,26,15,47,45,45,14,20,34,23,42,32,26
LF8,2010,40,32,62,58,57,31,38,44,40,50,50,42
LFBG,2010,23,17,48,42,43,,19,29,21,39,29,24
HQ1,2010,70,70,98,72,61,51,59,70,56,75,71,65
HQ4,2010,40,26,50,55,64,26,36,44,34,49,41,37
HQ9,2010,49,39,48,62,50,36,44,59,46,62,54,46
HQ8,2010,29,25,70,41,47,25,25,36,25,41,34,32
BE1,2010,51,38,76,51,69,37,57,65,51,70,57,48
BE2,2010,55,50,76,68,66,43,60,70,59,73,66,63
BE4,2010,61,58,79,59,75,57,60,68,61,76,69,61
ER1,2010,48,41,67,64,58,34,44,54,43,63,53,45
HXR1,2010,63,65,63,64,67,63,68,74,62,89,67,74
WR1,2010,53,48,63,79,83,39,54,67,51,84,66,55
WR2,2010,47,42,69,58,64,39,45,63,45,60,59,47
WR3,2010,46,32,65,57,63,29,39,57,39,60,49,46
BG1,2010,44,38,71,50,64,33,44,52,40,60,49,48
BG2,2010,57,51,81,53,72,48,51,59,48,73,55,64
BG3,2010,54,43,72,51,73,41,46,58,49,68,60,54
AT2,2010,53,41,65,58,60,41,43,63,46,63,58,50
BN20,2010,52,39,71,63,75,48,45,52,44,78,66,63
BB1,2010,36,33,55,35,50,34,38,46,,49,45,39
CL1,2010,49,37,6,77,62,34,43,54,43,65,53,53
PL1,2010,30,24,48,38,44,22,29,36,28,43,32,31
PL2,2010,31,23,45,46,44,25,30,40,29,46,39,37
QR1,2010,34,27,54,46,45,24,39,96,32,48,45,37
HB1,2011,64,44,66,159,0,46,54,69,48,73,60,52
HB3 BG,2011,31,18,32,41,34,22,22,34,23,46,31,26
HB4,2011,32,39,29,62,58,33,27,55,25,47,44,37
HB6,2011,47,43,52,62,63,36,44,58,41,61,50,43
HTA H,2011,52,37,48,53,64,38,48,53,40,49,45,40
HH1,2011,57,47,49,61,60,45,51,67,41,74,59,45
HH-GS,2011,,20,23,,,17,18,,,44,30,11
HH-WG,2011,,25,32,,,19,26,,,50,39,27
HH-NV,2011,,23,34,,,17,24,,,51,37,25
HH-BR,2011,,34,40,,,33,26,,,66,47,27
CRH1,2011,73,64,76,82,79,52,72,90,66,86,48,66
CRH4,2011,51,,,62,60,,,66,34,,,
CS2,2011,45,43,46,54,58,36,36,59,33,56,49,42
BS1,2011,67,45,54,79,72,52,51,80,47,81,60,54
BS2,2011,67,50,46,81,73,53,46,79,49,87,66,53
BS3,2011,67,52,54,77,74,54,58,76,48,83,64,54
SC4,2011,32,,,47,45,,,44,25,,,
SC5,2011,52,44,42,64,64,42,46,59,,66,50,38
SC6,2011,44,,,50,52,,,51,33,,,
SC-PT,2011,,26,35,,,29,24,,,51,37,28
BH3,2011,57,50,58,2,83,44,47,132,48,80,65,45
LMR1,2011,45,38,42,44,53,32,34,52,32,43,39,33
AQ-RA,2011,,25,28,,,23,25,,,49,36,27
AQ4,2011,29,22,46,44,51,22,23,48,23,52,37,26
AQ5,2011,35,,,47,46,,,45,26,,,
AQ8,2011,45,,,50,53,,,60,43,,,
AQ10,2011,70,66,42,81,92,55,56,92,55,95,80,61
AQ12,2011,42,,,60,53,,,57,34,,,
AQ15,2011,44,32,35,52,51,32,34,54,31,49,43,30
AQ16,2011,34,,,49,51,,,50,25,,,
AQ18,2011,42,,,54,55,,,55,,,,
SB1,2011,71,57,66,78,76,57,63,78,63,74,72,63
SB3,2011,59,47,45,74,68,46,50,68,46,83,54,48
SB5,2011,50,42,,66,67,43,49,67,50,64,53,53
SB7,2011,52,32,48,69,74,36,46,57,43,58,46,39
SB8,2011,41,27,33,59,61,31,35,47,29,63,45,34
SB12,2011,84,46,47,62,68,44,43,53,38,73,51,45
SB13,2011,53,49,39,58,67,39,49,62,41,58,51,48
SB15,2011,57,51,46,66,70,39,51,69,,67,55,53
SB16,2011,57,36,44,64,65,39,43,67,44,68,51,44
SB17,2011,55,44,52,57,61,40,46,60,46,58,50,45
SB18,2011,44,34,54,55,61,28,85,55,35,60,46,39
LF1,2011,67,51,54,72,74,45,59,69,56,70,61,52
LF1A,2011,62,,,79,68,,,42,51,,,
LF2,2011,47,42,48,62,56,37,44,56,36,60,45,38
LF3,2011,42,,33,50,49,23,31,47,31,50,37,29
LF4,2011,29,,,47,40,,,35,20,,,
LF-DL,2011,,53,34,,,24,27,,,51,36,31
LF8,2011,47,41,42,62,62,34,37,1,35,59,42,38
LFBG,2011,24,,31,42,41,16,19,33,,47,,
HQ1,2011,70,82,78,81,82,64,68,79,64,73,52,62
HQ4,2011,39,29,37,52,48,23,42,47,36,58,39,27
HQ9,2011,53,38,50,44,62,41,44,56,43,54,52,44
HQ8,2011,47,23,22,63,44,22,27,71,23,48,35,26
BE1,2011,53,37,43,66,67,38,37,67,38,55,61,38
BE2,2011,59,,,79,71,45,49,69,49,,,
BE-SH,2011,,28,40,,,,,,,54,42,30
BE4,2011,70,63,67,76,85,38,62,83,54,79,74,52
ER1,2011,48,37,36,56,63,34,35,59,40,60,52,36
HXR1,2011,75,66,54,76,70,71,,79,,72,76,55
WR1,2011,58,49,57,77,85,46,45,73,44,86,68,48
WR2,2011,55,44,59,72,75,39,50,66,47,71,62,48
WR3,2011,47,34,43,56,65,33,32,54,,105,,29
BG1,2011,46,36,45,57,57,29,38,56,34,59,47,35
BG2,2011,55,47,58,72,71,36,49,68,42,67,58,42
BG3,2011,59,49,52,64,67,41,51,73,46,69,64,50
AT2,2011,49,39,48,59,61,37,40,62,42,59,42,44
BN20,2011,55,50,66,0,83,44,54,145,50,78,71,46
BB1,2011,43,,,49,52,,,51,36,,,
CL1,2011,54,36,39,65,64,36,41,62,36,66,52,41
CL2,2011,47,40,48,62,0,36,44,62,37,68,49,42
CL3,2011,39,29,41,45,0,25,27,48,30,50,41,34
PL1,2011,,,,,43,,,,,,,
PL2,2011,,,,,47,,,,,,,
QR1,2011,43,27,28,57,48,30,33,48,29,59,46,28
AT-BR,2011,,45,55,,,41,44,,,63,50,43
AT-GR,2011,,31,,,,23,32,,,49,37,31
AT-LMR,2011,,35,44,,,36,41,,,81,54,40
AT-WLC,2011,,32,41,,,32,31,,,46,39,26
HH-LR,2012,61,46,53,,,42,42,56,52,53,65,42
HH-LB,2012,73,52,59,,,42,47,62,60,51,65,33
HH-LT,2012,55,51,69,,,50,49,80,50,70,58,48
HB1,2012,61,,61,76,71,43,53,61,,56,57,49
HB3 BG,2012,27,23,33,36,26,19,25,30,25,33,32,28
HB6,2012,58,41,44,62,57,43,45,41,45,58,51,42
HQ1,2012,74,64,75,84,88,55,59,68,58,78,71,71
HQ9,2012,52,47,62,60,57,45,53,49,1,59,52,47
LF1,2012,65,56,57,69,66,54,58,57,68,62,60,55
LF2,2012,55,37,56,60,57,40,21,52,46,53,51,37
SB1,2012,78,62,60,75,68,61,58,68,73,70,68,61
SB3,2012,67,56,62,61,63,65,56,,60,54,52,50
SB12,2012,63,,,64,60,,48,50,54,,,
SB13,2012,56,45,55,63,59,44,,55,46,60,45,37
SB15,2012,58,51,56,62,66,49,47,58,48,49,58,47
SB16,2012,59,47,48,61,54,42,43,55,61,56,55,42
SB18,2012,42,36,55,57,55,36,36,45,40,44,48,38
BS1,2012,66,47,65,65,65,56,56,58,68,65,68,54
BS2,2012,66,61,62,71,67,57,54,60,74,66,63,48
BS3,2012,71,61,63,71,68,54,54,68,70,66,66,43
SC5,2012,65,52,55,57,53,47,50,50,59,54,44,40
HH1,2012,56,61,51,64,62,47,54,66,48,64,62,49
WR2,2012,61,48,57,68,66,42,41,64,38,67,60,50
BH3,2012,73,52,65,77,75,51,45,68,56,73,69,62
BE-SH,2012,,31,47,42,47,27,26,41,30,45,38,32
BE4,2012,63,56,73,76,72,57,48,69,55,75,66,65
ER1,2012,53,39,46,55,56,40,39,46,46,49,51,37
HXR1,2012,66,69,71,74,67,55,61,71,62,74,71,69
BG1,2012,53,41,52,53,48,36,37,47,42,51,55,39
BG2,2012,67,50,68,65,54,44,44,58,49,58,54,50
BG3,2012,71,54,61,70,65,49,47,61,50,59,63,61
AQ4,2012,29,29,39,55,47,24,26,44,28,40,42,24
AQ15,2012,16,35,37,42,43,30,34,,40,37,45,36
CRH1,2012,92,71,89,85,75,68,73,74,93,80,75,71
CS2,2012,51,43,,61,56,35,40,51,39,44,45,42
CL1,2012,54,44,54,61,48,38,47,55,50,60,60,41
CL2,2012,48,,60,64,64,40,44,59,37,59,58,45
CL-XE,2012,44,41,57,,,39,26,56,41,57,42,41
CL-XW,2012,34,28,30,,,22,44,41,25,42,,24
HTAH,2012,63,35,48,58,59,36,41,50,52,51,55,46
AT2,2012,52,37,50,52,57,34,34,53,43,56,54,42
AT-LMR,2012,56,45,50,61,,38,44,53,48,42,60,38
AT-BR,2012,59,40,52,62,59,34,38,53,42,53,49,43
LMR1,2012,47,33,45,56,56,31,35,54,37,41,52,35
SB-TH1,2012,,50,,,,,,,,,,28
SB-TH2,2012,,28,,,,,,,,,,22
SB-TH3,2012,,37,,,,,,,,,,43
HH-LR,2013,52,38,48,55,59,40,42,54,43,62,51,44
HH-LB,2013,60,46,45,68,63,48,52,75,39,68,56,46
HH-LT,2013,55,54,65,66,40,53,28,65,56,79,75,72
HB1,2013,59,49,62,54,69,46,52,68,52,69,60,46
HB6,2013,50,39,56,55,49,40,42,57,16,64,51,48
HQ1,2013,54,65,66,72,59,63,54,59,69,78,38,70
HQ9,2013,66,40,54,58,74,42,44,65,44,61,53,
LF1,2013,71,52,60,57,66,61,58,77,47,70,63,53
LF2,2013,47,41,50,49,55,34,43,54,51,57,48,45
SB1,2013,73,62,74,68,71,65,64,72,53,78,73,62
SB3,2013,73,46,58,55,69,55,53,77,42,70,65,45
SB13,2013,47,76,55,47,56,,46,49,36,58,48,44
SB15,2013,50,45,61,63,67,47,47,64,42,56,48,44
SB16,2013,62,45,55,57,58,47,43,69,31,59,61,41
SB18,2013,43,34,55,41,52,35,28,52,32,55,46,37
BS1,2013,66,51,61,57,70,56,54,81,37,70,68,48
BS2,2013,69,54,62,61,74,58,45,83,51,68,64,47
BS3,2013,72,49,62,62,72,58,58,93,51,64,68,51
SC5,2013,56,45,47,60,66,58,57,82,41,56,55,41
HH1,2013,53,53,62,56,63,52,43,60,40,66,53,51
WR2,2013,58,40,58,59,70,48,45,60,45,66,53,45
BH3,2013,56,51,68,63,72,51,44,58,55,75,54,51
BE-SH,2013,35,28,45,40,48,26,31,44,28,47,42,31
BE4,2013,53,63,75,61,72,53,54,57,51,77,64,63
ER1,2013,40,42,46,49,57,43,45,60,39,55,53,39
HXR1,2013,56,65,71,59,64,67,39,56,67,76,69,69
AQ4,2013,33,26,44,42,48,25,25,47,28,44,38,27
AQ15,2013,47,32,38,47,50,32,35,54,32,43,41,29
CRH1,2013,69,63,77,87,81,67,48,94,64,91,77,61
CL1,2013,44,42,56,51,62,45,41,64,41,47,53,38
CL2,2013,43,37,54,61,64,46,44,58,18,54,41,43
CL-XE,2013,48,,,47,68,,,63,,,,
CL-XW,2013,33,,,41,47,,,47,,,,
CL-XS,2013,,28,42,,,28,29,,27,43,39,30
CL-FVA,2013,,29,49,,,19,26,,,41,43,28
CL-FVB,2013,,,24,,,,,,,41,44,27
HTAH,2013,47,39,36,55,55,41,36,61,46,55,39,44
AT2,2013,42,34,52,51,46,37,33,53,36,52,45,37
AT-LMR,2013,44,34,55,55,60,36,28,55,35,55,48,38
AT-BR,2013,46,38,44,53,55,40,35,32,41,50,33,42
AT-SR,2013,,31,40,,,36,34,,36,52,38,38
LMR1,2013,35,,,42,50,,,44,,,,
HH-LR,2014,56,46,25,48,52,46,42,47,55,42,52,55
HH-LB,2014,58,52,47,52,54,52,67,62,60,57,53,70
HH-LT,2014,65,61,70,65,66,48,43,62,52,104,63,62
HB1,2014,63,37,57,67,65,46,52,60,61,67,60,55
HB6,2014,54,43,42,49,32,43,45,51,55,49,49,51
HQ1,2014,63,67,74,78,74,58,61,66,67,67,59,66
HQ9,2014,50,43,57,52,61,44,61,54,55,53,52,59
LF1,2014,64,52,55,66,72,51,42,63,63,76,58,62
LF2,2014,48,39,41,46,49,40,66,52,42,59,46,50
SB1,2014,74,57,60,72,78,55,63,64,71,77,73,71
SB3,2014,71,44,46,58,75,47,46,55,67,84,61,70
SB13,2014,51,44,52,47,55,47,39,47,59,56,54,55
SB15,2014,52,45,55,61,64,34,44,62,52,65,59,55
SB16,2014,61,42,48,57,56,42,50,60,57,67,59,58
SB18,2014,47,34,53,53,64,36,35,44,37,58,46,41
SB20,2014,,,54,,,,,,,83,67,61
BS1,2014,56,52,54,55,78,56,49,62,65,63,64,70
BS2,2014,45,49,50,55,60,55,62,67,67,83,64,72
BS3,2014,71,50,45,62,73,53,49,70,55,87,67,65
SC5,2014,56,46,45,48,58,52,59,53,55,58,57,62
HH1,2014,60,52,53,,58,49,49,53,60,51,62,58
WR2,2014,51,50,44,57,64,45,43,50,57,58,56,44
BH3,2014,62,59,70,51,26,50,50,61,60,72,66,63
BE4,2014,64,63,70,77,67,60,59,64,68,73,69,66
ER1,2014,56,40,41,45,44,41,39,47,49,56,49,56
HXR1,2014,68,61,57,69,54,77,57,56,94,66,74,68
CRH1,2014,68,71,77,66,77,67,73,75,77,95,73,76
CL1,2014,49,40,47,54,44,44,40,49,43,63,55,59
CL2,2014,37,42,49,38,53,41,31,57,43,60,50,51
CL-FVA,2014,37,26,44,50,51,26,22,48,34,29,36,37
CL-FVB,2014,41,,,47,55,,28,46,21,,,
HTAH,2014,55,45,53,42,38,35,23,48,36,26,44,53
AT-BR,2014,49,39,54,44,41,34,36,51,36,23,42,47
AT-SR,2014,39,33,42,44,37,35,34,44,32,50,38,46
KR1,2014,39,30,32,37,46,31,21,39,36,57,34,46
AQ20,2014,33,32,40,32,37,31,26,36,28,53,38,43
HB-XN,2014,,14,38,,,,,,,40,34,31
HB-XS,2014,,16,35,,,,,,,38,29,27
HH-LR,2015,56,46,25,48,52,46,42,47,55,42,52,55
HH-LB,2015,58,52,47,52,54,52,67,62,60,57,53,70
HH-LT,2015,65,61,70,65,66,48,43,62,52,104,63,62
HB1,2015,63,37,57,67,65,46,52,60,61,67,60,55
HB6,2015,54,43,42,49,32,43,45,51,55,49,49,51
HQ1,2015,63,67,74,78,74,58,61,66,67,67,59,66
HQ9,2015,50,43,57,52,61,44,61,54,55,53,52,59
LF1,2015,64,52,55,66,72,51,42,63,63,76,58,62
LF2,2015,48,39,41,46,49,40,66,52,42,59,46,50
SB1,2015,74,57,60,72,78,55,63,64,71,77,73,71
SB3,2015,71,44,46,58,75,47,46,55,67,84,61,70
SB13,2015,51,44,52,47,55,47,39,47,59,56,54,55
SB15,2015,52,45,55,61,64,34,44,62,52,65,59,55
SB16,2015,61,42,48,57,56,42,50,60,57,67,59,58
SB18,2015,47,34,53,53,64,36,35,44,37,58,46,41
SB20,2015,,,54,,,,,,,83,67,61
BS1,2015,56,52,54,55,78,56,49,62,65,63,64,70
BS2,2015,45,49,50,55,60,55,62,67,67,83,64,72
BS3,2015,71,50,45,62,73,53,49,70,55,87,67,65
SC5,2015,56,46,45,48,58,52,59,53,55,58,57,62
HH1,2015,60,52,53,,58,49,49,53,60,51,62,58
WR2,2015,51,50,44,57,64,45,43,50,57,58,56,44
BH3,2015,62,59,70,51,26,50,50,61,60,72,66,63
BE4,2015,64,63,70,77,67,60,59,64,68,73,69,66
ER1,2015,56,40,41,45,44,41,39,47,49,56,49,56
HXR1,2015,68,61,57,69,54,77,57,56,94,66,74,68
CRH1,2015,68,71,77,66,77,67,73,75,77,95,73,76
CL1,2015,49,40,47,54,44,44,40,49,43,63,55,59
CL2,2015,37,42,49,38,53,41,31,57,43,60,50,51
CL-FVA,2015,37,26,44,50,51,26,22,48,34,29,36,37
CL-FVB,2015,41,,,47,55,,28,46,21,,,
HTAH,2015,55,45,53,42,38,35,23,48,36,26,44,53
AT-BR,2015,49,39,54,44,41,34,36,51,36,23,42,47
AT-SR,2015,39,33,42,44,37,35,34,44,32,50,38,46
KR1,2015,39,30,32,37,46,31,21,39,36,57,34,46
AQ20,2015,33,32,40,32,37,31,26,36,28,53,38,43
HB-XN,2015,,14,38,,,,,,,40,34,31
HB-XS,2015,,16,35,,,,,,,38,29,27
A629-1,2016,33,23,47,45,,20,29,42,29,46,36,21
A629-2,2016,42,34,55,51,,35,35,44,37,57,36,37
A629-3,2016,32,30,45,46,,30,35,38,33,48,33,33
A629-4,2016,30,17,41,39,,23,33,34,29,42,33,25
A629-5,2016,28,21,46,42,,18,23,36,24,42,28,24
A629-6,2016,43,38,53,52,,42,39,,41,49,42,42
A629-7,2016,33,26,50,50,,35,17,39,35,48,26,29
A629-8,2016,42,30,49,42,,26,38,42,42,44,39,33
LV-SAA,2016,42,24,43,50,37,27,33,47,40,46,45,34
LV-SCA,2016,68,56,100,82,93,75,42,75,69,57,46,71
LV-AT,2016,75,53,72,87,74,58,68,82,67,48,77,47
LV-HRS,2016,36,27,53,45,41,25,37,34,33,42,41,29
LV-HRN,2016,42,27,54,51,40,30,38,48,40,42,38,36
LV-62W,2016,53,42,71,62,54,40,50,60,58,49,58,46
LV-62E,2016,53,38,63,66,57,43,47,57,54,48,52,42
LV-RHC,2016,36,27,47,47,45,29,26,38,32,44,34,30
LV-LEE,2016,39,26,49,53,47,33,28,45,35,53,37,31
LV-BRD,2016,36,28,24,47,38,27,32,42,34,43,36,29
LV-BBN,2016,32,26,58,48,50,24,29,39,33,49,35,30
LV-BBS,2016,,24,49,38,38,24,33,39,29,46,37,31
LV-NBN,2016,94,74,74,104,84,70,56,77,81,126,98,74
LV-NBS,2016,56,45,90,73,66,52,87,72,64,95,66,62
LV-NBX,2016,,46,77,,,48,,,,73,59,45
LV-EWB,2016,34,27,60,45,40,28,31,42,33,49,39,33
SC5,2016,57,46,63,52,45,46,61,59,59,53,53,50
HH-TC,2016,49,,63,46,52,35,45,60,47,68,55,51
HH-LB,2016,59,40,63,61,56,33,61,69,56,62,62,45
HH-LT,2016,79,57,94,75,76,56,61,,71,98,68,70
HH1,2016,52,44,65,61,59,49,39,52,43,61,48,55
WR2,2016,52,36,64,77,53,42,40,50,44,63,38,50
BH3,2016,63,44,72,62,69,56,,60,60,64,58,53
BE4,2016,69,50,53,78,74,56,58,63,55,74,58,68
BE2,2016,52,45,54,60,62,45,46,63,66,66,57,58
HXR1,2016,59,56,71,69,65,70,65,60,68,70,69,65
CL1,2016,49,40,63,61,59,39,50,58,52,56,66,50
HTAH,2016,56,32,47,49,49,41,40,57,44,56,49,41
AT-BR,2016,48,30,49,55,51,38,38,56,44,58,46,36
AT-MR,2016,37,29,24,52,49,35,27,47,37,55,37,31
AQC1,2016,63,49,66,64,62,50,53,60,53,59,50,55
AQC2,2016,64,43,69,60,67,54,53,59,48,60,56,54
AQC3,2016,58,48,69,54,67,58,56,61,47,68,51,55
CRH1,2016,71,57,77,79,76,58,63,81,71,72,58,54
AQ20,2016,34,26,47,44,41,26,37,41,35,43,42,30
AQ21,2016,64,56,69,75,72,49,56,64,55,58,65,65
HB1,2016,57,,,66,67,,,64,52,,,
